Loaded /home/acb11711tx/lzq/ExpEval/exe_res/ucf101_r2p1d_blur_ig_full_test.pt
v_CliffDiving_g05_c03: 0.4737857888248982
v_CliffDiving_g05_c04: 0.06922117255453486
v_CliffDiving_g05_c05: 0.5721082608943107
v_CliffDiving_g05_c06: 0.5817617511638673
v_CliffDiving_g05_c07: 0.6341375942138257
v_CliffDiving_g06_c01: 0.27431515215721447
v_CliffDiving_g06_c02: 0.3748487567791017
v_CliffDiving_g06_c03: 0.394905078530428
v_CliffDiving_g06_c04: 0.21599398281250615
v_CliffDiving_g06_c05: 0.4216942403727444
v_CliffDiving_g06_c06: 0.3846705924515845
v_CliffDiving_g06_c07: 0.43496512885030825
v_CliffDiving_g07_c01: 0.5163994115573587
v_CliffDiving_g07_c02: 0.5841328167152824
v_CliffDiving_g07_c03: 0.5883639101666631
v_CliffDiving_g07_c04: 0.6376063703355612
v_CliffDiving_g07_c05: 0.8050201752485009
v_CliffDiving_g07_c06: 0.2878475243487628
v_CricketBowling_g01_c01: 0.9175984326866455
v_CricketBowling_g01_c02: 0.8745544702396728
v_CricketBowling_g01_c03: 0.8326471236650832
v_CricketBowling_g01_c04: 0.8909549350501038
v_CricketBowling_g01_c05: 0.8975646293838508
v_CricketBowling_g01_c06: 0.8435924871009775
v_CricketBowling_g01_c07: 0.8380410192185082
v_CricketBowling_g02_c01: 0.29521019506501034
v_CricketBowling_g02_c02: 0.2950140238390304
v_CricketBowling_g02_c03: 0.35424110951134935
v_CricketBowling_g02_c04: 0.27055767277488485
v_CricketBowling_g02_c05: 0.37637318653287366
v_CricketBowling_g02_c06: 0.37131041643442586
v_CricketBowling_g02_c07: 0.3598246707697399
v_CricketBowling_g03_c01: 0.15372037662018556
v_CricketBowling_g03_c02: 0.13434780156239867
v_CricketBowling_g03_c03: 0.27662944060284644
v_CricketBowling_g03_c04: 0.22198586637387052
v_CricketBowling_g04_c01: 0.35107628448167816
v_CricketBowling_g04_c02: 0.16905723576201126
v_CricketBowling_g04_c03: 0.433753102843184
v_CricketBowling_g04_c04: 0.3273569166776724
v_CricketBowling_g04_c05: 0.22278506559086964
v_CricketBowling_g05_c01: 0.8139251052052714
v_CricketBowling_g05_c02: 0.8459706060239114
v_CricketBowling_g05_c03: 0.8876547334366478
v_CricketBowling_g05_c04: 0.8639509613276459
v_CricketBowling_g06_c01: 0.7596530577284284
v_CricketBowling_g06_c02: 0.8661106001236476
v_CricketBowling_g06_c03: 0.7225919038173743
v_CricketBowling_g06_c04: 0.6964609260321595
v_CricketBowling_g06_c05: 0.825198091159109
v_CricketBowling_g07_c01: 0.378739406412933
v_CricketBowling_g07_c02: 0.36556410609046
v_CricketBowling_g07_c03: 0.361223642306868
v_CricketBowling_g07_c04: 0.18808541860198602
v_Diving_g01_c01: 0.7071214980969671
v_Diving_g01_c02: 0.7133638985978905
v_Diving_g01_c03: 0.7385600436537061
