Loaded /home/acb11711tx/lzq/ExpEval/exe_res/ucf101_r2p1d_blur_ig_full_test.pt
v_CliffDiving_g05_c03: 0.5141719589737477
v_CliffDiving_g05_c04: 0.15513065010600258
v_CliffDiving_g05_c05: 0.7619549553637626
v_CliffDiving_g05_c06: 0.6487211918720277
v_CliffDiving_g05_c07: 0.5595700378326001
v_CliffDiving_g06_c01: 0.4469491875061067
v_CliffDiving_g06_c02: 0.44777155279007275
v_CliffDiving_g06_c03: 0.6174825907946797
v_CliffDiving_g06_c04: 0.3809619071689667
v_CliffDiving_g06_c05: 0.6555959794932278
v_CliffDiving_g06_c06: 0.5510940324311377
v_CliffDiving_g06_c07: 0.5633841108792694
v_CliffDiving_g07_c01: 0.6309690159541788
v_CliffDiving_g07_c02: 0.6807853841019096
v_CliffDiving_g07_c03: 0.8457090501469793
v_CliffDiving_g07_c04: 0.658539640789968
v_CliffDiving_g07_c05: 0.8382382014096947
v_CliffDiving_g07_c06: 0.24440317421976943
v_CricketBowling_g01_c01: 0.8988650504616089
v_CricketBowling_g01_c02: 0.8457639963016845
v_CricketBowling_g01_c03: 0.7869133737985976
v_CricketBowling_g01_c04: 0.7985928292036988
v_CricketBowling_g01_c05: 0.8524561322410591
v_CricketBowling_g01_c06: 0.7470141871017404
v_CricketBowling_g01_c07: 0.7327712295227684
v_CricketBowling_g02_c01: 0.19646082463441417
v_CricketBowling_g02_c02: 0.17303700657794252
v_CricketBowling_g02_c03: 0.3318963719648309
v_CricketBowling_g02_c04: 0.24015386548126116
v_CricketBowling_g02_c05: 0.3466781234019436
v_CricketBowling_g02_c06: 0.34497797751100734
v_CricketBowling_g02_c07: 0.285216941323597
v_CricketBowling_g03_c01: 0.11278743808361469
v_CricketBowling_g03_c02: 0.10736402636393905
v_CricketBowling_g03_c03: 0.19346082996344194
v_CricketBowling_g03_c04: 0.2145344660966657
v_CricketBowling_g04_c01: 0.2896940506179817
v_CricketBowling_g04_c02: 0.10454814921831712
v_CricketBowling_g04_c03: 0.3146602206979878
v_CricketBowling_g04_c04: 0.1817830334766768
v_CricketBowling_g04_c05: 0.08999241300625727
v_CricketBowling_g05_c01: 0.6841369448811747
v_CricketBowling_g05_c02: 0.7559252135106362
v_CricketBowling_g05_c03: 0.7543598530464806
v_CricketBowling_g05_c04: 0.744035177922342
v_CricketBowling_g06_c01: 0.5024235498276539
v_CricketBowling_g06_c02: 0.6810992132523097
v_CricketBowling_g06_c03: 0.5245096951839514
v_CricketBowling_g06_c04: 0.5430429815896787
v_CricketBowling_g06_c05: 0.7209025389165618
v_CricketBowling_g07_c01: 0.30542500788578764
v_CricketBowling_g07_c02: 0.3205825971090235
v_CricketBowling_g07_c03: 0.30301797768333927
v_CricketBowling_g07_c04: 0.1996801465866156
v_Diving_g01_c01: 0.6289877958188299
v_Diving_g01_c02: 0.6517828830110375
v_Diving_g01_c03: 0.6517685879080091
v_Diving_g01_c04: 0.6897804682666901
v_Diving_g01_c05: 0.6459565350378398
v_Diving_g01_c06: 0.7362094134150539
v_Diving_g01_c07: 0.6496050783025566
v_Diving_g02_c01: 0.4645321126154158
v_Diving_g02_c02: 0.4453744784987066
v_Diving_g02_c03: 0.6534961298166309
v_Diving_g02_c04: 0.6043474382313434
v_Diving_g02_c05: 0.5626932432933245
v_Diving_g02_c06: 0.603326366195688
v_Diving_g02_c07: 0.7693302069383208
v_Diving_g03_c01: 0.9275526645651553
v_Diving_g03_c02: 0.9362813033221755
v_Diving_g03_c03: 0.924968153849477
v_Diving_g03_c04: 0.9434442351630423
v_Diving_g03_c05: 0.8756535629800055
v_Diving_g03_c06: 0.8899063855933491
v_Diving_g03_c07: 0.9128561626712326
v_Diving_g04_c01: 0.6040174643567298
v_Diving_g04_c02: 0.5734806325344834
v_Diving_g04_c03: 0.6506122519786004
v_Diving_g04_c04: 0.508964922191808
v_Diving_g04_c05: 0.6606228059681598
v_Diving_g04_c06: 0.679458975471789
v_Diving_g04_c07: 0.5998206168005709
v_Diving_g05_c01: 0.8301416723115835
v_Diving_g05_c02: 0.8285141164960805
v_Diving_g05_c03: 0.812258168036351
v_Diving_g05_c04: 0.8203822950890753
v_Diving_g05_c05: 0.8558182436099742
v_Diving_g05_c06: 0.8079390760103706
v_Diving_g06_c01: 0.7338637899665628
v_Diving_g06_c02: 0.6713060870824847
v_Diving_g06_c03: 0.7165041711705271
v_Diving_g06_c04: 0.6978383456880692
v_Diving_g06_c05: 0.6158948677184526
v_Diving_g06_c06: 0.6512786598468665
v_Diving_g06_c07: 0.6598426612617914
v_Diving_g07_c01: 0.627468761667842
v_Diving_g07_c02: 0.6445055270160083
v_Diving_g07_c03: 0.57007559449994
v_Diving_g07_c04: 0.4981920199061278
v_Fencing_g01_c01: 0.7508638227300253
v_Fencing_g01_c02: 0.7167550491576549
v_Fencing_g01_c03: 0.7711313211766537
v_Fencing_g01_c04: 0.7585219241154846
v_Fencing_g01_c05: 0.7308082881791051
v_Fencing_g01_c06: 0.8206180663255509
v_Fencing_g02_c01: 0.8183980300964322
v_Fencing_g02_c02: 0.3580751054396387
v_Fencing_g02_c03: 0.6196087720745709
v_Fencing_g02_c04: 0.894065165281063
v_Fencing_g02_c05: 0.6220941784267779
v_Fencing_g03_c01: 0.382642218231922
v_Fencing_g03_c02: 0.12541503514512442
v_Fencing_g03_c03: 0.46364687438472174
v_Fencing_g03_c04: 0.4241642775887158
v_Fencing_g03_c05: 0.3423552486055996
v_Fencing_g04_c01: 0.3205449025554117
v_Fencing_g04_c02: 0.5761355777212884
v_Fencing_g04_c03: 0.5530138412432279
v_Fencing_g04_c04: 0.6527609083277639
v_Fencing_g04_c05: 0.5692468998895492
v_Fencing_g05_c01: 0.6682572728896048
v_Fencing_g05_c02: 0.8831364620418753
v_Fencing_g05_c03: 0.8425509762892034
v_Fencing_g05_c04: 0.7116943989822175
v_Fencing_g05_c05: 0.7785825525352266
v_Fencing_g06_c01: 0.606124325277051
v_Fencing_g06_c02: 0.46648244847892784
v_Fencing_g06_c03: 0.5156903118768241
v_Fencing_g06_c04: 0.7626293614448514
v_Fencing_g07_c01: 0.7415622303669807
v_Fencing_g07_c02: 0.3442531848268118
