Loaded /home/acb11711tx/lzq/ExpEval/exe_res/ucf101_r2p1d_xrai_full_test.pt
v_CliffDiving_g05_c03: 0.5255242596176686
v_CliffDiving_g05_c04: 0.2574952200084226
v_CliffDiving_g05_c05: 0.806251756454003
v_CliffDiving_g05_c06: 0.816790435303119
v_CliffDiving_g05_c07: 0.8129555816558423
v_CliffDiving_g06_c01: 0.6508362030872377
v_CliffDiving_g06_c02: 0.7544653451332124
v_CliffDiving_g06_c03: 0.7720067383052083
v_CliffDiving_g06_c04: 0.6626644554344239
v_CliffDiving_g06_c05: 0.8466207001620205
v_CliffDiving_g06_c06: 0.8022753368859412
v_CliffDiving_g06_c07: 0.8071817707532318
v_CliffDiving_g07_c01: 0.7282793802005472
v_CliffDiving_g07_c02: 0.7924652957153739
v_CliffDiving_g07_c03: 0.697838449923438
v_CliffDiving_g07_c04: 0.660866129284841
v_CliffDiving_g07_c05: 0.804283223420498
v_CliffDiving_g07_c06: 0.35007414787833113
v_CricketBowling_g01_c01: 0.9232240978744812
v_CricketBowling_g01_c02: 0.9171512872562744
v_CricketBowling_g01_c03: 0.9243606117670424
v_CricketBowling_g01_c04: 0.9291566247702576
v_CricketBowling_g01_c05: 0.9147447741706856
v_CricketBowling_g01_c06: 0.881505511526484
v_CricketBowling_g01_c07: 0.8865628955536522
v_CricketBowling_g02_c01: 0.35606632771668956
v_CricketBowling_g02_c02: 0.39674168737838045
v_CricketBowling_g02_c03: 0.7409502042573877
v_CricketBowling_g02_c04: 0.5258685961016454
v_CricketBowling_g02_c05: 0.6521197115653194
v_CricketBowling_g02_c06: 0.5926587011781521
v_CricketBowling_g02_c07: 0.5453660626080818
v_CricketBowling_g03_c01: 0.23948557441326557
v_CricketBowling_g03_c02: 0.2714806548319757
v_CricketBowling_g03_c03: 0.4260319996974431
v_CricketBowling_g03_c04: 0.5200210408656858
v_CricketBowling_g04_c01: 0.53230528003769
v_CricketBowling_g04_c02: 0.2298543457291089
v_CricketBowling_g04_c03: 0.4983197146211751
v_CricketBowling_g04_c04: 0.32975904451450333
v_CricketBowling_g04_c05: 0.3254731834749691
v_CricketBowling_g05_c01: 0.8949355064542033
v_CricketBowling_g05_c02: 0.9425606481381692
v_CricketBowling_g05_c03: 0.9076892850571312
v_CricketBowling_g05_c04: 0.8955245549441315
v_CricketBowling_g06_c01: 0.7978112947312184
v_CricketBowling_g06_c02: 0.9092210303642787
v_CricketBowling_g06_c03: 0.8261344701168127
v_CricketBowling_g06_c04: 0.8397105574258603
v_CricketBowling_g06_c05: 0.7527892357320525
v_CricketBowling_g07_c01: 0.843527426070068
v_CricketBowling_g07_c02: 0.8595823632203974
v_CricketBowling_g07_c03: 0.6767271794960834
v_CricketBowling_g07_c04: 0.3957417875644751
v_Diving_g01_c01: 0.5707588858495001
v_Diving_g01_c02: 0.6709344514238182
v_Diving_g01_c03: 0.5936388004629407
v_Diving_g01_c04: 0.6934889500553254
v_Diving_g01_c05: 0.5909199306333903
v_Diving_g01_c06: 0.6130937546549831
v_Diving_g01_c07: 0.6393939681875054
v_Diving_g02_c01: 0.8053241427114699
v_Diving_g02_c02: 0.7925317780172918
v_Diving_g02_c03: 0.7370964124856982
v_Diving_g02_c04: 0.8034953183087055
v_Diving_g02_c05: 0.8320364406390581
v_Diving_g02_c06: 0.8159870960807893
v_Diving_g02_c07: 0.8258100186067168
v_Diving_g03_c01: 0.8220217469206546
v_Diving_g03_c02: 0.8426276244281325
v_Diving_g03_c03: 0.8049834674748126
v_Diving_g03_c04: 0.8030747006705496
v_Diving_g03_c05: 0.8277189712098334
v_Diving_g03_c06: 0.8533093721198384
v_Diving_g03_c07: 0.8480177532474045
v_Diving_g04_c01: 0.6116788665822241
v_Diving_g04_c02: 0.6137598421482835
v_Diving_g04_c03: 0.7273875047976617
v_Diving_g04_c04: 0.6841643712541554
v_Diving_g04_c05: 0.6553093499096576
v_Diving_g04_c06: 0.7175824638979975
v_Diving_g04_c07: 0.6338795452902559
v_Diving_g05_c01: 0.7825149981363211
v_Diving_g05_c02: 0.7751470381917898
v_Diving_g05_c03: 0.7832585413998459
v_Diving_g05_c04: 0.7712613324692938
v_Diving_g05_c05: 0.7644434290996287
v_Diving_g05_c06: 0.7599527474085335
v_Diving_g06_c01: 0.7731613706855569
v_Diving_g06_c02: 0.7745663061796222
v_Diving_g06_c03: 0.6989721801655833
v_Diving_g06_c04: 0.7847956811601762
v_Diving_g06_c05: 0.6540946500899736
v_Diving_g06_c06: 0.7114755959773902
v_Diving_g06_c07: 0.8096634658577386
v_Diving_g07_c01: 0.758913037047023
v_Diving_g07_c02: 0.8338996434176806
v_Diving_g07_c03: 0.8079781165870372
v_Diving_g07_c04: 0.7540068106318358
v_Fencing_g01_c01: 0.8798347437696066
v_Fencing_g01_c02: 0.8581245707755443
v_Fencing_g01_c03: 0.848340972646838
v_Fencing_g01_c04: 0.8798344231618103
v_Fencing_g01_c05: 0.8138115707261022
v_Fencing_g01_c06: 0.8275181384233292
v_Fencing_g02_c01: 0.8381420090736356
v_Fencing_g02_c02: 0.7066243224253412
v_Fencing_g02_c03: 0.7736086371296551
v_Fencing_g02_c04: 0.8215489027497824
v_Fencing_g02_c05: 0.7682822587375995
v_Fencing_g03_c01: 0.6696053234336432
v_Fencing_g03_c02: 0.4427971919940319
v_Fencing_g03_c03: 0.7463872885273304
v_Fencing_g03_c04: 0.7515450241917279
v_Fencing_g03_c05: 0.7207741114252713
v_Fencing_g04_c01: 0.599002067319816
v_Fencing_g04_c02: 0.8650581856200006
v_Fencing_g04_c03: 0.8174136677698698
v_Fencing_g04_c04: 0.8381612155062612
v_Fencing_g04_c05: 0.8097377536760177
v_Fencing_g05_c01: 0.8660528427863028
v_Fencing_g05_c02: 0.8660376179905143
v_Fencing_g05_c03: 0.8367849421629217
v_Fencing_g05_c04: 0.8321842347213533
v_Fencing_g05_c05: 0.8628582750388887
v_Fencing_g06_c01: 0.7687926130311098
v_Fencing_g06_c02: 0.7655942021810915
v_Fencing_g06_c03: 0.6785313934960868
v_Fencing_g06_c04: 0.8158797338546719
v_Fencing_g07_c01: 0.8066221902554389
v_Fencing_g07_c02: 0.6839942956285086
v_Fencing_g07_c03: 0.779145846463507
v_Fencing_g07_c04: 0.7264723075495567
v_FloorGymnastics_g01_c01: 0.8860437758266926
v_FloorGymnastics_g01_c02: 0.911446182988584
v_FloorGymnastics_g01_c03: 0.8728023667354137
v_FloorGymnastics_g01_c04: 0.8595013618469238
v_FloorGymnastics_g01_c05: 0.8817525082267821
v_FloorGymnastics_g02_c01: 0.6975899531971663
v_FloorGymnastics_g02_c02: 0.8037959113717079
v_FloorGymnastics_g02_c03: 0.7444326675031334
v_FloorGymnastics_g02_c04: 0.8330416958779097
v_FloorGymnastics_g03_c01: 0.7221655028406531
v_FloorGymnastics_g03_c02: 0.7391480687074363
v_FloorGymnastics_g03_c03: 0.7849154393188655
v_FloorGymnastics_g03_c04: 0.8013375408481807
v_FloorGymnastics_g04_c01: 0.8427702190820128
v_FloorGymnastics_g04_c02: 0.8792636522557586
