Loaded /home/acb11711tx/lzq/ExpEval/exe_res/ucf101_r2p1d_score_cam_full_test.pt
v_CliffDiving_g05_c03: 0.675330699494225
v_CliffDiving_g05_c04: 0.1913875304890098
v_CliffDiving_g05_c05: 0.8468897860293509
v_CliffDiving_g05_c06: 0.9065692162403138
v_CliffDiving_g05_c07: 0.918048643579823
v_CliffDiving_g06_c01: 0.7070045804866822
v_CliffDiving_g06_c02: 0.8471261894592317
v_CliffDiving_g06_c03: 0.8271440745593281
v_CliffDiving_g06_c04: 0.7680848064628663
v_CliffDiving_g06_c05: 0.8302945111208828
v_CliffDiving_g06_c06: 0.855990565920365
v_CliffDiving_g06_c07: 0.9121921610349091
v_CliffDiving_g07_c01: 0.8906732481700601
v_CliffDiving_g07_c02: 0.9048150443268241
v_CliffDiving_g07_c03: 0.8335643653554143
v_CliffDiving_g07_c04: 0.8252687333879294
v_CliffDiving_g07_c05: 0.9275022962392541
v_CliffDiving_g07_c06: 0.6168816739955219
v_CricketBowling_g01_c01: 0.9464858237770386
v_CricketBowling_g01_c02: 0.9426241666660644
v_CricketBowling_g01_c03: 0.935021975368727
v_CricketBowling_g01_c04: 0.956980847811792
v_CricketBowling_g01_c05: 0.9538079298217781
v_CricketBowling_g01_c06: 0.9435388667625375
v_CricketBowling_g01_c07: 0.9504657504730858
v_CricketBowling_g02_c01: 0.4099207644467242
v_CricketBowling_g02_c02: 0.5544317961321212
v_CricketBowling_g02_c03: 0.8133806354016997
v_CricketBowling_g02_c04: 0.658906699216459
v_CricketBowling_g02_c05: 0.801572397176642
v_CricketBowling_g02_c06: 0.7603570854407735
v_CricketBowling_g02_c07: 0.6498284473200329
v_CricketBowling_g03_c01: 0.35317846907128114
v_CricketBowling_g03_c02: 0.3983492008410394
v_CricketBowling_g03_c03: 0.5556429253192618
v_CricketBowling_g03_c04: 0.47661449486622587
v_CricketBowling_g04_c01: 0.7231259737745859
v_CricketBowling_g04_c02: 0.3865859216894023
v_CricketBowling_g04_c03: 0.6092981992405839
v_CricketBowling_g04_c04: 0.5335139453527518
v_CricketBowling_g04_c05: 0.548642183362972
v_CricketBowling_g05_c01: 0.9278191505582072
v_CricketBowling_g05_c02: 0.9170739404507913
v_CricketBowling_g05_c03: 0.9403196690254845
v_CricketBowling_g05_c04: 0.9186507398844697
v_CricketBowling_g06_c01: 0.8096999189001508
v_CricketBowling_g06_c02: 0.9409621130325831
v_CricketBowling_g06_c03: 0.8620410829898901
v_CricketBowling_g06_c04: 0.7414859170676209
v_CricketBowling_g06_c05: 0.8063558112480678
v_CricketBowling_g07_c01: 0.9029232757748105
v_CricketBowling_g07_c02: 0.8689061981276609
v_CricketBowling_g07_c03: 0.8205475849681534
v_CricketBowling_g07_c04: 0.6044612195692025
v_Diving_g01_c01: 0.8572192258725408
v_Diving_g01_c02: 0.8408641346322838
v_Diving_g01_c03: 0.8205673921911512
v_Diving_g01_c04: 0.8237165158207063
v_Diving_g01_c05: 0.7840186545217875
v_Diving_g01_c06: 0.8630785554705653
v_Diving_g01_c07: 0.7964782544004265
v_Diving_g02_c01: 0.8341498429945204
v_Diving_g02_c02: 0.8213756577169988
v_Diving_g02_c03: 0.8494787052331958
v_Diving_g02_c04: 0.8377538031490985
v_Diving_g02_c05: 0.8233309438510332
v_Diving_g02_c06: 0.8187173464393709
v_Diving_g02_c07: 0.8595052395539824
v_Diving_g03_c01: 0.8718211296072695
v_Diving_g03_c02: 0.8775900997279678
v_Diving_g03_c03: 0.8610248869808856
v_Diving_g03_c04: 0.8904681037238333
v_Diving_g03_c05: 0.8914360384515021
v_Diving_g03_c06: 0.8619634300994221
v_Diving_g03_c07: 0.8703712235728744
v_Diving_g04_c01: 0.8696201722195838
v_Diving_g04_c02: 0.7596096064953599
v_Diving_g04_c03: 0.8222706486994866
v_Diving_g04_c04: 0.8125266096612904
v_Diving_g04_c05: 0.7952556318196002
v_Diving_g04_c06: 0.8111038800852839
v_Diving_g04_c07: 0.8097760110686067
v_Diving_g05_c01: 0.8464587418420706
v_Diving_g05_c02: 0.8590819413366262
v_Diving_g05_c03: 0.8644624789303634
v_Diving_g05_c04: 0.8525849561265204
v_Diving_g05_c05: 0.8540871459117625
v_Diving_g05_c06: 0.8347327943483833
v_Diving_g06_c01: 0.8093100380210672
v_Diving_g06_c02: 0.8296827808080707
v_Diving_g06_c03: 0.8270613696950022
v_Diving_g06_c04: 0.8197912966425065
v_Diving_g06_c05: 0.744483901798958
v_Diving_g06_c06: 0.8215725870395545
v_Diving_g06_c07: 0.8286994608642999
v_Diving_g07_c01: 0.8221504061075393
v_Diving_g07_c02: 0.8821803593600634
v_Diving_g07_c03: 0.84347429141053
v_Diving_g07_c04: 0.8344199137354735
v_Fencing_g01_c01: 0.8321481073217001
v_Fencing_g01_c02: 0.8652059602027293
v_Fencing_g01_c03: 0.7696217143384274
v_Fencing_g01_c04: 0.791538903809851
v_Fencing_g01_c05: 0.7479976120812353
v_Fencing_g01_c06: 0.8178295817633625
v_Fencing_g02_c01: 0.7999624922813382
v_Fencing_g02_c02: 0.7474616103281733
v_Fencing_g02_c03: 0.8364591124409344
v_Fencing_g02_c04: 0.83407368636108
v_Fencing_g02_c05: 0.8089220764522906
