Loaded /home/acb11711tx/lzq/ExpEval/exe_res/ucf101_r2p1d_score_cam_full_test.pt
v_CliffDiving_g05_c03: 0.5414990792778553
v_CliffDiving_g05_c04: 0.29397600442462135
v_CliffDiving_g05_c05: 0.8188481252436759
v_CliffDiving_g05_c06: 0.7925349211582216
v_CliffDiving_g05_c07: 0.7709392542747082
v_CliffDiving_g06_c01: 0.6865382528194459
v_CliffDiving_g06_c02: 0.7466288244613679
v_CliffDiving_g06_c03: 0.7958173633815022
v_CliffDiving_g06_c04: 0.6707166853157105
v_CliffDiving_g06_c05: 0.8693388317042263
v_CliffDiving_g06_c06: 0.7623129855637671
v_CliffDiving_g06_c07: 0.7914853643887909
v_CliffDiving_g07_c01: 0.8016664665919961
v_CliffDiving_g07_c02: 0.8496067785454215
v_CliffDiving_g07_c03: 0.6526327376050176
v_CliffDiving_g07_c04: 0.6467288612184348
v_CliffDiving_g07_c05: 0.8833312013448449
v_CliffDiving_g07_c06: 0.40039104789320845
v_CricketBowling_g01_c01: 0.909435516980011
v_CricketBowling_g01_c02: 0.8712620884762146
v_CricketBowling_g01_c03: 0.8881391075556166
v_CricketBowling_g01_c04: 0.9132699007750489
v_CricketBowling_g01_c05: 0.9005202449043281
v_CricketBowling_g01_c06: 0.8602326734107919
v_CricketBowling_g01_c07: 0.8717343924217857
v_CricketBowling_g02_c01: 0.3761014455812983
v_CricketBowling_g02_c02: 0.4036348453373648
v_CricketBowling_g02_c03: 0.7107116354745813
v_CricketBowling_g02_c04: 0.5543004884966649
v_CricketBowling_g02_c05: 0.6645231401198544
v_CricketBowling_g02_c06: 0.6271302130189724
v_CricketBowling_g02_c07: 0.5693497199681588
v_CricketBowling_g03_c01: 0.37020888691040454
v_CricketBowling_g03_c02: 0.37062714016065
v_CricketBowling_g03_c03: 0.4496036101481877
v_CricketBowling_g03_c04: 0.5906375841586851
v_CricketBowling_g04_c01: 0.6068373120506294
v_CricketBowling_g04_c02: 0.20946534018730745
v_CricketBowling_g04_c03: 0.48710477288113907
v_CricketBowling_g04_c04: 0.33394746290287003
v_CricketBowling_g04_c05: 0.35753276356263086
v_CricketBowling_g05_c01: 0.8695104895741679
v_CricketBowling_g05_c02: 0.8900168291875161
v_CricketBowling_g05_c03: 0.8501814124756493
v_CricketBowling_g05_c04: 0.8292288119555451
v_CricketBowling_g06_c01: 0.8044650804367848
v_CricketBowling_g06_c02: 0.8682842623093165
v_CricketBowling_g06_c03: 0.8146666556713171
v_CricketBowling_g06_c04: 0.7510205745347776
v_CricketBowling_g06_c05: 0.6954993373365141
v_CricketBowling_g07_c01: 0.8419894474209286
v_CricketBowling_g07_c02: 0.8380260454141535
v_CricketBowling_g07_c03: 0.7063095011399128
v_CricketBowling_g07_c04: 0.5120887428638525
v_Diving_g01_c01: 0.6620141334424261
v_Diving_g01_c02: 0.7199446090089623
v_Diving_g01_c03: 0.7233538854925428
v_Diving_g01_c04: 0.7203665917331818
v_Diving_g01_c05: 0.6529812404478434
v_Diving_g01_c06: 0.7473598927317653
v_Diving_g01_c07: 0.6710974403249566
v_Diving_g02_c01: 0.7785136158636305
v_Diving_g02_c02: 0.7746549741423223
v_Diving_g02_c03: 0.8090233638940845
v_Diving_g02_c04: 0.8265185660275165
v_Diving_g02_c05: 0.7710163047595415
v_Diving_g02_c06: 0.8195336320495699
v_Diving_g02_c07: 0.8269509707170073
v_Diving_g03_c01: 0.8603070023527835
v_Diving_g03_c02: 0.8478689588664565
v_Diving_g03_c03: 0.7891485995205585
v_Diving_g03_c04: 0.8196194003394339
v_Diving_g03_c05: 0.8015972952416632
v_Diving_g03_c06: 0.8486739188956562
v_Diving_g03_c07: 0.8442925225535873
v_Diving_g04_c01: 0.7207098285725806
v_Diving_g04_c02: 0.5794875886349473
v_Diving_g04_c03: 0.6562073399836663
v_Diving_g04_c04: 0.7252573630830739
v_Diving_g04_c05: 0.6710214322956745
v_Diving_g04_c06: 0.7075591680186335
v_Diving_g04_c07: 0.7090844541380648
v_Diving_g05_c01: 0.7489786831720266
v_Diving_g05_c02: 0.7619591529073659
v_Diving_g05_c03: 0.784299298102269
v_Diving_g05_c04: 0.7599951605370734
v_Diving_g05_c05: 0.7608263808360789
v_Diving_g05_c06: 0.7466812964121345
v_Diving_g06_c01: 0.7915776562003884
v_Diving_g06_c02: 0.7693955436407123
v_Diving_g06_c03: 0.688517465867335
v_Diving_g06_c04: 0.7570178901369218
v_Diving_g06_c05: 0.6456131475570146
v_Diving_g06_c06: 0.7146417351032142
v_Diving_g06_c07: 0.782051852584118
v_Diving_g07_c01: 0.7553979723306838
v_Diving_g07_c02: 0.8096322679484729
v_Diving_g07_c03: 0.7763272157462779
v_Diving_g07_c04: 0.7294421271944884
v_Fencing_g01_c01: 0.8411637270764913
v_Fencing_g01_c02: 0.8374129699950572
v_Fencing_g01_c03: 0.822272344812518
v_Fencing_g01_c04: 0.8457894421590026
v_Fencing_g01_c05: 0.7859553399903234
v_Fencing_g01_c06: 0.8633192510751542
v_Fencing_g02_c01: 0.8254152849258389
v_Fencing_g02_c02: 0.6233344607462641
v_Fencing_g02_c03: 0.7700185897701886
v_Fencing_g02_c04: 0.8057059285638388
v_Fencing_g02_c05: 0.7954787256603595
v_Fencing_g03_c01: 0.6526841608283576
v_Fencing_g03_c02: 0.4803790530131664
v_Fencing_g03_c03: 0.722398445563158
v_Fencing_g03_c04: 0.7229703190678265
v_Fencing_g03_c05: 0.7114735814684536
v_Fencing_g04_c01: 0.5219147841853555
v_Fencing_g04_c02: 0.8171730061003473
v_Fencing_g04_c03: 0.7596712509111967
v_Fencing_g04_c04: 0.7866545173746999
v_Fencing_g04_c05: 0.7709901450143661
v_Fencing_g05_c01: 0.8336037761473563
v_Fencing_g05_c02: 0.8588887561054435
v_Fencing_g05_c03: 0.8035498094686773
v_Fencing_g05_c04: 0.782132307154825
v_Fencing_g05_c05: 0.8321741615363862
v_Fencing_g06_c01: 0.7311809496895876
v_Fencing_g06_c02: 0.7788741766416933
v_Fencing_g06_c03: 0.6218558401742484
v_Fencing_g06_c04: 0.8303413703979459
v_Fencing_g07_c01: 0.7453559467976447
v_Fencing_g07_c02: 0.6269155764894094
