Loaded /home/acb11711tx/lzq/ExpEval/exe_res/sthsthv2_r2p1d_g_full_test.pt
145719: 0.45326122803271574
146631: 0.3605327698351175
63163: 0.0009042194764674605
202581: 0.13153146485001344
33079: 0.234382185182767
162835: 0.048845632234588265
45213: 0.02030905105129932
893: 0.16064441799608176
101217: 0.05297326272193459
68709: 0.016647171874637934
160220: 0.6838194390766148
193490: 0.3441929333275766
206028: 0.006007006759318756
171527: 0.8131374243403116
95431: 0.003758618277061032
95949: 0.36856166941288393
220461: 0.19432449632768112
200057: 0.05564772986861044
97085: 0.07052400112297619
47610: 0.0006515621598737198
181793: 0.04596309323096648
123709: 0.005655589995058108
73565: 0.014769759862247156
151270: 0.12153314814349869
129592: 0.2869416755056591
128494: 0.7727911647416477
145958: 0.014793729584198445
164659: 0.044401999131878256
198342: 0.005975895692245103
24023: 0.035655789555676165
5532: 0.08767434789479012
191418: 0.005615374176898058
207874: 0.048576281435089186
190482: 0.10331921467150096
47613: 0.00017485607571643413
142506: 0.00601510774322378
111318: 0.2928510977744736
114264: 0.009444378098123707
192597: 0.05714016289130086
78062: 0.06278610430854314
132708: 0.13705708453198895
112723: 0.004595414211507887
206077: 0.03822007260896498
214021: 0.2635258728187182
67692: 0.0030626404914073646
176333: 0.5071130176675069
9373: 0.1874410292803077
128081: 0.014159094951537554
8444: 0.02479721729105222
160198: 0.23248454804706853
33525: 0.38249057014218124
187807: 0.009597680345905246
24441: 0.07098913967092813
198481: 0.955351394135505
98916: 0.043805925859487616
114265: 0.7620215330753126
10768: 0.007016532656052732
174741: 0.0019950753412558697
115530: 0.66623179376802
172284: 0.05497553212080675
162876: 0.11833341628152994
8445: 0.321631589134995
110043: 0.030374105961527675
1694: 0.8439815255569556
54977: 0.2090075324049394
178202: 0.016831055232614744
95108: 0.820205659885687
212969: 0.11929179299113457
135196: 0.3091887869322818
141975: 0.23201087807501608
17202: 0.0002807658906931465
148848: 0.021302024959368282
2060: 0.0005182491283903801
188919: 0.10504213397507556
22357: 0.2306393472426862
64089: 0.5294756120438251
68883: 0.33247759978985414
179063: 0.31019079334510025
214793: 0.646780454679174
631: 0.04706962753152766
131466: 0.7604560167528689
185267: 0.09759992224280722
67512: 0.06070315919350833
64031: 0.24685359200884704
101323: 0.06555517170636449
139224: 0.06184272082464304
206775: 0.07537339150439948
55758: 0.36262447447006707
178806: 0.020269389438908547
38951: 0.23796997415774968
111220: 0.47895643919218855
47357: 0.24481999221097794
139250: 0.0026353728847912095
177197: 0.013933475624071434
175664: 0.14308486477966653
33679: 0.1756578819185961
6357: 0.2831159154065972
205364: 0.7734846762705274
199597: 0.023784094084476237
195930: 0.3142863383254735
27300: 0.20505630461411783
13187: 0.07245748833520338
111324: 0.10050159291859018
128292: 0.002700489232665859
171019: 0.013049273021124463
41263: 0.25728615270054433
116055: 0.01801571649230027
185504: 0.808922857791913
204813: 0.2409822472018277
113076: 0.5372956940573204
108618: 0.025070855423109606
33231: 0.7818758565008466
214974: 0.4105477896027878
110371: 0.11513543332694098
118694: 0.2457485754857771
4949: 0.041031510052562226
148805: 0.024830682879837696
86201: 0.8849756708368659
16369: 0.22889648545606178
85207: 0.36077576184106874
59063: 0.052095757506322116
108589: 0.31617426517186686
140464: 0.03349892938240373
63757: 0.011469393142760964
126522: 0.08923528439481743
103941: 0.003555490216058388
202780: 0.0006027744011589675
42455: 0.166169007676217
11747: 0.003928862111933995
130929: 0.043047358696640003
94196: 0.38857442389416974
62715: 0.039788226731616305
151963: 0.2853616455795418
47092: 0.013129581595421769
188772: 0.04681856361639802
143509: 0.5863593091944495
142966: 0.3010547286721703
196208: 0.0003180909628355266
32036: 0.1355508905107854
83546: 0.22137308273886447
163062: 0.322368014814856
102714: 0.29274362981777813
209669: 0.006769028383132536
3160: 0.8311544400639832
219137: 0.0004508189426815079
192999: 0.0013124063113991724
189956: 0.6602445646203705
214386: 0.0057085377720795805
181779: 0.8316434769749321
80543: 0.05238279177501681
142613: 0.005560502904700115
16243: 0.07670186562063463
158456: 0.15708328557593632
39615: 0.08423629105163855
143141: 0.8695968806750898
76070: 0.22722834338856046
55254: 0.011887156393640907
213844: 0.6669205673970282
15422: 0.8793044330086559
108505: 0.8229284622375417
150230: 0.05411566924885847
51847: 0.024028307572734775
37985: 0.0020375952481117565
65595: 0.2400552274666552
1027: 0.0003256961463193875
5880: 0.24652217614857364
142521: 0.0072584000445203856
146053: 0.07614834189007524
193859: 0.016404636171955644
39506: 0.05008822110903566
1425: 0.23322969273431227
116233: 0.23528196433471749
89783: 0.013832040614943253
166887: 0.27660151018244505
152367: 0.9280974164612417
163353: 0.21934269856501487
207003: 0.26860373419185635
5690: 0.8679347696470359
27809: 0.3640146481193369
6010: 0.04902886574564036
108987: 0.26794931867334526
135839: 0.7275323178982944
8318: 0.11063115102297161
31255: 0.8635112244028278
78843: 0.3170799358995282
205927: 0.7237145909311948
180173: 0.004163140409218613
156041: 0.8402651920223434
110857: 0.0015558675086992935
219973: 0.01012475234165322
5903: 0.15188231168758648
189608: 0.3872780994461209
92150: 0.325730888707767
39793: 0.07197643353720196
172789: 0.2535756171637331
89166: 0.898393715313432
114672: 0.393012836942944
26625: 0.06932227512879763
102091: 0.20961157464262214
103776: 0.07176976897244458
134471: 0.8297119033995841
110477: 0.07288178535600309
151631: 0.0011504737049108371
127957: 0.6348004647752532
190947: 0.17179941168433288
148396: 0.04881456515431637
26002: 0.5185827846962638
198536: 0.3634133964533248
53648: 0.28745212264038855
184038: 0.011932006247661775
173361: 0.31743049713440996
63680: 0.22745508411026094
32897: 0.005004094573450857
22286: 0.020942309347447008
91162: 0.013537306163925678
70771: 0.2303642671504349
191175: 0.0031698785460321233
54357: 0.5414487842826929
101585: 0.30391440046696516
202198: 0.13611898238013964
48204: 0.002445779067784315
135321: 0.4378493969088595
25192: 0.0013857485364496824
178515: 0.2705367424478027
132074: 0.9430464634206146
76426: 0.11143525796433096
136491: 0.19564711165730841
170213: 0.001612783000818574
166599: 0.20419511142608826
127611: 0.32831989937767503
206857: 0.9311736468225718
192169: 0.4045715286720224
200689: 0.03504458692623302
152453: 0.003595841159039992
100646: 0.6647053708802559
63548: 0.0027094176130049163
119171: 0.1691868424641143
101335: 0.05850664026547747
101885: 0.19480466860113665
123574: 0.009130359372647945
120180: 0.20241387737041805
54100: 0.17577629074366996
109978: 0.04140502638256294
17491: 0.34233559308086114
113132: 0.015482308532227762
46296: 0.020402102720254334
26004: 0.8533765760257666
161551: 0.003075689590332331
92938: 0.009578995249171385
64934: 0.3882760202159261
21639: 0.42161728413520905
78475: 0.0007908860861789435
108951: 0.19306610127387103
119055: 0.002446226961183129
44412: 0.10450069308353704
202336: 0.192703203898418
48861: 0.0032230802053732077
169306: 0.04380334911547834
64726: 0.11358999827643856
165103: 0.03644011244250578
65914: 0.04391507491163793
86235: 0.00964396241461607
114147: 0.22445246933421004
184963: 0.08450402067501273
81572: 0.5687069314080873
98700: 0.38235777168301865
26724: 0.00013880284438982926
2137: 0.015296247947844677
35908: 0.044542000296132755
45726: 0.13415264694413054
151326: 0.5211306045530364
67800: 0.24026449461234733
113305: 0.8467068024201581
15941: 0.6664359774913464
115924: 0.14977177669061348
3003: 0.0026322067460569087
131120: 0.0020757880338351242
139497: 0.3645991566882003
167308: 0.035732520460442174
210275: 0.6152633345354843
20943: 0.173177512770053
135982: 0.6925869426231657
11360: 0.6409068335051415
216434: 0.8935698796303768
57704: 0.04598912908841157
98035: 0.0007837164330339874
149505: 0.07092195034420001
112080: 0.6355344650091865
75918: 0.507690341795751
156566: 0.31051241600653157
208322: 0.040796662116918014
157810: 0.7622319683905516
198617: 0.3085950639542716
109239: 0.06366413957584882
135785: 0.7703197028968134
387: 0.6956457252836117
205794: 0.2880055356217781
114030: 0.2570212070713751
36585: 0.493641720386222
198804: 0.679789299305412
161450: 0.18938259775313782
4270: 0.05939021165249869
54595: 0.16738500538122025
87900: 0.07308230426860973
213902: 0.20857911351595249
208891: 0.04182173923800292
214847: 0.2802242657417082
126013: 0.8781465988140553
19766: 0.0002303513118704359
211776: 0.09814520691361395
215515: 0.15407959586082143
136901: 0.337888911491973
131012: 0.07658887719480845
21979: 0.00024145401374653375
43636: 0.19679838902084157
168639: 0.22736355946108233
147947: 0.013871138246031478
64823: 0.02211309125414118
102853: 0.028288875890211784
64910: 0.7456262968953524
71433: 0.06568443420837866
84145: 0.76534746786092
174205: 0.8338046954486344
122269: 0.008768663661612663
181337: 0.0015257344603014644
122018: 0.3419100528481067
130900: 0.33584408242677455
174056: 0.7881057752983907
14314: 0.018074016599712195
161938: 0.0023619743769813795
157723: 0.0006599463031307096
79521: 0.7711007104262535
76782: 0.007958188256452559
28803: 0.0067545921956480015
107092: 0.10531063509370142
115694: 0.3118095502140932
102120: 0.20882990224345122
9668: 0.39220872059377143
28005: 0.08517876363475807
2970: 0.0034325496599194594
206935: 0.0009124797516051331
69952: 0.2360456971800886
160396: 0.4469015870563453
80240: 0.04549333762770402
9254: 0.4737889213811286
156862: 0.06756219063026947
126799: 0.005289445583912311
98251: 0.6753514427000482
90413: 0.11480242868128698
127410: 0.09115733103317325
32472: 0.13174653811438475
93316: 0.005134372961038025
31139: 0.5242351226988831
34688: 0.3473923072542675
182466: 0.7098069353232859
206480: 0.06677516423587804
109488: 0.036595272526028566
206039: 0.01450936831679428
154208: 0.0027518531533132773
136037: 0.08975525119785743
42148: 0.4923803949950525
107976: 0.1014520604039717
19088: 0.004961129056027858
56440: 0.17112733390240464
62609: 0.04054224182618782
88011: 0.008543122788978508
8233: 0.6633864309187629
145547: 0.30961247633604216
131243: 0.8518877467613493
213998: 0.003000699682161212
209962: 0.33294629234114836
70366: 0.27475338195290533
216476: 0.01170850271716839
621: 0.9246819817926735
3043: 0.8799917790311156
90590: 0.037174617616983596
216515: 0.055267242452828214
81964: 0.033478101608125144
154473: 0.14991308077696885
