Loaded /home/acb11711tx/lzq/ExpEval/exe_res/sthsthv2_r50l_perturb_full_test_summed.pt
Use 4 GPUs!
139242: 0.0735191708725722
208136: 0.001252224786319367
77933: 0.777574317218222
60678: 0.0017726765210168693
125118: 0.5537082306984757
133738: 0.022147707342941025
104179: 0.0007175709052544832
141930: 0.4196768117979346
58849: 0.07981087585189783
9116: 0.0002515149287711793
18518: 0.2190934859387994
208019: 0.00030135130158992496
59701: 0.22443511256987136
160867: 0.001428878281555186
120824: 0.792046957601598
19680: 0.453113469427058
206826: 0.014332513972607153
79321: 0.00084720987914369
89328: 0.12627125099004746
117570: 0.06904901355203252
170391: 0.000464104454955816
70174: 0.3605036021440538
182726: 0.44449622888220297
215032: 0.3089807512876064
52914: 0.005180419042407208
130003: 0.0008935532104935673
62316: 0.4145909532812766
118582: 0.7020292045463744
75836: 0.00010835342912618451
31938: 0.4646791142820863
13332: 0.13314129245898507
25472: 0.11992900866696374
87638: 0.00012309678416102393
148093: 0.8928917916646018
201342: 0.00020367380600734753
113500: 0.5032874850965587
121337: 0.5720972416127362
199113: 0.3742412753011434
67174: 0.30804628448570137
63822: 2.8393660753994743e-05
88299: 0.007050950150921054
47054: 0.0002344612367251031
113521: 0.9124547890541865
61572: 0.0015962454555508987
49072: 0.02658961859689868
185945: 0.2708967895426908
186837: 0.6115643431800893
12229: 3.881117728710137e-05
2417: 0.29235506338908834
23262: 0.00031547630234567137
89019: 0.6230201710854999
87604: 0.5915785412212244
32140: 0.42663639617939
34102: 0.04051674425611261
12384: 0.00030647200735510916
43126: 0.3211973253160627
99563: 0.5496875232925049
209593: 0.9451502624587877
131967: 0.00042088940159290544
60661: 0.002629939096518541
108981: 0.2601073029280485
23892: 0.015162478555086886
216042: 0.4891858617718814
131932: 0.01155057381264335
33321: 0.016537914303164314
123713: 0.07256066330563726
106189: 0.5641304847920575
161541: 0.7136650082791486
41066: 0.00631330756832682
143962: 0.08644904309738877
211702: 0.16251656198761477
69496: 0.14566432114847316
120137: 0.4425738785825999
146838: 0.7871322901442559
139484: 0.0019603895642530413
80618: 0.3697999431457788
171217: 0.03940871641040289
194058: 0.005842419912068658
89503: 0.43441612065450985
28135: 0.0011518352420556432
17011: 0.0001203883449445442
216098: 0.011524674376680366
10928: 0.012060574157196413
200339: 0.21043716709138816
166206: 3.2349140173346114e-05
33257: 0.23710753176374055
133827: 0.7626824342091086
142266: 0.2455169469130145
149237: 0.4124472040125511
172312: 0.635516348146734
133644: 0.08347345394988231
104742: 0.02139974525820776
40297: 0.0070619748850564434
200020: 0.3825344842157575
100087: 0.21740155843125564
43819: 0.018838574435291133
77468: 0.00021525104666697548
13147: 0.021271994559995733
88931: 0.0024962423572665315
152557: 0.006530717242464235
32811: 0.3622279991497479
19952: 0.0035786844485715397
173875: 0.3796768835745752
60672: 0.052612155451976506
53345: 0.07476837323309837
75123: 0.5881396002051357
64506: 0.2793519767180286
190624: 0.5458035588674193
76109: 0.0007603810063230299
52261: 0.0002372084975471797
179142: 0.007580938930999537
184118: 0.5796205419023863
4820: 0.6749846894667826
111036: 0.5164295580002727
106612: 0.7132522960939444
174184: 0.39383068654185915
24705: 0.22713109139056445
6036: 0.00014932089677763272
144159: 0.43964990567428686
135962: 0.6545790602368239
22001: 0.6239611223284101
182789: 0.48677656881520515
8542: 0.0452719088352751
120231: 0.002759087509165453
120106: 0.6060792337079874
150146: 0.007182734962061732
35052: 0.010902383051409004
215270: 0.2530364918000547
210804: 0.8874560955600603
114154: 0.10505947725412199
144885: 0.27966159711738814
26495: 0.024452085138152668
12679: 0.08913921951436565
136579: 0.37616148075519884
166038: 0.19231944877154014
120224: 0.01181483657440019
117478: 0.3646482517434775
2645: 0.7926633349384429
102701: 0.35229013982036694
65522: 0.2247527001259369
104759: 0.010464142932069154
185472: 0.04888778168717388
52343: 0.3045187828511867
63061: 0.0005169398526447821
69266: 0.0029345813660872845
15065: 0.006551093631742333
164385: 0.3064801664205774
214198: 0.14704252482199653
141825: 0.02885012428136946
79237: 0.38446901448080306
98360: 0.0032009385563734616
190983: 0.10012970991136075
215561: 0.521721774849705
112088: 0.0011347881455243958
185634: 0.35221612522746604
105526: 0.24307956090831698
142963: 0.005341271294469152
99639: 0.019009984996754742
170439: 0.0007283116516720867
104561: 0.03434903724669413
36308: 0.015650092376308822
205405: 0.3893142037551869
46363: 0.0048045354093275705
25859: 0.48268971139577843
136695: 0.016953405919523323
106474: 0.46458810587844634
67433: 0.5175807970520054
40719: 0.6464014648367993
133807: 0.0721268699250448
72232: 0.7737213051979623
199158: 0.004507333639939076
18154: 0.0017858044531884332
139430: 0.2423196010759735
12055: 0.4033360047901624
150588: 0.3097590331783522
166796: 0.009337020171045651
16836: 0.09503954478893803
91959: 3.402022466349468e-05
74732: 0.000561222213132595
92505: 0.0001512858538834927
85694: 0.046855820546340965
42068: 0.23388729699900068
74665: 0.4402402934754529
138967: 0.07076935817331709
215853: 0.14574176070186695
174854: 0.0022322451295515855
125224: 0.23770413081529718
79045: 0.1009439331234745
91210: 0.046887917643997884
145719: 5.595106991756614e-05
146631: 0.2377893704735673
63163: 0.010431893551104077
202581: 0.1655053301466822
33079: 0.045981258765095845
162835: 0.5094853059842563
45213: 0.0035827467342702674
893: 0.00231634315754381
101217: 0.015389893804029775
68709: 3.0706271567525114e-06
160220: 0.3348539379799149
193490: 0.3803003394391636
206028: 0.0001235956104711888
171527: 0.3980071532018812
95431: 0.0032731752410893877
95949: 0.001959705916816823
220461: 0.15704139667994163
200057: 0.6172430650432787
97085: 0.1361072025405693
47610: 0.36175477897603514
181793: 0.05009173821536628
123709: 0.025710777158128695
73565: 0.06324681651787821
151270: 0.024123656789242887
129592: 0.04476686375808875
128494: 0.09168769618509032
145958: 0.0026951437105680043
164659: 0.00048567661846732335
198342: 0.006414865503682421
24023: 0.029932692891979
5532: 0.014192391477058947
191418: 0.00019982549850186548
207874: 0.012619377733212644
190482: 0.295642411191011
47613: 7.093188162612257e-05
142506: 4.137725869476916e-05
111318: 0.08121881410968776
114264: 0.004083383846086974
192597: 0.7077793462822004
78062: 0.009582330353239854
132708: 0.5562534249608717
112723: 0.04700290571753385
206077: 0.0254733022747817
214021: 0.18059759556581734
67692: 0.02184318835833393
176333: 0.44057622055259604
9373: 0.6280553272914053
128081: 0.3802398998269567
8444: 6.355339034813667e-05
160198: 0.45328573086186363
33525: 0.22098799156064075
187807: 0.15178558393169972
24441: 0.321199763218057
198481: 0.38669002265669405
98916: 0.01341712477030832
114265: 0.5897632412756312
10768: 8.824577642702058e-06
174741: 3.891789508436716e-05
115530: 0.14110865550154728
172284: 0.3076704737866559
162876: 0.11278260168195953
8445: 0.09114101007133257
110043: 0.018503233323556856
1694: 0.49361480622928156
54977: 9.556286697476324e-05
178202: 0.02786524773916843
95108: 0.6384345808905891
212969: 0.13296979468325143
135196: 0.13144967997822476
141975: 0.08509028668672158
17202: 0.00019567430026246058
148848: 0.00011776985485120739
2060: 0.1926169223524674
188919: 0.10077139051281847
22357: 0.2812588267308659
64089: 0.4558940930393718
68883: 0.8312541635229564
179063: 0.08520647642330914
214793: 0.7355787751401105
631: 0.43226722983673516
131466: 0.3589028555434197
185267: 0.013420277694876859
67512: 0.07968177554198519
64031: 0.058622837187815344
101323: 0.22028739532665753
139224: 0.26896879481523683
206775: 0.02634956684437384
55758: 0.42230771470824247
178806: 0.11696876550441004
38951: 0.03982682998343989
111220: 0.251162592055861
47357: 9.555074179878886e-06
139250: 0.08044139119499863
177197: 0.003952510578528745
175664: 0.2977309069511417
33679: 0.07927687620394863
6357: 0.0012904998439751125
205364: 0.651847958298985
199597: 0.7371380097567297
195930: 0.5043530791986646
27300: 0.01871374978192769
13187: 0.393467538495031
111324: 0.7834493372038874
128292: 0.00022297599326215334
171019: 0.002100256237735826
41263: 0.0010075409928864687
116055: 0.0009652635429517886
185504: 0.01024730963354159
204813: 0.0002054498926611359
113076: 0.2592231612190361
108618: 0.0022122790842011852
33231: 0.6145521548019133
214974: 0.47299772327804845
110371: 0.07174592629763232
118694: 0.5825153591520635
4949: 0.7490176871334139
148805: 0.004735189439975612
86201: 0.8136967476457357
16369: 0.2796576331743381
85207: 0.037031575494367974
59063: 0.000942127927928027
108589: 0.7706022546570299
140464: 0.00021105664458787032
63757: 0.0001325192291634636
126522: 0.533339626193051
103941: 0.0021170375787734237
202780: 4.964218942035692e-05
42455: 0.0800840898930094
11747: 0.3307267052269477
130929: 0.11873322625531235
94196: 0.018501739901295444
62715: 0.000294655886238337
151963: 0.2263000399351971
47092: 0.0001983446173454695
188772: 0.00042681410397769903
143509: 0.00794407350939963
142966: 0.11709193833680143
196208: 0.0002756252852584573
32036: 0.3171436609223397
83546: 0.07185766874620303
163062: 0.48191817804852266
102714: 0.002915392267258482
209669: 0.5508149131355597
3160: 0.5527493101544678
219137: 0.07149061028846049
192999: 0.0012524412701431509
189956: 0.9016422223443615
214386: 0.002609436531010033
181779: 0.8977347609723249
80543: 0.0006458610361765871
142613: 0.014861302603971893
16243: 0.012252177266276476
158456: 0.00022618113040140386
39615: 0.529046859357253
143141: 0.5329990579189143
76070: 0.18775726005444293
55254: 0.03505121901220587
213844: 0.044997117856837576
15422: 0.7257536735851318
108505: 0.20699346941108418
150230: 0.0052713347467943095
51847: 0.002521348095018361
37985: 0.02331437827827021
65595: 0.6798708238617781
1027: 0.00045040238260305593
5880: 0.1412510056642735
142521: 0.0947145315932616
146053: 0.2178625170255586
193859: 0.020769906021314455
39506: 0.28979450266817575
1425: 0.22012251449604037
116233: 0.16082545865767323
89783: 0.00239570491511909
166887: 0.8780461021335058
152367: 0.609449027469509
163353: 0.3753705635973743
207003: 0.5824418227132355
5690: 0.8002986438982518
27809: 0.4933478766763528
6010: 0.2247989781610613
108987: 0.1258797034753334
135839: 0.47915040638738
8318: 0.003461442042087981
31255: 0.899560212823216
78843: 0.825842394043298
205927: 0.5111113055132241
180173: 0.3729984832616313
156041: 0.6718292840664617
110857: 1.839742251693796e-05
219973: 0.004634113623398939
5903: 0.011007865272203293
189608: 0.23200157972061997
92150: 0.02815010907481552
39793: 0.020619158437479967
172789: 0.1216398933584738
89166: 0.3877839822230271
114672: 0.3094540699924676
26625: 0.10211752626097198
102091: 0.2032180302268385
103776: 0.21594660485172634
134471: 0.5764941870143048
110477: 0.0014587504836766074
151631: 0.0002924688345586901
127957: 0.21325752874280823
190947: 0.8846340665271956
148396: 0.030172558570461944
26002: 0.7014838454449811
198536: 0.0002206810040563667
53648: 0.0008824564951456226
184038: 0.002064582699901951
173361: 0.002068430945193711
63680: 0.03283560472814173
32897: 0.021983297285059183
22286: 0.0060395163224740145
91162: 2.8502044303491125e-05
70771: 0.017213845048192775
191175: 8.467330566475084e-06
54357: 0.41215716157616367
101585: 0.43228184561284166
202198: 0.4568277080066414
48204: 0.012794458601508796
135321: 0.01865222575263248
25192: 0.008187939986640913
178515: 7.04331872683206e-05
132074: 0.8669812201987952
76426: 0.02278104912995904
136491: 0.4608429166546557
170213: 0.06467070759771332
166599: 0.012552490279018724
127611: 0.004077023783338518
206857: 0.9737236457876861
192169: 0.13429156477994106
200689: 0.028087479424996786
152453: 0.00032703531173086664
100646: 0.7130105974296558
63548: 2.6911807518320563e-05
119171: 0.00023789421864295335
101335: 0.17271861547103903
101885: 0.10604318089627363
123574: 0.0006710263575573083
120180: 0.05357629308686995
54100: 0.001744413616070306
109978: 5.384240661507103e-05
17491: 0.48156923075637603
113132: 0.05883235517085694
46296: 0.048823802506507086
26004: 0.12311129587715186
161551: 0.0028252523276979247
92938: 0.002476416075427146
64934: 0.03639532650175073
21639: 0.04004454838995031
78475: 0.18303213498410287
108951: 0.010992914385724362
