Loaded /home/acb11711tx/lzq/ExpEval/exe_res/sthsthv2_r50l_g_full_test.pt
60672: 0.013241753689550606
53345: 0.014864813026804313
75123: 0.6940156883475307
64506: 0.13646866103561736
190624: 0.40408165458961776
76109: 0.004356752104278883
52261: 2.621783105859199e-06
179142: 0.009074600595425864
184118: 0.7881197946985594
4820: 0.6462080438063822
111036: 0.5996348406884136
106612: 0.5306967994012869
174184: 0.5343391892636457
24705: 0.3625897097930455
6036: 1.4607250047399267e-05
144159: 0.6627593297885142
135962: 0.7235741187733534
22001: 0.4611690655294751
182789: 0.303892322704289
8542: 0.060673462197883055
120231: 0.008623975938807177
120106: 0.5715745220800272
150146: 0.1440545329260386
35052: 0.007603497862412212
215270: 0.498333655524954
210804: 0.35485014949606497
114154: 0.02402333424922773
144885: 0.24874636660476912
26495: 0.0011260650324107502
12679: 0.6403781810321765
136579: 0.2824074574416765
166038: 0.38476138907915736
120224: 0.1506436208017714
117478: 0.3410011818124472
2645: 0.7120259395565154
102701: 0.34760184707859143
65522: 0.2968882081863922
104759: 0.03951250009096846
185472: 0.12931026507178311
52343: 0.5494510171384487
63061: 0.005476232446056883
69266: 0.0004250193875739095
15065: 0.056577853137014245
164385: 0.1810325653406366
214198: 0.2358332395627497
141825: 0.07916931162449004
79237: 0.29497839219877486
98360: 0.005220683388442143
190983: 0.20695559061767102
215561: 0.01502971085499924
112088: 0.0004456185207040442
185634: 0.38689374992991965
105526: 0.4125651299085611
142963: 0.0003762831396443289
99639: 0.01594154719694338
170439: 0.0004352221382379895
104561: 0.02039426742671923
36308: 0.0030926063041261664
205405: 0.014641696819292366
46363: 1.1105503851638332e-05
25859: 0.6967685847916982
136695: 0.019095177757592285
106474: 0.6119146349044778
67433: 0.7690315741058384
40719: 0.7134518622328869
133807: 0.5845143244347799
72232: 0.4230664051239572
199158: 0.0030151960849061077
18154: 0.00011835025471995664
139430: 0.37801107992443084
12055: 0.1930904849136823
150588: 0.2582515899887312
166796: 0.0038790391471081875
16836: 0.29681812801752616
91959: 0.00015557143396751076
74732: 0.0010348532351649453
92505: 2.267771693634235e-05
85694: 0.06454158780951502
42068: 0.21621449002077497
74665: 0.47781580659991885
138967: 0.05272538934678472
215853: 0.12458686527702412
174854: 0.0003918511392733415
125224: 0.37489262502077203
79045: 0.03004097274852313
91210: 0.06355522406718514
145719: 8.987213696738704e-06
146631: 0.20852748340005045
63163: 0.0028429687110114177
202581: 0.5606737239970088
33079: 0.10325111509882845
162835: 0.558459462363956
45213: 3.2656816717144266e-05
893: 0.0025970789389601068
101217: 0.002286812192113352
68709: 1.007953654529178e-06
160220: 0.25328644191858984
193490: 0.33915090201164283
206028: 0.00015304081430726475
171527: 0.3702767478712232
95431: 0.0008483963004676243
95949: 0.08411118151212715
220461: 0.340614493670527
200057: 0.4053535596569262
97085: 0.48949330664747237
47610: 0.285373036021781
181793: 0.016857356167117032
123709: 0.031694645771967844
73565: 0.04354050022559229
151270: 0.06844329763430324
129592: 0.13107565971684615
128494: 0.3600190748834393
145958: 0.0032585240190172726
164659: 0.0022351440141790135
198342: 2.596365145990376e-06
24023: 0.019392306230091833
5532: 0.004886589303146421
191418: 0.0017988155842694475
207874: 0.031483841747981245
190482: 0.5100359971113448
47613: 8.646330082042603e-05
142506: 5.9975264415645935e-06
111318: 0.19098517075670238
114264: 0.0031203315770156337
192597: 0.48304608302803476
78062: 0.007616663232127507
132708: 0.24108112521817304
112723: 0.05452364470664861
206077: 0.03302895468457365
214021: 0.003859860285050254
67692: 0.00030751520870536567
176333: 0.31028121213165183
9373: 0.607938223237908
128081: 0.2486451674232015
8444: 8.90107946109886e-05
160198: 0.24617523648663475
33525: 0.6420270513188271
187807: 0.37277491553474995
24441: 0.0005133583919374185
198481: 0.9769739827606827
98916: 0.12266557945283729
114265: 0.7356917433584559
10768: 4.003750084699553e-05
174741: 1.486814760376376e-05
115530: 0.3436063017141251
172284: 0.3303164241040387
162876: 0.062177341846239464
8445: 0.02607170342951548
110043: 0.01276947883771129
1694: 0.3298918142859222
54977: 0.002551286186119217
178202: 0.04139899270019176
95108: 0.8844872036856941
212969: 0.1818829755113459
135196: 0.20693136299404813
141975: 0.1144825440195234
17202: 0.000511544836986566
148848: 0.0002753536726326222
2060: 0.4541509277559861
188919: 0.3106784379633609
22357: 0.2967368118745274
64089: 0.3238529069450877
68883: 0.5889121086790539
179063: 0.06443286446051388
214793: 0.6811181304181256
631: 0.0331482326801151
131466: 0.7351156014483422
185267: 0.005382117303724954
67512: 0.017541921706879293
64031: 0.10151518520908419
101323: 0.28800174376205945
139224: 0.2971320490762537
206775: 0.05350049954381575
55758: 0.47357006359854703
178806: 0.18379621172671534
38951: 0.058865067614760846
111220: 0.3704782758975663
47357: 0.0005612413798781191
139250: 0.24107862832659424
177197: 0.00040286800867761485
175664: 0.7645706674930576
33679: 0.19273348306887783
6357: 0.00021041666340693155
205364: 0.5463061330044904
199597: 0.7668322093188025
195930: 0.17638369202501192
27300: 0.020235232845625506
13187: 0.3165298332166344
111324: 0.6890108439520869
128292: 0.0012864565153964946
171019: 0.010799792095621902
41263: 4.163193479733707e-06
116055: 0.01466803092020541
185504: 0.4031748240226989
204813: 0.0002693527657413597
113076: 0.15664024460164258
108618: 0.0007980159870975001
33231: 0.6048507836089811
214974: 0.6307014209594755
110371: 0.048270465589490996
118694: 0.22803092025588434
4949: 0.30519572048531207
148805: 0.0005937911418871511
86201: 0.9751154240220785
16369: 0.47925216065732457
85207: 0.10072673057850112
59063: 0.0013387883405897583
108589: 0.5083236978332994
140464: 0.0005801520336206067
63757: 0.00012054495288715827
126522: 0.293620592951779
103941: 0.0005778669531538334
202780: 6.783405160235012e-05
42455: 0.05239474098673079
11747: 0.10374917808537665
130929: 0.09009215135945359
94196: 0.03228656011520936
62715: 8.965600601340502e-05
151963: 0.3147532284737484
47092: 0.0003456326131328069
188772: 0.00041256108508812284
143509: 0.004405244234924055
142966: 0.32268978603692045
196208: 0.0002162307119313034
32036: 0.2960412622883828
83546: 0.07412858336040362
163062: 0.36101724907437105
102714: 0.008523870362640934
209669: 0.18482214353659884
3160: 0.9778595310635865
219137: 0.06672074113972926
192999: 0.0019280762168172594
189956: 0.3911996673936474
214386: 0.004388187211397053
181779: 0.8330423829281964
80543: 0.0003945886921461472
142613: 0.007241135616791183
16243: 0.01642057594457924
158456: 0.0005810346764154595
39615: 0.596125568959609
143141: 0.776288468986877
76070: 0.414740092009399
55254: 0.15657683446592596
213844: 0.11352061797151691
15422: 0.9415092554409057
108505: 0.05171140786404324
150230: 0.0021233610677882098
51847: 0.015697467050034497
37985: 0.02482029707910105
65595: 0.7237030663506392
1027: 0.0005823848776800103
5880: 0.0201785904018128
142521: 0.011970462195812104
146053: 0.15098866858729565
193859: 0.022250755481081796
39506: 0.08357842814186577
1425: 0.08366783542413714
116233: 0.3827506129860195
89783: 0.005595702971635141
166887: 0.8103702731997899
152367: 0.68631327002322
163353: 0.182307423681908
207003: 0.3010678450521027
5690: 0.21984085221219374
27809: 0.48956730306986174
6010: 0.34980684597417167
108987: 0.30546441526541823
135839: 0.7559288063316854
