Loaded /home/acb11711tx/lzq/ExpEval/exe_res/sthsthv2_r2p1d_perturb_full_test_summed.pt
55758: 0.3444730123919726
178806: 0.04098849481670186
38951: 0.26668612110370304
111220: 0.47624672263373213
47357: 0.2011448526645836
139250: 0.0010419388657769701
177197: 0.0025414408009964973
175664: 0.48686535255546914
33679: 0.10723130268161185
6357: 0.2057489821800118
205364: 0.7069303683329053
199597: 0.012918985974465613
195930: 0.463963644739124
27300: 0.20735814658837626
13187: 0.19507817522389814
111324: 0.4102385153018986
128292: 0.0346788279566681
171019: 0.0052863007556425146
41263: 0.2823792015115032
116055: 0.02313601252353692
185504: 0.7070324726410036
204813: 0.33155466398420685
113076: 0.6941745230597007
108618: 0.014155374869005755
33231: 0.8995420414030377
214974: 0.7355273630910233
110371: 0.13567483628867194
118694: 0.4609247107873671
4949: 0.24729058933007764
148805: 0.2531637965948903
86201: 0.5193667402490973
16369: 0.614575581439567
85207: 0.38045134448839235
59063: 0.23710882075829431
108589: 0.5891678893822245
140464: 0.022285159246166586
63757: 0.011541240022779675
126522: 0.052800015575485304
103941: 0.0030847229527353193
202780: 0.0015194975630947738
42455: 0.2653535505705804
11747: 0.07016302512056427
130929: 0.19750184327858733
94196: 0.7786107386200456
62715: 0.04535956601102953
151963: 0.16217858886739123
47092: 0.007761537926853634
188772: 0.024232720857980894
143509: 0.5253419747332373
142966: 0.4334558076116082
196208: 0.0015126389992730083
32036: 0.18352872545074206
83546: 0.22390398536299472
163062: 0.7543069610619568
102714: 0.27842644513111736
209669: 0.01512503939011367
3160: 0.49419376673176885
219137: 0.00038120164890642627
192999: 0.0002722853530485736
189956: 0.6322043939508148
214386: 0.003695861212690943
181779: 0.749306037914721
80543: 0.12830906583621982
142613: 0.0076685524836648256
16243: 0.059133404023668845
158456: 0.2652296550331812
39615: 0.16165032684875769
143141: 0.7967579185969953
76070: 0.2391896693916351
55254: 0.012558913778775604
213844: 0.24691235506907105
15422: 0.6698745728936046
108505: 0.863584432810967
150230: 0.04951232057646848
51847: 0.019031128660571994
37985: 0.0031534801128145773
65595: 0.4062311293564562
1027: 0.0011930947766813915
5880: 0.3473622082492511
142521: 0.00893906103738118
146053: 0.0812412458617473
193859: 0.004584235572565376
39506: 0.0584196577729017
1425: 0.3719720055232756
116233: 0.6206227294533164
89783: 0.07819670114622568
