Loaded /home/lzq/ExpEval/exe_res/sthsthv2_r2p1d_perturb_full_core11_test_summed.pt
139242: 0.001998285620175011
208136: 0.2726682366046589
77933: 0.7865819306971389
60678: 0.005242512230324792
125118: 0.46566752624494256
133738: 0.2544446539832279
104179: 0.02818844490684569
141930: 0.005312412784405751
58849: 0.3713569295214256
9116: 0.053800336201675236
18518: 0.08312117608875269
208019: 0.0956061101751402
59701: 0.36443238770152675
160867: 0.036489554651780054
120824: 0.23264430726703722
19680: 0.943217276580981
206826: 0.42141483805608004
79321: 0.06594685671188927
89328: 0.00702137984080764
117570: 0.04328288330725627
170391: 0.0016146172393405323
70174: 0.16245832770437119
182726: 0.07685250994836679
215032: 0.15528044544771546
52914: 0.012133284743683248
130003: 0.46929927308519837
62316: 0.8188994371327567
118582: 0.9535381727255299
75836: 0.11199892609147355
31938: 0.47938293252082076
13332: 0.14566464610106777
25472: 0.599664744688198
87638: 0.002237722965219291
148093: 0.843990312423557
201342: 0.00026036695356879136
113500: 0.852858550271776
121337: 0.46007100892893504
199113: 0.07444962122099241
67174: 0.31052270296640927
63822: 0.08826222205243539
88299: 0.0873197735127178
47054: 0.0076938577444707335
113521: 0.8857239948119968
61572: 0.34672576589218806
49072: 0.6866617871128256
185945: 0.01270786674649571
186837: 0.05654844803575543
12229: 0.1874633394254488
2417: 0.6108545283932472
23262: 0.0002762950229566741
89019: 0.8395283878489863
87604: 0.8693468060519081
32140: 0.16138937532377895
34102: 0.01404275312233949
12384: 0.002408057995580748
43126: 0.7399936470901594
99563: 0.7349677197344135
209593: 0.749753913609311
131967: 0.004972181358539274
60661: 0.0005486129175551469
108981: 0.017890723394884844
23892: 0.0003226825574529357
216042: 0.5055475122135249
131932: 0.0035280736119602807
33321: 0.513248898103484
123713: 0.7596381883922732
106189: 0.6578407374181552
161541: 0.44886205699003767
41066: 0.18909083036123775
143962: 0.15623219565895852
211702: 0.4301173858111724
69496: 0.15579567654822313
120137: 0.8014809265878284
146838: 0.8765478638233617
139484: 0.06314280006336048
80618: 0.31126016633061226
171217: 0.2670716666689259
194058: 0.0031049907265696675
89503: 0.9692259677685797
28135: 0.0030644934976749028
17011: 0.0257136665568396
216098: 0.015797160951478872
10928: 0.6981772738654399
200339: 0.22791132165730232
166206: 0.0019360192600288428
33257: 0.8254132516740356
133827: 0.7782685298152501
142266: 0.42078936338657513
149237: 0.15724656180827878
172312: 0.9178276316561096
133644: 0.09837842622437165
104742: 0.3817256539787195
40297: 0.019118874370178673
200020: 0.4920250504546857
100087: 0.4902553471711144
43819: 0.025438276665227022
77468: 0.0023029609219520353
13147: 0.017163053969852626
88931: 0.022628198062193405
152557: 0.0010975263176078442
32811: 0.24971238420766895
19952: 0.059434002308989875
173875: 0.7528198707877891
60672: 0.15027149732486578
53345: 0.17026417072338518
75123: 0.6356073404494964
64506: 0.2638256001700938
190624: 0.625248280375672
76109: 0.4042647066671634
52261: 0.112572079004849
179142: 0.044793977238441585
184118: 0.9517955442133825
4820: 0.9529195509094279
111036: 0.5366877281376219
106612: 0.10601999212667579
174184: 0.8185750118427677
24705: 0.2080452652025997
6036: 0.014883969430229627
144159: 0.4601928835909348
135962: 0.9712503387891047
22001: 0.6127568292649812
182789: 0.19927649942837888
8542: 0.02215953459381126
120231: 0.10773864438124292
120106: 0.9185785154986661
150146: 0.040121248670402565
35052: 0.6113829934183741
215270: 0.7313047776769963
210804: 0.979276408907026
114154: 0.7905324208550155
144885: 0.09353220571938436
26495: 0.004783948137628613
12679: 0.5409623785526492
136579: 0.5796874326624675
166038: 0.38168619577481877
120224: 0.0052340233414724935
117478: 0.46404462758800946
2645: 0.35325960908448906
102701: 0.45925399319821736
65522: 0.6404493061163521
104759: 0.026680933337047463
185472: 0.049464482559415046
52343: 0.43861742837543716
63061: 0.0032899950765568065
69266: 0.03637133876327425
15065: 0.6650734212889802
164385: 0.4899844267456501
214198: 0.3185903901103302
141825: 0.11742842416788335
79237: 0.3976851873812848
98360: 0.012758739219862036
190983: 0.0013145780267223017
215561: 0.001171305437310366
112088: 0.005396020309490268
185634: 0.12940292363782646
105526: 0.20476396967023902
142963: 0.4737960228085285
99639: 0.4463776939519448
170439: 0.003138777581625618
104561: 0.011852796684252098
36308: 0.1820013163414842
205405: 0.40691858636637335
46363: 0.03809240097689326
25859: 0.6252794913889375
136695: 0.48176009306916967
106474: 0.5011814730678452
67433: 0.6169642799286521
40719: 0.8224884636874776
133807: 0.14876968898170162
72232: 0.12815194148060982
199158: 0.00021614499746647198
18154: 0.3843523785544676
139430: 0.5372451797193207
12055: 0.6865366857186928
150588: 0.44214996883965796
166796: 0.05383046457609453
16836: 0.5822400324977934
91959: 0.14436755632050335
74732: 0.0006766916449123528
92505: 0.0003259753644968555
85694: 0.06590895689441822
42068: 0.7570161891344469
74665: 0.16089902333624195
138967: 0.3317366941992077
215853: 0.3013879307764
174854: 0.3102631646052032
125224: 0.8988698151733843
79045: 0.08139715308789164
91210: 0.41341581758752
145719: 0.2565996335906675
146631: 0.11371276176214451
63163: 0.00021920601184888255
202581: 0.006571591327883652
33079: 0.0789189851784613
162835: 0.004254703759215772
45213: 0.00403472959442297
893: 0.031414486082212534
101217: 0.036839313426753506
68709: 0.0155997413694422
160220: 0.5093704429164063
193490: 0.014373436840514842
206028: 0.02867723450617632
171527: 0.8554223128739977
95431: 0.009213341247232165
95949: 0.6191545074107125
220461: 0.32832228047482204
200057: 0.07308447756440728
97085: 0.4400654765922809
47610: 0.067469924557372
181793: 0.22379975848161848
123709: 0.1593645935972745
73565: 0.0025538672125549056
151270: 0.11321181340463227
129592: 0.09507056337679387
128494: 0.9174867674882989
145958: 0.00201556202955544
164659: 0.019965260000390117
198342: 0.05660254844042356
24023: 0.004895967986158212
5532: 0.9153530425392091
191418: 0.03503125746101432
207874: 0.045729687008133624
190482: 0.45395201993960654
47613: 0.000991666618574527
142506: 0.006750010363248293
111318: 0.3219259509787662
114264: 0.007111764727596892
192597: 0.10832352848956361
78062: 0.06595335991187312
132708: 0.011098867515102029
112723: 0.038078567464253865
206077: 0.41292893909849226
214021: 0.09600152542407159
67692: 0.0007408597955418372
176333: 0.5628091175058216
9373: 0.1604565380839631
128081: 0.0009122849032792146
8444: 0.023422802420100197
160198: 0.8480985226342455
33525: 0.6531245095629856
187807: 0.016863616372575052
24441: 0.00527521023832378
198481: 0.8870725188899087
98916: 0.0459371052638744
114265: 0.879120630925172
10768: 0.01402215710550081
174741: 0.018234551658679266
115530: 0.5770684291583166
172284: 0.19279656563594472
162876: 0.16138611020869575
8445: 0.5414395991392666
110043: 0.004977603220140736
1694: 0.8533191247988725
54977: 0.09549024637090042
178202: 0.2910396438855969
95108: 0.978978981700493
212969: 0.09623819540865952
135196: 0.17634154892584775
141975: 0.37402318671411194
17202: 0.002239235251181526
148848: 0.061295776220504194
2060: 0.0003205270290891349
188919: 0.3050294966378715
22357: 0.26274485488102073
64089: 0.2022295406968624
68883: 0.07718159107025713
179063: 0.21457435705087846
214793: 0.6728954127029283
631: 0.0005316205277381414
131466: 0.5351549973274814
185267: 0.14841845523915254
67512: 0.04342841893230798
64031: 0.23625318121776218
101323: 0.012803826884919545
139224: 0.002914758517363225
206775: 0.003024277027179778
55758: 0.17224054711550707
178806: 0.0040378355188295245
38951: 0.1487907839982654
111220: 0.6098898174677743
47357: 0.37387761552236043
139250: 0.00036858769720993223
177197: 0.0599561516137328
175664: 0.9571120625660114
33679: 0.3840966842544731
6357: 0.275578227798178
205364: 0.7327654192195041
199597: 0.0613496700716496
195930: 0.4710688948398456
27300: 0.5585614367191738
13187: 0.6728397416736698
111324: 0.9339562780987762
128292: 0.08822850592696341
171019: 0.00043379017279221443
41263: 0.10229607658038731
116055: 0.004013166015283787
185504: 0.8178641870326828
204813: 0.12962287964364805
113076: 0.5579587018764869
108618: 0.24710537470673444
33231: 0.8557524520147126
214974: 0.8620555132602021
110371: 0.1991787549413857
118694: 0.7035958444539574
4949: 0.38036730264502694
148805: 0.2570995697751641
86201: 0.5725061399425613
16369: 0.753831504349364
85207: 0.3443997733411379
59063: 0.013461311464197934
108589: 0.7522728646945325
140464: 0.002334688027985976
63757: 0.023548946337541565
126522: 0.01684573667444056
103941: 0.006701937811158132
202780: 0.03352841105152038
42455: 0.0039039515759213828
11747: 0.24191353314745356
130929: 0.4027883881535672
94196: 0.8584718111669645
62715: 0.011042744656151626
151963: 0.41533115069614723
47092: 0.002590781200069614
188772: 0.0037336699970182963
143509: 0.460409513922059
142966: 0.48987294765538536
196208: 0.001303363795614132
32036: 0.336327857687138
83546: 0.44868856513494393
163062: 0.8760668938048184
102714: 0.10854001544248604
209669: 0.059004651455325074
3160: 0.9716933853487717
219137: 0.0056308114508283325
192999: 0.0006216757301444886
189956: 0.9818528578762198
214386: 0.003166533721014275
181779: 0.5961507347383304
80543: 0.07637552818050608
142613: 0.001954306970219477
16243: 0.11139841770818748
158456: 0.4880617005401291
39615: 0.02041301656572614
143141: 0.7869079797237646
76070: 0.4440394753837609
55254: 0.002971880225231871
213844: 0.2856237683008658
15422: 0.47901512002863456
108505: 0.4652065689624578
150230: 0.07015192208928056
51847: 0.07032419537426904
37985: 0.004384014137031045
65595: 0.045802345222909935
1027: 0.00033736748355295276
5880: 0.4359150084783323
142521: 0.19503838299351628
146053: 0.34728388917210395
193859: 0.0028154069727861497
39506: 0.1099802530152374
1425: 0.4844294087815797
116233: 0.23239231785191805
89783: 0.003683991963043809
166887: 0.4813369562798471
152367: 0.9135794054891448
163353: 0.42549247745773755
207003: 0.5241717228418565
5690: 0.8925340636778856
27809: 0.22970106256980216
6010: 0.07305807482771343
108987: 0.18535479612182826
135839: 0.3748578826816811
8318: 0.34615278021010454
31255: 0.3368901301146252
78843: 0.8586776009760797
205927: 0.8602166719501838
180173: 0.25966894440352917
156041: 0.8775919973559212
110857: 0.0023579458174936008
219973: 0.007469073469110299
5903: 0.1305409472406609
189608: 0.2211263377466821
92150: 0.5395911890664138
39793: 0.0678615917058778
172789: 0.23736223516243626
89166: 0.8345669386617374
114672: 0.2100792337078019
26625: 0.031827751528908266
102091: 0.282300205755746
103776: 0.352184653027507
134471: 0.764501102239592
110477: 0.11883670099632582
151631: 0.0008001209620260852
127957: 0.7831926802318776
190947: 0.18576340976142092
148396: 0.484436223981902
26002: 0.7642665396415396
198536: 0.7901666658144677
53648: 0.3163664264284307
184038: 0.2804519127239473
173361: 0.3795234093122417
63680: 0.5655605258471041
32897: 0.13568896571814548
22286: 0.021178144379518926
91162: 0.0024454873346257955
70771: 0.1522835648866021
191175: 0.031740820966660976
54357: 0.3920090248284396
101585: 0.7185450528722868
202198: 0.15629871818237007
48204: 0.132910605174402
135321: 0.38182374561438337
25192: 0.0002620941095301532
178515: 0.06758405061736994
132074: 0.9250668666354613
76426: 0.24905992400454124
136491: 0.1626312237640377
170213: 0.006057967327478764
166599: 0.04605329492915189
127611: 0.4893945782678202
206857: 0.9757820351078408
192169: 0.2206013263639761
200689: 0.008457505726255476
152453: 0.009495672422417556
100646: 0.8693801707267994
63548: 0.0002516453882890346
119171: 0.11609675438376144
101335: 0.11842444985813927
101885: 0.2471033925030497
123574: 0.14584532927256078
120180: 0.4764643116905063
54100: 0.043320094672708365
109978: 0.01902607345260776
17491: 0.019583945904741995
113132: 0.06006040259308065
46296: 0.10887627475312911
26004: 0.45304096132167615
161551: 0.08978608874895144
92938: 0.02396507575031137
64934: 0.009379268189150025
21639: 0.11152166752617632
78475: 0.03065249764767941
108951: 0.0976199163342244
119055: 0.16133939899737015
44412: 0.21052942257665563
202336: 0.5088914297302836
48861: 0.016518336265818334
169306: 0.022852318052429155
64726: 0.06373177619752823
165103: 0.03267685342871118
65914: 0.01862055361561943
86235: 0.0066331753910233715
114147: 0.3815294856321998
184963: 0.006103317917222739
81572: 0.28750321456755046
98700: 0.29274148157128366
26724: 0.14561448423387446
2137: 0.051798706874251366
35908: 0.03949780909169931
45726: 0.17153798864455894
151326: 0.36650333025318105
67800: 0.38413361248967703
113305: 0.8573857087321812
15941: 0.07645458490878809
115924: 0.36798517255374463
3003: 0.004865950213570613
131120: 0.1614135100026033
139497: 0.23038873364566825
167308: 0.12942730806025793
210275: 0.02815325059418683
20943: 0.2687065460559097
135982: 0.9464593168522697
11360: 0.18368651322089136
216434: 0.842930681508733
57704: 0.36229726148667396
98035: 0.019398875372417024
149505: 0.5720214977045543
112080: 0.5562360223993892
75918: 0.012414644636010053
156566: 0.6503343699805555
208322: 0.17542077156394953
157810: 0.687600588746136
198617: 0.002012737324825764
109239: 0.45513244802532427
135785: 0.7767579769861186
387: 0.42948889477702323
205794: 0.3804491445007443
114030: 0.14270979294815334
36585: 0.4364323501504259
198804: 0.4581335837719962
161450: 0.7666607490573369
4270: 0.47902732899819966
54595: 0.2946821156365331
87900: 0.34887070835975464
213902: 0.013973221912237932
208891: 0.0002613091869534401
214847: 0.486538257682696
126013: 0.6872054962004768
19766: 0.002942415369034279
211776: 0.1190625732706394
215515: 0.39836311918043066
136901: 0.6773936155223055
131012: 0.3176218415119365
21979: 0.00020718975196132305
43636: 0.1440260092567769
168639: 0.5736890396801755
147947: 0.006758538547728676
64823: 0.06851096206810325
102853: 0.3859693225913361
64910: 0.9109585699334275
71433: 0.2657015247568779
84145: 0.2525436911237193
174205: 0.9079649680934381
122269: 0.5857795896008611
181337: 0.0069637290471291635
122018: 0.7481980623015261
130900: 0.373448056379857
174056: 0.6600559409853304
14314: 0.24527679251332302
161938: 0.004903239387203939
157723: 0.10862219982846
79521: 0.8096979516267311
76782: 0.16535947291413322
28803: 0.005721305460610893
107092: 0.10969477633079805
115694: 0.8238226207758998
102120: 0.5021643015606969
9668: 0.9281476355427003
28005: 0.22248482549912296
2970: 0.00393165916466387
206935: 0.06548608849698212
69952: 0.47477394459565403
160396: 0.58244147735968
80240: 0.07490419928217307
9254: 0.17124139778024983
156862: 0.004148388154249005
126799: 0.03443248267285526
98251: 0.7772546321066329
90413: 0.3344915461493656
127410: 0.10488733833335573
32472: 0.21192481937396224
93316: 0.005707617026928347
31139: 0.8659070499852533
34688: 0.13560844054154586
182466: 0.538523705326952
206480: 0.020490163798967842
109488: 0.01604250141826924
206039: 0.4227039206016343
154208: 0.11534626182401553
136037: 0.43688252456195187
42148: 0.559997570948326
107976: 0.061588968557771295
19088: 0.01537505905071157
56440: 0.01820479395610164
62609: 0.004709634715254651
88011: 0.0042194608813588275
8233: 0.5968536169530125
145547: 0.16777785593876615
131243: 0.8534059407829773
213998: 0.00983409305808891
209962: 0.7043706912263588
70366: 0.519957823533332
216476: 0.0020477179779163635
621: 0.8146178780152695
3043: 0.5452081215335056
90590: 0.6006558774970472
216515: 0.020131504716118798
81964: 0.11993464855186176
154473: 0.15165564164817624
209868: 0.051884438216802664
161387: 0.5607694436548627
15069: 0.20806919639289845
30116: 0.6836140344603336
61086: 0.003136891222311533
74711: 0.8122307899625412
197927: 0.044676908779365476
82480: 0.471392186715093
175539: 0.03721715102506096
190654: 0.9404227948580228
46199: 0.9743578477791743
104293: 0.05553171522660705
15037: 0.46988761995817185
40642: 0.6519191306870198
219692: 0.2146085961794597
133571: 0.0017408145345143566
72239: 0.22544006906537106
15646: 0.035592773976532044
138354: 0.03652587052783929
183275: 0.39767265468253754
184282: 0.7266266704391455
102318: 0.026707016513682902
44822: 0.8204006744781509
21912: 0.0010561697173603335
194603: 0.17963695423168247
113764: 0.7085274144374125
79414: 0.0014485976353171282
211101: 0.29792137550612097
156528: 0.07115192234050483
193535: 0.626838759828388
13823: 0.3699682231672341
68496: 0.09978554725967115
25701: 0.0030288405796454754
80510: 0.00016817174059724493
37956: 0.3580523179989541
192357: 0.8765678901836509
32312: 0.1524117644657963
73312: 0.4290864726281143
133366: 0.8451929683360504
94262: 0.6092259434662992
169820: 0.011366624910806422
118021: 0.4348891995323356
82433: 0.07531675855716458
30636: 0.01265621076527168
33816: 0.47262156568467617
14747: 0.4658940781337151
96214: 0.188838280744676
133202: 0.007233830558107002
172967: 0.010614063494358561
133777: 0.5367165524658049
144230: 0.013995658071507933
219091: 0.11698088720731903
65987: 0.6497922372836911
139431: 0.17133326365910762
105671: 0.0008440747633358114
73115: 0.19962646576641419
56568: 0.006954888378459145
154513: 0.003556219900929136
22348: 0.0012055489714839496
220644: 0.014517466745019192
14898: 0.9097323087189579
137786: 0.24757853228220483
195811: 0.0016652141603117343
77709: 0.02344197536149295
16429: 0.9143395847640932
109224: 0.3720369413276785
153031: 0.16298188533983193
74717: 0.00016401318202952098
46326: 0.5644419531017775
10108: 0.4568222237357986
103665: 0.2993985460798285
113093: 0.8235505895718234
214483: 0.012741149381326977
179463: 0.3693950945562392
115323: 0.448766897621681
218178: 0.20079170349345077
144486: 0.11829056190617848
114099: 0.7222365715715569
211484: 0.24487661161037977
117770: 0.002890670162742026
219866: 0.03563586497330107
136583: 0.09456050160406448
91152: 0.11876105838746298
72127: 0.33047944512509275
87330: 0.08421072830242338
163401: 0.3905353679001564
129246: 0.25199324081040686
70330: 0.8277944019209826
99362: 0.2634259003407351
201763: 0.15826523172290763
180544: 0.020226534274115693
174303: 0.8299005285080057
23234: 0.5636001520542777
154348: 0.1416815567336016
169687: 0.0025577266278560273
21859: 0.030951185108278878
124127: 0.04516353524377337
104101: 0.005639552327920683
69096: 0.6708414623280987
23209: 0.6206585482868832
175751: 0.5968281107707298
67666: 0.4777322539157467
34480: 0.0003566693158063572
18022: 0.7125997208204353
34190: 0.33560980060428847
197983: 0.591780588387337
83014: 0.01842654730353388
217361: 0.7038550013894564
63033: 0.015909909350739326
217275: 0.003182148080668412
94488: 0.7840190000206348
138482: 0.117297677865281
151981: 0.0027880441448360216
50271: 0.426290666010118
154023: 0.40381317664287053
15156: 0.14238111035956535
4441: 0.0019927926805394236
62548: 0.03211432938405778
11164: 0.3240297844968154
107584: 0.05456912342924625
71742: 0.009364997218654025
442: 0.6693438716501987
182807: 0.42411650810026913
180728: 0.0013033381110290065
7168: 0.18713414320518496
121865: 0.3327019264397677
153700: 0.6066531681208289
203910: 0.1450123291797354
93623: 0.005083864934931626
30725: 0.1541449444630416
18846: 0.23192633534199558
5207: 0.13652813746011816
19993: 0.3858818595617777
83822: 0.21988233813317493
26164: 0.030534739986251225
154372: 0.033947669791814405
56648: 0.007802101878041867
45340: 0.35681305252364837
115880: 0.0047111456442507915
145254: 0.5215418098523514
22759: 0.16164748366281856
190342: 0.49772239961021114
85534: 0.0080397791134601
127667: 9.891619453128442e-05
195911: 0.08614789009516244
190267: 0.17555953026749194
202258: 0.9790641391955432
76365: 0.07786288661736762
55373: 0.2202460854095989
55733: 0.37481507540360326
37952: 0.2502461365693307
99490: 0.14181583657227748
207898: 0.05830666563269915
189156: 0.04000544059454114
158643: 0.3179347583827621
33400: 0.5360729611420538
110861: 0.7484460265404778
168741: 0.12137774226721376
137162: 0.9758693273943209
27026: 0.6587079803211964
126202: 0.003865728026312354
159740: 0.005117519498526235
190860: 0.014883032388752326
113048: 0.22422334281145595
29155: 0.08165271340840263
196274: 0.37133742950391024
87192: 0.45611567242303863
108021: 0.006835639098426327
25377: 0.423471059606527
8220: 0.05807653165720694
78887: 0.09146882148525037
12511: 0.39914063084870577
186888: 0.0940194620998227
65315: 0.16779756554751657
24107: 0.31973623132398643
16984: 0.24260807884274982
15038: 0.4508071912205196
62082: 0.16322492666222388
115190: 0.23306986876059455
128653: 0.0006830080383224413
146367: 0.03710246386617655
82961: 0.36116981385021063
43853: 0.029257733058329904
22383: 0.35255325757316314
187004: 0.433217335579684
209640: 0.44800453505376936
108361: 0.33759766636649147
149791: 0.4992455036353931
2403: 0.14987415792711545
175728: 0.15675380011816742
175300: 0.08407455410224429
109310: 0.32914375701511744
36015: 0.3621024097119516
218395: 0.007151510083986068
176519: 0.6392885130662762
134378: 0.6895077714034414
139854: 0.45854345484258374
31875: 0.13367394177475944
89241: 0.05983587127707324
162638: 0.12464699170959648
205413: 0.9177115974162007
233: 0.310388251878976
161965: 0.26522040368581656
214289: 0.6673355124476075
25820: 0.9786592222117179
132103: 0.9667496091715293
24760: 0.15207890206693264
111689: 0.00044299268199665676
107735: 0.8458870889917307
5570: 0.5970910613104934
164364: 0.8813974149088608
60290: 0.0004570280907501001
144706: 0.37476594036706956
207555: 0.0022061297659092816
114673: 0.5403829692695581
76825: 0.5417528910511464
89811: 0.11522843340208055
4372: 0.399839134684953
52930: 0.645799643078135
209457: 0.14432086168744718
18492: 0.07114619419189694
118858: 0.1984555524541065
185520: 0.5843102953149355
3020: 0.01797073917259695
45088: 0.09646327884001948
166000: 0.003238899767438852
8643: 0.04699170980893541
171666: 0.0012864230393461185
105033: 0.25935052203567466
216074: 0.6730061412763462
107629: 0.35877174077904783
159862: 0.031063464120961726
100917: 0.2439206547296635
94286: 0.002398243872448802
45193: 0.2298187882588536
27595: 0.24402446515159681
83332: 0.09477183334820438
61892: 0.010383590786659624
70679: 0.15833871136419475
89640: 0.5961738200257969
215140: 0.9649711737874895
192997: 0.5650961690262193
85790: 0.012553419019241119
142742: 0.9800461640879803
197873: 0.0006673802476200308
161313: 0.4183630592033296
151187: 0.011050053453800501
67155: 0.6715067925979383
77129: 0.94714487957026
195652: 0.4871045894869894
137210: 0.31926728118560277
69033: 0.7684080926846946
65141: 0.5502887295588152
96935: 0.032611170174277504
98601: 0.46103588958794717
88138: 0.4430175811285153
183695: 0.04158825855120085
62631: 0.3056577707757242
15130: 0.540487921818567
127476: 0.19309947792862658
210861: 0.6220748383821046
72569: 0.0008983104471553816
117774: 0.09907645847124513
172962: 0.11450343900651205
65326: 0.5674341860176355
209204: 0.011855665012262762
177434: 0.3792653729469748
120309: 0.5613837200980925
70601: 0.8262096098478651
72143: 0.4196684525668388
95559: 0.017609563219593838
163013: 0.05668466789938975
176988: 0.009223717897839379
132594: 0.6207483997422969
154707: 0.2712233432685025
57188: 0.5136126774013974
158303: 0.34390577255544486
217331: 0.05486246083819424
212382: 0.3995438419515267
197612: 0.2179040565097239
101804: 0.6084330781013705
49546: 0.09670369006926194
195639: 0.2142534853228426
49358: 0.11366844237272744
49163: 0.3581218955514487
87265: 0.013424112701613922
18943: 0.9877447074577503
56679: 0.0025549556171426957
83296: 0.4141243365320406
181944: 0.0058215195258526364
66960: 0.03604236115279491
82744: 0.9132514436096244
88126: 0.829180453918525
190946: 0.8791894736787071
94733: 0.5079673908403493
201098: 0.534982044948265
144614: 0.3392785357646062
65448: 0.5438395803648746
156112: 0.10131430916953832
123758: 0.8126889984268928
91948: 0.021775824832729995
10037: 0.01768773337425955
129824: 0.16158267176069785
121328: 0.26358424484351417
4943: 0.39913611627707724
79967: 0.6768290987092769
186266: 0.40082623811031226
29554: 0.3929865483969479
153427: 0.7033335548658215
125413: 0.00039483988189203956
156782: 0.32843669434805634
166247: 0.43241969890368637
166326: 0.9210352270165458
128300: 0.8849665005836869
14426: 0.03098562788727577
165442: 0.6646821277245181
31654: 0.9692600819580548
1780: 0.4535411080287304
112347: 0.011658183862891747
188681: 0.45807282930763904
75719: 0.845998853459605
3506: 0.8551753352694504
55259: 0.7438715493335621
37195: 0.0021770700259367004
145109: 0.29224202725526993
