Loaded /home/lzq/ExpEval/exe_res/sthsthv2_r2p1d_perturb_full_core8_test_summed.pt
139242: 0.0022751147362214397
208136: 0.23377051364514045
77933: 0.8399949045779067
60678: 0.011894800834852504
125118: 0.5116052432058495
133738: 0.23896510421764106
104179: 0.028125383192673326
141930: 0.007580546003737254
58849: 0.3952878367708763
9116: 0.055605820496566594
18518: 0.08979543598979944
208019: 0.1316791168646887
59701: 0.3723525038876687
160867: 0.02849027418415062
120824: 0.19554050530132372
19680: 0.940926848896197
206826: 0.4508075275225565
79321: 0.05787967351534462
89328: 0.009853196514086449
117570: 0.038946224442042876
170391: 0.006826909896574307
70174: 0.18238156765073654
182726: 0.05647874829446664
215032: 0.11741268329933519
52914: 0.013947706010000616
130003: 0.4435348375554895
62316: 0.8248552524480033
118582: 0.9433399968183949
75836: 0.08788936882046983
31938: 0.49293544921965804
13332: 0.12408558912284207
25472: 0.6197434633504599
87638: 0.002896977344789775
148093: 0.9014019831083715
201342: 0.00018371206255096695
113500: 0.9264749357316759
121337: 0.44544024420611095
199113: 0.07605557896749815
67174: 0.30847778681345517
63822: 0.08032251828990411
88299: 0.0726011142905918
47054: 0.00474936687214722
113521: 0.8742226229514927
61572: 0.3580404262029333
49072: 0.7623896075092489
185945: 0.01442990826399182
186837: 0.20043033523324993
12229: 0.18566700444353046
2417: 0.6282582502026344
23262: 0.0004393882031195062
89019: 0.8352384031459223
87604: 0.8847646203066688
32140: 0.17645565628481563
34102: 0.016048011697421316
12384: 0.0032440112759104522
43126: 0.8011701855575666
99563: 0.6851244084245991
209593: 0.7656986329238862
131967: 0.004059628193431308
60661: 0.0024537715453334386
108981: 0.026322828578486224
23892: 0.0004361055980552919
216042: 0.3720350748699275
131932: 0.0037102016576682217
33321: 0.5392246022965992
123713: 0.7380244117084658
106189: 0.6390082326688571
161541: 0.45237288977659773
41066: 0.13082502511679195
143962: 0.12764556960610207
211702: 0.4609697632258758
69496: 0.09858087255452119
120137: 0.7934815064218128
146838: 0.9134178665699437
139484: 0.06403031322406605
80618: 0.21158150093106087
171217: 0.2770179235449177
194058: 0.0023917403595987707
89503: 0.96734573924914
28135: 0.0003285936781480814
17011: 0.02663607264912571
216098: 0.014155799908621702
10928: 0.6917436677176738
200339: 0.2136296315366053
166206: 0.001812349168176297
33257: 0.832656944548944
133827: 0.880325688762241
142266: 0.4450911009334959
149237: 0.16032195286243223
172312: 0.9139291302599304
133644: 0.14127505460419343
104742: 0.3894265442813776
40297: 0.013353764115890954
200020: 0.6038057833247876
100087: 0.4548506054070458
43819: 0.034391522021905985
77468: 0.0016945553579716943
13147: 0.02813842601608485
88931: 0.018274887149345886
152557: 0.0012263912103662733
32811: 0.2314624850587279
19952: 0.07532062944665086
173875: 0.7534895885764854
60672: 0.08292266692296835
53345: 0.09244363869947847
75123: 0.66736988078992
64506: 0.27464572074313764
190624: 0.6330563696319587
76109: 0.33986623912642244
52261: 0.22688909381827216
179142: 0.03848578298857319
184118: 0.9524465461436193
4820: 0.9455729208129924
111036: 0.5431961977192259
106612: 0.09362387259170646
174184: 0.7137275806599064
24705: 0.2327490211773693
6036: 0.028525761779746972
144159: 0.4152644818823319
135962: 0.9692946507893794
22001: 0.5909231114419526
182789: 0.12480065969430143
8542: 0.01737098125158809
120231: 0.13629311372824304
120106: 0.9152979950595181
150146: 0.05014757693606953
