Loaded /home/acb11711tx/lzq/ExpEval/exe_res/sthsthv2_r2p1d_perturb_full_core5_test_summed.pt
Use 4 GPUs!
('139242', '208136', '77933', '60678', '125118', '133738', '104179', '141930', '58849', '9116', '18518', '208019', '59701', '160867', '120824', '19680', '206826', '79321', '89328', '117570', '170391', '70174', '182726', '215032', '52914', '130003', '62316', '118582', '75836', '31938', '13332', '25472', '87638', '148093', '201342', '113500', '121337', '199113', '67174', '63822', '88299', '47054', '113521', '61572', '49072', '185945', '186837', '12229') tensor([19, 18, 24,  7, 11,  7,  7, 22, 14, 20,  2,  7, 22, 23, 20, 16,  7,  8,
('77468', '13147', '88931', '152557', '32811', '19952', '173875', '60672', '53345', '75123', '64506', '190624', '76109', '52261', '179142', '184118', '4820', '111036', '106612', '174184', '24705', '6036', '144159', '135962', '22001', '182789', '8542', '120231', '120106', '150146', '35052', '215270', '210804', '114154', '144885', '26495', '12679', '136579', '166038', '120224', '117478', '2645', '102701', '65522', '104759', '185472', '52343', '63061') tensor([15, 23, 20,  3,  6,  1,  4,  3,  2, 17,  6, 11, 18, 24, 10,  0,  0,  9,
         5,  1,  8,  1,  0, 17, 11,  5, 10,  8,  0,  9, 18,  3, 16, 16, 16, 13,
        12,  1,  1, 10,  7,  9, 15,  9,  9,  5, 17, 19]) ('Putting something into something', 'Showing something to the camera', 'Showing that something is empty', 'Turning something upside down', 'Taking one of many similar things on the table', 'Plugging something into something', 'Something falling like a feather or paper', 'Turning something upside down', 'Covering something with something', 'Folding something', 'Taking one of many similar things on the table', 'Uncovering something', 'Pouring something into something', 'Lifting something with something on it', 'Something falling like a rock', 'Tearing something into two pieces', 'Tearing something into two pieces', 'Stuffing something into something', 'Tearing something just a little bit', 'Plugging something into something', 'Opening something', 'Plugging something into something', 'Tearing something into two pieces', 'Folding something', 'Uncovering something', 'Tearing something just a little bit', 'Something falling like a rock', 'Opening something', 'Tearing something into two pieces', 'Stuffing something into something', 'Pouring something into something', 'Turning something upside down', 'Putting something similar to other things that are already on the table', 'Putting something similar to other things that are already on the table', 'Putting something similar to other things that are already on the table', 'Squeezing something', 'Moving something down', 'Plugging something into something', 'Plugging something into something', 'Something falling like a rock', 'Moving something up', 'Stuffing something into something', 'Putting something into something', 'Stuffing something into something', 'Stuffing something into something', 'Tearing something just a little bit', 'Folding something', 'Pushing something so that it falls off the table')
77468: 0.0022427289259212557
13147: 0.06990979018155485
88931: 0.07350921161014412
152557: 0.0015131424443097785
32811: 0.22855175182849052
19952: 0.1339102672136505
173875: 0.47514951710763853
60672: 0.09259914603171637
53345: 0.08531150337512372
75123: 0.7548034566716524
64506: 0.22221683444149676
190624: 0.5795100601244485
76109: 0.41176839500985807
52261: 0.27926995365237417
179142: 0.006898957635712577
184118: 0.9024425406896626
4820: 0.8829312405505334
111036: 0.6080264946285752
106612: 0.034514020844653714
174184: 0.7198455206307699
24705: 0.13727850329996727
6036: 0.004230202473991085
144159: 0.4153037659780239
135962: 0.9793466169649037
22001: 0.50689439054986
182789: 0.1233120783654158
8542: 0.026238459191517904
120231: 0.04057658256897412
120106: 0.9176722864576732
150146: 0.03038012862452888
35052: 0.5846708142416901
215270: 0.5424627194515779
210804: 0.9750070473965025
114154: 0.7631986844207859
144885: 0.09156144519329246
26495: 0.00916096299624769
12679: 0.5039881272532512
136579: 0.7449450058120419
166038: 0.42149688310018973
120224: 0.002016860515141161
117478: 0.357197579840431
2645: 0.3062194417070714
102701: 0.2786167229860439
65522: 0.7021106692336616
104759: 0.18144756706169574
185472: 0.045779414191201795
52343: 0.42362179381598253
63061: 0.0034212146483696415
('69266', '15065', '164385', '214198', '141825', '79237', '98360', '190983', '215561', '112088', '185634', '105526', '142963', '99639', '170439', '104561', '36308', '205405', '46363', '25859', '136695', '106474', '67433', '40719', '133807', '72232', '199158', '18154', '139430', '12055', '150588', '166796', '16836', '91959', '74732', '92505', '85694', '42068', '74665', '138967', '215853', '174854', '125224', '79045', '91210', '145719', '146631', '63163') tensor([23,  0, 14, 15, 14,  5,  1,  8,  6,  8,  3,  8,  2,  1, 13, 10,  9,  6,
        14,  0, 12,  1, 11,  0, 13,  6,  8, 21, 17,  0, 11, 19, 16, 20, 21,  8,
         2,  0,  1,  3, 11,  8,  3, 23,  1, 18,  5,  9]) ('Showing something to the camera', 'Tearing something into two pieces', 'Putting something on a surface', 'Putting something into something', 'Putting something on a surface', 'Tearing something just a little bit', 'Plugging something into something', 'Opening something', 'Taking one of many similar things on the table', 'Opening something', 'Turning something upside down', 'Opening something', 'Covering something with something', 'Plugging something into something', 'Squeezing something', 'Something falling like a rock', 'Stuffing something into something', 'Taking one of many similar things on the table', 'Putting something on a surface', 'Tearing something into two pieces', 'Moving something down', 'Plugging something into something', 'Uncovering something', 'Tearing something into two pieces', 'Squeezing something', 'Taking one of many similar things on the table', 'Opening something', 'Pushing something so that it slightly moves', 'Folding something', 'Tearing something into two pieces', 'Uncovering something', 'Pushing something so that it falls off the table', 'Putting something similar to other things that are already on the table', 'Showing that something is empty', 'Pushing something so that it slightly moves', 'Opening something', 'Covering something with something', 'Tearing something into two pieces', 'Plugging something into something', 'Turning something upside down', 'Uncovering something', 'Opening something', 'Turning something upside down', 'Showing something to the camera', 'Plugging something into something', 'Pouring something into something', 'Tearing something just a little bit', 'Stuffing something into something')
69266: 0.027541625197045505
15065: 0.6722451117311721
164385: 0.2344863154903578
214198: 0.17147007895255229
141825: 0.06923232073677354
79237: 0.30086885620403336
98360: 0.013731596125580836
190983: 0.0007798924034432275
215561: 0.002848129312042147
112088: 0.000654209679851192
185634: 0.11777734962379327
105526: 0.1417950159211614
142963: 0.43844701223861193
99639: 0.5107719891893794
170439: 0.0014616930129704997
104561: 0.005732824909500778
36308: 0.21884840064012678
205405: 0.26020354138381663
46363: 0.03222288759207004
25859: 0.823771005096205
136695: 0.4082634235091973
106474: 0.47753458197257714
67433: 0.568228840114898
40719: 0.8052022822157596
133807: 0.10901882978214417
72232: 0.1093196225228894
199158: 0.00036559192631102633
18154: 0.22574689240718726
139430: 0.7552625788521254
12055: 0.7284305255461732
150588: 0.22848919218813535
166796: 0.025197724556164758
16836: 0.8879248373996234
91959: 0.2517365766398143
74732: 0.0005716502382711042
92505: 0.000851536173085421
85694: 0.016117915751237888
42068: 0.8208383982491796
74665: 0.10998353624745505
138967: 0.5207899908200488
215853: 0.11118412482028361
174854: 0.1290271061279782
125224: 0.9724445965475752
79045: 0.06729010434355587
91210: 0.4398890417724033
145719: 0.27306896319350926
146631: 0.07515803370188223
63163: 0.0005468551056679871
('202581', '33079', '162835', '45213', '893', '101217', '68709', '160220', '193490', '206028', '171527', '95431', '95949', '220461', '200057', '97085', '47610', '181793', '123709', '73565', '151270', '129592', '128494', '145958', '164659', '198342', '24023', '5532', '191418', '207874', '190482', '47613', '142506', '111318', '114264', '192597', '78062', '132708', '112723', '206077', '214021', '67692', '176333', '9373', '128081', '8444', '160198', '33525') tensor([ 6, 10, 23,  5, 15,  7, 12,  0,  9, 15, 18, 15, 20,  1,  6, 24,  2,  3,
         9,  5, 11,  9,  0, 23, 19, 14,  8, 16,  8, 21, 11, 20,  1,  1, 14, 16,
