The visualization results will not be visualized and save.
Loaded /home/lzq/ExpEval/exe_res/ucf101_r2p1d_perturb_full_core11_test_summed.pt
v_Basketball_g01_c01: 0.26986505384830867
v_Basketball_g01_c02: 0.4772106802931019
v_Basketball_g01_c03: 0.3648385286038997
v_Basketball_g01_c04: 0.16438513520885917
v_Basketball_g01_c05: 0.3461053381217461
v_Basketball_g01_c06: 0.35347703017440496
v_Basketball_g01_c07: 0.6571438158478807
v_Basketball_g02_c01: 0.5334365188271976
v_Basketball_g02_c02: 0.6285030096769333
v_Basketball_g02_c03: 0.6555634533073388
v_Basketball_g02_c04: 0.7563033029583155
v_Basketball_g02_c05: 0.6148071301845359
v_Basketball_g02_c06: 0.6664572008428913
v_Basketball_g03_c01: 0.7370105664117955
v_Basketball_g03_c02: 0.706795791185954
v_Basketball_g03_c03: 0.6955054840182557
v_Basketball_g03_c04: 0.5924223121547816
v_Basketball_g03_c05: 0.7022205709972802
v_Basketball_g03_c06: 0.664756979135906
v_Basketball_g04_c01: 0.716788259166859
v_Basketball_g04_c02: 0.1585759545840761
v_Basketball_g04_c03: 0.582720325244408
v_Basketball_g04_c04: 0.4910621957086465
v_Basketball_g05_c01: 0.7404582066059697
v_Basketball_g05_c02: 0.23094703395869218
v_Basketball_g05_c03: 0.6427866826381754
v_Basketball_g05_c04: 0.4188881310396919
v_Basketball_g06_c01: 0.8099361249154398
v_Basketball_g06_c02: 0.7615207665252919
v_Basketball_g06_c03: 0.8482888355924219
v_Basketball_g06_c04: 0.6451152767328655
v_Basketball_g07_c01: 0.535060407172012
v_Basketball_g07_c02: 0.5883192659812231
v_Basketball_g07_c03: 0.7840198312319961
v_Basketball_g07_c04: 0.7668128393480883
v_BasketballDunk_g01_c01: 0.9052237726711467
v_BasketballDunk_g01_c02: 0.8900892540958583
v_BasketballDunk_g01_c03: 0.8551567816814664
v_BasketballDunk_g01_c04: 0.8576144883883935
v_BasketballDunk_g01_c05: 0.8951394915215525
v_BasketballDunk_g01_c06: 0.8570594901328578
v_BasketballDunk_g01_c07: 0.8970863358428081
v_BasketballDunk_g02_c01: 0.8661899071515483
v_BasketballDunk_g02_c02: 0.8422339913709199
v_BasketballDunk_g02_c03: 0.7398460939015243
v_BasketballDunk_g02_c04: 0.8436145082225694
v_BasketballDunk_g03_c01: 0.8751581920201288
v_BasketballDunk_g03_c02: 0.8806206913007533
v_BasketballDunk_g03_c03: 0.8866537423840924
v_BasketballDunk_g03_c04: 0.9011869838059533
v_BasketballDunk_g03_c05: 0.875314697787604
v_BasketballDunk_g03_c06: 0.8665715784199682
v_BasketballDunk_g04_c01: 0.8889301909900763
v_BasketballDunk_g04_c02: 0.8789880113347488
v_BasketballDunk_g04_c03: 0.8591239148495244
v_BasketballDunk_g04_c04: 0.8383843024863916
v_BasketballDunk_g05_c01: 0.8860520129329433
v_BasketballDunk_g05_c02: 0.8288693989097488
v_BasketballDunk_g05_c03: 0.8387631699990701
v_BasketballDunk_g05_c04: 0.8588615683144798
v_BasketballDunk_g05_c05: 0.8517008648162672
v_BasketballDunk_g05_c06: 0.8204220905096508
v_BasketballDunk_g06_c01: 0.8375436266555506
v_BasketballDunk_g06_c02: 0.8168253464587764
v_BasketballDunk_g06_c03: 0.8870293306734632
v_BasketballDunk_g06_c04: 0.7906911435518779
v_BasketballDunk_g07_c01: 0.8117357637952356
v_BasketballDunk_g07_c02: 0.8923020139957468
v_BasketballDunk_g07_c03: 0.8684122079216382
v_BasketballDunk_g07_c04: 0.7676723724267647
v_BasketballDunk_g07_c05: 0.8229538895701076
v_BasketballDunk_g07_c06: 0.9033659919146814
v_Biking_g01_c01: 0.8798097959555248
v_Biking_g01_c02: 0.8263108187209012
v_Biking_g01_c03: 0.935482167470835
v_Biking_g01_c04: 0.9570600685864394
v_Biking_g02_c01: 0.8590872034138324
v_Biking_g02_c02: 0.8280614538556512
v_Biking_g02_c03: 0.8569564938673055
v_Biking_g02_c04: 0.8625825793847588
v_Biking_g02_c05: 0.8594100357818545
v_Biking_g02_c06: 0.7555366474769863
v_Biking_g02_c07: 0.8511562684039568
v_Biking_g03_c01: 0.4553973704302574
v_Biking_g03_c02: 0.9086704374254481
v_Biking_g03_c03: 0.9144718735186639
v_Biking_g03_c04: 0.6839557055639578
v_Biking_g04_c01: 0.47885025181058866
v_Biking_g04_c02: 0.5041521609706037
v_Biking_g04_c03: 0.8067038771988568
v_Biking_g04_c04: 0.46304506006486273
v_Biking_g04_c05: 0.7007403325417316
v_Biking_g05_c01: 0.575205237476849
v_Biking_g05_c02: 0.8268575815630017
v_Biking_g05_c03: 0.8573347750740746
v_Biking_g05_c04: 0.9301947506893353
v_Biking_g05_c05: 0.9055633279604509
v_Biking_g05_c06: 0.8822292213638624
v_Biking_g05_c07: 0.9309312205834716
v_Biking_g06_c01: 0.8861926075326754
v_Biking_g06_c02: 0.9066247988912258
v_Biking_g06_c03: 0.9395056286735424
v_Biking_g06_c04: 0.5689679487900553
v_Biking_g06_c05: 0.8685032335292621
v_Biking_g07_c01: 0.8281372231002166
v_Biking_g07_c02: 0.760054334806388
v_Biking_g07_c03: 0.8464561304497514
v_Biking_g07_c04: 0.8704330371765822
v_Biking_g07_c05: 0.4814769800259348
v_Biking_g07_c06: 0.7290400035715863
