Loaded /home/acb11711tx/lzq/ExpEval/exe_res/ucf101_r2p1d_perturb_full_core5_cylinder_summed.pt
Use 4 GPUs!
v_Basketball_g01_c01: 0.2445338968464057
v_Basketball_g01_c02: 0.39951171603024704
v_Basketball_g01_c03: 0.2266453814736451
v_Basketball_g01_c04: 0.12780656204995466
v_Basketball_g01_c05: 0.3123729198050569
v_Basketball_g01_c06: 0.43949598998733563
v_Basketball_g01_c07: 0.7686821717579733
v_Basketball_g02_c01: 0.6437603369631688
v_Basketball_g02_c02: 0.6744064450540463
v_Basketball_g02_c03: 0.6702964139913092
v_Basketball_g02_c04: 0.8055019876264851
v_Basketball_g02_c05: 0.6860837337371777
v_Basketball_g02_c06: 0.7403545113556902
v_Basketball_g03_c01: 0.794399441620044
v_Basketball_g03_c02: 0.7904314195548068
v_Basketball_g03_c03: 0.8017451708947192
v_Basketball_g03_c04: 0.7742158721011947
v_Basketball_g03_c05: 0.7519003724955837
v_Basketball_g03_c06: 0.8101410825547646
v_Basketball_g04_c01: 0.7897225973938475
v_Basketball_g04_c02: 0.16776320075587137
v_Basketball_g04_c03: 0.7470550603975425
v_Basketball_g04_c04: 0.624872277425311
v_Basketball_g05_c01: 0.629229907579429
v_Basketball_g05_c02: 0.16645575354777975
v_Basketball_g05_c03: 0.7561990517933737
v_Basketball_g05_c04: 0.46620767603599234
v_Basketball_g06_c01: 0.8812824347332935
v_Basketball_g06_c02: 0.933734511192597
v_Basketball_g06_c03: 0.9524703907591174
v_Basketball_g06_c04: 0.881338915489323
v_Basketball_g07_c01: 0.6941209350989084
v_Basketball_g07_c02: 0.778023177459545
v_Basketball_g07_c03: 0.7948891349878977
v_Basketball_g07_c04: 0.8899574558527092
v_BasketballDunk_g01_c01: 0.9348470250261016
v_BasketballDunk_g01_c02: 0.9202215006225742
v_BasketballDunk_g01_c03: 0.8652464149636216
v_BasketballDunk_g01_c04: 0.8748507339623757
v_BasketballDunk_g01_c05: 0.9051872301497497
v_BasketballDunk_g01_c06: 0.8715728240204044
v_BasketballDunk_g01_c07: 0.9075094462023117
v_BasketballDunk_g02_c01: 0.9036245155730285
v_BasketballDunk_g02_c02: 0.7743059285567142
v_BasketballDunk_g02_c03: 0.831789814226795
v_BasketballDunk_g02_c04: 0.798597582441289
v_BasketballDunk_g03_c01: 0.9124278368544765
v_BasketballDunk_g03_c02: 0.9139977212180384
v_BasketballDunk_g03_c03: 0.8770422812667675
v_BasketballDunk_g03_c04: 0.9350030921050347
v_BasketballDunk_g03_c05: 0.9124443936743774
v_BasketballDunk_g03_c06: 0.8980797413387336
v_BasketballDunk_g04_c01: 0.9091907044057734
v_BasketballDunk_g04_c02: 0.9096197931212373
v_BasketballDunk_g04_c03: 0.8793527463567443
v_BasketballDunk_g04_c04: 0.9139423897140659
v_BasketballDunk_g05_c01: 0.9280918215517886
v_BasketballDunk_g05_c02: 0.8650458257761784
v_BasketballDunk_g05_c03: 0.8597717246157117
v_BasketballDunk_g05_c04: 0.9063454445567913
v_BasketballDunk_g05_c05: 0.8702519802027382
v_BasketballDunk_g05_c06: 0.9053018482518382
v_BasketballDunk_g06_c01: 0.8835729291313328
v_BasketballDunk_g06_c02: 0.8709998087142594
v_BasketballDunk_g06_c03: 0.8996795977582224
v_BasketballDunk_g06_c04: 0.8610536053893156
v_BasketballDunk_g07_c01: 0.858929455105681
v_BasketballDunk_g07_c02: 0.922918785654474
v_BasketballDunk_g07_c03: 0.9270220599719323
v_BasketballDunk_g07_c04: 0.8724140031845309
v_BasketballDunk_g07_c05: 0.9023453854606487
v_BasketballDunk_g07_c06: 0.9294922394328751
v_Biking_g01_c01: 0.9168827152025187
v_Biking_g01_c02: 0.875411685105064
v_Biking_g01_c03: 0.9537567168154055
v_Biking_g01_c04: 0.9770841268036747
v_Biking_g02_c01: 0.8848868501518155
v_Biking_g02_c02: 0.851265416960814
v_Biking_g02_c03: 0.8995888999343151
v_Biking_g02_c04: 0.9008679448306793
v_Biking_g02_c05: 0.9457311539590592
v_Biking_g02_c06: 0.7938257202185923
v_Biking_g02_c07: 0.8614194221008802
v_Biking_g03_c01: 0.7627130190521711
v_Biking_g03_c02: 0.9305294745281572
v_Biking_g03_c03: 0.9444678367726738
v_Biking_g03_c04: 0.8823434156511212
v_Biking_g04_c01: 0.5693500361085171
v_Biking_g04_c02: 0.5782122349046404
v_Biking_g04_c03: 0.8202799335267628
v_Biking_g04_c04: 0.4569066930707777
v_Biking_g04_c05: 0.716192751438939
v_Biking_g05_c01: 0.6911487570177997
v_Biking_g05_c02: 0.8710480716690654
v_Biking_g05_c03: 0.9255859214026714
v_Biking_g05_c04: 0.9315411537099862
v_Biking_g05_c05: 0.941425607088604
v_Biking_g05_c06: 0.9263270488154376
v_Biking_g05_c07: 0.9408360894449288
v_Biking_g06_c01: 0.8765609976981068
v_Biking_g06_c02: 0.9139608633850003
v_Biking_g06_c03: 0.9259142552182311
v_Biking_g06_c04: 0.7005623318400467
v_Biking_g06_c05: 0.9035081605106825
v_Biking_g07_c01: 0.7824138752330327
v_Biking_g07_c02: 0.8723890693072462
v_Biking_g07_c03: 0.8751620317489142
v_Biking_g07_c04: 0.9043687055964256
v_Biking_g07_c05: 0.7336902583629126
v_Biking_g07_c06: 0.8352181613590801
v_CliffDiving_g01_c01: 0.8792258380708518
v_CliffDiving_g01_c02: 0.9469030139298411
v_CliffDiving_g01_c03: 0.8763585312553914
v_CliffDiving_g01_c04: 0.8231966580060543
v_CliffDiving_g01_c05: 0.9168619239499094
v_CliffDiving_g01_c06: 0.772119061628473
v_CliffDiving_g02_c01: 0.9330975246411981
v_CliffDiving_g02_c02: 0.882235828161356
v_CliffDiving_g02_c03: 0.8472017409076216
v_CliffDiving_g02_c04: 0.9314752496575238
v_CliffDiving_g03_c01: 0.9648749049083563
v_CliffDiving_g03_c02: 0.9803037464880617
v_CliffDiving_g03_c03: 0.9399790948518785
v_CliffDiving_g03_c04: 0.959042967602727
v_CliffDiving_g03_c05: 0.9764214109891327
v_CliffDiving_g04_c01: 0.962047362307203
v_CliffDiving_g04_c02: 0.9701468889397802
v_CliffDiving_g04_c03: 0.967923404488829
v_CliffDiving_g04_c04: 0.9494697484915378
v_CliffDiving_g05_c01: 0.5530560491170036
v_CliffDiving_g05_c02: 0.8873775066604139
v_CliffDiving_g05_c03: 0.8301098952797474
v_CliffDiving_g05_c04: 0.30100950233463664
v_CliffDiving_g05_c05: 0.9146598499064567
v_CliffDiving_g05_c06: 0.963673386562732
v_CliffDiving_g05_c07: 0.9618489975837292
v_CliffDiving_g06_c01: 0.8650786614307435
v_CliffDiving_g06_c02: 0.90981638788071
v_CliffDiving_g06_c03: 0.8630457402468892
v_CliffDiving_g06_c04: 0.8029326620307984
v_CliffDiving_g06_c05: 0.9062442992144497
v_CliffDiving_g06_c06: 0.9035252105240943
v_CliffDiving_g06_c07: 0.9351776194089325
v_CliffDiving_g07_c01: 0.9608689230663003
v_CliffDiving_g07_c02: 0.9895591401291313
v_CliffDiving_g07_c03: 0.9661978726071538
v_CliffDiving_g07_c04: 0.9182627676782431
v_CliffDiving_g07_c05: 0.9696930268110009
v_CliffDiving_g07_c06: 0.7507709915080341
v_CricketBowling_g01_c01: 0.9701276484993286
v_CricketBowling_g01_c02: 0.9775357992039062
v_CricketBowling_g01_c03: 0.9660913732950576
v_CricketBowling_g01_c04: 0.981279754138086
v_CricketBowling_g01_c05: 0.9829653299530037
v_CricketBowling_g01_c06: 0.9801121575874276
v_CricketBowling_g01_c07: 0.967948031204287
v_CricketBowling_g02_c01: 0.5330109124188311
v_CricketBowling_g02_c02: 0.6247992516146041
v_CricketBowling_g02_c03: 0.8450520998449065
v_CricketBowling_g02_c04: 0.6466261158348061
v_CricketBowling_g02_c05: 0.836016371671576
v_CricketBowling_g02_c06: 0.8013945257407613
v_CricketBowling_g02_c07: 0.7318475379724987
v_CricketBowling_g03_c01: 0.20983746422280092
v_CricketBowling_g03_c02: 0.19687177753075957
v_CricketBowling_g03_c03: 0.4463855252834037
v_CricketBowling_g03_c04: 0.40468310291180387
v_CricketBowling_g04_c01: 0.801434317661915
v_CricketBowling_g04_c02: 0.3851690000738017
v_CricketBowling_g04_c03: 0.5515808163327165
v_CricketBowling_g04_c04: 0.4797763347742148
v_CricketBowling_g04_c05: 0.5183204661007039
v_CricketBowling_g05_c01: 0.9588790713460185
v_CricketBowling_g05_c02: 0.9751488320180215
v_CricketBowling_g05_c03: 0.9803165910416283
v_CricketBowling_g05_c04: 0.9795005256892182
v_CricketBowling_g06_c01: 0.7630094548803754
v_CricketBowling_g06_c02: 0.9171737204887904
v_CricketBowling_g06_c03: 0.8763182431575842
v_CricketBowling_g06_c04: 0.7382856244803406
v_CricketBowling_g06_c05: 0.9176821481087245
v_CricketBowling_g07_c01: 0.942443658655975
v_CricketBowling_g07_c02: 0.9170299750403501
v_CricketBowling_g07_c03: 0.8185294909053482
v_CricketBowling_g07_c04: 0.3964698579511605
v_Diving_g01_c01: 0.9632839031110052
v_Diving_g01_c02: 0.9296038277971093
v_Diving_g01_c03: 0.9190735448210035
v_Diving_g01_c04: 0.9364215081150178
v_Diving_g01_c05: 0.9120975920523051
v_Diving_g01_c06: 0.9486674279032741
v_Diving_g01_c07: 0.9178057738172356
v_Diving_g02_c01: 0.8574915583303664
v_Diving_g02_c02: 0.8828132049238775
v_Diving_g02_c03: 0.8286489680467639
v_Diving_g02_c04: 0.8658266371639911
v_Diving_g02_c05: 0.9127759387774859
v_Diving_g02_c06: 0.8940594055748079
v_Diving_g02_c07: 0.9185837541299406
v_Diving_g03_c01: 0.9072542431822512
v_Diving_g03_c02: 0.8298074401973281
v_Diving_g03_c03: 0.9317432350071613
v_Diving_g03_c04: 0.8679205010703299
v_Diving_g03_c05: 0.8778130392602179
v_Diving_g03_c06: 0.9153533369826619
v_Diving_g03_c07: 0.8695423613826279
v_Diving_g04_c01: 0.9273627082875464
v_Diving_g04_c02: 0.9080229070095811
v_Diving_g04_c03: 0.9643207957560662
v_Diving_g04_c04: 0.914949025871465
v_Diving_g04_c05: 0.9298054880055133
v_Diving_g04_c06: 0.9319106337206904
v_Diving_g04_c07: 0.9404478102514986
v_Diving_g05_c01: 0.8978015272004995
v_Diving_g05_c02: 0.8973843033018056
v_Diving_g05_c03: 0.868117793375859
v_Diving_g05_c04: 0.8620509485772345
v_Diving_g05_c05: 0.8198522645107005
v_Diving_g05_c06: 0.8647235866228584
v_Diving_g06_c01: 0.785877365997294
v_Diving_g06_c02: 0.7838962212263141
v_Diving_g06_c03: 0.8726254251378123
v_Diving_g06_c04: 0.8776691352541093
v_Diving_g06_c05: 0.8746269481780473
v_Diving_g06_c06: 0.8952113838458899
v_Diving_g06_c07: 0.7910311731102411
v_Diving_g07_c01: 0.9177332489343826
v_Diving_g07_c02: 0.9432835245097522
v_Diving_g07_c03: 0.8931880222226027
v_Diving_g07_c04: 0.9098879770899657
v_Fencing_g01_c01: 0.7977292859868612
v_Fencing_g01_c02: 0.8248482512717601
v_Fencing_g01_c03: 0.8167098605481442
v_Fencing_g01_c04: 0.8159684635174926
v_Fencing_g01_c05: 0.828822285257047
v_Fencing_g01_c06: 0.8228309479018208
v_Fencing_g02_c01: 0.8896194413246121
v_Fencing_g02_c02: 0.7552459769358393
v_Fencing_g02_c03: 0.8984536650532391
v_Fencing_g02_c04: 0.8923288819787558
v_Fencing_g02_c05: 0.8560465814953204
v_Fencing_g03_c01: 0.7933655468223151
v_Fencing_g03_c02: 0.32604540194734
v_Fencing_g03_c03: 0.8475889420078602
v_Fencing_g03_c04: 0.802198064600816
v_Fencing_g03_c05: 0.7446402284258511
v_Fencing_g04_c01: 0.4338209669513162
v_Fencing_g04_c02: 0.7886536140867975
v_Fencing_g04_c03: 0.6445634165720548
v_Fencing_g04_c04: 0.7663740369898733
v_Fencing_g04_c05: 0.6578015206323471
v_Fencing_g05_c01: 0.8703472382330801
v_Fencing_g05_c02: 0.8974693525524344
v_Fencing_g05_c03: 0.9011851978430059
v_Fencing_g05_c04: 0.8616210614272859
v_Fencing_g05_c05: 0.870907047385117
v_Fencing_g06_c01: 0.6597853145503905
v_Fencing_g06_c02: 0.7642082153761294
v_Fencing_g06_c03: 0.8425465669424739
v_Fencing_g06_c04: 0.8671332910598721
v_Fencing_g07_c01: 0.8087696263974067
v_Fencing_g07_c02: 0.6270281100587454
v_Fencing_g07_c03: 0.8883269525540527
v_Fencing_g07_c04: 0.841200817929348
v_FloorGymnastics_g01_c01: 0.9444302208721638
v_FloorGymnastics_g01_c02: 0.9573193481191993
v_FloorGymnastics_g01_c03: 0.9327833552379161
v_FloorGymnastics_g01_c04: 0.946757972240448
v_FloorGymnastics_g01_c05: 0.9295023852027953
v_FloorGymnastics_g02_c01: 0.8417880132328719
v_FloorGymnastics_g02_c02: 0.8780636563897133
v_FloorGymnastics_g02_c03: 0.9268657362554222
v_FloorGymnastics_g02_c04: 0.9443357866257429
v_FloorGymnastics_g03_c01: 0.9392605798784643
v_FloorGymnastics_g03_c02: 0.9216008665971458
v_FloorGymnastics_g03_c03: 0.8660036842338741
v_FloorGymnastics_g03_c04: 0.9340367920231074
v_FloorGymnastics_g04_c01: 0.9606891276780516
v_FloorGymnastics_g04_c02: 0.9369671472813934
v_FloorGymnastics_g04_c03: 0.8895156409125775
v_FloorGymnastics_g04_c04: 0.9429644085466862
v_FloorGymnastics_g04_c05: 0.9535921635106206
v_FloorGymnastics_g05_c01: 0.9417614515405148
v_FloorGymnastics_g05_c02: 0.9522345352452248
v_FloorGymnastics_g05_c03: 0.9475334358867258
v_FloorGymnastics_g05_c04: 0.948138722917065
v_FloorGymnastics_g06_c01: 0.884405939374119
v_FloorGymnastics_g06_c02: 0.9176003735046834
v_FloorGymnastics_g06_c03: 0.9227786157280207
v_FloorGymnastics_g06_c04: 0.5444346317090094
v_FloorGymnastics_g06_c05: 0.35817723046056926
v_FloorGymnastics_g06_c06: 0.6481352038681507
v_FloorGymnastics_g06_c07: 0.6028819577768445
v_FloorGymnastics_g07_c01: 0.7465196666307747
v_FloorGymnastics_g07_c02: 0.8785737769212574
v_FloorGymnastics_g07_c03: 0.953721878118813
v_FloorGymnastics_g07_c04: 0.694908483652398
v_FloorGymnastics_g07_c05: 0.6553110582754016
v_FloorGymnastics_g07_c06: 0.7343568385113031
v_FloorGymnastics_g07_c07: 0.8618690131697804
v_GolfSwing_g01_c01: 0.8904872790153604
v_GolfSwing_g01_c02: 0.8829586060892325
v_GolfSwing_g01_c03: 0.9003839196811896
v_GolfSwing_g01_c04: 0.9300171020149719
v_GolfSwing_g01_c05: 0.9016070540237706
v_GolfSwing_g01_c06: 0.919214013236342
v_GolfSwing_g02_c01: 0.8163842982321512
v_GolfSwing_g02_c02: 0.6343243471055757
v_GolfSwing_g02_c03: 0.5664060224953573
v_GolfSwing_g02_c04: 0.7559234425134491
v_GolfSwing_g03_c01: 0.568111779371975
v_GolfSwing_g03_c02: 0.5590626531920861
v_GolfSwing_g03_c03: 0.6691877536650281
v_GolfSwing_g03_c04: 0.6240807689900976
v_GolfSwing_g03_c05: 0.5790018448315095
v_GolfSwing_g03_c06: 0.6592149573552888
v_GolfSwing_g03_c07: 0.6776520989078563
v_GolfSwing_g04_c01: 0.789960201800568
v_GolfSwing_g04_c02: 0.7605483559600543
v_GolfSwing_g04_c03: 0.9035225840925705
v_GolfSwing_g04_c04: 0.8355876998684835
v_GolfSwing_g04_c05: 0.7993838663387578
v_GolfSwing_g04_c06: 0.8510779996577185
v_GolfSwing_g05_c01: 0.4187088005419355
v_GolfSwing_g05_c02: 0.809610457130475
v_GolfSwing_g05_c03: 0.8428129893436562
v_GolfSwing_g05_c04: 0.8370513999543618
v_GolfSwing_g05_c05: 0.8319736842240673
v_GolfSwing_g05_c06: 0.6785920532129239
v_GolfSwing_g05_c07: 0.5847360328480136
v_GolfSwing_g06_c01: 0.014110818039625883
v_GolfSwing_g06_c02: 0.5672764382034075
v_GolfSwing_g06_c03: 0.7695660569879692
v_GolfSwing_g06_c04: 0.5472679082013201
v_GolfSwing_g07_c01: 0.6982638311746996
v_GolfSwing_g07_c02: 0.8256531168881338
v_GolfSwing_g07_c03: 0.8337729738268536
v_GolfSwing_g07_c04: 0.6626241318590473
v_GolfSwing_g07_c05: 0.5026282930921298
v_HorseRiding_g01_c01: 0.9446972947844188
v_HorseRiding_g01_c02: 0.9300118746978114
v_HorseRiding_g01_c03: 0.9010341092289309
v_HorseRiding_g01_c04: 0.9357145707399468
v_HorseRiding_g01_c05: 0.9471429499608348
v_HorseRiding_g01_c06: 0.9139974214413087
v_HorseRiding_g01_c07: 0.9579282234699349
v_HorseRiding_g02_c01: 0.9408696828686516
v_HorseRiding_g02_c02: 0.9502076820281218
v_HorseRiding_g02_c03: 0.9327886711616884
v_HorseRiding_g02_c04: 0.961114552737854
v_HorseRiding_g02_c05: 0.9367159532193909
v_HorseRiding_g02_c06: 0.9490958777532796
v_HorseRiding_g02_c07: 0.936309494478337
v_HorseRiding_g03_c01: 0.9001255400289665
v_HorseRiding_g03_c02: 0.9111169215102564
v_HorseRiding_g03_c03: 0.9205424882748048
v_HorseRiding_g03_c04: 0.9168688931313227
v_HorseRiding_g03_c05: 0.9528281932507525
v_HorseRiding_g03_c06: 0.9314994143132935
v_HorseRiding_g03_c07: 0.9409111041386495
v_HorseRiding_g04_c01: 0.8950547379718046
v_HorseRiding_g04_c02: 0.8663287592862616
v_HorseRiding_g04_c03: 0.8268130397700588
v_HorseRiding_g04_c04: 0.878084457879595
v_HorseRiding_g04_c05: 0.9054963064190815
v_HorseRiding_g04_c06: 0.9333339556396822
v_HorseRiding_g04_c07: 0.8984129600503366
v_HorseRiding_g05_c01: 0.9624188495145063
v_HorseRiding_g05_c02: 0.9612095176053117
v_HorseRiding_g05_c03: 0.9321562670447747
v_HorseRiding_g05_c04: 0.9308958120454918
v_HorseRiding_g05_c05: 0.9180427511964808
v_HorseRiding_g05_c06: 0.9184918714963715
v_HorseRiding_g05_c07: 0.9091486995384912
v_HorseRiding_g06_c01: 0.9339180730094085
v_HorseRiding_g06_c02: 0.9541626760546933
v_HorseRiding_g06_c03: 0.9489784149263869
v_HorseRiding_g06_c04: 0.9460244664733182
v_HorseRiding_g06_c05: 0.9416123437040369
v_HorseRiding_g06_c06: 0.9742023909275304
v_HorseRiding_g06_c07: 0.9473234446995775
v_HorseRiding_g07_c01: 0.9116417331897537
v_HorseRiding_g07_c02: 0.8567548535575042
v_HorseRiding_g07_c03: 0.863480799998797
v_HorseRiding_g07_c04: 0.8543302874822984
v_HorseRiding_g07_c05: 0.9160330502127181
v_HorseRiding_g07_c06: 0.9473504674897413
v_HorseRiding_g07_c07: 0.9507172488883953
v_IceDancing_g01_c01: 0.6870257498667343
v_IceDancing_g01_c02: 0.7583801858563675
v_IceDancing_g01_c03: 0.7119114869710756
v_IceDancing_g01_c04: 0.7725690273073269
v_IceDancing_g01_c05: 0.8020026800659252
v_IceDancing_g01_c06: 0.6974382650078041
v_IceDancing_g01_c07: 0.6946142223168863
v_IceDancing_g02_c01: 0.8124588041537208
v_IceDancing_g02_c02: 0.7293105072312756
v_IceDancing_g02_c03: 0.6834339146007551
v_IceDancing_g02_c04: 0.7201395025913371
v_IceDancing_g02_c05: 0.7421791397937341
v_IceDancing_g02_c06: 0.7701968078472419
v_IceDancing_g02_c07: 0.7597222370532108
v_IceDancing_g03_c01: 0.7446553311747266
v_IceDancing_g03_c02: 0.8431709974975092
v_IceDancing_g03_c03: 0.7950965008203639
v_IceDancing_g03_c04: 0.8105713380937232
v_IceDancing_g03_c05: 0.8765715808112873
v_IceDancing_g03_c06: 0.7938084635388805
v_IceDancing_g04_c01: 0.639260950309108
v_IceDancing_g04_c02: 0.6990416802436812
v_IceDancing_g04_c03: 0.6167370190814836
v_IceDancing_g04_c04: 0.5833713452302618
v_IceDancing_g04_c05: 0.020557367068249732
v_IceDancing_g04_c06: 0.5293814395990921
v_IceDancing_g04_c07: 0.6092432884470327
v_IceDancing_g05_c01: 0.7607447889604373
v_IceDancing_g05_c02: 0.7851951329939766
v_IceDancing_g05_c03: 0.7677851464104606
v_IceDancing_g05_c04: 0.6285981906548841
v_IceDancing_g05_c05: 0.7771467376005603
v_IceDancing_g05_c06: 0.7801928236585809
v_IceDancing_g06_c01: 0.8613207466405584
v_IceDancing_g06_c02: 0.7270831587229623
v_IceDancing_g06_c03: 0.8458504442096455
v_IceDancing_g06_c04: 0.8107719198305858
v_IceDancing_g06_c05: 0.8260328909818782
v_IceDancing_g06_c06: 0.6292585595947457
v_IceDancing_g07_c01: 0.8513454685889883
v_IceDancing_g07_c02: 0.8761298589379294
v_IceDancing_g07_c03: 0.8051003355503781
v_IceDancing_g07_c04: 0.7237172476452542
v_IceDancing_g07_c05: 0.750240401175688
v_IceDancing_g07_c06: 0.6924511208635522
v_IceDancing_g07_c07: 0.7445203254901571
v_LongJump_g01_c01: 0.8693905295676814
v_LongJump_g01_c02: 0.8955889097287582
v_LongJump_g01_c03: 0.9364251887764112
v_LongJump_g01_c04: 0.8321367143526004
v_LongJump_g01_c05: 0.8926216144918726
v_LongJump_g01_c06: 0.8795694648160861
v_LongJump_g01_c07: 0.8790539856872783
v_LongJump_g02_c01: 0.9643256992440001
v_LongJump_g02_c02: 0.9713884868997411
v_LongJump_g02_c03: 0.9837881596631632
v_LongJump_g02_c04: 0.9506882477890031
v_LongJump_g02_c05: 0.970497330172293
v_LongJump_g03_c01: 0.8720668132755236
v_LongJump_g03_c02: 0.899939701646872
v_LongJump_g03_c03: 0.7038232309150771
v_LongJump_g03_c04: 0.8551317187830136
v_LongJump_g03_c05: 0.797845687937297
v_LongJump_g03_c06: 0.8493271316274331
v_LongJump_g04_c01: 0.8386811630207376
v_LongJump_g04_c02: 0.8582374346315191
v_LongJump_g04_c03: 0.8253928089852707
v_LongJump_g04_c04: 0.8523931500840263
v_LongJump_g04_c05: 0.8845634602348582
v_LongJump_g04_c06: 0.8746438259131537
v_LongJump_g04_c07: 0.8596032238438056
v_LongJump_g05_c01: 0.14326712503861927
v_LongJump_g05_c02: 0.4480273203098477
v_LongJump_g05_c03: 0.4367058989464567
v_LongJump_g05_c04: 0.7804818528111355
v_LongJump_g05_c05: 0.7209016117139981
v_LongJump_g06_c01: 0.36431863995858293
v_LongJump_g06_c02: 0.6413918661291973
v_LongJump_g06_c03: 0.40383515691974026
v_LongJump_g06_c04: 0.5148505796551035
v_LongJump_g07_c01: 0.6553374470549898
v_LongJump_g07_c02: 0.884207908749886
v_LongJump_g07_c03: 0.5397336401383654
v_LongJump_g07_c05: 0.7799339073117153
v_PoleVault_g01_c01: 0.9103026867014705
v_PoleVault_g01_c02: 0.9046657862709253
v_PoleVault_g01_c03: 0.9409974482477992
v_PoleVault_g01_c04: 0.9279913042773842
v_PoleVault_g01_c05: 0.8662379115921794
v_PoleVault_g02_c01: 0.8689479592358111
v_PoleVault_g02_c02: 0.8478915246305405
v_PoleVault_g02_c03: 0.7856756620676606
v_PoleVault_g02_c04: 0.8475438279201626
v_PoleVault_g02_c05: 0.7747204720144509
v_PoleVault_g02_c06: 0.8561361981192022
v_PoleVault_g02_c07: 0.8899254344505607
v_PoleVault_g03_c01: 0.885385469031462
v_PoleVault_g03_c02: 0.7102960026459186
v_PoleVault_g03_c03: 0.6991835685548722
v_PoleVault_g03_c04: 0.8164168521398096
v_PoleVault_g03_c05: 0.7674510008291691
v_PoleVault_g03_c06: 0.8826069775604992
v_PoleVault_g03_c07: 0.9163984609403997
v_PoleVault_g04_c01: 0.7544474843525677
