Loaded /home/acb11711tx/lzq/ExpEval/exe_res/ucf101_r2p1d_perturb_full_core14_summed.pt
Use 4 GPUs!
v_Basketball_g01_c01: 0.3270936910339515
v_Basketball_g01_c02: 0.44554018106282456
v_Basketball_g01_c03: 0.21502004685316933
v_Basketball_g01_c04: 0.15910765813168837
v_Basketball_g01_c05: 0.2994310526919435
v_Basketball_g01_c06: 0.4336800071687321
v_Basketball_g01_c07: 0.7486956018765341
v_Basketball_g02_c01: 0.6007942095675389
v_Basketball_g02_c02: 0.6396221280374448
v_Basketball_g02_c03: 0.5817549658750067
v_Basketball_g02_c04: 0.8091091415190022
v_Basketball_g02_c05: 0.6309930083152722
v_Basketball_g02_c06: 0.7398755880349199
v_Basketball_g03_c01: 0.7919135703050415
v_Basketball_g03_c02: 0.8105937039290438
v_Basketball_g03_c03: 0.8122458403740893
v_Basketball_g03_c04: 0.8054998467487167
v_Basketball_g03_c05: 0.7698931074046413
v_Basketball_g03_c06: 0.7673755247888039
v_Basketball_g04_c01: 0.7613825557564269
v_Basketball_g04_c02: 0.2371799621541868
v_Basketball_g04_c03: 0.7264276213754783
v_Basketball_g04_c04: 0.6699552041754941
v_Basketball_g05_c01: 0.6242517276477884
v_Basketball_g05_c02: 0.12781731079303427
v_Basketball_g05_c03: 0.7583541173298727
v_Basketball_g05_c04: 0.4181052375861327
v_Basketball_g06_c01: 0.8692058780507068
v_Basketball_g06_c02: 0.9360143888552557
v_Basketball_g06_c03: 0.9185408639532398
v_Basketball_g06_c04: 0.8791612597924541
v_Basketball_g07_c01: 0.6856049214766244
v_Basketball_g07_c02: 0.7452352584150503
v_Basketball_g07_c03: 0.7914008923617075
v_Basketball_g07_c04: 0.876807896354876
v_BasketballDunk_g01_c01: 0.9145937839639373
v_BasketballDunk_g01_c02: 0.9083587458007969
v_BasketballDunk_g01_c03: 0.8464885352295823
v_BasketballDunk_g01_c04: 0.8753408629563637
v_BasketballDunk_g01_c05: 0.8924214053549804
v_BasketballDunk_g01_c06: 0.8588916974258609
v_BasketballDunk_g01_c07: 0.8745744228945114
v_BasketballDunk_g02_c01: 0.8920522737898864
v_BasketballDunk_g02_c02: 0.7839125283644535
v_BasketballDunk_g02_c03: 0.816653095476795
v_BasketballDunk_g02_c04: 0.7969405733165331
v_BasketballDunk_g03_c01: 0.8916001858306117
v_BasketballDunk_g03_c02: 0.9038801903952844
v_BasketballDunk_g03_c03: 0.8650594230857678
v_BasketballDunk_g03_c04: 0.9190485976287164
v_BasketballDunk_g03_c05: 0.9065750646986999
v_BasketballDunk_g03_c06: 0.882230389455799
v_BasketballDunk_g04_c01: 0.8937697907094844
v_BasketballDunk_g04_c02: 0.9016359893721528
v_BasketballDunk_g04_c03: 0.8463650921476074
v_BasketballDunk_g04_c04: 0.9003406097763218
v_BasketballDunk_g05_c01: 0.9188301538233645
v_BasketballDunk_g05_c02: 0.8420842092600651
v_BasketballDunk_g05_c03: 0.8497921189409681
v_BasketballDunk_g05_c04: 0.8938689407077618
v_BasketballDunk_g05_c05: 0.8526931671076454
v_BasketballDunk_g05_c06: 0.8893341811490245
v_BasketballDunk_g06_c01: 0.8525679638260044
v_BasketballDunk_g06_c02: 0.864706392691005
v_BasketballDunk_g06_c03: 0.8541904057492502
v_BasketballDunk_g06_c04: 0.8616846397635527
v_BasketballDunk_g07_c01: 0.8399931786698289
v_BasketballDunk_g07_c02: 0.9220802675117739
v_BasketballDunk_g07_c03: 0.9164666734286584
v_BasketballDunk_g07_c04: 0.8484253986389376
v_BasketballDunk_g07_c05: 0.8834677003906108
v_BasketballDunk_g07_c06: 0.902655367332045
v_Biking_g01_c01: 0.904671630836674
v_Biking_g01_c02: 0.9092718321044231
v_Biking_g01_c03: 0.9551088481821353
v_Biking_g01_c04: 0.9673235681984806
v_Biking_g02_c01: 0.8798285615775967
v_Biking_g02_c02: 0.8600644930411363
v_Biking_g02_c03: 0.8978765180945629
v_Biking_g02_c04: 0.8808960376918549
v_Biking_g02_c05: 0.9412410168588394
v_Biking_g02_c06: 0.8138651594199473
v_Biking_g02_c07: 0.8547522253502393
v_Biking_g03_c01: 0.7150425950676436
v_Biking_g03_c02: 0.9236221306637162
v_Biking_g03_c03: 0.9385169090382988
v_Biking_g03_c04: 0.8469863576028729
v_Biking_g04_c01: 0.47489735695126
v_Biking_g04_c02: 0.5330284570954973
v_Biking_g04_c03: 0.8412476554658497
v_Biking_g04_c04: 0.4325161148008192
v_Biking_g04_c05: 0.6588781171158189
v_Biking_g05_c01: 0.6307258596789325
v_Biking_g05_c02: 0.8660443809494609
v_Biking_g05_c03: 0.9181462484557414
v_Biking_g05_c04: 0.9059429853368783
v_Biking_g05_c05: 0.9324137424264336
v_Biking_g05_c06: 0.9259034386050189
v_Biking_g05_c07: 0.9141286786325509
v_Biking_g06_c01: 0.8612226960394764
v_Biking_g06_c02: 0.8949346435401822
v_Biking_g06_c03: 0.9139475498959655
v_Biking_g06_c04: 0.6922692395892227
v_Biking_g06_c05: 0.8820527533680433
v_Biking_g07_c01: 0.801407670151093
v_Biking_g07_c02: 0.8711421997431898
v_Biking_g07_c03: 0.8705144787818426
v_Biking_g07_c04: 0.8970444272417808
v_Biking_g07_c05: 0.7125301326304907
v_Biking_g07_c06: 0.8004415929462994
v_CliffDiving_g01_c01: 0.8625541209039511
v_CliffDiving_g01_c02: 0.908877873167512
v_CliffDiving_g01_c03: 0.8547614438721212
v_CliffDiving_g01_c04: 0.8120930279401364
v_CliffDiving_g01_c05: 0.8807640397717478
v_CliffDiving_g01_c06: 0.761872307935846
v_CliffDiving_g02_c01: 0.9161141943914117
v_CliffDiving_g02_c02: 0.8681922585965367
v_CliffDiving_g02_c03: 0.8575997115840437
v_CliffDiving_g02_c04: 0.9314231551979901
v_CliffDiving_g03_c01: 0.9582843001262518
v_CliffDiving_g03_c02: 0.9569598853850039
v_CliffDiving_g03_c03: 0.9345188921579393
v_CliffDiving_g03_c04: 0.9662647259683581
v_CliffDiving_g03_c05: 0.9625559401029022
v_CliffDiving_g04_c01: 0.9660530328546884
v_CliffDiving_g04_c02: 0.950660521237296
v_CliffDiving_g04_c03: 0.9647519009449752
v_CliffDiving_g04_c04: 0.9173597130720736
v_CliffDiving_g05_c01: 0.5620285747136222
v_CliffDiving_g05_c02: 0.8431388200988295
v_CliffDiving_g05_c03: 0.8297289023903431
v_CliffDiving_g05_c04: 0.2769443654251518
v_CliffDiving_g05_c05: 0.9098749082331778
v_CliffDiving_g05_c06: 0.9579258298763307
v_CliffDiving_g05_c07: 0.9556361670402111
v_CliffDiving_g06_c01: 0.8099696969875367
v_CliffDiving_g06_c02: 0.9178594386467012
v_CliffDiving_g06_c03: 0.8485538841487141
v_CliffDiving_g06_c04: 0.7930196943489136
v_CliffDiving_g06_c05: 0.8782011483126553
v_CliffDiving_g06_c06: 0.8866523276810767
v_CliffDiving_g06_c07: 0.9041587662213715
v_CliffDiving_g07_c01: 0.9747002404910745
v_CliffDiving_g07_c02: 0.9910384678078117
v_CliffDiving_g07_c03: 0.9650049452466192
v_CliffDiving_g07_c04: 0.8981188415345969
v_CliffDiving_g07_c05: 0.9734993794263573
v_CliffDiving_g07_c06: 0.7485223466792377
v_CricketBowling_g01_c01: 0.9585442010429688
v_CricketBowling_g01_c02: 0.9684839398250915
v_CricketBowling_g01_c03: 0.9617348102037795
v_CricketBowling_g01_c04: 0.9801539416075684
v_CricketBowling_g01_c05: 0.9735399282653816
v_CricketBowling_g01_c06: 0.9739088041824289
