Loaded /home/lzq/ExpEval/exe_res/ucf101_r2p1d_sg2_full.pt
v_CliffDiving_g05_c04: 0.44820191900385176
v_CliffDiving_g05_c05: 0.3043003850359851
v_CliffDiving_g05_c06: 0.7038420352674141
v_CliffDiving_g05_c07: 0.5780571751501851
v_CliffDiving_g06_c01: 0.5802073878360781
v_CliffDiving_g06_c02: 0.5815740613281493
v_CliffDiving_g06_c03: 0.5475015443874391
v_CliffDiving_g06_c04: 0.4686141005445888
v_CliffDiving_g06_c05: 0.5302904971735919
v_CliffDiving_g06_c06: 0.5688263657319499
v_CliffDiving_g06_c07: 0.6017738618983293
v_CliffDiving_g07_c01: 0.43565458629837656
v_CliffDiving_g07_c02: 0.8051584434116216
v_CliffDiving_g07_c03: 0.7151926831730943
v_CliffDiving_g07_c04: 0.5930160073578123
v_CliffDiving_g07_c05: 0.44478015034041535
v_CliffDiving_g07_c06: 0.5664349980505667
v_CricketBowling_g01_c01: 0.16606146449912487
v_CricketBowling_g01_c02: 0.16284069536972468
v_CricketBowling_g01_c03: 0.1269766594554613
v_CricketBowling_g01_c04: 0.1788224254140821
v_CricketBowling_g01_c05: 0.18735715677213716
v_CricketBowling_g01_c06: 0.20817886375800126
v_CricketBowling_g01_c07: 0.1473924487198549
v_CricketBowling_g02_c01: 0.03086601515249239
v_CricketBowling_g02_c02: 0.036816810067068405
v_CricketBowling_g02_c03: 0.06833944053895126
v_CricketBowling_g02_c04: 0.046218463527698685
v_CricketBowling_g02_c05: 0.07231872476725362
v_CricketBowling_g02_c06: 0.058136688450014025
v_CricketBowling_g02_c07: 0.05315008478635174
v_CricketBowling_g03_c01: 0.012791191081069117
v_CricketBowling_g03_c02: 0.013766897116296403
v_CricketBowling_g03_c03: 0.015165220924073786
v_CricketBowling_g03_c04: 0.015241606036333118
v_CricketBowling_g04_c01: 0.029700666438700177
v_CricketBowling_g04_c02: 0.009700928019051711
v_CricketBowling_g04_c03: 0.013634475615374215
v_CricketBowling_g04_c04: 0.0061557791672471
v_CricketBowling_g04_c05: 0.007288205613360161
v_CricketBowling_g05_c01: 0.20156605413374235
v_CricketBowling_g05_c02: 0.18912863802516788
v_CricketBowling_g05_c03: 0.16821895786891067
v_CricketBowling_g05_c04: 0.21583979806356776
v_CricketBowling_g06_c01: 0.03061453799357799
v_CricketBowling_g06_c02: 0.04316800903880925
v_CricketBowling_g06_c03: 0.03317381383660506
v_CricketBowling_g06_c04: 0.03892254055749009
v_CricketBowling_g06_c05: 0.04032087373715921
v_CricketBowling_g07_c01: 0.045789672406463644
