Loaded /home/lzq/ExpEval/exe_res/ucf101_r2p1d_random_full.pt
v_CliffDiving_g05_c04: 0.2369364152289927
v_CliffDiving_g05_c05: 0.7938723654486239
v_CliffDiving_g05_c06: 0.9670074127055704
v_CliffDiving_g05_c07: 0.9289503777958452
v_CliffDiving_g06_c01: 0.8514573327638209
v_CliffDiving_g06_c02: 0.900822377000004
v_CliffDiving_g06_c03: 0.9500540010072291
v_CliffDiving_g06_c04: 0.8738573993183673
v_CliffDiving_g06_c05: 0.9291772733069956
v_CliffDiving_g06_c06: 0.8619926924444735
v_CliffDiving_g06_c07: 0.9554001555778087
v_CliffDiving_g07_c01: 0.9562932945229113
v_CliffDiving_g07_c02: 0.9589783812500536
v_CliffDiving_g07_c03: 0.9445786596275866
v_CliffDiving_g07_c04: 0.847988113258034
v_CliffDiving_g07_c05: 0.9857716641761363
v_CliffDiving_g07_c06: 0.380945899579674
v_CricketBowling_g01_c01: 0.8847637257073074
v_CricketBowling_g01_c02: 0.8046838569734246
v_CricketBowling_g01_c03: 0.7622765079233795
v_CricketBowling_g01_c04: 0.7728286278340966
v_CricketBowling_g01_c05: 0.7344520309660584
v_CricketBowling_g01_c06: 0.822155179688707
v_CricketBowling_g01_c07: 0.7791826778743416
v_CricketBowling_g02_c01: 0.19373492361046374
v_CricketBowling_g02_c02: 0.2964768403861672
v_CricketBowling_g02_c03: 0.2534148293826729
v_CricketBowling_g02_c04: 0.17226192177273333
v_CricketBowling_g02_c05: 0.3410579463932663
v_CricketBowling_g02_c06: 0.2960580289456993
v_CricketBowling_g02_c07: 0.20389337004162372
v_CricketBowling_g03_c01: 0.020775002837181093
v_CricketBowling_g03_c02: 0.0077065327297896145
v_CricketBowling_g03_c03: 0.016968092182651162
