Loaded /home/lzq/ExpEval/exe_res/ucf101_r2p1d_perturb_full_core8_summed.pt
v_Basketball_g01_c01: 0.25277641422871966
v_Basketball_g01_c02: 0.41481562571425457
v_Basketball_g01_c03: 0.18572576514270622
v_Basketball_g01_c04: 0.11796622078691144
v_Basketball_g01_c05: 0.3338313978892984
v_Basketball_g01_c06: 0.47181076773267705
v_Basketball_g01_c07: 0.7763782041874947
v_Basketball_g02_c01: 0.700880124073592
v_Basketball_g02_c02: 0.6632827288267436
v_Basketball_g02_c03: 0.6650943584536435
v_Basketball_g02_c04: 0.8316669371706666
v_Basketball_g02_c05: 0.668422699047369
v_Basketball_g02_c06: 0.7467401959729614
v_Basketball_g03_c01: 0.7951009881944628
v_Basketball_g03_c02: 0.8175626789015951
v_Basketball_g03_c03: 0.8154725377244176
v_Basketball_g03_c04: 0.8065725514461519
v_Basketball_g03_c05: 0.7578509425075026
v_Basketball_g03_c06: 0.8163349587266566
v_Basketball_g04_c01: 0.8220277778600575
v_Basketball_g04_c02: 0.17544820539478678
v_Basketball_g04_c03: 0.7643244339415105
v_Basketball_g04_c04: 0.674442597271991
v_Basketball_g05_c01: 0.6879725494218292
v_Basketball_g05_c02: 0.19035952411650214
v_Basketball_g05_c03: 0.7827463048306527
v_Basketball_g05_c04: 0.49825393439095933
v_Basketball_g06_c01: 0.8825615503155859
v_Basketball_g06_c02: 0.9457663642970147
v_Basketball_g06_c03: 0.9537697123159887
v_Basketball_g06_c04: 0.9026147933545872
v_Basketball_g07_c01: 0.7646658931262209
v_Basketball_g07_c02: 0.8101675450670882
v_Basketball_g07_c03: 0.8466803856063052
v_Basketball_g07_c04: 0.880244044434221
v_BasketballDunk_g01_c01: 0.9331134239473613
v_BasketballDunk_g01_c02: 0.933886521102977
v_BasketballDunk_g01_c03: 0.8787724374124082
v_BasketballDunk_g01_c04: 0.9030824739747914
v_BasketballDunk_g01_c05: 0.9176032949035289
v_BasketballDunk_g01_c06: 0.8911225514748367
v_BasketballDunk_g01_c07: 0.9152036906016292
v_BasketballDunk_g02_c01: 0.9170641708915355
v_BasketballDunk_g02_c02: 0.7930174358916702
v_BasketballDunk_g02_c03: 0.841210685975966
v_BasketballDunk_g02_c04: 0.8197036467754515
v_BasketballDunk_g03_c01: 0.9230288209655555
v_BasketballDunk_g03_c02: 0.9170895929710241
v_BasketballDunk_g03_c03: 0.8735028382652672
v_BasketballDunk_g03_c04: 0.9507537387107732
v_BasketballDunk_g03_c05: 0.9326528716628673
v_BasketballDunk_g03_c06: 0.8994707945530536
