Loaded /home/lzq/ExpEval/exe_res/ucf101_r2p1d_random_full.pt
v_CliffDiving_g05_c04: 0.08888516865670681
v_CliffDiving_g05_c05: 0.22229653798043728
v_CliffDiving_g05_c06: 0.23787409268319606
v_CliffDiving_g05_c07: 0.2563431312888861
v_CliffDiving_g06_c01: 0.15960245840251447
v_CliffDiving_g06_c02: 0.24460176758468152
v_CliffDiving_g06_c03: 0.2125031816214323
v_CliffDiving_g06_c04: 0.15436940155923368
v_CliffDiving_g06_c05: 0.25692389033734797
v_CliffDiving_g06_c06: 0.1596720164269209
v_CliffDiving_g06_c07: 0.25352224193513395
v_CliffDiving_g07_c01: 0.35440351597964764
v_CliffDiving_g07_c02: 0.35306834004819393
v_CliffDiving_g07_c03: 0.45651450984179975
v_CliffDiving_g07_c04: 0.3208630677312613
v_CliffDiving_g07_c05: 0.24136232219636441
v_CliffDiving_g07_c06: 0.157718690559268
v_CricketBowling_g01_c01: 0.31199803204275667
v_CricketBowling_g01_c02: 0.25752700806595386
v_CricketBowling_g01_c03: 0.23805491597391665
v_CricketBowling_g01_c04: 0.2704024994466454
v_CricketBowling_g01_c05: 0.30482461244799197
v_CricketBowling_g01_c06: 0.36849928827024997
v_CricketBowling_g01_c07: 0.21475087703205645
v_CricketBowling_g02_c01: 0.17885066368617117
v_CricketBowling_g02_c02: 0.2625671768281609
v_CricketBowling_g02_c03: 0.2535466849897057
v_CricketBowling_g02_c04: 0.2124924644920975
v_CricketBowling_g02_c05: 0.27768180758692323
v_CricketBowling_g02_c06: 0.26617072970606387
v_CricketBowling_g02_c07: 0.21760184914804995
v_CricketBowling_g03_c01: 0.06157870005816221
v_CricketBowling_g03_c02: 0.06491975010372698
v_CricketBowling_g03_c03: 0.08658701167441904
v_CricketBowling_g03_c04: 0.05368963451124728
v_CricketBowling_g04_c01: 0.23993825466372073
v_CricketBowling_g04_c02: 0.08526104108430445
v_CricketBowling_g04_c03: 0.22395147235132754
v_CricketBowling_g04_c04: 0.10987586968578399
v_CricketBowling_g04_c05: 0.12165375948883593
v_CricketBowling_g05_c01: 0.31352079750038686
v_CricketBowling_g05_c02: 0.44777683914639055
v_CricketBowling_g05_c03: 0.3331203228328377
