Loaded /home/lzq/ExpEval/exe_res/ucf101_r2p1d_blur_ig_full_test.pt
v_CliffDiving_g05_c04: 0.11743736118660308
v_CliffDiving_g05_c05: 0.7625402134435717
v_CliffDiving_g05_c06: 0.5013619399687741
v_CliffDiving_g05_c07: 0.6998981471697334
v_CliffDiving_g06_c01: 0.4612262280716095
v_CliffDiving_g06_c02: 0.6405345237872098
v_CliffDiving_g06_c03: 0.647613334847847
v_CliffDiving_g06_c04: 0.4885087433794979
v_CliffDiving_g06_c05: 0.6927101229375694
v_CliffDiving_g06_c06: 0.5719408762233797
v_CliffDiving_g06_c07: 0.680731112981448
v_CliffDiving_g07_c01: 0.5119329971785191
v_CliffDiving_g07_c02: 0.6666076445544604
v_CliffDiving_g07_c03: 0.6341752653534058
v_CliffDiving_g07_c04: 0.5190034985134844
v_CliffDiving_g07_c05: 0.8836887692159507
v_CliffDiving_g07_c06: 0.16398987793945707
v_CricketBowling_g01_c01: 0.9140475454987609
v_CricketBowling_g01_c02: 0.8837521224995726
v_CricketBowling_g01_c03: 0.8094463732340955
v_CricketBowling_g01_c04: 0.9152212375556701
v_CricketBowling_g01_c05: 0.9029328620308661
v_CricketBowling_g01_c06: 0.8699119312004768
v_CricketBowling_g01_c07: 0.8318569180337363
v_CricketBowling_g02_c01: 0.31418068180937553
v_CricketBowling_g02_c02: 0.4003182339729392
v_CricketBowling_g02_c03: 0.5809843910174095
v_CricketBowling_g02_c04: 0.49089944197476143
v_CricketBowling_g02_c05: 0.5845897921608412
v_CricketBowling_g02_c06: 0.6332655576770776
v_CricketBowling_g02_c07: 0.488147033356654
v_CricketBowling_g03_c01: 0.20174169313395396
v_CricketBowling_g03_c02: 0.24479841217544163
v_CricketBowling_g03_c03: 0.1952480623513111
v_CricketBowling_g03_c04: 0.27926199950888986
v_CricketBowling_g04_c01: 0.37423286677949363
v_CricketBowling_g04_c02: 0.1903371814187267
v_CricketBowling_g04_c03: 0.4042047844050103
v_CricketBowling_g04_c04: 0.30514578169822926
v_CricketBowling_g04_c05: 0.22049153570696944
v_CricketBowling_g05_c01: 0.8801216063802713
v_CricketBowling_g05_c02: 0.8890327564222389
v_CricketBowling_g05_c03: 0.9112297412721091
v_CricketBowling_g05_c04: 0.9267476135646575
v_CricketBowling_g06_c01: 0.784822490044462
v_CricketBowling_g06_c02: 0.8738498459351831
v_CricketBowling_g06_c03: 0.7244336881922209
v_CricketBowling_g06_c04: 0.6973613113877946
v_CricketBowling_g06_c05: 0.8648432255504304
v_CricketBowling_g07_c01: 0.6202115313863032
v_CricketBowling_g07_c02: 0.4873201828231686
v_CricketBowling_g07_c03: 0.6704430617173784
v_CricketBowling_g07_c04: 0.2855043367962935
v_Diving_g01_c01: 0.662192887684796
v_Diving_g01_c02: 0.7371482975431718
v_Diving_g01_c03: 0.7385199296404608
v_Diving_g01_c04: 0.7717502657906152
v_Diving_g01_c05: 0.7054202743456699
v_Diving_g01_c06: 0.7993936746497639
v_Diving_g01_c07: 0.7119129724451341
v_Diving_g02_c01: 0.35129970853449777
v_Diving_g02_c02: 0.4347576990840025
v_Diving_g02_c03: 0.3625768556375988
v_Diving_g02_c04: 0.311424434708897
v_Diving_g02_c05: 0.3726820697193034
v_Diving_g02_c06: 0.3653283275780268
v_Diving_g02_c07: 0.5995295676984824
v_Diving_g03_c01: 0.8641782643389888
v_Diving_g03_c02: 0.8558188474853523
v_Diving_g03_c03: 0.8405227368348278
v_Diving_g03_c04: 0.8954168984782882
v_Diving_g03_c05: 0.8233646730077453
v_Diving_g03_c06: 0.8426019936450757
v_Diving_g03_c07: 0.8773136148811318
v_Diving_g04_c01: 0.6627042571199127
v_Diving_g04_c02: 0.6647398139466532
v_Diving_g04_c03: 0.734557585848961
v_Diving_g04_c04: 0.5401824375730939
v_Diving_g04_c05: 0.7341173594468273
v_Diving_g04_c06: 0.7672997709014453
v_Diving_g04_c07: 0.6952462820918299
v_Diving_g05_c01: 0.8289832559530623
v_Diving_g05_c02: 0.8205599361681379
v_Diving_g05_c03: 0.7779045540955849
v_Diving_g05_c04: 0.765359578479547
v_Diving_g05_c05: 0.83080116083147
v_Diving_g05_c06: 0.814197086787317
v_Diving_g06_c01: 0.6194600056041963
v_Diving_g06_c02: 0.5501003398676403
v_Diving_g06_c03: 0.696197405050043
v_Diving_g06_c04: 0.6082578097120859
v_Diving_g06_c05: 0.6703648106777109
v_Diving_g06_c06: 0.654545113502536
v_Diving_g06_c07: 0.5584736373857595
v_Diving_g07_c01: 0.7362878886633553
v_Diving_g07_c02: 0.7317400836036541
v_Diving_g07_c03: 0.5941666593425907
v_Diving_g07_c04: 0.5281570633524098
v_Fencing_g01_c01: 0.7576020086708013
v_Fencing_g01_c02: 0.7233528065553401
v_Fencing_g01_c03: 0.6808974588348065
v_Fencing_g01_c04: 0.7491113645082805
v_Fencing_g01_c05: 0.7102329436747823
v_Fencing_g01_c06: 0.800540479744086
v_Fencing_g02_c01: 0.8251806811022107
v_Fencing_g02_c02: 0.6857681208348367
v_Fencing_g02_c03: 0.8237621310690884
v_Fencing_g02_c04: 0.8472603200061712
v_Fencing_g02_c05: 0.7314960005751345
v_Fencing_g03_c01: 0.6810433358477894
v_Fencing_g03_c02: 0.3744691695610527
v_Fencing_g03_c03: 0.6744275546225253
v_Fencing_g03_c04: 0.6692569974402431
v_Fencing_g03_c05: 0.5681038472393993
v_Fencing_g04_c01: 0.23282663981080987
v_Fencing_g04_c02: 0.5186837931687478
v_Fencing_g04_c03: 0.42513729134225287
v_Fencing_g04_c04: 0.4500006292073522
v_Fencing_g04_c05: 0.3544543494062964
v_Fencing_g05_c01: 0.7530840406252537
v_Fencing_g05_c02: 0.7754505981283728
v_Fencing_g05_c03: 0.8696366978401784
v_Fencing_g05_c04: 0.7074153815919999
v_Fencing_g05_c05: 0.811621406726772
v_Fencing_g06_c01: 0.47743745069601573
v_Fencing_g06_c02: 0.280198084336007
v_Fencing_g06_c03: 0.5498277984152082
v_Fencing_g06_c04: 0.7430041149782483
v_Fencing_g07_c01: 0.7380246947577689
v_Fencing_g07_c02: 0.4677827979030553
v_Fencing_g07_c03: 0.7793269254325423
v_Fencing_g07_c04: 0.7355829967709724
v_FloorGymnastics_g01_c01: 0.9423888809324126
v_FloorGymnastics_g01_c02: 0.9377729584739427
v_FloorGymnastics_g01_c03: 0.934060980733193
v_FloorGymnastics_g01_c04: 0.9108157753289561
v_FloorGymnastics_g01_c05: 0.9380103521325509
v_FloorGymnastics_g02_c01: 0.7765907241773675
v_FloorGymnastics_g02_c02: 0.8403854145944933
v_FloorGymnastics_g02_c03: 0.8806678451874177
v_FloorGymnastics_g02_c04: 0.8981235306055169
v_FloorGymnastics_g03_c01: 0.8795171158199082
v_FloorGymnastics_g03_c02: 0.912236261581711
v_FloorGymnastics_g03_c03: 0.8581698457055609
v_FloorGymnastics_g03_c04: 0.9015606052053045
v_FloorGymnastics_g04_c01: 0.9140608908419381
v_FloorGymnastics_g04_c02: 0.948001457079954
v_FloorGymnastics_g04_c03: 0.900340321175463
v_FloorGymnastics_g04_c04: 0.9045349098087172
v_FloorGymnastics_g04_c05: 0.9207701505438308
v_FloorGymnastics_g05_c01: 0.7992205793780158
v_FloorGymnastics_g05_c02: 0.8835107373815845
v_FloorGymnastics_g05_c03: 0.8909346532818745
v_FloorGymnastics_g05_c04: 0.8104714841392706
v_FloorGymnastics_g06_c01: 0.7865273639836232
v_FloorGymnastics_g06_c02: 0.8896516358290683
v_FloorGymnastics_g06_c03: 0.9123904792868416
v_FloorGymnastics_g06_c04: 0.35132208040886326
v_FloorGymnastics_g06_c05: 0.20392682047531707
v_FloorGymnastics_g06_c06: 0.29536037513025803
v_FloorGymnastics_g06_c07: 0.32316961016476853
v_FloorGymnastics_g07_c01: 0.6995968641058425
v_FloorGymnastics_g07_c02: 0.7511892334368895
v_FloorGymnastics_g07_c03: 0.8779777855888824
v_FloorGymnastics_g07_c04: 0.3869395392757724
v_FloorGymnastics_g07_c05: 0.7346665364966611
v_FloorGymnastics_g07_c06: 0.7806445536480169
v_FloorGymnastics_g07_c07: 0.7176230905388365
v_GolfSwing_g01_c01: 0.8486967935750727
v_GolfSwing_g01_c02: 0.7861234100128058
v_GolfSwing_g01_c03: 0.7783160509134177
v_GolfSwing_g01_c04: 0.7726895091182087
v_GolfSwing_g01_c05: 0.8405782158079091
v_GolfSwing_g01_c06: 0.8049235969374422
v_GolfSwing_g02_c01: 0.7755291884823237
v_GolfSwing_g02_c02: 0.28307447434053756
v_GolfSwing_g02_c03: 0.3244606062362436
v_GolfSwing_g02_c04: 0.41962384423823096
v_GolfSwing_g03_c01: 0.4625855108315591
