Loaded /home/acb11711tx/lzq/ExpEval/exe_res/ucf101_r50l_perturb_full_core5_cylinder_summed.pt
Use 4 GPUs!
v_Basketball_g01_c01: 0.7992645820276749
v_Basketball_g01_c02: 0.8419841061485869
v_Basketball_g01_c03: 0.8042373756552053
v_Basketball_g01_c04: 0.7572437202697557
v_Basketball_g01_c05: 0.7837433427711886
v_Basketball_g01_c06: 0.7055664082663071
v_Basketball_g01_c07: 0.4147032877899193
v_Basketball_g02_c01: 0.7798778132209492
v_Basketball_g02_c02: 0.8456169484788489
v_Basketball_g02_c03: 0.6505945214675677
v_Basketball_g02_c04: 0.8423359279194784
v_Basketball_g02_c05: 0.8018932688655269
v_Basketball_g02_c06: 0.8229184981109512
v_Basketball_g03_c01: 0.6510317247966242
v_Basketball_g03_c02: 0.6701702397921991
v_Basketball_g03_c03: 0.7008331340411615
v_Basketball_g03_c04: 0.7202595990756464
v_Basketball_g03_c05: 0.6627864163974237
v_Basketball_g03_c06: 0.7284915369609308
v_Basketball_g04_c01: 0.23999992867716458
v_Basketball_g04_c02: 0.06298235523622964
v_Basketball_g04_c03: 0.00013221503964189196
v_Basketball_g04_c04: 0.19414748080539823
v_Basketball_g05_c01: 0.4477512339735341
v_Basketball_g05_c02: 0.0019808549922828433
v_Basketball_g05_c03: 0.4345236501194023
v_Basketball_g05_c04: 0.6010529325948966
v_Basketball_g06_c01: 0.40849714345763743
v_Basketball_g06_c02: 0.34570355286355436
v_Basketball_g06_c03: 0.8006880666734588
v_Basketball_g06_c04: 0.4418378890631658
v_Basketball_g07_c01: 0.6640411537745905
v_Basketball_g07_c02: 0.5449244898417902
v_Basketball_g07_c03: 0.6605908793071222
v_Basketball_g07_c04: 0.6334246915439081
v_BasketballDunk_g01_c01: 0.8304962471293038
v_BasketballDunk_g01_c02: 0.7855498150156563
v_BasketballDunk_g01_c03: 0.7391658976839608
v_BasketballDunk_g01_c04: 0.7952088073061532
v_BasketballDunk_g01_c05: 0.8378559306429452
v_BasketballDunk_g01_c06: 0.642479534463746
v_BasketballDunk_g01_c07: 0.8113679841326302
v_BasketballDunk_g02_c01: 0.7569485858248299
v_BasketballDunk_g02_c02: 0.7527182653711861
v_BasketballDunk_g02_c03: 0.7454159215258187
v_BasketballDunk_g02_c04: 0.6413882330225533
v_BasketballDunk_g03_c01: 0.7400666430758065
v_BasketballDunk_g03_c02: 0.7972867444323128
v_BasketballDunk_g03_c03: 0.7512029364870614
v_BasketballDunk_g03_c04: 0.8052628591822213
v_BasketballDunk_g03_c05: 0.8327938869761056
v_BasketballDunk_g03_c06: 0.7475454762743539
v_BasketballDunk_g04_c01: 0.787589009122712
v_BasketballDunk_g04_c02: 0.8272454694078988
v_BasketballDunk_g04_c03: 0.7713319614695138
v_BasketballDunk_g04_c04: 0.7633950665758675
v_BasketballDunk_g05_c01: 0.8039935186670846
v_BasketballDunk_g05_c02: 0.7695345238016671
v_BasketballDunk_g05_c03: 0.7803233221338814
v_BasketballDunk_g05_c04: 0.7705518558786935
v_BasketballDunk_g05_c05: 0.8233777836130685
v_BasketballDunk_g05_c06: 0.6883189633654183
v_BasketballDunk_g06_c01: 0.7455842450426644
v_BasketballDunk_g06_c02: 0.8584352845491594
v_BasketballDunk_g06_c03: 0.7783526146949953
v_BasketballDunk_g06_c04: 0.8247701686041182
v_BasketballDunk_g07_c01: 0.7321327880190438
v_BasketballDunk_g07_c02: 0.80597042592035
v_BasketballDunk_g07_c03: 0.7988829568193978
v_BasketballDunk_g07_c04: 0.48296096475587547
v_BasketballDunk_g07_c05: 0.7200635627077645
v_BasketballDunk_g07_c06: 0.7538813308046883
v_Biking_g01_c01: 0.7942364441717018
v_Biking_g01_c02: 0.0821973310002073
v_Biking_g01_c03: 0.852519843496566
v_Biking_g01_c04: 0.8910135857315709
v_Biking_g02_c01: 0.45037319208699955
v_Biking_g02_c02: 0.47068630554917945
v_Biking_g02_c03: 0.6859600811751534
v_Biking_g02_c04: 0.7278114787789036
v_Biking_g02_c05: 0.6927098163889696
v_Biking_g02_c06: 0.42371598468366756
v_Biking_g02_c07: 0.7561964618528236
v_Biking_g03_c01: 0.7198406725676705
v_Biking_g03_c02: 0.6871955527478804
v_Biking_g03_c03: 0.671113467544501
v_Biking_g03_c04: 0.6416271522195984
v_Biking_g04_c01: 0.5305788409916659
v_Biking_g04_c02: 0.2766539398601253
v_Biking_g04_c03: 0.5922448860967506
v_Biking_g04_c04: 0.007930141144072422
v_Biking_g04_c05: 0.1133965607752998
v_Biking_g05_c01: 0.31365364254656924
v_Biking_g05_c02: 0.7195493208730568
v_Biking_g05_c03: 0.6787868964040626
v_Biking_g05_c04: 0.8035978304708351
v_Biking_g05_c05: 0.7585480439031471
v_Biking_g05_c06: 0.6817027556264748
v_Biking_g05_c07: 0.7626995074117531
v_Biking_g06_c01: 0.6759978758657326
v_Biking_g06_c02: 0.7256860958898415
v_Biking_g06_c03: 0.7675285565221657
v_Biking_g06_c04: 0.5001529972089429
v_Biking_g06_c05: 0.6561870733296473
v_Biking_g07_c01: 0.6341154801214088
v_Biking_g07_c02: 0.7087096201742042
v_Biking_g07_c03: 0.5074493738377441
v_Biking_g07_c04: 0.41925662174094214
v_Biking_g07_c05: 0.03995731962118043
v_Biking_g07_c06: 0.7947816427351881
v_CliffDiving_g01_c01: 0.8299607154913247
v_CliffDiving_g01_c02: 0.983156114583835
v_CliffDiving_g01_c03: 0.9678543326444924
v_CliffDiving_g01_c04: 0.9293620106764138
v_CliffDiving_g01_c05: 0.9352426053956151
v_CliffDiving_g01_c06: 0.9963058945722878
v_CliffDiving_g02_c01: 0.6741149898152798
v_CliffDiving_g02_c02: 0.4759849610272795
v_CliffDiving_g02_c03: 0.8425388634204865
v_CliffDiving_g02_c04: 0.6014769210014492
v_CliffDiving_g03_c01: 0.9906568643637002
v_CliffDiving_g03_c02: 0.9974392172880471
v_CliffDiving_g03_c03: 0.9995219232514501
v_CliffDiving_g03_c04: 0.9964192078914493
v_CliffDiving_g03_c05: 0.9756228444166481
v_CliffDiving_g04_c01: 0.9860480604693294
v_CliffDiving_g04_c02: 0.967555436771363
v_CliffDiving_g04_c03: 0.9989705798216164
v_CliffDiving_g04_c04: 0.9860423323698342
v_CliffDiving_g05_c01: 0.14965265131377237
v_CliffDiving_g05_c02: 0.9904325720854104
v_CliffDiving_g05_c03: 0.5824669529683888
v_CliffDiving_g05_c04: 0.28050667117349803
