Loaded /home/lzq/ExpEval/exe_res/ucf101_r50l_eb_full.pt
v_Basketball_g01_c01: 0.6617327650682938
v_Basketball_g01_c02: 0.7290690670860869
v_Basketball_g01_c03: 0.7004094223165822
v_Basketball_g01_c04: 0.6941624557739061
v_Basketball_g01_c05: 0.7163254827400607
v_Basketball_g01_c06: 0.7296698113577378
v_Basketball_g01_c07: 0.4685103079936681
v_Basketball_g02_c01: 0.6020830587157917
v_Basketball_g02_c02: 0.563432824485929
v_Basketball_g02_c03: 0.6634968408988726
v_Basketball_g02_c04: 0.6265141849080038
v_Basketball_g02_c05: 0.4450217528873992
v_Basketball_g02_c06: 0.6134028669120681
v_Basketball_g03_c01: 0.6964476626971674
v_Basketball_g03_c02: 0.7053598087886286
v_Basketball_g03_c03: 0.712077013836236
v_Basketball_g03_c04: 0.8432462733844233
v_Basketball_g03_c05: 0.6761590164760065
v_Basketball_g03_c06: 0.6579708975413752
v_Basketball_g04_c01: 0.25995794795467475
v_Basketball_g04_c02: 0.015234497369377209
v_Basketball_g04_c03: 0.001145977444096502
v_Basketball_g04_c04: 0.17764133160467566
v_Basketball_g05_c01: 0.20264918552943811
v_Basketball_g05_c02: 0.03980829852748968
v_Basketball_g05_c03: 0.4685103079936681
v_Basketball_g05_c04: 0.5569767282949698
v_Basketball_g06_c01: 0.39455537862609447
v_Basketball_g06_c02: 0.30647708048577726
v_Basketball_g06_c03: 0.5938204314233673
v_Basketball_g06_c04: 0.48479310927446306
v_Basketball_g07_c01: 0.5640008371928644
v_Basketball_g07_c02: 0.3121775609115076
v_Basketball_g07_c03: 0.7442976158717585
v_Basketball_g07_c04: 0.2966913503268671
v_BasketballDunk_g01_c01: 0.8310155823992318
v_BasketballDunk_g01_c02: 0.7107399657534188
v_BasketballDunk_g01_c03: 0.5075340822504586
v_BasketballDunk_g01_c04: 0.8117552355097359
v_BasketballDunk_g01_c05: 0.7577545598314828
v_BasketballDunk_g01_c06: 0.7131761267946786
v_BasketballDunk_g01_c07: 0.8010805204676217
v_BasketballDunk_g02_c01: 0.7530283287333077
v_BasketballDunk_g02_c02: 0.6935349658297127
v_BasketballDunk_g02_c03: 0.6857725337313241
v_BasketballDunk_g02_c04: 0.632331486062867
v_BasketballDunk_g03_c01: 0.8299092605875558
v_BasketballDunk_g03_c02: 0.7353137687014168
v_BasketballDunk_g03_c03: 0.7797942117022103
v_BasketballDunk_g03_c04: 0.7390239194201058
v_BasketballDunk_g03_c05: 0.7383901432322091
v_BasketballDunk_g03_c06: 0.7438686445520943
v_BasketballDunk_g04_c01: 0.7951354935930794
v_BasketballDunk_g04_c02: 0.7793433621691293
v_BasketballDunk_g04_c03: 0.8511180833147591
v_BasketballDunk_g04_c04: 0.7755631163881844
v_BasketballDunk_g05_c01: 0.8396146252916878
v_BasketballDunk_g05_c02: 0.7577347710894173
v_BasketballDunk_g05_c03: 0.7112960770891732
v_BasketballDunk_g05_c04: 0.7278020337389535
v_BasketballDunk_g05_c05: 0.7778739288614815
v_BasketballDunk_g05_c06: 0.7483983591364449
v_BasketballDunk_g06_c01: 0.753858323411805
v_BasketballDunk_g06_c02: 0.8363335246385759
v_BasketballDunk_g06_c03: 0.8535268867553896
v_BasketballDunk_g06_c04: 0.8468817036764449
v_BasketballDunk_g07_c01: 0.7662661627100533
v_BasketballDunk_g07_c02: 0.7841162637041634
v_BasketballDunk_g07_c03: 0.8345885232256478
v_BasketballDunk_g07_c04: 0.5108157351778573
v_BasketballDunk_g07_c05: 0.7781587198542184
v_BasketballDunk_g07_c06: 0.6601566031740731
v_Biking_g01_c01: 0.8102823721731056
v_Biking_g01_c02: 0.25396808247649494
v_Biking_g01_c03: 0.7940809463636924
v_Biking_g01_c04: 0.885577165290897
v_Biking_g02_c01: 0.37618469144422306
v_Biking_g02_c02: 0.6191742906833042
v_Biking_g02_c03: 0.6445318728240181
v_Biking_g02_c04: 0.6103877655716587
v_Biking_g02_c05: 0.7970178255366136
v_Biking_g02_c06: 0.3292143105084051
v_Biking_g02_c07: 0.657032273944651
v_Biking_g03_c01: 0.602268245771711
v_Biking_g03_c02: 0.6901256574803938
v_Biking_g03_c03: 0.7131004694404055
v_Biking_g03_c04: 0.41579579259473576
v_Biking_g04_c01: 0.7717633736340304
v_Biking_g04_c02: 0.6309322956969936
v_Biking_g04_c03: 0.7283121573293556
v_Biking_g04_c04: 0.40006943719146193
v_Biking_g04_c05: 0.2885720632059474
v_Biking_g05_c01: 0.326594585554858
v_Biking_g05_c02: 0.7016586887204994
v_Biking_g05_c03: 0.7065480577314247
v_Biking_g05_c04: 0.8577620016897072
v_Biking_g05_c05: 0.7479226219022621
v_Biking_g05_c06: 0.5820524322355141
v_Biking_g05_c07: 0.77123066061381
v_Biking_g06_c01: 0.7833916174733986
v_Biking_g06_c02: 0.6931060182416786
v_Biking_g06_c03: 0.8564146982992042
v_Biking_g06_c04: 0.06132440967689945
v_Biking_g06_c05: 0.5241888919865687
v_Biking_g07_c01: 0.7201346384847511
v_Biking_g07_c02: 0.6557176935041298
v_Biking_g07_c03: 0.5652175399029602
v_Biking_g07_c04: 0.7269337417112638
v_Biking_g07_c05: 0.2439230803886403
v_Biking_g07_c06: 0.3937719936968733
v_CliffDiving_g01_c01: 0.8153830883093178
v_CliffDiving_g01_c02: 0.9674853382166475
v_CliffDiving_g01_c03: 0.9499994036741555
v_CliffDiving_g01_c04: 0.8833710667677224
v_CliffDiving_g01_c05: 0.9916809322312474
v_CliffDiving_g01_c06: 0.9784261700697243
v_CliffDiving_g02_c01: 0.9109014745336026
v_CliffDiving_g02_c02: 0.374169259914197
v_CliffDiving_g02_c03: 0.8165732924826443
v_CliffDiving_g02_c04: 0.962148858467117
v_CliffDiving_g03_c01: 0.9992842194624245
v_CliffDiving_g03_c02: 0.9884066102094948
v_CliffDiving_g03_c03: 0.999308061785996
v_CliffDiving_g03_c04: 0.9863788650836796
v_CliffDiving_g03_c05: 0.982771169859916
v_CliffDiving_g04_c01: 0.97469003777951
v_CliffDiving_g04_c02: 0.9671835633926094
v_CliffDiving_g04_c03: 0.9941113707609475
v_CliffDiving_g04_c04: 0.999598812777549
v_CliffDiving_g05_c01: 0.10559203362572589
v_CliffDiving_g05_c02: 0.9994000908918679
v_CliffDiving_g05_c03: 0.5255076219327748
v_CliffDiving_g05_c04: 0.477877528173849
v_CliffDiving_g05_c05: 0.9940052744932473
v_CliffDiving_g05_c06: 0.9408569033257663
v_CliffDiving_g05_c07: 0.9460029155015945
v_CliffDiving_g06_c01: 0.9523117884527892
v_CliffDiving_g06_c02: 0.9828585314098746
v_CliffDiving_g06_c03: 0.9480433645658195
v_CliffDiving_g06_c04: 0.89118189108558
v_CliffDiving_g06_c05: 0.9654956287704408
v_CliffDiving_g06_c06: 0.29506211751140654
v_CliffDiving_g06_c07: 0.9840077213011682
v_CliffDiving_g07_c01: 0.8161529377102852
v_CliffDiving_g07_c02: 0.9981836793012917
v_CliffDiving_g07_c03: 0.9802027721889317
v_CliffDiving_g07_c04: 0.9254673286341131
v_CliffDiving_g07_c05: 0.9321718744467944
v_CliffDiving_g07_c06: 0.9587071663700044
v_CricketBowling_g01_c01: 0.6922297256434167
v_CricketBowling_g01_c02: 0.8253619449579919
v_CricketBowling_g01_c03: 0.7010471599543298
v_CricketBowling_g01_c04: 0.6124449151003564
v_CricketBowling_g01_c05: 0.716143466755172
v_CricketBowling_g01_c06: 0.6164394395792687
v_CricketBowling_g01_c07: 0.637258984371444
v_CricketBowling_g02_c01: 0.06779239931086245
v_CricketBowling_g02_c02: 0.35539920580515805
v_CricketBowling_g02_c03: 0.3764204939262772
v_CricketBowling_g02_c04: 0.5003669641347432
v_CricketBowling_g02_c05: 0.31782872997166756
v_CricketBowling_g02_c06: 0.54720340225788
v_CricketBowling_g02_c07: 0.5105317786702717
