Loaded /home/lzq/ExpEval/exe_res/ucf101_r2p1d_blur_ig_full_test.pt
v_CliffDiving_g05_c04: 0.6372010399791179
v_CliffDiving_g05_c05: 0.8241220635100035
v_CliffDiving_g05_c06: 0.6218537426757393
v_CliffDiving_g05_c07: 0.7753575678652851
v_CliffDiving_g06_c01: 0.32760686000983696
v_CliffDiving_g06_c02: 0.6445429957675515
v_CliffDiving_g06_c03: 0.6709037305990933
v_CliffDiving_g06_c04: 0.4458727661258308
v_CliffDiving_g06_c05: 0.6699899052473484
v_CliffDiving_g06_c06: 0.4601715874596266
v_CliffDiving_g06_c07: 0.7238381457718788
v_CliffDiving_g07_c01: 0.5297087115905015
v_CliffDiving_g07_c02: 0.7335217261424987
v_CliffDiving_g07_c03: 0.7101351266464917
v_CliffDiving_g07_c04: 0.41129271981480997
v_CliffDiving_g07_c05: 0.5556330298277317
v_CliffDiving_g07_c06: 0.22854431548330467
v_CricketBowling_g01_c01: 0.5576709571614629
v_CricketBowling_g01_c02: 0.5440404563996708
v_CricketBowling_g01_c03: 0.463269152896828
v_CricketBowling_g01_c04: 0.5299415225017583
v_CricketBowling_g01_c05: 0.5954489505238598
v_CricketBowling_g01_c06: 0.5813042742520338
v_CricketBowling_g01_c07: 0.5351765868108487
v_CricketBowling_g02_c01: 0.12680376412754413
v_CricketBowling_g02_c02: 0.13570916604658123
v_CricketBowling_g02_c03: 0.24841657884826418
v_CricketBowling_g02_c04: 0.1635481989796972
v_CricketBowling_g02_c05: 0.2704990336060291
v_CricketBowling_g02_c06: 0.23523104468767997
v_CricketBowling_g02_c07: 0.20501666840573307
v_CricketBowling_g03_c01: 0.04144498098321492
v_CricketBowling_g03_c02: 0.03868321486515924
v_CricketBowling_g03_c03: 0.05197212040366139
v_CricketBowling_g03_c04: 0.05446795349416789
v_CricketBowling_g04_c01: 0.15956076396105345
v_CricketBowling_g04_c02: 0.0334809535270324
v_CricketBowling_g04_c03: 0.09916929736209568
v_CricketBowling_g04_c04: 0.03936130156216677
v_CricketBowling_g04_c05: 0.07046207062376197
v_CricketBowling_g05_c01: 0.41286741475050803
v_CricketBowling_g05_c02: 0.3792234412248945
v_CricketBowling_g05_c03: 0.3894647774141049
v_CricketBowling_g05_c04: 0.3882157439220464
v_CricketBowling_g06_c01: 0.1442039266548818
v_CricketBowling_g06_c02: 0.18862607282062527
v_CricketBowling_g06_c03: 0.1711796352028614
v_CricketBowling_g06_c04: 0.12260392958705779
v_CricketBowling_g06_c05: 0.1922273845266318
v_CricketBowling_g07_c01: 0.1293612615991151
v_CricketBowling_g07_c02: 0.14356387917359825
v_CricketBowling_g07_c03: 0.10640593989228364
v_CricketBowling_g07_c04: 0.10704588457883801
v_Diving_g01_c01: 0.32566524206777103
v_Diving_g01_c02: 0.3838251359120477
v_Diving_g01_c03: 0.42497911330428906
v_Diving_g01_c04: 0.40723561684717424
v_Diving_g01_c05: 0.4258554466359783
v_Diving_g01_c06: 0.4100097923364956
v_Diving_g01_c07: 0.3875201470509637
v_Diving_g02_c01: 0.46215841712546535
v_Diving_g02_c02: 0.4366398349229712
v_Diving_g02_c03: 0.5003352596249897
v_Diving_g02_c04: 0.5760330860794056
v_Diving_g02_c05: 0.5203338910650928
v_Diving_g02_c06: 0.4858509160403628
v_Diving_g02_c07: 0.6143046054348815
v_Diving_g03_c01: 0.6253075839777011
v_Diving_g03_c02: 0.6390958226111252
v_Diving_g03_c03: 0.6398933236778248
v_Diving_g03_c04: 0.658848983963253
v_Diving_g03_c05: 0.57795464785886
v_Diving_g03_c06: 0.6217504530504812
v_Diving_g03_c07: 0.716037214762764
v_Diving_g04_c01: 0.447926400025608
v_Diving_g04_c02: 0.36729660283890553
v_Diving_g04_c03: 0.42448409090866335
v_Diving_g04_c04: 0.44487392509472556
v_Diving_g04_c05: 0.5615054075897206
v_Diving_g04_c06: 0.3741432423994411
v_Diving_g04_c07: 0.4356179861642886
v_Diving_g05_c01: 0.6667037096631248
v_Diving_g05_c02: 0.639831679436611
v_Diving_g05_c03: 0.5658095914695878
v_Diving_g05_c04: 0.5144510248501319
v_Diving_g05_c05: 0.6497054414649028
v_Diving_g05_c06: 0.5906175608106423
v_Diving_g06_c01: 0.545744795614155
v_Diving_g06_c02: 0.46688569922116585
v_Diving_g06_c03: 0.6489635254547466
v_Diving_g06_c04: 0.427544930978911
v_Diving_g06_c05: 0.46993122858111747
v_Diving_g06_c06: 0.5407586545043159
v_Diving_g06_c07: 0.45957150126923807
v_Diving_g07_c01: 0.22457749818568118
v_Diving_g07_c02: 0.5517176054709125
v_Diving_g07_c03: 0.5114943017542828
v_Diving_g07_c04: 0.3153757234395016
v_Fencing_g01_c01: 0.5250512088096002
v_Fencing_g01_c02: 0.5755359697068343
v_Fencing_g01_c03: 0.5556683981703827
v_Fencing_g01_c04: 0.6024142009118805
v_Fencing_g01_c05: 0.6304899755778024
v_Fencing_g01_c06: 0.6186486211518059
v_Fencing_g02_c01: 0.7917534426233033
v_Fencing_g02_c02: 0.5128216677258024
v_Fencing_g02_c03: 0.6613400104834
v_Fencing_g02_c04: 0.7750976322131464
v_Fencing_g02_c05: 0.7001285198057303
v_Fencing_g03_c01: 0.5045750826975564
v_Fencing_g03_c02: 0.2563249560917029
v_Fencing_g03_c03: 0.5394838309293846
v_Fencing_g03_c04: 0.5849042061163345
v_Fencing_g03_c05: 0.45691293211712036
v_Fencing_g04_c01: 0.1865282099606702
v_Fencing_g04_c02: 0.5308339615730802
v_Fencing_g04_c03: 0.5026774803554872
v_Fencing_g04_c04: 0.49248962140700314
v_Fencing_g04_c05: 0.4472582448652247
v_Fencing_g05_c01: 0.7243582973169396
v_Fencing_g05_c02: 0.793289553039358
v_Fencing_g05_c03: 0.8783546519844094
v_Fencing_g05_c04: 0.7178097163705388
v_Fencing_g05_c05: 0.8822164327284554
v_Fencing_g06_c01: 0.2757409649348119
v_Fencing_g06_c02: 0.18205334445519838
v_Fencing_g06_c03: 0.41083459499350283
v_Fencing_g06_c04: 0.4603165105363587
v_Fencing_g07_c01: 0.8652664254332194
v_Fencing_g07_c02: 0.6647921229159692
v_Fencing_g07_c03: 0.8372408248396823
v_Fencing_g07_c04: 0.8912285460537532
v_FloorGymnastics_g01_c01: 0.7240254170828848
v_FloorGymnastics_g01_c02: 0.6429768493035226
v_FloorGymnastics_g01_c03: 0.5856405396116315
v_FloorGymnastics_g01_c04: 0.7822389006250887
v_FloorGymnastics_g01_c05: 0.7152922325403779
v_FloorGymnastics_g02_c01: 0.3401371433501481
v_FloorGymnastics_g02_c02: 0.5224659815066843
v_FloorGymnastics_g02_c03: 0.5889460241523921
v_FloorGymnastics_g02_c04: 0.6060842554652481
v_FloorGymnastics_g03_c01: 0.6308288948712288
v_FloorGymnastics_g03_c02: 0.66081516767008
v_FloorGymnastics_g03_c03: 0.5902994195566862
v_FloorGymnastics_g03_c04: 0.6652467257445096
v_FloorGymnastics_g04_c01: 0.8014217021045624
v_FloorGymnastics_g04_c02: 0.5949612387557863
v_FloorGymnastics_g04_c03: 0.7265781189416884
v_FloorGymnastics_g04_c04: 0.6329437233143835
v_FloorGymnastics_g04_c05: 0.7764291585990577
v_FloorGymnastics_g05_c01: 0.38429905726661673
v_FloorGymnastics_g05_c02: 0.619719533911848
v_FloorGymnastics_g05_c03: 0.6028359008123516
v_FloorGymnastics_g05_c04: 0.4441469998200773
v_FloorGymnastics_g06_c01: 0.2671902463407605
v_FloorGymnastics_g06_c02: 0.5818719069575309
v_FloorGymnastics_g06_c03: 0.5930620520011871
v_FloorGymnastics_g06_c04: 0.12041139179927995
v_FloorGymnastics_g06_c05: 0.09662124068563571
v_FloorGymnastics_g06_c06: 0.1631710119181662
v_FloorGymnastics_g06_c07: 0.2002970187095343
v_FloorGymnastics_g07_c01: 0.21505872575653484
v_FloorGymnastics_g07_c02: 0.11433674554427853
v_FloorGymnastics_g07_c03: 0.2641361923524528
v_FloorGymnastics_g07_c04: 0.06613476454367628
v_FloorGymnastics_g07_c05: 0.22934627063659718
v_FloorGymnastics_g07_c06: 0.26089828015392413
v_FloorGymnastics_g07_c07: 0.09274525028740754
v_GolfSwing_g01_c01: 0.5817947043979075
v_GolfSwing_g01_c02: 0.5457164795079734
v_GolfSwing_g01_c03: 0.4629364312568214
v_GolfSwing_g01_c04: 0.4010054644604679
v_GolfSwing_g01_c05: 0.6303985292033758
v_GolfSwing_g01_c06: 0.48839086582302116
v_GolfSwing_g02_c01: 0.4164925341901835
v_GolfSwing_g02_c02: 0.4137319979199674
v_GolfSwing_g02_c03: 0.3684332176053431
v_GolfSwing_g02_c04: 0.5151185913418885
v_GolfSwing_g03_c01: 0.13110397951095365
v_GolfSwing_g03_c02: 0.13616960574290715
v_GolfSwing_g03_c03: 0.17253324305056594
v_GolfSwing_g03_c04: 0.19132763808011077
v_GolfSwing_g03_c05: 0.15591408390901051
v_GolfSwing_g03_c06: 0.19659571218653582
v_GolfSwing_g03_c07: 0.1667133351729717
v_GolfSwing_g04_c01: 0.48500570221222006
v_GolfSwing_g04_c02: 0.46413797404966317
v_GolfSwing_g04_c03: 0.7113206715730485
v_GolfSwing_g04_c04: 0.6963271692802664
v_GolfSwing_g04_c05: 0.7540817135886755
v_GolfSwing_g04_c06: 0.6761267442198005
v_GolfSwing_g05_c01: 0.6069748411828186
v_GolfSwing_g05_c02: 0.3771273203601595
v_GolfSwing_g05_c03: 0.5833501558226999
v_GolfSwing_g05_c04: 0.5817574941029307
v_GolfSwing_g05_c05: 0.5449341061466839
v_GolfSwing_g05_c06: 0.605217602889752
v_GolfSwing_g05_c07: 0.37207297873101197
v_GolfSwing_g06_c01: 0.3606516883446602
v_GolfSwing_g06_c02: 0.4452730024640914
v_GolfSwing_g06_c03: 0.5552969552518334
v_GolfSwing_g06_c04: 0.14488210700801574
v_GolfSwing_g07_c01: 0.5156805586011615
v_GolfSwing_g07_c02: 0.5560364533157554
v_GolfSwing_g07_c03: 0.4540132448018994
v_GolfSwing_g07_c04: 0.23688540965667926
v_GolfSwing_g07_c05: 0.6172315758594777
v_HorseRiding_g01_c01: 0.6638447385557811
v_HorseRiding_g01_c02: 0.7600278916579555
v_HorseRiding_g01_c03: 0.7863166257084231
v_HorseRiding_g01_c04: 0.772319165924273
v_HorseRiding_g01_c05: 0.8057926806432079
v_HorseRiding_g01_c06: 0.7688604690411012
v_HorseRiding_g01_c07: 0.7487811277896981
v_HorseRiding_g02_c01: 0.7121765552365105
v_HorseRiding_g02_c02: 0.7986955956366728
v_HorseRiding_g02_c03: 0.8071184765358339
v_HorseRiding_g02_c04: 0.8467098743931274
v_HorseRiding_g02_c05: 0.5073955582265626
v_HorseRiding_g02_c06: 0.6499238935575704
v_HorseRiding_g02_c07: 0.655051269037358
v_HorseRiding_g03_c01: 0.5649995572675834
v_HorseRiding_g03_c02: 0.7030498023887048
v_HorseRiding_g03_c03: 0.41234202164196176
v_HorseRiding_g03_c04: 0.7157773651924799
v_HorseRiding_g03_c05: 0.8627076988850604
v_HorseRiding_g03_c06: 0.8203413413648377
v_HorseRiding_g03_c07: 0.7411842245419393
v_HorseRiding_g04_c01: 0.5329040092692594
v_HorseRiding_g04_c02: 0.5657107068036566
v_HorseRiding_g04_c03: 0.4006995236777584
v_HorseRiding_g04_c04: 0.5762505898528616
v_HorseRiding_g04_c05: 0.5138430070874165
v_HorseRiding_g04_c06: 0.6461531742752413
v_HorseRiding_g04_c07: 0.6338429026582162
v_HorseRiding_g05_c01: 0.8172628236279706
v_HorseRiding_g05_c02: 0.8777471600842546
v_HorseRiding_g05_c03: 0.8405061386802117
v_HorseRiding_g05_c04: 0.8269645042528282
v_HorseRiding_g05_c05: 0.7939825376306544
v_HorseRiding_g05_c06: 0.6746323420011322
v_HorseRiding_g05_c07: 0.6463052098915796
v_HorseRiding_g06_c01: 0.7417940042723785
v_HorseRiding_g06_c02: 0.6597263404910336
v_HorseRiding_g06_c03: 0.851757874879695
v_HorseRiding_g06_c04: 0.6123565921370755
v_HorseRiding_g06_c05: 0.818793396865658
v_HorseRiding_g06_c06: 0.7128022277538548
v_HorseRiding_g06_c07: 0.7957175405972521
v_HorseRiding_g07_c01: 0.6125280423366348
v_HorseRiding_g07_c02: 0.6307304642905365
v_HorseRiding_g07_c03: 0.6934360798259149
v_HorseRiding_g07_c04: 0.6869420867224107
v_HorseRiding_g07_c05: 0.6272137371634017
v_HorseRiding_g07_c06: 0.7965372455582838
v_HorseRiding_g07_c07: 0.6295918607429485
v_IceDancing_g01_c01: 0.09170187425479526
v_IceDancing_g01_c02: 0.06888279689155752
v_IceDancing_g01_c03: 0.22185607485153014
v_IceDancing_g01_c04: 0.17585745125688845
v_IceDancing_g01_c05: 0.3027697917787009
v_IceDancing_g01_c06: 0.07021168128267163
v_IceDancing_g01_c07: 0.039359277092444245
v_IceDancing_g02_c01: 0.2929225472980761
v_IceDancing_g02_c02: 0.19091033397853607
v_IceDancing_g02_c03: 0.22391290401719743
v_IceDancing_g02_c04: 0.21135449314169819
v_IceDancing_g02_c05: 0.16835255848855013
v_IceDancing_g02_c06: 0.4000145618119859
v_IceDancing_g02_c07: 0.13046466231025988
v_IceDancing_g03_c01: 0.02373991485364968
v_IceDancing_g03_c02: 0.16121792488411302
v_IceDancing_g03_c03: 0.18527875745348865
v_IceDancing_g03_c04: 0.08978413276054198
v_IceDancing_g03_c05: 0.15541185436450178
v_IceDancing_g03_c06: 0.2541200252962881
v_IceDancing_g04_c01: 0.21844330683961743
v_IceDancing_g04_c02: 0.3899007595391595
v_IceDancing_g04_c03: 0.1539587487714016
v_IceDancing_g04_c04: 0.2547083834433579
v_IceDancing_g04_c05: 0.002395953160885256
v_IceDancing_g04_c06: 0.10931876346148783
v_IceDancing_g04_c07: 0.22153519068524474
v_IceDancing_g05_c01: 0.2919208791354322
v_IceDancing_g05_c02: 0.028417712288501207
v_IceDancing_g05_c03: 0.415883495916205
v_IceDancing_g05_c04: 0.14416072492167586
v_IceDancing_g05_c05: 0.5014682221008115
v_IceDancing_g05_c06: 0.2968699051780277
v_IceDancing_g06_c01: 0.3030293113333755
v_IceDancing_g06_c02: 0.2721521975254291
v_IceDancing_g06_c03: 0.517405903643521
v_IceDancing_g06_c04: 0.3978293910404318
v_IceDancing_g06_c05: 0.27149481976084644
v_IceDancing_g06_c06: 0.02445918459125096
v_IceDancing_g07_c01: 0.1244273523116135
v_IceDancing_g07_c02: 0.11450770564988488
v_IceDancing_g07_c03: 0.29668696106091375
v_IceDancing_g07_c04: 0.3232244602186256
v_IceDancing_g07_c05: 0.23004873164609307
v_IceDancing_g07_c06: 0.27695900339313084
v_IceDancing_g07_c07: 0.2386398652815842
v_LongJump_g01_c01: 0.5984792532217398
v_LongJump_g01_c02: 0.7945642224331095
v_LongJump_g01_c03: 0.8664773499876901
v_LongJump_g01_c04: 0.698318564780493
v_LongJump_g01_c05: 0.8006797809903219
v_LongJump_g01_c06: 0.6522462307293608
v_LongJump_g01_c07: 0.6620653625395789
v_LongJump_g02_c01: 0.5925616354033991
v_LongJump_g02_c02: 0.7426815309845551
v_LongJump_g02_c03: 0.7686340482723608
v_LongJump_g02_c04: 0.7552959371641919
v_LongJump_g02_c05: 0.8056712946672633
v_LongJump_g03_c01: 0.1962442125477537
v_LongJump_g03_c02: 0.2232722795852169
v_LongJump_g03_c03: 0.08046967441259767
v_LongJump_g03_c04: 0.1880675586689904
v_LongJump_g03_c05: 0.17713510778776254
v_LongJump_g03_c06: 0.12602244315712596
v_LongJump_g04_c01: 0.5199835316561803
v_LongJump_g04_c02: 0.5211846721176698
v_LongJump_g04_c03: 0.5772666001976177
v_LongJump_g04_c04: 0.4757774767749652
v_LongJump_g04_c05: 0.5067483924613043
