Loaded /home/lzq/ExpEval/exe_res/ucf101_r2p1d_g_full.pt
v_CliffDiving_g05_c05: 0.5577545087580802
v_CliffDiving_g05_c06: 0.7374964094051393
v_CliffDiving_g05_c07: 0.7862195606139721
v_CliffDiving_g06_c01: 0.5530245041736634
v_CliffDiving_g06_c02: 0.7149552142509492
v_CliffDiving_g06_c03: 0.6602740169764729
v_CliffDiving_g06_c04: 0.661434692403418
v_CliffDiving_g06_c05: 0.7213598106318386
v_CliffDiving_g06_c06: 0.6292515765671851
v_CliffDiving_g06_c07: 0.7073769521230133
v_CliffDiving_g07_c01: 0.7243625205737771
v_CliffDiving_g07_c02: 0.6944143437576713
v_CliffDiving_g07_c03: 0.5873471145314397
v_CliffDiving_g07_c04: 0.7023197888192954
v_CliffDiving_g07_c05: 0.5698702547961148
v_CliffDiving_g07_c06: 0.2397899379284354
v_CricketBowling_g01_c01: 0.8233040634149802
v_CricketBowling_g01_c02: 0.8234041482282919
v_CricketBowling_g01_c03: 0.8353365447910619
v_CricketBowling_g01_c04: 0.7954009408204001
v_CricketBowling_g01_c05: 0.8125409877466154
v_CricketBowling_g01_c06: 0.7888418657312286
v_CricketBowling_g01_c07: 0.7286089179178816
v_CricketBowling_g02_c01: 0.563792000299145
v_CricketBowling_g02_c02: 0.6740913379544509
v_CricketBowling_g02_c03: 0.7622872949650628
v_CricketBowling_g02_c04: 0.6497145891262335
v_CricketBowling_g02_c05: 0.7016641639711452
v_CricketBowling_g02_c06: 0.7427029039317858
v_CricketBowling_g02_c07: 0.7015954977905494
v_CricketBowling_g03_c01: 0.227477697240829
v_CricketBowling_g03_c02: 0.1997311465020175
v_CricketBowling_g03_c03: 0.4295826497327653
v_CricketBowling_g03_c04: 0.37120636343752267
v_CricketBowling_g04_c01: 0.4610711725035799
v_CricketBowling_g04_c02: 0.2852745049240184
v_CricketBowling_g04_c03: 0.4059264950992656
v_CricketBowling_g04_c04: 0.3374869941108045
v_CricketBowling_g04_c05: 0.31657429924962344
v_CricketBowling_g05_c01: 0.7617176352141541
v_CricketBowling_g05_c02: 0.7705055228507263
v_CricketBowling_g05_c03: 0.7011342165133101
v_CricketBowling_g05_c04: 0.7568354541508597
v_CricketBowling_g06_c01: 0.8054546359999222
v_CricketBowling_g06_c02: 0.8554366598909837
v_CricketBowling_g06_c03: 0.6890452175939572
v_CricketBowling_g06_c04: 0.6298259131217492
v_CricketBowling_g06_c05: 0.883649684030388
v_CricketBowling_g07_c01: 0.889743079438631
v_CricketBowling_g07_c02: 0.8764695506615681
v_CricketBowling_g07_c03: 0.7849049605501932
v_CricketBowling_g07_c04: 0.30076419749093475
v_Diving_g01_c01: 0.6989506548707141
v_Diving_g01_c02: 0.742002142171259
v_Diving_g01_c03: 0.7552268731378717
v_Diving_g01_c04: 0.7469574753631605
v_Diving_g01_c05: 0.6776731796999229
v_Diving_g01_c06: 0.7416303961508675
v_Diving_g01_c07: 0.7155824727815343
v_Diving_g02_c01: 0.5250308567628963
v_Diving_g02_c02: 0.586667467650841
v_Diving_g02_c03: 0.5817042424314423
v_Diving_g02_c04: 0.5618195240822388
v_Diving_g02_c05: 0.6646953274466796
v_Diving_g02_c06: 0.6637998677761061
v_Diving_g02_c07: 0.6691281232488109
v_Diving_g03_c01: 0.7548771740839584
v_Diving_g03_c02: 0.902983466439764
v_Diving_g03_c03: 0.863665372642572
v_Diving_g03_c04: 0.7917016575083835
v_Diving_g03_c05: 0.7167667129979236
v_Diving_g03_c06: 0.7258055001002504
v_Diving_g03_c07: 0.782895387194003
v_Diving_g04_c01: 0.770685998533736
v_Diving_g04_c02: 0.700806882508914
v_Diving_g04_c03: 0.7399414945830358
v_Diving_g04_c04: 0.5990817209676607
v_Diving_g04_c05: 0.6885219519463135
v_Diving_g04_c06: 0.8214902873587562
v_Diving_g04_c07: 0.6210060148005141
v_Diving_g05_c01: 0.8001352039136691
v_Diving_g05_c02: 0.7621395760652376
v_Diving_g05_c03: 0.856632991504739
v_Diving_g05_c04: 0.6788784841046436
v_Diving_g05_c05: 0.735677094940911
v_Diving_g05_c06: 0.7472353214834584
v_Diving_g06_c01: 0.7986419985973043
v_Diving_g06_c02: 0.767727924787323
v_Diving_g06_c03: 0.859410479242797
v_Diving_g06_c04: 0.8018512521375669
v_Diving_g06_c05: 0.8026171462115599
v_Diving_g06_c06: 0.8181166500289692
v_Diving_g06_c07: 0.8703163178142859
v_Diving_g07_c01: 0.9032260147359921
v_Diving_g07_c02: 0.8577645086188568
v_Diving_g07_c03: 0.7523778309550835
v_Diving_g07_c04: 0.8098297198739601
v_Fencing_g01_c01: 0.5694818223710172
v_Fencing_g01_c02: 0.6476514506503008
v_Fencing_g01_c03: 0.559831127000507
v_Fencing_g01_c04: 0.5162245733081363
v_Fencing_g01_c05: 0.6055946652195416
v_Fencing_g01_c06: 0.5703401890932582
v_Fencing_g02_c01: 0.5260538176517002
v_Fencing_g02_c02: 0.308127962925937
v_Fencing_g02_c03: 0.48335586226312444
v_Fencing_g02_c04: 0.44960322364931926
v_Fencing_g02_c05: 0.39174523385008797
v_Fencing_g03_c01: 0.6505403012852184
v_Fencing_g03_c02: 0.4133401896688156
v_Fencing_g03_c03: 0.759803042456042
v_Fencing_g03_c04: 0.6904342893394642
v_Fencing_g03_c05: 0.6137956950697117
v_Fencing_g04_c01: 0.6399164241156541
v_Fencing_g04_c02: 0.7008861323702149
v_Fencing_g04_c03: 0.6665739814634435
v_Fencing_g04_c04: 0.6738582704565488
v_Fencing_g04_c05: 0.6081654547597282
v_Fencing_g05_c01: 0.6590165860834531
v_Fencing_g05_c02: 0.6689761985908262
v_Fencing_g05_c03: 0.6991771889734082
v_Fencing_g05_c04: 0.694916645239573
v_Fencing_g05_c05: 0.6794953143107705
v_Fencing_g06_c01: 0.6427209816756658
v_Fencing_g06_c02: 0.5026486096321605
v_Fencing_g06_c03: 0.7074217642075382
v_Fencing_g06_c04: 0.802349956415128
v_Fencing_g07_c01: 0.529686434136238
v_Fencing_g07_c02: 0.23762785195140168
v_Fencing_g07_c03: 0.6241371728829108
v_Fencing_g07_c04: 0.6352322592283599
v_FloorGymnastics_g01_c01: 0.791275966905232
v_FloorGymnastics_g01_c02: 0.864958374753769
v_FloorGymnastics_g01_c03: 0.8079448242133367
v_FloorGymnastics_g01_c04: 0.8604058623241144
v_FloorGymnastics_g01_c05: 0.8400426083171624
v_FloorGymnastics_g02_c01: 0.5755297138748574
v_FloorGymnastics_g02_c02: 0.683147169642325
v_FloorGymnastics_g02_c03: 0.6901106631776202
v_FloorGymnastics_g02_c04: 0.7555634062664467
v_FloorGymnastics_g03_c01: 0.6934267657270539
v_FloorGymnastics_g03_c02: 0.6545001747945207
v_FloorGymnastics_g03_c03: 0.44942056340369163
v_FloorGymnastics_g03_c04: 0.7260515696762013
v_FloorGymnastics_g04_c01: 0.79034680150653
v_FloorGymnastics_g04_c02: 0.751932037754159
v_FloorGymnastics_g04_c03: 0.8442420985011267
v_FloorGymnastics_g04_c04: 0.7136465050207335
v_FloorGymnastics_g04_c05: 0.8358952822090941
v_FloorGymnastics_g05_c01: 0.8150606925992179
v_FloorGymnastics_g05_c02: 0.8201481986252475
v_FloorGymnastics_g05_c03: 0.7937718701941776
v_FloorGymnastics_g05_c04: 0.7941290826929617
v_FloorGymnastics_g06_c01: 0.6966957137847203
v_FloorGymnastics_g06_c02: 0.6092590487023699
v_FloorGymnastics_g06_c03: 0.7955755679795402
v_FloorGymnastics_g06_c04: 0.266235584851529
v_FloorGymnastics_g06_c05: 0.17029609041492222
v_FloorGymnastics_g06_c06: 0.2774036712871748
v_FloorGymnastics_g06_c07: 0.4186555354317534
v_FloorGymnastics_g07_c01: 0.6961859282964724
v_FloorGymnastics_g07_c02: 0.8125944749845075
v_FloorGymnastics_g07_c03: 0.8061839314104873
v_FloorGymnastics_g07_c04: 0.7227313953844714
v_FloorGymnastics_g07_c05: 0.6776672103369492
v_FloorGymnastics_g07_c06: 0.7388073389811325
v_FloorGymnastics_g07_c07: 0.8534312604388106
v_GolfSwing_g01_c01: 0.8105288401129656
v_GolfSwing_g01_c02: 0.8449993880349211
v_GolfSwing_g01_c03: 0.8221438826876692
v_GolfSwing_g01_c04: 0.8366967914043926
v_GolfSwing_g01_c05: 0.8075198109145276
v_GolfSwing_g01_c06: 0.8435537844779901
v_GolfSwing_g02_c01: 0.7168615883565508
v_GolfSwing_g02_c02: 0.40399939398048446
v_GolfSwing_g02_c03: 0.37006564013427123
v_GolfSwing_g02_c04: 0.5852172299637459
v_GolfSwing_g03_c01: 0.48081600869772956
v_GolfSwing_g03_c02: 0.4947610739036463
v_GolfSwing_g03_c03: 0.5553976587834768
v_GolfSwing_g03_c04: 0.4907534636440687
v_GolfSwing_g03_c05: 0.5100598343997262
v_GolfSwing_g03_c06: 0.4941573577816598
v_GolfSwing_g03_c07: 0.5266678116167895
