Loaded /home/acb11711tx/lzq/ExpEval/exe_res/ucf101_r2p1d_perturb_full_core8_fade_test_summed.pt
Use 4 GPUs!
v_Basketball_g01_c01: 0.1539657119938056
v_Basketball_g01_c02: 0.4045385631543468
v_Basketball_g01_c03: 0.19635413708601845
v_Basketball_g01_c04: 0.17008069442090346
v_Basketball_g01_c05: 0.3527929155898164
v_Basketball_g01_c06: 0.5098860356301884
v_Basketball_g01_c07: 0.7584256429036031
v_Basketball_g02_c01: 0.5913040772356908
v_Basketball_g02_c02: 0.5651507139482419
v_Basketball_g02_c03: 0.5321996046041022
v_Basketball_g02_c04: 0.6636031767629902
v_Basketball_g02_c05: 0.5615499612686108
v_Basketball_g02_c06: 0.5696531268113176
v_Basketball_g03_c01: 0.7210876954995911
v_Basketball_g03_c02: 0.718564311209775
v_Basketball_g03_c03: 0.6919726079140673
v_Basketball_g03_c04: 0.6727108309787582
v_Basketball_g03_c05: 0.5637900805377285
v_Basketball_g03_c06: 0.6548146565255593
v_Basketball_g04_c01: 0.7434448955391417
v_Basketball_g04_c02: 0.17896400129393442
v_Basketball_g04_c03: 0.710381037722982
v_Basketball_g04_c04: 0.5438796383605222
v_Basketball_g05_c01: 0.5204914851856302
v_Basketball_g05_c02: 0.14513114879810018
v_Basketball_g05_c03: 0.7619097728093038
v_Basketball_g05_c04: 0.5244113136359374
v_Basketball_g06_c01: 0.8011551955059986
v_Basketball_g06_c02: 0.8841630566676031
v_Basketball_g06_c03: 0.9003500628095935
v_Basketball_g06_c04: 0.7394248458367656
v_Basketball_g07_c01: 0.6627172743246774
v_Basketball_g07_c02: 0.6346833050993155
v_Basketball_g07_c03: 0.6149390765276621
v_Basketball_g07_c04: 0.7158540169984917
v_BasketballDunk_g01_c01: 0.8411466160905547
v_BasketballDunk_g01_c02: 0.7516311933868565
v_BasketballDunk_g01_c03: 0.7684512732666917
v_BasketballDunk_g01_c04: 0.7713987667229958
v_BasketballDunk_g01_c05: 0.8479865599074401
v_BasketballDunk_g01_c06: 0.8159203248214908
v_BasketballDunk_g01_c07: 0.8509759903536178
v_BasketballDunk_g02_c01: 0.7730814028182067
v_BasketballDunk_g02_c02: 0.7952294238493778
v_BasketballDunk_g02_c03: 0.7472200024058111
v_BasketballDunk_g02_c04: 0.6495785795268603
v_BasketballDunk_g03_c01: 0.8106260838103481
v_BasketballDunk_g03_c02: 0.8186556811560877
v_BasketballDunk_g03_c03: 0.7764301177230664
v_BasketballDunk_g03_c04: 0.7782897255965509
v_BasketballDunk_g03_c05: 0.8591976571478881
v_BasketballDunk_g03_c06: 0.8274799469509162
v_BasketballDunk_g04_c01: 0.7833816309575923
v_BasketballDunk_g04_c02: 0.8341941682738252
v_BasketballDunk_g04_c03: 0.8625459650647826
v_BasketballDunk_g04_c04: 0.8314205934875645
v_BasketballDunk_g05_c01: 0.8208028053049929
v_BasketballDunk_g05_c02: 0.7867728274432011
v_BasketballDunk_g05_c03: 0.8234888276201673
v_BasketballDunk_g05_c04: 0.8812700089183636
v_BasketballDunk_g05_c05: 0.84124520100886
v_BasketballDunk_g05_c06: 0.8591036589932628
v_BasketballDunk_g06_c01: 0.7142826845520176
v_BasketballDunk_g06_c02: 0.7076919035171159
v_BasketballDunk_g06_c03: 0.8297269906033762
v_BasketballDunk_g06_c04: 0.7515527799841948
v_BasketballDunk_g07_c01: 0.7778396604699083
v_BasketballDunk_g07_c02: 0.8607187162269838
v_BasketballDunk_g07_c03: 0.8352859221049584
v_BasketballDunk_g07_c04: 0.8312071664840914
v_BasketballDunk_g07_c05: 0.8343003057525493
v_BasketballDunk_g07_c06: 0.8438923401408829
v_Biking_g01_c01: 0.7326603746187175
v_Biking_g01_c02: 0.8814722853858257
v_Biking_g01_c03: 0.7973786264337832
v_Biking_g01_c04: 0.7790116337273503
v_Biking_g02_c01: 0.7642159951064968
v_Biking_g02_c02: 0.7779356106329942
v_Biking_g02_c03: 0.8953476718306774
v_Biking_g02_c04: 0.9300715981662506
v_Biking_g02_c05: 0.8112597374856705
v_Biking_g02_c06: 0.7381435379065806
v_Biking_g02_c07: 0.7904532975662732
v_Biking_g03_c01: 0.7818540374428267
v_Biking_g03_c02: 0.8107057206943864
v_Biking_g03_c03: 0.8896280469052726
v_Biking_g03_c04: 0.8822985929582501
v_Biking_g04_c01: 0.39424392791988794
