Loaded /home/acb11711tx/lzq/ExpEval/exe_res/ucf101_r50l_perturb_full_core8_summed.pt
Use 4 GPUs!
v_Basketball_g01_c01: 0.7594124992983353
v_Basketball_g01_c02: 0.799063099469052
v_Basketball_g01_c03: 0.7803448537969899
v_Basketball_g01_c04: 0.7153516685729784
v_Basketball_g01_c05: 0.7759766191383761
v_Basketball_g01_c06: 0.7055283805029404
v_Basketball_g01_c07: 0.398553856322863
v_Basketball_g02_c01: 0.7685259894141865
v_Basketball_g02_c02: 0.8588514445954871
v_Basketball_g02_c03: 0.6529142150329363
v_Basketball_g02_c04: 0.8427228812733603
v_Basketball_g02_c05: 0.7997643101634395
v_Basketball_g02_c06: 0.8152003522636306
v_Basketball_g03_c01: 0.6641091626742792
v_Basketball_g03_c02: 0.6881771010020685
v_Basketball_g03_c03: 0.6628209274867487
v_Basketball_g03_c04: 0.7192915600398493
v_Basketball_g03_c05: 0.6768223565677118
v_Basketball_g03_c06: 0.7280030768969965
v_Basketball_g04_c01: 0.1844132926107278
v_Basketball_g04_c02: 0.13960496056002114
v_Basketball_g04_c03: 0.00019695421129029
v_Basketball_g04_c04: 0.11355319448280454
v_Basketball_g05_c01: 0.40562717119696856
v_Basketball_g05_c02: 0.0013962565944467542
v_Basketball_g05_c03: 0.4259993216491722
v_Basketball_g05_c04: 0.6035153792845023
v_Basketball_g06_c01: 0.43325631685088695
v_Basketball_g06_c02: 0.2990854786848587
v_Basketball_g06_c03: 0.7769411589624298
v_Basketball_g06_c04: 0.457843643533991
v_Basketball_g07_c01: 0.6453811448672724
v_Basketball_g07_c02: 0.5676926296809626
v_Basketball_g07_c03: 0.6323715966800165
v_Basketball_g07_c04: 0.6149058264354181
v_BasketballDunk_g01_c01: 0.8042048767374581
v_BasketballDunk_g01_c02: 0.7852048829363412
v_BasketballDunk_g01_c03: 0.7287934974001473
v_BasketballDunk_g01_c04: 0.8136614516542977
v_BasketballDunk_g01_c05: 0.8222345069216317
v_BasketballDunk_g01_c06: 0.6888563588427132
v_BasketballDunk_g01_c07: 0.806828077154023
v_BasketballDunk_g02_c01: 0.733850474672181
v_BasketballDunk_g02_c02: 0.7652637317942208
v_BasketballDunk_g02_c03: 0.7488604143427438
v_BasketballDunk_g02_c04: 0.629883463697297
v_BasketballDunk_g03_c01: 0.749159689264161
v_BasketballDunk_g03_c02: 0.8067980364130563
v_BasketballDunk_g03_c03: 0.7504967406557626
v_BasketballDunk_g03_c04: 0.8016112402247018
v_BasketballDunk_g03_c05: 0.8008353665636605
v_BasketballDunk_g03_c06: 0.7449208453463143
v_BasketballDunk_g04_c01: 0.7898092225359505
v_BasketballDunk_g04_c02: 0.8315844491289681
v_BasketballDunk_g04_c03: 0.7772233441637582
v_BasketballDunk_g04_c04: 0.7935550168322152
v_BasketballDunk_g05_c01: 0.8015709474848336
v_BasketballDunk_g05_c02: 0.7888773635195321
v_BasketballDunk_g05_c03: 0.772633548097474
v_BasketballDunk_g05_c04: 0.7502902701662606
v_BasketballDunk_g05_c05: 0.8085093453692025
