Loaded /home/lzq/ExpEval/exe_res/ucf101_r2p1d_random_full.pt
v_CliffDiving_g05_c04: 0.44447612662042957
v_CliffDiving_g05_c05: 0.46633212982851546
v_CliffDiving_g05_c06: 0.375998113231617
v_CliffDiving_g05_c07: 0.41643994410696905
v_CliffDiving_g06_c01: 0.4989167185703991
v_CliffDiving_g06_c02: 0.373969498949009
v_CliffDiving_g06_c03: 0.4535976531187771
v_CliffDiving_g06_c04: 0.3010051075107185
v_CliffDiving_g06_c05: 0.35236730326141696
v_CliffDiving_g06_c06: 0.3450513553543715
v_CliffDiving_g06_c07: 0.5235529494675575
v_CliffDiving_g07_c01: 0.41970217057678383
v_CliffDiving_g07_c02: 0.5193698668590514
v_CliffDiving_g07_c03: 0.5260760431847302
v_CliffDiving_g07_c04: 0.444836306545767
v_CliffDiving_g07_c05: 0.4015525494905887
v_CliffDiving_g07_c06: 0.3192913589737145
v_CricketBowling_g01_c01: 0.16208801300672349
v_CricketBowling_g01_c02: 0.15862615405058023
v_CricketBowling_g01_c03: 0.12613757814688142
v_CricketBowling_g01_c04: 0.1996035063493764
v_CricketBowling_g01_c05: 0.16522678195906337
v_CricketBowling_g01_c06: 0.20757738476095255
v_CricketBowling_g01_c07: 0.19684371024777647
v_CricketBowling_g02_c01: 0.03781078847532626
v_CricketBowling_g02_c02: 0.029678064849576913
v_CricketBowling_g02_c03: 0.05751985542883631
v_CricketBowling_g02_c04: 0.06263511393626686
v_CricketBowling_g02_c05: 0.06959464935061987
v_CricketBowling_g02_c06: 0.06520185897534247
v_CricketBowling_g02_c07: 0.06238428827782627
v_CricketBowling_g03_c01: 0.01866496119328076
v_CricketBowling_g03_c02: 0.020155599049758166
v_CricketBowling_g03_c03: 0.017712134271278046
v_CricketBowling_g03_c04: 0.018325207507587038
v_CricketBowling_g04_c01: 0.03365937036869582
v_CricketBowling_g04_c02: 0.012128631686209701
v_CricketBowling_g04_c03: 0.021205118144280277
v_CricketBowling_g04_c04: 0.012883575385785662
v_CricketBowling_g04_c05: 0.02466561294568237
v_CricketBowling_g05_c01: 0.09691154489701148
v_CricketBowling_g05_c02: 0.08437970791419502
v_CricketBowling_g05_c03: 0.10693573624303099
v_CricketBowling_g05_c04: 0.11045056673174258
v_CricketBowling_g06_c01: 0.03917052525503095
v_CricketBowling_g06_c02: 0.05739268612524029
v_CricketBowling_g06_c03: 0.03717095193860587
v_CricketBowling_g06_c04: 0.04293654391949531
v_CricketBowling_g06_c05: 0.037265902836224996
v_CricketBowling_g07_c01: 0.016776400603703223
v_CricketBowling_g07_c02: 0.02658944901486393
v_CricketBowling_g07_c03: 0.023811344042769633
v_CricketBowling_g07_c04: 0.032153173684491776
v_Diving_g01_c01: 0.22994147895951755
v_Diving_g01_c02: 0.2242131359234918
v_Diving_g01_c03: 0.20555075284210034
v_Diving_g01_c04: 0.1850108299695421
v_Diving_g01_c05: 0.147025767742889
v_Diving_g01_c06: 0.14480876017478295
v_Diving_g01_c07: 0.16753959425841458
v_Diving_g02_c01: 0.21061865033698268
v_Diving_g02_c02: 0.21335439829272218
v_Diving_g02_c03: 0.29061765808728524
v_Diving_g02_c04: 0.25968298365478404
v_Diving_g02_c05: 0.2740216006350238
v_Diving_g02_c06: 0.2550622083072085
v_Diving_g02_c07: 0.36180380315636285
v_Diving_g03_c01: 0.1740023733873386
