Loaded /home/acb11711tx/lzq/ExpEval/exe_res/ucf101_r50l_perturb_full_core14_summed.pt
Use 4 GPUs!
v_Basketball_g01_c01: 0.7646046003000748
v_Basketball_g01_c02: 0.8493196497810942
v_Basketball_g01_c03: 0.8214237193250966
v_Basketball_g01_c04: 0.7694797789817613
v_Basketball_g01_c05: 0.8142428606888217
v_Basketball_g01_c06: 0.7256587763922226
v_Basketball_g01_c07: 0.43628285140762557
v_Basketball_g02_c01: 0.7757029250869465
v_Basketball_g02_c02: 0.8410838960343909
v_Basketball_g02_c03: 0.6921809205459368
v_Basketball_g02_c04: 0.8326682333508444
v_Basketball_g02_c05: 0.8175993311824215
v_Basketball_g02_c06: 0.8024841781379592
v_Basketball_g03_c01: 0.6689526957133722
v_Basketball_g03_c02: 0.6937263530353022
v_Basketball_g03_c03: 0.7061400335887384
v_Basketball_g03_c04: 0.6762344163516474
v_Basketball_g03_c05: 0.6911579888919306
v_Basketball_g03_c06: 0.7334416431048822
v_Basketball_g04_c01: 0.24926617106207516
v_Basketball_g04_c02: 0.027084070249614456
v_Basketball_g04_c03: 0.0005619008201875886
v_Basketball_g04_c04: 0.2772420776681912
v_Basketball_g05_c01: 0.3956552843237233
v_Basketball_g05_c02: 0.0034542457223807332
v_Basketball_g05_c03: 0.457125314185717
v_Basketball_g05_c04: 0.5920857714163077
v_Basketball_g06_c01: 0.3996522016031605
v_Basketball_g06_c02: 0.339527826211409
v_Basketball_g06_c03: 0.6824325706483734
v_Basketball_g06_c04: 0.46668247591237844
v_Basketball_g07_c01: 0.6982039731601191
v_Basketball_g07_c02: 0.5311542671779108
v_Basketball_g07_c03: 0.7278845232585383
v_Basketball_g07_c04: 0.6251203340152216
v_BasketballDunk_g01_c01: 0.8501891449259347
v_BasketballDunk_g01_c02: 0.7660159424112862
v_BasketballDunk_g01_c03: 0.7535885527895516
v_BasketballDunk_g01_c04: 0.7918066337870187
v_BasketballDunk_g01_c05: 0.822772856073243
v_BasketballDunk_g01_c06: 0.6519167378710335
v_BasketballDunk_g01_c07: 0.819486792402131
v_BasketballDunk_g02_c01: 0.7701727107332772
v_BasketballDunk_g02_c02: 0.7558887556360787
v_BasketballDunk_g02_c03: 0.7340671375559396
v_BasketballDunk_g02_c04: 0.6274688199328011
v_BasketballDunk_g03_c01: 0.7457989409731454
v_BasketballDunk_g03_c02: 0.8043124631212777
v_BasketballDunk_g03_c03: 0.7564567282961434
v_BasketballDunk_g03_c04: 0.7988212064074105
v_BasketballDunk_g03_c05: 0.7912042096422738
v_BasketballDunk_g03_c06: 0.7294878915117806
v_BasketballDunk_g04_c01: 0.7730609730051583
v_BasketballDunk_g04_c02: 0.840274567918641
v_BasketballDunk_g04_c03: 0.7603385403917855
v_BasketballDunk_g04_c04: 0.7717560485170907
v_BasketballDunk_g05_c01: 0.7884343817995614
v_BasketballDunk_g05_c02: 0.7787969663904732
v_BasketballDunk_g05_c03: 0.7861190989779061
v_BasketballDunk_g05_c04: 0.7741500094698495
v_BasketballDunk_g05_c05: 0.8028491094873971
v_BasketballDunk_g05_c06: 0.6928068354891366
v_BasketballDunk_g06_c01: 0.7817394092844552
v_BasketballDunk_g06_c02: 0.8407278174699968
v_BasketballDunk_g06_c03: 0.7802862489761537
v_BasketballDunk_g06_c04: 0.7780485909597701
v_BasketballDunk_g07_c01: 0.7456663206385201
v_BasketballDunk_g07_c02: 0.798070605115754
v_BasketballDunk_g07_c03: 0.7848532751368111
v_BasketballDunk_g07_c04: 0.46690970213876426
v_BasketballDunk_g07_c05: 0.7215236380861825
v_BasketballDunk_g07_c06: 0.7290171936319894
v_Biking_g01_c01: 0.8227865325773109
v_Biking_g01_c02: 0.0631914437898382
v_Biking_g01_c03: 0.8466773366110374
v_Biking_g01_c04: 0.8344429365845372
v_Biking_g02_c01: 0.423484165921991
v_Biking_g02_c02: 0.5533608684802402
v_Biking_g02_c03: 0.6302186518462349
v_Biking_g02_c04: 0.7414876453133274
v_Biking_g02_c05: 0.7184791096972276
v_Biking_g02_c06: 0.43111089454237117
v_Biking_g02_c07: 0.7352754103505958
v_Biking_g03_c01: 0.7134126692565133
v_Biking_g03_c02: 0.6504890455419172
v_Biking_g03_c03: 0.6395984056891848
v_Biking_g03_c04: 0.6268584921510865
v_Biking_g04_c01: 0.4986118567196627
v_Biking_g04_c02: 0.2841228488853176
v_Biking_g04_c03: 0.5848947393262733
v_Biking_g04_c04: 0.005947057825153479
v_Biking_g04_c05: 0.07843764685298993
v_Biking_g05_c01: 0.26120531023684634
v_Biking_g05_c02: 0.6923533903920998
v_Biking_g05_c03: 0.6685731636846413
v_Biking_g05_c04: 0.7997837292516579
v_Biking_g05_c05: 0.7315693127477516
v_Biking_g05_c06: 0.6755392777288307
v_Biking_g05_c07: 0.7441065537298073
v_Biking_g06_c01: 0.6668318139875282
v_Biking_g06_c02: 0.7186194288099159
v_Biking_g06_c03: 0.7630927788579811
v_Biking_g06_c04: 0.49209626717697574
v_Biking_g06_c05: 0.6211893716847499
v_Biking_g07_c01: 0.6712669360006203
v_Biking_g07_c02: 0.7135550009572853
v_Biking_g07_c03: 0.5041193219387878
v_Biking_g07_c04: 0.4010970236288358
v_Biking_g07_c05: 0.03075724584255113
v_Biking_g07_c06: 0.699671643555348
v_CliffDiving_g01_c01: 0.7407027599401772
v_CliffDiving_g01_c02: 0.9615338740404695
v_CliffDiving_g01_c03: 0.9332997319288552
v_CliffDiving_g01_c04: 0.9103563544340432
v_CliffDiving_g01_c05: 0.9242002489045262
v_CliffDiving_g01_c06: 0.9834095952101052
v_CliffDiving_g02_c01: 0.5747013564687222
v_CliffDiving_g02_c02: 0.43816459202207625
v_CliffDiving_g02_c03: 0.8814906179904938
v_CliffDiving_g02_c04: 0.617095602909103
v_CliffDiving_g03_c01: 0.9920116183348
v_CliffDiving_g03_c02: 0.9969428298063576
v_CliffDiving_g03_c03: 0.9990192176774144
v_CliffDiving_g03_c04: 0.9987715648021549
v_CliffDiving_g03_c05: 0.9721415755338967
v_CliffDiving_g04_c01: 0.962170678190887
v_CliffDiving_g04_c02: 0.9764077397994697
v_CliffDiving_g04_c03: 0.9990561720915139
v_CliffDiving_g04_c04: 0.9928959128446877
v_CliffDiving_g05_c01: 0.18183014428996103
v_CliffDiving_g05_c02: 0.9916087505407631
v_CliffDiving_g05_c03: 0.4445814420469105
v_CliffDiving_g05_c04: 0.21941018174402416
v_CliffDiving_g05_c05: 0.9894676920957863
v_CliffDiving_g05_c06: 0.9496531183831394
