Loaded /home/lzq/ExpEval/exe_res/ucf101_r50l_eb_full_abs2.pt
v_Basketball_g01_c01: 0.6617327650682938
v_Basketball_g01_c02: 0.7290690670860869
v_Basketball_g01_c03: 0.7005741695547414
v_Basketball_g01_c04: 0.6940766250854296
v_Basketball_g01_c05: 0.7161277741333407
v_Basketball_g01_c06: 0.7140240093367112
v_Basketball_g01_c07: 0.5395287952087102
v_Basketball_g02_c01: 0.617261083484621
v_Basketball_g02_c02: 0.6454082249337745
v_Basketball_g02_c03: 0.7328553685592425
v_Basketball_g02_c04: 0.6068073992291403
v_Basketball_g02_c05: 0.5033240063721252
v_Basketball_g02_c06: 0.6298860545875442
v_Basketball_g03_c01: 0.6964476626971674
v_Basketball_g03_c02: 0.7053598087886286
v_Basketball_g03_c03: 0.712077013836236
v_Basketball_g03_c04: 0.8432462733844233
v_Basketball_g03_c05: 0.6761590164760065
v_Basketball_g03_c06: 0.6579708975413752
v_Basketball_g04_c01: 0.050024927780171424
v_Basketball_g04_c02: 0.015255001367179943
v_Basketball_g04_c03: 0.0013214059044486248
v_Basketball_g04_c04: 0.18127392177935064
v_Basketball_g05_c01: 0.07169693159171686
v_Basketball_g05_c02: 0.039617679148207685
v_Basketball_g05_c03: 0.5395287952087102
v_Basketball_g05_c04: 0.5567377136694205
v_Basketball_g06_c01: 0.4479962176782948
v_Basketball_g06_c02: 0.23042447437997282
v_Basketball_g06_c03: 0.5874673511506927
v_Basketball_g06_c04: 0.511245769835071
v_Basketball_g07_c01: 0.5640007775882196
v_Basketball_g07_c02: 0.3121775609115076
v_Basketball_g07_c03: 0.7442976158717585
v_Basketball_g07_c04: 0.31978841839823247
v_BasketballDunk_g01_c01: 0.8310155823992318
v_BasketballDunk_g01_c02: 0.7107399657534188
v_BasketballDunk_g01_c03: 0.5076638415621346
v_BasketballDunk_g01_c04: 0.8117552355097359
v_BasketballDunk_g01_c05: 0.7577545598314828
v_BasketballDunk_g01_c06: 0.7131761267946786
v_BasketballDunk_g01_c07: 0.8010805204676217
v_BasketballDunk_g02_c01: 0.7525116756723946
v_BasketballDunk_g02_c02: 0.6935349658297127
v_BasketballDunk_g02_c03: 0.6857513740824288
v_BasketballDunk_g02_c04: 0.6323314264582223
v_BasketballDunk_g03_c01: 0.8299092605875558
v_BasketballDunk_g03_c02: 0.7353137687014168
v_BasketballDunk_g03_c03: 0.7797942117022103
v_BasketballDunk_g03_c04: 0.7390239194201058
v_BasketballDunk_g03_c05: 0.7383609369562691
v_BasketballDunk_g03_c06: 0.743867929296357
v_BasketballDunk_g04_c01: 0.7951354935930794
v_BasketballDunk_g04_c02: 0.7793433621691293
v_BasketballDunk_g04_c03: 0.8511180833147591
v_BasketballDunk_g04_c04: 0.7755630567835397
v_BasketballDunk_g05_c01: 0.8398247316645211
v_BasketballDunk_g05_c02: 0.7577347710894173
v_BasketballDunk_g05_c03: 0.7112888053225106
v_BasketballDunk_g05_c04: 0.7278020337389535
v_BasketballDunk_g05_c05: 0.7778739288614815
v_BasketballDunk_g05_c06: 0.7483982399271554
v_BasketballDunk_g06_c01: 0.753858323411805
v_BasketballDunk_g06_c02: 0.8363335246385759
v_BasketballDunk_g06_c03: 0.8535268867553896
v_BasketballDunk_g06_c04: 0.8468817036764449
v_BasketballDunk_g07_c01: 0.7662661627100533
v_BasketballDunk_g07_c02: 0.7842536524103707
v_BasketballDunk_g07_c03: 0.8345885232256478
v_BasketballDunk_g07_c04: 0.5108632400797433
v_BasketballDunk_g07_c05: 0.7781587198542184
v_BasketballDunk_g07_c06: 0.6601567223833626
v_Biking_g01_c01: 0.8102823721731056
v_Biking_g01_c02: 0.2631486580857021
v_Biking_g01_c03: 0.758766386427169
v_Biking_g01_c04: 0.8851505748482396
v_Biking_g02_c01: 0.37618469144422306
v_Biking_g02_c02: 0.6191742906833042
v_Biking_g02_c03: 0.644102004125898
v_Biking_g02_c04: 0.610539220974033
v_Biking_g02_c05: 0.7970178255366136
v_Biking_g02_c06: 0.3291344402844061
v_Biking_g02_c07: 0.6567596422994484
v_Biking_g03_c01: 0.6016572981627633
v_Biking_g03_c02: 0.6904207600766767
v_Biking_g03_c03: 0.7103673580588747
v_Biking_g03_c04: 0.41108952905256047
v_Biking_g04_c01: 0.7717633736340304
v_Biking_g04_c02: 0.6308672074248989
v_Biking_g04_c03: 0.7283121573293556
v_Biking_g04_c04: 0.057630661145424256
v_Biking_g04_c05: 0.2885720632059474
v_Biking_g05_c01: 0.3266715649535854
v_Biking_g05_c02: 0.7014912592733253
v_Biking_g05_c03: 0.7064525114858498
v_Biking_g05_c04: 0.8577635514104713
v_Biking_g05_c05: 0.7477637755239357
v_Biking_g05_c06: 0.5821343886220802
v_Biking_g05_c07: 0.7716856228673805
v_Biking_g06_c01: 0.7833969818914284
v_Biking_g06_c02: 0.6931059586370338
v_Biking_g06_c03: 0.8564146982992042
v_Biking_g06_c04: 0.37935926718841984
v_Biking_g06_c05: 0.5241817394291957
v_Biking_g07_c01: 0.7201480495298256
v_Biking_g07_c02: 0.6557116734350075
v_Biking_g07_c03: 0.5652158709729065
v_Biking_g07_c04: 0.726933682106619
v_Biking_g07_c05: 0.09418991697225465
v_Biking_g07_c06: 0.39108442026395096
v_CliffDiving_g01_c01: 0.8152924892492592
v_CliffDiving_g01_c02: 0.9614975748118013
v_CliffDiving_g01_c03: 0.9499515411444008
v_CliffDiving_g01_c04: 0.8833306548185647
v_CliffDiving_g01_c05: 0.9753878833726048
v_CliffDiving_g01_c06: 0.9784259316511452
v_CliffDiving_g02_c01: 0.91227279859595
v_CliffDiving_g02_c02: 0.4272827502572909
v_CliffDiving_g02_c03: 0.8163505499251187
v_CliffDiving_g02_c04: 0.9215554727707058
v_CliffDiving_g03_c01: 0.9992842194624245
v_CliffDiving_g03_c02: 0.9884069082327187
v_CliffDiving_g03_c03: 0.9992124559357762
v_CliffDiving_g03_c04: 0.9892511533107609
v_CliffDiving_g03_c05: 0.9828251120634377
v_CliffDiving_g04_c01: 0.9680730877444148
v_CliffDiving_g04_c02: 0.9671901795081794
v_CliffDiving_g04_c03: 0.9940932509489357
v_CliffDiving_g04_c04: 0.999598812777549
v_CliffDiving_g05_c01: 0.10166577136624255
v_CliffDiving_g05_c02: 0.9994021174497902
v_CliffDiving_g05_c03: 0.4696579505689442
v_CliffDiving_g05_c04: 0.4232173867058009
v_CliffDiving_g05_c05: 0.9940052744932473
v_CliffDiving_g05_c06: 0.9408006961457431
v_CliffDiving_g05_c07: 0.9459963589906693
v_CliffDiving_g06_c01: 0.932750080479309
v_CliffDiving_g06_c02: 0.9821978139225394
v_CliffDiving_g06_c03: 0.8787428322248161
v_CliffDiving_g06_c04: 0.591292803408578
v_CliffDiving_g06_c05: 0.944690806325525
v_CliffDiving_g06_c06: 0.43374990695156157
v_CliffDiving_g06_c07: 0.983940368052572
v_CliffDiving_g07_c01: 0.8350788429379463
v_CliffDiving_g07_c02: 0.9981836793012917
v_CliffDiving_g07_c03: 0.98021648125723
v_CliffDiving_g07_c04: 0.9968069358728826
v_CliffDiving_g07_c05: 0.8801111511420459
v_CliffDiving_g07_c06: 0.9587073451839387
v_CricketBowling_g01_c01: 0.6927298086130822
v_CricketBowling_g01_c02: 0.8253619449579919
v_CricketBowling_g01_c03: 0.7010056751215661
v_CricketBowling_g01_c04: 0.612417675777694
v_CricketBowling_g01_c05: 0.716143466755172
v_CricketBowling_g01_c06: 0.6164394395792687
v_CricketBowling_g01_c07: 0.63731048278453
v_CricketBowling_g02_c01: 0.23032232233265582
v_CricketBowling_g02_c02: 0.35471983206400814
v_CricketBowling_g02_c03: 0.3764204939262772
v_CricketBowling_g02_c04: 0.5003995082707906
v_CricketBowling_g02_c05: 0.31782872997166756
v_CricketBowling_g02_c06: 0.5476158663997257
v_CricketBowling_g02_c07: 0.5103704288968647
