Loaded /home/acb11711tx/lzq/ExpEval/exe_res/ucf101_r50l_perturb_full_core8_fade_test_summed.pt
Use 4 GPUs!
v_Basketball_g01_c01: 0.7667602618830216
v_Basketball_g01_c02: 0.781355990017758
v_Basketball_g01_c03: 0.786936889090569
v_Basketball_g01_c04: 0.7479808008437914
v_Basketball_g01_c05: 0.7661286801239413
v_Basketball_g01_c06: 0.6987463256018174
v_Basketball_g01_c07: 0.590025134990313
v_Basketball_g02_c01: 0.6666475847968769
v_Basketball_g02_c02: 0.6689211844140601
v_Basketball_g02_c03: 0.490267027323128
v_Basketball_g02_c04: 0.6735367660084677
v_Basketball_g02_c05: 0.7132243264140499
v_Basketball_g02_c06: 0.6496461864234817
v_Basketball_g03_c01: 0.6693799418071222
v_Basketball_g03_c02: 0.6879742067912531
v_Basketball_g03_c03: 0.6534084004023981
v_Basketball_g03_c04: 0.7138663452723932
v_Basketball_g03_c05: 0.6629870456317377
v_Basketball_g03_c06: 0.7091985267260981
v_Basketball_g04_c01: 0.17555394133337643
v_Basketball_g04_c02: 0.05966694745343659
v_Basketball_g04_c03: 0.0008875598773130378
v_Basketball_g04_c04: 0.2182736528711331
v_Basketball_g05_c01: 0.4856896797800374
v_Basketball_g05_c02: 0.007629701264662003
v_Basketball_g05_c03: 0.5894210419155144
v_Basketball_g05_c04: 0.594593696449877
v_Basketball_g06_c01: 0.3883655852777821
v_Basketball_g06_c02: 0.2986148106073898
v_Basketball_g06_c03: 0.6883472587587249
v_Basketball_g06_c04: 0.48567749272565663
v_Basketball_g07_c01: 0.6558855694392633
v_Basketball_g07_c02: 0.5781931799510431
v_Basketball_g07_c03: 0.6276236694911432
v_Basketball_g07_c04: 0.6235307973483515
v_BasketballDunk_g01_c01: 0.8321028307245797
v_BasketballDunk_g01_c02: 0.7878690317438668
v_BasketballDunk_g01_c03: 0.7181570485399789
v_BasketballDunk_g01_c04: 0.8309381559656686
v_BasketballDunk_g01_c05: 0.8282951072023934
v_BasketballDunk_g01_c06: 0.6837053850458688
v_BasketballDunk_g01_c07: 0.8324054435061043
v_BasketballDunk_g02_c01: 0.7410770014093941
v_BasketballDunk_g02_c02: 0.7951699450777596
v_BasketballDunk_g02_c03: 0.7547348693178719
v_BasketballDunk_g02_c04: 0.6230782225893563
v_BasketballDunk_g03_c01: 0.7622063115404671
v_BasketballDunk_g03_c02: 0.8159828737543648
v_BasketballDunk_g03_c03: 0.7501267150209969
v_BasketballDunk_g03_c04: 0.8017792061136788
v_BasketballDunk_g03_c05: 0.8046853497789925
v_BasketballDunk_g03_c06: 0.7330833628939217
v_BasketballDunk_g04_c01: 0.7930679276751107
v_BasketballDunk_g04_c02: 0.8334265902803963
v_BasketballDunk_g04_c03: 0.7778167084024972
v_BasketballDunk_g04_c04: 0.7896842912005013
v_BasketballDunk_g05_c01: 0.8196672156618661
v_BasketballDunk_g05_c02: 0.7945938065813607
v_BasketballDunk_g05_c03: 0.7645369723604745
v_BasketballDunk_g05_c04: 0.7384941533373421
v_BasketballDunk_g05_c05: 0.8105830505655831
v_BasketballDunk_g05_c06: 0.700730676965577
v_BasketballDunk_g06_c01: 0.7716677740381783
v_BasketballDunk_g06_c02: 0.7713930720628923
v_BasketballDunk_g06_c03: 0.8228784764351076
v_BasketballDunk_g06_c04: 0.8010596793310469
v_BasketballDunk_g07_c01: 0.7946895912455147
v_BasketballDunk_g07_c02: 0.814415033178193
v_BasketballDunk_g07_c03: 0.7770126417444772
v_BasketballDunk_g07_c04: 0.5112842872904366
v_BasketballDunk_g07_c05: 0.798424358682496
v_BasketballDunk_g07_c06: 0.7883599952028817
v_Biking_g01_c01: 0.7497058736646522
v_Biking_g01_c02: 0.2677462325581297
v_Biking_g01_c03: 0.8474827741758872
v_Biking_g01_c04: 0.7151742808075596
v_Biking_g02_c01: 0.4322589531095673
v_Biking_g02_c02: 0.499875832583939
v_Biking_g02_c03: 0.6339913278372933
v_Biking_g02_c04: 0.6943561665268589
v_Biking_g02_c05: 0.7051414379404832
v_Biking_g02_c06: 0.44020110951009883
v_Biking_g02_c07: 0.71349801891688
v_Biking_g03_c01: 0.6661358743460823
v_Biking_g03_c02: 0.641039801996385
v_Biking_g03_c03: 0.654659962982123
v_Biking_g03_c04: 0.593142528787439
v_Biking_g04_c01: 0.29473607661407186
v_Biking_g04_c02: 0.27025529183652
v_Biking_g04_c03: 0.6076976286733498
v_Biking_g04_c04: 0.010177578978812107
v_Biking_g04_c05: 0.13355590962078168
v_Biking_g05_c01: 0.13074145675841464
v_Biking_g05_c02: 0.7267207133138527
v_Biking_g05_c03: 0.6835900770986427
v_Biking_g05_c04: 0.7583769785726417
v_Biking_g05_c05: 0.68758728378657
v_Biking_g05_c06: 0.6311042534673561
v_Biking_g05_c07: 0.765623115237986
v_Biking_g06_c01: 0.5265128838384499
v_Biking_g06_c02: 0.7196417080724586
v_Biking_g06_c03: 0.7452143656576027
v_Biking_g06_c04: 0.5551488916410108
v_Biking_g06_c05: 0.6330396095311244
v_Biking_g07_c01: 0.36818214529398574
v_Biking_g07_c02: 0.43664269917849197
v_Biking_g07_c03: 0.37782980525139465
v_Biking_g07_c04: 0.42433028831351294
v_Biking_g07_c05: 0.045954545263384716
v_Biking_g07_c06: 0.6199693854453017
v_CliffDiving_g01_c01: 0.7678153035230935
v_CliffDiving_g01_c02: 0.9209540185984224
v_CliffDiving_g01_c03: 0.9353502509184182
v_CliffDiving_g01_c04: 0.8159662601538002
v_CliffDiving_g01_c05: 0.614303600974381
v_CliffDiving_g01_c06: 0.9263762948103249
v_CliffDiving_g02_c01: 0.8178689952474087
v_CliffDiving_g02_c02: 0.4618434312287718
v_CliffDiving_g02_c03: 0.7212927639484406
v_CliffDiving_g02_c04: 0.61334009305574
v_CliffDiving_g03_c01: 0.9911893722601235
v_CliffDiving_g03_c02: 0.9977484461851418
v_CliffDiving_g03_c03: 0.9992978097870946
v_CliffDiving_g03_c04: 0.9906108544673771
v_CliffDiving_g03_c05: 0.9820807692594826
v_CliffDiving_g04_c01: 0.9904506979510188
v_CliffDiving_g04_c02: 0.97896847454831
v_CliffDiving_g04_c03: 0.9694417235441506
v_CliffDiving_g04_c04: 0.993591379839927
v_CliffDiving_g05_c01: 0.20057196057223337
v_CliffDiving_g05_c02: 0.9674518224783242
v_CliffDiving_g05_c03: 0.3398737837560475
v_CliffDiving_g05_c04: 0.22308299015276134
v_CliffDiving_g05_c05: 0.9122484442777932
v_CliffDiving_g05_c06: 0.9587114150635898
v_CliffDiving_g05_c07: 0.9674891382455826
v_CliffDiving_g06_c01: 0.6783606756944209
v_CliffDiving_g06_c02: 0.9961469101253897
v_CliffDiving_g06_c03: 0.844275254290551
v_CliffDiving_g06_c04: 0.662126248003915
v_CliffDiving_g06_c05: 0.9477082917001098
