Loaded /home/lzq/ExpEval/exe_res/ucf101_r50l_la_full.pt
v_CliffDiving_g05_c04: 0.5696521701756865
v_CliffDiving_g05_c05: 0.9868442569859326
v_CliffDiving_g05_c06: 0.9591096374206245
v_CliffDiving_g05_c07: 0.9785199351608753
v_CliffDiving_g06_c01: 0.4223184965085238
v_CliffDiving_g06_c02: 0.42203071364201605
v_CliffDiving_g06_c03: 0.34821428917348385
v_CliffDiving_g06_c04: 0.3212478526402265
v_CliffDiving_g06_c05: 0.35739202541299164
v_CliffDiving_g06_c06: 0.3654090669006109
v_CliffDiving_g06_c07: 0.3472926407121122
v_CliffDiving_g07_c01: 0.5366229526698589
v_CliffDiving_g07_c02: 0.8736049686558545
v_CliffDiving_g07_c03: 0.9591830191202462
v_CliffDiving_g07_c04: 0.9991077980957925
v_CliffDiving_g07_c05: 0.9137384865898639
v_CliffDiving_g07_c06: 0.9896918698213995
v_CricketBowling_g01_c01: 0.4614101725061275
v_CricketBowling_g01_c02: 0.4133515434701778
v_CricketBowling_g01_c03: 0.3942942398031093
v_CricketBowling_g01_c04: 0.3662824409444667
v_CricketBowling_g01_c05: 0.449738122745309
v_CricketBowling_g01_c06: 0.4071433024843074
v_CricketBowling_g01_c07: 0.39312154821947587
v_CricketBowling_g02_c01: 0.008571332775879625
v_CricketBowling_g02_c02: 0.006577617012787584
v_CricketBowling_g02_c03: 0.02068781642139328
v_CricketBowling_g02_c04: 0.021241654398743037
v_CricketBowling_g02_c05: 0.030673507823500756
v_CricketBowling_g02_c06: 0.02721955370054019
v_CricketBowling_g02_c07: 0.012841041422340993
v_CricketBowling_g03_c01: 7.548694008208123e-07
v_CricketBowling_g03_c02: 4.6422238852983355e-07
v_CricketBowling_g03_c03: 2.2941393233111285e-05
v_CricketBowling_g03_c04: 2.306924002937194e-07
v_CricketBowling_g04_c01: 0.23699489630654824
v_CricketBowling_g04_c02: 0.15281601388834787
v_CricketBowling_g04_c03: 0.10214893984504414
v_CricketBowling_g04_c04: 0.02236783666932496
v_CricketBowling_g04_c05: 0.00011270962669840401
v_CricketBowling_g05_c01: 0.33065579108789933
v_CricketBowling_g05_c02: 0.23455039434031022
v_CricketBowling_g05_c03: 0.24468282632425797
v_CricketBowling_g05_c04: 0.31180215649202836
v_CricketBowling_g06_c01: 0.02633845385991407
v_CricketBowling_g06_c02: 0.028257600254271154
v_CricketBowling_g06_c03: 0.04684215317376328
v_CricketBowling_g06_c04: 0.1568607606355883
v_CricketBowling_g06_c05: 0.04112611018774004
v_CricketBowling_g07_c01: 0.0188235008505373
v_CricketBowling_g07_c02: 0.003250568005221055
v_CricketBowling_g07_c03: 0.23101147333056105
v_CricketBowling_g07_c04: 0.04709656814940644
v_Diving_g01_c01: 0.5590569504147425
v_Diving_g01_c02: 0.4058961697464838
v_Diving_g01_c03: 0.4509649999981775
v_Diving_g01_c04: 0.5264866479283228
v_Diving_g01_c05: 0.5562241800671472
v_Diving_g01_c06: 0.3687310346012964
v_Diving_g01_c07: 0.5080850847607508
v_Diving_g02_c01: 0.32241107305344485
v_Diving_g02_c02: 0.19486398776825808
v_Diving_g02_c03: 0.5114624627476587
v_Diving_g02_c04: 0.4088577457314386
v_Diving_g02_c05: 0.3917175956612482
v_Diving_g02_c06: 0.5935867555981531
v_Diving_g02_c07: 0.44808928450402163
v_Diving_g03_c01: 0.519321335161294
v_Diving_g03_c02: 0.44060955723580264
v_Diving_g03_c03: 0.5458223946934595
v_Diving_g03_c04: 0.5452975757962122
v_Diving_g03_c05: 0.516767931783761
v_Diving_g03_c06: 0.49006591519173526
v_Diving_g03_c07: 0.5227878816967859
v_Diving_g04_c01: 0.19389542719181918
v_Diving_g04_c02: 0.27602459272202395
v_Diving_g04_c03: 0.11072745933961414
v_Diving_g04_c04: 0.2739345558529749
v_Diving_g04_c05: 0.26664607241582416
v_Diving_g04_c06: 0.3271319993382349
v_Diving_g04_c07: 0.17171014720406674
v_Diving_g05_c01: 0.5012812741642847
v_Diving_g05_c02: 0.4059327669983759
v_Diving_g05_c03: 0.4151756294613733
v_Diving_g05_c04: 0.3243314453011408
v_Diving_g05_c05: 0.41889752229508304
v_Diving_g05_c06: 0.440213394964303
v_Diving_g06_c01: 0.40945563992318057
v_Diving_g06_c02: 0.5043537743931665
v_Diving_g06_c03: 0.36112354477700137
v_Diving_g06_c04: 0.5061642058735742
v_Diving_g06_c05: 0.23469720166940533
v_Diving_g06_c06: 0.43930382808503055
v_Diving_g06_c07: 0.4863416381722345
v_Diving_g07_c01: 0.31860731324013614
v_Diving_g07_c02: 0.372370434606637
v_Diving_g07_c03: 0.2506580810604646
v_Diving_g07_c04: 0.24116027276795649
v_Fencing_g01_c01: 0.09142585452400454
v_Fencing_g01_c02: 0.04539612149574168
v_Fencing_g01_c03: 0.0391181142044843
v_Fencing_g01_c04: 0.06306539922707088
v_Fencing_g01_c05: 0.012936348838138656
v_Fencing_g01_c06: 0.1388731610936702
v_Fencing_g02_c01: 0.2882932553043247
v_Fencing_g02_c02: 0.19062567669652708
v_Fencing_g02_c03: 0.2196095975091339
v_Fencing_g02_c04: 0.24690152732409842
v_Fencing_g02_c05: 0.19666410404943235
