The visualization results will not be visualized and save.
Loaded /home/lzq/ExpEval/exe_res/ucf101_r2p1d_grad_cam_full_layer3_test.pt
v_CliffDiving_g05_c03: 0.5751678839618084
v_CliffDiving_g05_c04: 0.23798360449134134
v_CliffDiving_g05_c05: 0.8131309759894423
v_CliffDiving_g05_c06: 0.8672537777061556
v_CliffDiving_g05_c07: 0.8666273236712989
v_CliffDiving_g06_c01: 0.5545509578331428
v_CliffDiving_g06_c02: 0.8347218673091893
v_CliffDiving_g06_c03: 0.6820097172011932
v_CliffDiving_g06_c04: 0.7893401156161346
v_CliffDiving_g06_c05: 0.832588638131525
v_CliffDiving_g06_c06: 0.48833077758112375
v_CliffDiving_g06_c07: 0.9024634225695741
v_CliffDiving_g07_c01: 0.8991629375765721
v_CliffDiving_g07_c02: 0.9379804209751241
v_CliffDiving_g07_c03: 0.9475484151174041
v_CliffDiving_g07_c04: 0.8737365392420222
v_CliffDiving_g07_c05: 0.8143132633584387
v_CliffDiving_g07_c06: 0.5729889262321533
v_CricketBowling_g01_c01: 0.6954482869628598
v_CricketBowling_g01_c02: 0.6196071606421587
v_CricketBowling_g01_c03: 0.6683172556334267
v_CricketBowling_g01_c04: 0.7121281510328545
v_CricketBowling_g01_c05: 0.7459298854657248
v_CricketBowling_g01_c06: 0.5600512393476332
v_CricketBowling_g01_c07: 0.5864955280341354
v_CricketBowling_g02_c01: 0.1843337790346613
v_CricketBowling_g02_c02: 0.23960909858053805
v_CricketBowling_g02_c03: 0.3386313624241773
v_CricketBowling_g02_c04: 0.24408552496894903
v_CricketBowling_g02_c05: 0.29876036053779076
v_CricketBowling_g02_c06: 0.298295049544643
v_CricketBowling_g02_c07: 0.26046301914634656
v_CricketBowling_g03_c01: 0.2862330307709236
v_CricketBowling_g03_c02: 0.18028173604432274
v_CricketBowling_g03_c03: 0.23738162876198105
v_CricketBowling_g03_c04: 0.4180759222557147
v_CricketBowling_g04_c01: 0.5348721039134497
v_CricketBowling_g04_c02: 0.22189351921426315
v_CricketBowling_g04_c03: 0.3808950724481952
v_CricketBowling_g04_c04: 0.34993323415663896
v_CricketBowling_g04_c05: 0.18094053149369418
v_CricketBowling_g05_c01: 0.6346637276749985
v_CricketBowling_g05_c02: 0.74960529599704
v_CricketBowling_g05_c03: 0.7299468456968373
v_CricketBowling_g05_c04: 0.7084573178752964
v_CricketBowling_g06_c01: 0.7212627054429521
v_CricketBowling_g06_c02: 0.8230381369225535
v_CricketBowling_g06_c03: 0.7147621720444922
v_CricketBowling_g06_c04: 0.4396275755894535
v_CricketBowling_g06_c05: 0.5369431276604826
v_CricketBowling_g07_c01: 0.5177824587360317
v_CricketBowling_g07_c02: 0.6031008524637597
v_CricketBowling_g07_c03: 0.5007459710260816
v_CricketBowling_g07_c04: 0.39094892306362883
v_Diving_g01_c01: 0.8776403005362726
v_Diving_g01_c02: 0.8132531509387727
v_Diving_g01_c03: 0.5204877626698683
v_Diving_g01_c04: 0.39717813627977
v_Diving_g01_c05: 0.47851946363408193
v_Diving_g01_c06: 0.5022547811616723
v_Diving_g01_c07: 0.4827143380747122
v_Diving_g02_c01: 0.5027051451086414
v_Diving_g02_c02: 0.5491042035796186
v_Diving_g02_c03: 0.37543415554306087
v_Diving_g02_c04: 0.37370363557893854
v_Diving_g02_c05: 0.4671326914820455
v_Diving_g02_c06: 0.2731842986362822
v_Diving_g02_c07: 0.46171656367095076
v_Diving_g03_c01: 0.6147349140113767
v_Diving_g03_c02: 0.4745090462011742
v_Diving_g03_c03: 0.6870104804050688
v_Diving_g03_c04: 0.35464882864525504
v_Diving_g03_c05: 0.36014431067103264
v_Diving_g03_c06: 0.753713041178736
v_Diving_g03_c07: 0.6969283565257987
v_Diving_g04_c01: 0.4278229691051677
