Loaded /home/lzq/ExpEval/exe_res/ucf101_r2p1d_perturb_full_core11_test_summed.pt
v_BasketballDunk_g06_c01: 0.8711542055449065
v_BasketballDunk_g06_c02: 0.8580213844483974
v_BasketballDunk_g06_c03: 0.8999688594145517
v_BasketballDunk_g06_c04: 0.8269234336766542
v_BasketballDunk_g07_c01: 0.842563838847712
v_BasketballDunk_g07_c02: 0.9105587820321613
v_BasketballDunk_g07_c03: 0.9003870654193794
v_BasketballDunk_g07_c04: 0.7984021431236875
v_BasketballDunk_g07_c05: 0.8145589070723337
v_BasketballDunk_g07_c06: 0.9129205166636144
v_Biking_g01_c01: 0.8604677660007249
v_Biking_g01_c02: 0.8473128637408509
v_Biking_g01_c03: 0.9197445709185273
v_Biking_g01_c04: 0.9710671566645889
v_Biking_g02_c01: 0.8421127966331209
v_Biking_g02_c02: 0.8222362980976993
v_Biking_g02_c03: 0.8260176476127669
v_Biking_g02_c04: 0.8543400246595196
v_Biking_g02_c05: 0.8478556545341716
v_Biking_g02_c06: 0.7204376584174587
v_Biking_g02_c07: 0.8201213401778802
v_Biking_g03_c01: 0.468324763044788
v_Biking_g03_c02: 0.9270486487093947
v_Biking_g03_c03: 0.9348438694890515
v_Biking_g03_c04: 0.7005039674686451
v_Biking_g04_c01: 0.43123207467370755
v_Biking_g04_c02: 0.43134646755917105
v_Biking_g04_c03: 0.7876196599675014
v_Biking_g04_c04: 0.37723043629826575
v_Biking_g04_c05: 0.6403202363764685
v_Biking_g05_c01: 0.5516834723416204
v_Biking_g05_c02: 0.820184280986295
v_Biking_g05_c03: 0.8537168897724912
v_Biking_g05_c04: 0.9297805771012516
v_Biking_g05_c05: 0.8786759893355124
v_Biking_g05_c06: 0.8717020161449909
v_Biking_g05_c07: 0.9248701611113753
v_Biking_g06_c01: 0.7972066118217567
v_Biking_g06_c02: 0.9337288960631863
v_Biking_g06_c03: 0.8316750756154457
v_Biking_g06_c04: 0.5953046896878411
v_Biking_g06_c05: 0.8631574129941417
v_Biking_g07_c01: 0.7235254902812635
v_Biking_g07_c02: 0.7575480170274044
v_Biking_g07_c03: 0.8506113047273282
v_Biking_g07_c04: 0.8666773726971929
v_Biking_g07_c05: 0.38117150588545434
v_Biking_g07_c06: 0.6158572661982593
v_CliffDiving_g01_c01: 0.798896122577728
v_CliffDiving_g01_c02: 0.8195769113360667
v_CliffDiving_g01_c03: 0.5727428026643454
v_CliffDiving_g01_c04: 0.6178591168540366
v_CliffDiving_g01_c05: 0.6341112577447704
v_CliffDiving_g01_c06: 0.5350164543764264
v_CliffDiving_g02_c01: 0.6769748196298001
v_CliffDiving_g02_c02: 0.7100161825471064
v_CliffDiving_g02_c03: 0.7009867520016783
v_CliffDiving_g02_c04: 0.6500730913935923
v_CliffDiving_g03_c01: 0.971546766658624
v_CliffDiving_g03_c02: 0.9543612330567603
v_CliffDiving_g03_c03: 0.9135419447048038
v_CliffDiving_g03_c04: 0.9548643323428491
v_CliffDiving_g03_c05: 0.98453756600034
v_CliffDiving_g04_c01: 0.9739383824607906
v_CliffDiving_g04_c02: 0.9596262130959361
v_CliffDiving_g04_c03: 0.9687472835475324
v_CliffDiving_g04_c04: 0.9470318433700823
v_CliffDiving_g05_c01: 0.36596120563792245
v_CliffDiving_g05_c02: 0.8075394505379246
v_CliffDiving_g05_c03: 0.6776924481286722
v_CliffDiving_g05_c04: 0.47443866256405326
v_CliffDiving_g05_c05: 0.8014387200056923
v_CliffDiving_g05_c06: 0.8706020257052254
v_CliffDiving_g05_c07: 0.7875039943585209
v_CliffDiving_g06_c01: 0.7401642621586135
v_CliffDiving_g06_c02: 0.7702292166942475
v_CliffDiving_g06_c03: 0.7742008547280349
v_CliffDiving_g06_c04: 0.594099364663456
v_CliffDiving_g06_c05: 0.7516745021091956
v_CliffDiving_g06_c06: 0.6976104717482539
v_CliffDiving_g06_c07: 0.8089934640217061
v_CliffDiving_g07_c01: 0.9165857836604119
v_CliffDiving_g07_c02: 0.9892172528248208
v_CliffDiving_g07_c03: 0.9601939255116032
v_CliffDiving_g07_c04: 0.6778943073515799
v_CliffDiving_g07_c05: 0.939551943657445
v_CliffDiving_g07_c06: 0.7303863062724179
v_CricketBowling_g01_c01: 0.9275353304165251
v_CricketBowling_g01_c02: 0.9446111637806776
v_CricketBowling_g01_c03: 0.9284344814936905
v_CricketBowling_g01_c04: 0.9125661713089429
v_CricketBowling_g01_c05: 0.94108008232479
v_CricketBowling_g01_c06: 0.8906260274131509
v_CricketBowling_g01_c07: 0.908071804704035
v_CricketBowling_g02_c01: 0.41973021253943443
v_CricketBowling_g02_c02: 0.494315425401517
v_CricketBowling_g02_c03: 0.7249550116851049
v_CricketBowling_g02_c04: 0.3891795817324344
v_CricketBowling_g02_c05: 0.6352446303575062
v_CricketBowling_g02_c06: 0.6185318622153764
v_CricketBowling_g02_c07: 0.5165964468656218
v_CricketBowling_g03_c01: 0.14859171869854132
v_CricketBowling_g03_c02: 0.19167274386421138
v_CricketBowling_g03_c03: 0.2782825775152328
v_CricketBowling_g03_c04: 0.225488562144193
v_CricketBowling_g04_c01: 0.6479256761059458
v_CricketBowling_g04_c02: 0.2408541903703236
v_CricketBowling_g04_c03: 0.519162905230826
v_CricketBowling_g04_c04: 0.275172801695618
v_CricketBowling_g04_c05: 0.2799333861207261
v_CricketBowling_g05_c01: 0.9290540561226068
v_CricketBowling_g05_c02: 0.9154541656228842
v_CricketBowling_g05_c03: 0.956078974055309
v_CricketBowling_g05_c04: 0.9124538429665799
v_CricketBowling_g06_c01: 0.5746645255050823
v_CricketBowling_g06_c02: 0.6459153042923585
v_CricketBowling_g06_c03: 0.5091123602480865
v_CricketBowling_g06_c04: 0.4858037120133054
v_CricketBowling_g06_c05: 0.757186271235639
v_CricketBowling_g07_c01: 0.5600645196131047
v_CricketBowling_g07_c02: 0.6032894029628997
v_CricketBowling_g07_c03: 0.6008534641388584
v_CricketBowling_g07_c04: 0.29197337289943415
v_Diving_g01_c01: 0.9600600665398672
v_Diving_g01_c02: 0.8864888054702211
v_Diving_g01_c03: 0.8407542129613313
v_Diving_g01_c04: 0.8841953260057113
v_Diving_g01_c05: 0.8520839657853632
v_Diving_g01_c06: 0.8992249194459588
v_Diving_g01_c07: 0.841632742463958
v_Diving_g02_c01: 0.8034842345498356
v_Diving_g02_c02: 0.8902655461364809
v_Diving_g02_c03: 0.7557098107083755
v_Diving_g02_c04: 0.7865386656905506
v_Diving_g02_c05: 0.861885534548292
v_Diving_g02_c06: 0.8343897273800537
v_Diving_g02_c07: 0.9210015983046854
v_Diving_g03_c01: 0.926029815711081
v_Diving_g03_c02: 0.8194862713197283
v_Diving_g03_c03: 0.8874415984048563
v_Diving_g03_c04: 0.861546184473178
v_Diving_g03_c05: 0.8872731392655302
v_Diving_g03_c06: 0.9154702412877597
v_Diving_g03_c07: 0.8877858806730193
v_Diving_g04_c01: 0.8693480863108062
v_Diving_g04_c02: 0.8414415638893843
v_Diving_g04_c03: 0.9730562278526086
v_Diving_g04_c04: 0.8263056260259712
v_Diving_g04_c05: 0.9248746304170173
v_Diving_g04_c06: 0.923147003933349
v_Diving_g04_c07: 0.9153259281945579
v_Diving_g05_c01: 0.8650395498957997
v_Diving_g05_c02: 0.8737633236592599
v_Diving_g05_c03: 0.8572676695846752
v_Diving_g05_c04: 0.7833858643932378
v_Diving_g05_c05: 0.8311513541448935
v_Diving_g05_c06: 0.8366053473642644
v_Diving_g06_c01: 0.7738878163308197
v_Diving_g06_c02: 0.8227456517334955
v_Diving_g06_c03: 0.8526819033584758
v_Diving_g06_c04: 0.8443286606421073
v_Diving_g06_c05: 0.7490427333386798
v_Diving_g06_c06: 0.8108151621313072
v_Diving_g06_c07: 0.7708241611646086
v_Diving_g07_c01: 0.842095120375355
v_Diving_g07_c02: 0.9218265730230247
v_Diving_g07_c03: 0.7308311969589661
v_Diving_g07_c04: 0.7504087522187654
v_Fencing_g01_c01: 0.733939113234188
v_Fencing_g01_c02: 0.7787198222881438
v_Fencing_g01_c03: 0.7607640400090638
v_Fencing_g01_c04: 0.7708494238263252
v_Fencing_g01_c05: 0.7375031876067321
v_Fencing_g01_c06: 0.7751267701679585
v_Fencing_g02_c01: 0.7751279050447777
v_Fencing_g02_c02: 0.6745729580083314
v_Fencing_g02_c03: 0.7750775051978873
v_Fencing_g02_c04: 0.757723856775784
v_Fencing_g02_c05: 0.7117889513718146
v_Fencing_g03_c01: 0.6709308734784524
v_Fencing_g03_c02: 0.37483423399720706
v_Fencing_g03_c03: 0.7419028146886358
v_Fencing_g03_c04: 0.667985562205899
v_Fencing_g03_c05: 0.6996535338753579
v_Fencing_g04_c01: 0.32860217199606057
v_Fencing_g04_c02: 0.6653875554382217
v_Fencing_g04_c03: 0.6366589721255734
v_Fencing_g04_c04: 0.7483228451481052
v_Fencing_g04_c05: 0.6198401542782199
v_Fencing_g05_c01: 0.7584903837930338
v_Fencing_g05_c02: 0.8105776015669107
v_Fencing_g05_c03: 0.8095596524357211
v_Fencing_g05_c04: 0.6913431483156541
v_Fencing_g05_c05: 0.7727531283801677
v_Fencing_g06_c01: 0.49540799988397194
v_Fencing_g06_c02: 0.6502377566826694
v_Fencing_g06_c03: 0.7643377719739196
v_Fencing_g06_c04: 0.7794043422987064
v_Fencing_g07_c01: 0.6662778990014511
v_Fencing_g07_c02: 0.46438212543725965
v_Fencing_g07_c03: 0.6966832274680629
v_Fencing_g07_c04: 0.7346408921202608
v_FloorGymnastics_g01_c01: 0.8851527916304037
v_FloorGymnastics_g01_c02: 0.9001299596775104
v_FloorGymnastics_g01_c03: 0.856959492088679
v_FloorGymnastics_g01_c04: 0.8425956203291813
v_FloorGymnastics_g01_c05: 0.8613033426779451
v_FloorGymnastics_g02_c01: 0.6994203833461392
v_FloorGymnastics_g02_c02: 0.7637923514105234
v_FloorGymnastics_g02_c03: 0.8470682242775665
v_FloorGymnastics_g02_c04: 0.8562700571967107
v_FloorGymnastics_g03_c01: 0.7825610269299325
v_FloorGymnastics_g03_c02: 0.8200427618681215
v_FloorGymnastics_g03_c03: 0.743656915229033
v_FloorGymnastics_g03_c04: 0.7444342484040295
v_FloorGymnastics_g04_c01: 0.7382691268882184
v_FloorGymnastics_g04_c02: 0.8623344708708863
v_FloorGymnastics_g04_c03: 0.8266502473430306
v_FloorGymnastics_g04_c04: 0.7730445894175301
v_FloorGymnastics_g04_c05: 0.8514399505859497
v_FloorGymnastics_g05_c01: 0.8448765143058171
v_FloorGymnastics_g05_c02: 0.9140631909792621
v_FloorGymnastics_g05_c03: 0.8908428577377515
v_FloorGymnastics_g05_c04: 0.8625901130228942
v_FloorGymnastics_g06_c01: 0.7842326339370772
v_FloorGymnastics_g06_c02: 0.783113098140879
v_FloorGymnastics_g06_c03: 0.8259378879933673
v_FloorGymnastics_g06_c04: 0.4843284998052553
v_FloorGymnastics_g06_c05: 0.312749168711404
v_FloorGymnastics_g06_c06: 0.5367077258780745
v_FloorGymnastics_g06_c07: 0.5465598566676764
v_FloorGymnastics_g07_c01: 0.7509736328659689
v_FloorGymnastics_g07_c02: 0.6665705206749194
v_FloorGymnastics_g07_c03: 0.9116263041236237
v_FloorGymnastics_g07_c04: 0.5007393596913008
v_FloorGymnastics_g07_c05: 0.603248115424432
v_FloorGymnastics_g07_c06: 0.6906590326086564
v_FloorGymnastics_g07_c07: 0.657032375914209
v_GolfSwing_g01_c01: 0.8427237969257083
v_GolfSwing_g01_c02: 0.8520876310035295
v_GolfSwing_g01_c03: 0.9080665543675422
v_GolfSwing_g01_c04: 0.9174511073120669
v_GolfSwing_g01_c05: 0.8371653769895726
v_GolfSwing_g01_c06: 0.8957652247565634
v_GolfSwing_g02_c01: 0.7307154038665341
v_GolfSwing_g02_c02: 0.5908478273918816
v_GolfSwing_g02_c03: 0.5170847662085412
v_GolfSwing_g02_c04: 0.6559712188793164
v_GolfSwing_g03_c01: 0.32867575850264696
v_GolfSwing_g03_c02: 0.38374395800717903
v_GolfSwing_g03_c03: 0.5358307966560709
v_GolfSwing_g03_c04: 0.4933220985473371
v_GolfSwing_g03_c05: 0.4063112114428305
v_GolfSwing_g03_c06: 0.5193323161964323
v_GolfSwing_g03_c07: 0.505737458403204
v_GolfSwing_g04_c01: 0.7051639198124701
v_GolfSwing_g04_c02: 0.6022809104373058
v_GolfSwing_g04_c03: 0.7951746912417459
v_GolfSwing_g04_c04: 0.7270674726250125
v_GolfSwing_g04_c05: 0.6316290580977996
v_GolfSwing_g04_c06: 0.726012605121907
v_GolfSwing_g05_c01: 0.4996522162620928
v_GolfSwing_g05_c02: 0.6948639187596592
v_GolfSwing_g05_c03: 0.6531294033223507
v_GolfSwing_g05_c04: 0.6519362127590997
v_GolfSwing_g05_c05: 0.7082784402165927
v_GolfSwing_g05_c06: 0.7392071793038472
v_GolfSwing_g05_c07: 0.42834891664485136
v_GolfSwing_g06_c01: 0.030255779715291427
v_GolfSwing_g06_c02: 0.549277942547319
v_GolfSwing_g06_c03: 0.6572213336642758
v_GolfSwing_g06_c04: 0.5139123614950507
v_GolfSwing_g07_c01: 0.6602429553135938
v_GolfSwing_g07_c02: 0.6746222120143619
v_GolfSwing_g07_c03: 0.6828351616932481
v_GolfSwing_g07_c04: 0.49388010403981397
v_GolfSwing_g07_c05: 0.586016786346833
v_HorseRiding_g01_c01: 0.9016784560318817
v_HorseRiding_g01_c02: 0.831291404512583
v_HorseRiding_g01_c03: 0.8286824118327715
v_HorseRiding_g01_c04: 0.8674002117057349
v_HorseRiding_g01_c05: 0.9081547997837119
v_HorseRiding_g01_c06: 0.7963139456459413
v_HorseRiding_g01_c07: 0.8810527874540318
v_HorseRiding_g02_c01: 0.8542450498771288
v_HorseRiding_g02_c02: 0.8625647027355929
v_HorseRiding_g02_c03: 0.8738027793738772
v_HorseRiding_g02_c04: 0.8903150040656328
v_HorseRiding_g02_c05: 0.8380255577574466
v_HorseRiding_g02_c06: 0.8856000601058351
v_HorseRiding_g02_c07: 0.8594446530346485
v_HorseRiding_g03_c01: 0.7977010940512022
v_HorseRiding_g03_c02: 0.8260581148952684
v_HorseRiding_g03_c03: 0.8305163347052739
v_HorseRiding_g03_c04: 0.8379689563741433
v_HorseRiding_g03_c05: 0.8895834626885606
v_HorseRiding_g03_c06: 0.8549455646315918
v_HorseRiding_g03_c07: 0.864806075936512
v_HorseRiding_g04_c01: 0.6704033088943392
v_HorseRiding_g04_c02: 0.6941248044627262
v_HorseRiding_g04_c03: 0.46027226841771135
v_HorseRiding_g04_c04: 0.689403057102041
v_HorseRiding_g04_c05: 0.7472416437577968
v_HorseRiding_g04_c06: 0.7948704332259355
v_HorseRiding_g04_c07: 0.785844466278293
v_HorseRiding_g05_c01: 0.9463318703550042
v_HorseRiding_g05_c02: 0.9268849849043523
v_HorseRiding_g05_c03: 0.9083368510245254
v_HorseRiding_g05_c04: 0.9228602081792904
v_HorseRiding_g05_c05: 0.8836074930140931
v_HorseRiding_g05_c06: 0.7470783443628427
v_HorseRiding_g05_c07: 0.7511560808794171
v_HorseRiding_g06_c01: 0.8931501591906829
v_HorseRiding_g06_c02: 0.8910231383718258
v_HorseRiding_g06_c03: 0.9068307902079586
v_HorseRiding_g06_c04: 0.9358881611112213
v_HorseRiding_g06_c05: 0.9357021308851008
v_HorseRiding_g06_c06: 0.9553763684469695
v_HorseRiding_g06_c07: 0.9022998182669136
v_HorseRiding_g07_c01: 0.761697285631489
v_HorseRiding_g07_c02: 0.7314226313950677
v_HorseRiding_g07_c03: 0.7109512625024745
v_HorseRiding_g07_c04: 0.7443453279652578
v_HorseRiding_g07_c05: 0.7381282100472234
v_HorseRiding_g07_c06: 0.8690387182220743
v_HorseRiding_g07_c07: 0.9166742848761964
v_IceDancing_g01_c01: 0.7039650744110273
v_IceDancing_g01_c02: 0.6981797768186558
v_IceDancing_g01_c03: 0.6773678837764059
v_IceDancing_g01_c04: 0.7537885140463272
v_IceDancing_g01_c05: 0.7809979388764238
v_IceDancing_g01_c06: 0.7368367531437281
v_IceDancing_g01_c07: 0.6571704232006096
v_IceDancing_g02_c01: 0.7616996687508243
v_IceDancing_g02_c02: 0.7036958517744114
v_IceDancing_g02_c03: 0.6871135064528561
v_IceDancing_g02_c04: 0.7625711712064039
v_IceDancing_g02_c05: 0.7079900626020105
v_IceDancing_g02_c06: 0.7501089655082015
v_IceDancing_g02_c07: 0.7385705717492337
v_IceDancing_g03_c01: 0.6317468989640475
v_IceDancing_g03_c02: 0.8016982147652729
v_IceDancing_g03_c03: 0.709380564261593
v_IceDancing_g03_c04: 0.785887822762643
v_IceDancing_g03_c05: 0.8143836552350252
v_IceDancing_g03_c06: 0.7599132972312909
v_IceDancing_g04_c01: 0.5510472459079442
v_IceDancing_g04_c02: 0.6336247964031703
v_IceDancing_g04_c03: 0.5822777314768994
v_IceDancing_g04_c04: 0.6117673800692108
v_IceDancing_g04_c05: 0.030763759352632012
v_IceDancing_g04_c06: 0.5342419928177169
v_IceDancing_g04_c07: 0.6029472957693917
v_IceDancing_g05_c01: 0.759211538259086
v_IceDancing_g05_c02: 0.7302943021789485
v_IceDancing_g05_c03: 0.7334192993192404
v_IceDancing_g05_c04: 0.666289349181541
v_IceDancing_g05_c05: 0.7522866695754084
v_IceDancing_g05_c06: 0.767791855505065
v_IceDancing_g06_c01: 0.865562331226344
v_IceDancing_g06_c02: 0.6458428143852336
v_IceDancing_g06_c03: 0.7990444933246894
v_IceDancing_g06_c04: 0.7219029983943877
v_IceDancing_g06_c05: 0.7450206097954993
v_IceDancing_g06_c06: 0.5304477805454357
v_IceDancing_g07_c01: 0.8059017753429418
v_IceDancing_g07_c02: 0.8047976708897919
v_IceDancing_g07_c03: 0.7518716236485132
v_IceDancing_g07_c04: 0.7225869842330176
v_IceDancing_g07_c05: 0.7220415392434042
v_IceDancing_g07_c06: 0.6439416544676265
v_IceDancing_g07_c07: 0.7165533790766608
v_LongJump_g01_c01: 0.8241123962800438
v_LongJump_g01_c02: 0.8332332126248408
v_LongJump_g01_c03: 0.8961107764247002
v_LongJump_g01_c04: 0.722848614486044
v_LongJump_g01_c05: 0.8448542718666003
v_LongJump_g01_c06: 0.8014720508317444
v_LongJump_g01_c07: 0.8321054204074921
v_LongJump_g02_c01: 0.8892076444063409
v_LongJump_g02_c02: 0.905715921418924
v_LongJump_g02_c03: 0.955108465184001
v_LongJump_g02_c04: 0.9160196975183984
v_LongJump_g02_c05: 0.9370074290763952
v_LongJump_g03_c01: 0.7450026191825814
v_LongJump_g03_c02: 0.8369558294577634
v_LongJump_g03_c03: 0.6108759551929931
v_LongJump_g03_c04: 0.7031166384325308
v_LongJump_g03_c05: 0.7059250835146682
v_LongJump_g03_c06: 0.7469650418223703
v_LongJump_g04_c01: 0.6364701139083242
v_LongJump_g04_c02: 0.7287154260438446
v_LongJump_g04_c03: 0.7077389079803491
v_LongJump_g04_c04: 0.6945429002318312
v_LongJump_g04_c05: 0.731162106986249
v_LongJump_g04_c06: 0.701417766358046
v_LongJump_g04_c07: 0.7720779362408554
v_LongJump_g05_c01: 0.025195010216431876
v_LongJump_g05_c02: 0.12282274234309501
v_LongJump_g05_c03: 0.21293483567698038
v_LongJump_g05_c04: 0.490475307196817
v_LongJump_g05_c05: 0.47891098270649274
v_LongJump_g06_c01: 0.17842567927551037
v_LongJump_g06_c02: 0.44464602016697763
v_LongJump_g06_c03: 0.26966675938581863
v_LongJump_g06_c04: 0.3564282154080038
v_LongJump_g07_c01: 0.5303874095244443
v_LongJump_g07_c02: 0.7402924903558896
v_LongJump_g07_c03: 0.20458196474275753
v_LongJump_g07_c05: 0.42354218007120137
v_PoleVault_g01_c01: 0.646190723995952
v_PoleVault_g01_c02: 0.7573039788022345
v_PoleVault_g01_c03: 0.7321767457267817
v_PoleVault_g01_c04: 0.8018431106436195
v_PoleVault_g01_c05: 0.5457002458619137
v_PoleVault_g02_c01: 0.7644489182816708
v_PoleVault_g02_c02: 0.8078700781964204
v_PoleVault_g02_c03: 0.7608820958336925
v_PoleVault_g02_c04: 0.817881232182331
v_PoleVault_g02_c05: 0.7114844713707035
v_PoleVault_g02_c06: 0.8109862402464976
v_PoleVault_g02_c07: 0.838724496127928
v_PoleVault_g03_c01: 0.698170352626738
v_PoleVault_g03_c02: 0.6041569814213789
v_PoleVault_g03_c03: 0.4589548922746497
v_PoleVault_g03_c04: 0.7807154452829969
v_PoleVault_g03_c05: 0.7316896358176189
v_PoleVault_g03_c06: 0.7583265370598027
v_PoleVault_g03_c07: 0.8520141068188584
v_PoleVault_g04_c01: 0.655628295014521
v_PoleVault_g04_c02: 0.8535262748526008
v_PoleVault_g04_c03: 0.6373821475013506
v_PoleVault_g04_c04: 0.6806347972476015
v_PoleVault_g04_c05: 0.6991491504241804
v_PoleVault_g04_c06: 0.8492335481094379
v_PoleVault_g04_c07: 0.6631487671139777
v_PoleVault_g05_c01: 0.710751220989315
v_PoleVault_g05_c02: 0.7550180236991568
v_PoleVault_g05_c03: 0.8819520189225966
v_PoleVault_g05_c04: 0.7978926785290241
v_PoleVault_g05_c05: 0.7834420492836073
v_PoleVault_g06_c01: 0.902086579039985
v_PoleVault_g06_c02: 0.7387308587740157
v_PoleVault_g06_c03: 0.7109357265810318
v_PoleVault_g06_c04: 0.7823596917202368
v_PoleVault_g06_c05: 0.6760986112386865
v_PoleVault_g07_c01: 0.8923864508011178
v_PoleVault_g07_c02: 0.4533249605520099
v_PoleVault_g07_c03: 0.5485167319667251
v_PoleVault_g07_c04: 0.8295686982243377
v_RopeClimbing_g01_c01: 0.8283985424567671
v_RopeClimbing_g01_c02: 0.8245855911689646
v_RopeClimbing_g01_c03: 0.5172598683220498
v_RopeClimbing_g01_c04: 0.6997497722214343
v_RopeClimbing_g02_c01: 0.7201166957616806
v_RopeClimbing_g02_c02: 0.7163708014815462
v_RopeClimbing_g02_c03: 0.6859837753515617
v_RopeClimbing_g02_c04: 0.391992230289707
v_RopeClimbing_g02_c05: 0.8559280678191605
v_RopeClimbing_g02_c06: 0.6385296460168034
v_RopeClimbing_g03_c01: 0.24206829220056533
v_RopeClimbing_g03_c02: 0.7786364029143371
v_RopeClimbing_g03_c03: 0.8508015226499707
v_RopeClimbing_g03_c04: 0.8847676530772565
v_RopeClimbing_g04_c01: 0.7397924086188569
v_RopeClimbing_g04_c02: 0.932135507405973
v_RopeClimbing_g04_c03: 0.9010694940008369
v_RopeClimbing_g04_c04: 0.923388095053972
v_RopeClimbing_g05_c01: 0.9124271055793061
v_RopeClimbing_g05_c02: 0.9218230727256513
v_RopeClimbing_g05_c03: 0.8242872204266343
v_RopeClimbing_g05_c04: 0.8978366427853995
v_RopeClimbing_g05_c05: 0.8652351703860012
v_RopeClimbing_g05_c06: 0.6350987805382294
v_RopeClimbing_g05_c07: 0.7949445460941277
v_RopeClimbing_g06_c01: 0.9370283501843611
v_RopeClimbing_g06_c02: 0.9540623357921254
v_RopeClimbing_g06_c03: 0.9535250752287753
v_RopeClimbing_g06_c04: 0.9198954532689908
v_RopeClimbing_g07_c01: 0.7605667875970111
v_RopeClimbing_g07_c02: 0.8523260188745517
v_RopeClimbing_g07_c03: 0.7790988538341195
v_RopeClimbing_g07_c04: 0.6321346221162992
v_RopeClimbing_g07_c05: 0.7790787954540813
v_SalsaSpin_g01_c01: 0.89337775131651
v_SalsaSpin_g01_c02: 0.8376547644864403
v_SalsaSpin_g01_c03: 0.8895040596086605
v_SalsaSpin_g01_c04: 0.928743493359755
v_SalsaSpin_g01_c05: 0.866600609724136
