Loaded /home/acb11711tx/lzq/ExpEval/exe_res/epic_r50l_perturb_full_core8_summed.pt
P04_04_8871-test-potato: 0.12396297792849964
P04_04_8881-halve-onion: 0.617432893478508
P04_05_8942-stir-potato: 0.3571543459821669
P04_05_8957-stir-onion: 0.3188088862143559
P04_05_9008-tip-onion: 0.009564402876094391
P04_05_9164-stir-pan: 0.7253767058847416
P04_07_9339-open-drawer: 0.6225182502530515
P04_10_9423-open-cupboard: 0.9135158987628529
P04_10_9478-stir-pan: 0.7016655032185781
P04_17_9658-put-knife: 0.2228345290177458
P04_21_9718-put-down-pan: 0.38386161254140916
P04_23_9802-open-cupboard: 0.8745247110637138
P05_02_10281-take-cupboard: 0.818578241756768
P05_04_10512-open-cupboard: 0.5626714214595268
P05_08_10794-move-onion: 0.006311244906390456
P05_08_10798-pour-meat: 0.0007343807717624319
P05_08_10851-rinse-pan: 0.0373620079447079
P06_03_10987-open-drawer: 0.9848919599317014
P06_03_11064-move-spoon: 0.010389257920905948
P06_03_11093-move-pan: 0.015740553121872836
P06_05_11217-put-lid: 0.03410989706799228
P06_05_11297-move-bowl: 0.004483882198138112
P06_07_11465-put-lid: 0.4237230391886442
P06_07_11508-pick-up-knife: 0.4474171860028946
P06_07_11542-put-down-sponge: 0.4997562260992936
P06_09_11667-put-lid: 0.07842691626183296
P06_09_11682-put-lid: 0.6369228025146185
P06_09_11691-open-drawer: 0.992675372865051
P06_09_11697-put-lid: 0.6749521589085816
P07_03_12021-rinse-pot: 0.8279160434890969
P07_04_12165-shake-pan: 0.39551648394092354
P07_05_12200-wash-pan: 0.017781383956503305
P07_05_12204-rinse-pan: 0.36258384097720864
P07_06_12230-open-tap: 0.5141375257459231
P07_09_12343-open-fridge: 0.6513284332013427
P07_09_12346-close-fridge: 0.5520172139058559
P07_09_12357-shake-bottle: 0.7054098643070574
P07_09_12358-close-bottle: 0.8627109922176714
P07_10_12381-place-pot: 0.3930030187171383
P07_10_12426-cut-potato: 0.8041050295852301
P07_10_12431-cut-potato: 0.6537310342811224
P07_10_12433-cut-potato: 0.6592168669723151
P07_10_12435-cut-potato: 0.6339529018424628
P07_10_12438-cut-potato: 0.5989963870071051
P07_10_12439-cut-potato: 0.6480780105613348
P07_10_12441-cut-potato: 0.6522844295524237
P07_10_12443-cut-potato: 0.6363630156539557
P07_10_12536-put-lid: 0.4860443793591003
P08_01_12979-get-fork: 0.00247879155567432
P08_01_13017-get-fork: 0.015165772150318446
P08_02_13102-place-back-sponge: 0.6470229984421394
P08_04_13145-get-cloth: 0.001978941951847446
P08_04_13158-close-drawer: 0.3597757413517684
P08_04_13162-place-in-cupboard: 0.5302368981429405
P08_05_13210-wash-potato: 0.00412591175114585
P08_05_13239-close-cupboard: 0.7671084763860563
P08_05_13371-get-knife: 0.6802429092467719
P08_05_13378-get-spoon: 0.4554504618354258
P08_05_13398-open-fridge: 0.6508681065297424
P08_05_13401-open-lid: 0.5763856654234587
P08_05_13413-open-cupboard: 0.6901708305704233
P08_05_13434-put-lid: 0.08448180832829166
P08_05_13493-place-plate: 0.02528225864145666
P08_06_13609-close-fridge: 0.2982890195107757
P08_06_13617-open-drawer: 0.31686062505468726
P08_06_13618-place-knife: 0.006084540580218345
P08_06_13629-wipe-off-pan: 0.7022417312347216
P08_11_13977-get-cloth: 0.13066569746865753
P08_18_14449-wipe-bowl: 0.8143536471416155
P08_18_14507-water-sponge: 0.3230531263558305
P08_18_14508-squeeze-sponge: 0.6175445709537826
P08_18_14512-water-sponge: 0.3487633480850718
P08_18_14524-water-sponge: 0.6561428364526591
P08_18_14525-squeeze-sponge: 0.7193059092547855
P08_18_14531-water-sponge: 0.6770006781604252
P08_19_14557-close-fridge: 0.6664331442570983
P08_21_14640-take-out-glass: 0.21653688180163044
P08_21_14646-place-pan: 0.11522046442962619
P08_21_14658-place-in-cupboard: 0.2951013938684355
P08_21_14669-place-in-cupboard: 0.8162694965867558
P08_21_14811-close-cupboard: 0.715845534708933
P08_21_14812-open-cupboard: 0.5572071111673722
P08_22_14989-place-sponge: 0.4284199248228333
P08_22_14997-place-sponge: 0.4929842711586616
P08_23_15214-get-potato: 0.31755634597914195
P08_24_15331-get-potato: 0.42320870110245323
P08_24_15333-cut-potato: 0.5764062266372321
P08_25_15415-get-plate: 0.7274170630453227
P08_26_15435-get-pan: 0.4153051751328576
P08_26_15438-get-bowl: 0.17794540928480274
P08_26_15444-place-bowl: 0.6708632576865057
P08_26_15453-close-drawer: 0.20462639192919596
P08_26_15455-get-bottle: 0.20562634558291393
P08_26_15490-move-bowl: 0.8427311752111564
P08_26_15501-clean-sponge: 0.6879499913353584
P10_01_15872-move-pot: 0.7272306202490313
P10_01_15913-shake-pot: 0.8636359036013914
P10_01_15944-put-pot: 0.5608564775016589
P10_04_16497-throw-bottle: 0.06149463971447888
P10_04_16580-clean-pot: 0.006281995701556298
P12_02_18571-wash-knife: 0.1900106986404353
P12_02_18604-wash-knife: 0.14446810781100794
P12_02_18631-wash-knife: 0.004606134556752295
P12_02_18711-fill-glass: 0.0003995136826423372
P12_06_18977-take-cloth: 0.04725935485680566
P12_06_19001-put-plate: 0.0041678436272150066
P12_06_19002-open-bottle: 0.6060757186437513
P13_07_19294-open-drawer: 0.9284889190457761
P13_08_19320-take-onion: 0.0008926222024787656
P13_08_19332-put-down-onion: 0.33415036996939307
P13_08_19339-cut-onion: 0.5150713652756167
P13_08_19345-put-down-knife: 0.05979814202601119
P13_08_19357-pick-up-pot: 0.8180064853791578
P13_08_19377-change-pot: 0.12965081598900952
P13_08_19391-put-down-plate: 0.7955480381688176
P13_09_19504-put-pan: 0.7956406290305722
P13_09_19511-drain-pot: 0.1796837615825666
P13_09_19516-close-drawer: 0.48967680521309376
P13_09_19528-close-drawer: 0.9975522249005735
P13_09_19549-close-fridge: 0.6676475968106388
P15_01_19739-pick-up-bowl: 0.0667237458943326
P15_03_19816-close-drawer: 0.9721011011861265
P15_03_19848-dry-pan: 0.49792387791796955
P15_08_19995-open-drawer: 0.17374320025945256
P15_08_19998-pick-up-cloth: 0.00031011585894238913
P15_08_20028-put-away-glass: 0.392431529056239
P15_08_20061-put-down-cloth: 0.015894320806410178
P15_13_20124-place-bowl: 0.01786011998309789
P15_13_20139-rinse-lid: 0.5813920756049811
P15_13_20166-rinse-cloth: 0.14635687911345485
P17_03_20405-close-tap: 0.0016358637154496591
P17_04_20444-open-fridge: 0.2709936465962528
P19_03_21333-close-cupboard: 0.8428214910818497
P19_04_21364-open-fridge: 0.7740839986490755
P20_01_21490-rinse-meat: 0.005288186181307497
P20_01_21503-rinse-meat: 0.03685830044627325
P20_01_21556-pick-up-bowl: 0.8289971917056391
P20_01_21560-rinse-bowl: 0.12746941737118325
P20_01_21588-open-drawer: 0.9764632084406912
P20_01_21611-rinse-spatula: 0.7657741685743531
