Loaded /home/acb11711tx/lzq/ExpEval/exe_res/epic_r50l_perturb_full_core5_cylinder_summed.pt
Use 4 GPUs!
P01_01_11-close-fridge: 0.8563101774907409
P01_01_227-take-glass: 0.001019468339099214
P01_01_246-put-down-spatula: 0.6835648864853283
P01_01_254-put-down-spoon: 0.6503664100382593
P01_01_255-open-cupboard: 0.7935557494784007
P01_01_305-take-spatula: 0.6860385388481518
P01_01_324-wash-pan: 0.9009512877220232
P01_01_49-take-spatula: 0.7159020309682091
P01_01_76-take-onion: 0.6820389360573245
P01_02_338-rinse-sponge: 0.006923213489244517
P01_02_387-rinse-spoon: 0.3349443823629059
P01_02_417-rinse-fork: 0.0022257776133671747
P01_02_421-rinse-plate: 0.9118768671369253
P01_03_489-move-bottle: 0.5938127465719845
P01_03_493-open-cupboard: 0.8803248544136295
P01_05_562-take-plate: 0.4772098144358097
P01_05_628-peel-potato: 0.6804648499511359
P01_05_629-put-down-potato: 0.2538833372428826
P01_05_743-open-drawer: 0.9928253381513059
P01_06_830-wash-fork: 0.006893768614190776
P01_06_896-rinse-knife: 0.44026639121602784
P01_06_921-rinse-cloth: 0.39268516780271057
P01_07_955-open-cupboard: 0.73609566585219
P01_09_1034-put-down-potato: 0.005559062640600132
P01_09_1170-wash-spatula: 0.3402017723183235
P01_09_1180-rinse-spatula: 0.6799516529190441
P01_09_1229-pour-potato: 0.46943166802350333
P01_09_1528-open-drawer: 0.8985213795676827
P01_09_1551-take-potato: 0.2735372946173129
P01_09_1678-open-fridge: 0.8337499991885124
P01_09_1743-open-fridge: 0.8499978796007781
P01_09_1859-take-plate: 0.7320821365183292
P01_16_2820-put-glass: 0.23749754629466224
P01_16_2866-close-cupboard: 0.9398850003635744
P01_17_2886-open-cupboard: 0.8659870013507316
P01_17_3150-rinse-cloth: 0.0909680540410136
P01_18_3170-open-fridge: 0.8894695526814758
P01_18_3324-hang-cloth: 0.3752787041796637
P01_18_3454-take-lid: 0.8737494607635199
P01_18_3469-turn-on-tap: 0.7085262724955328
P01_18_3548-open-drawer: 0.798418530728668
P01_18_3688-take-sponge: 0.6358073577445111
P01_19_3910-rinse-glass: 0.028148464658553914
P01_19_3913-rinse-knife: 0.0016946129737219935
P01_19_3950-rinse-sponge: 0.11441748781047067
P01_19_3973-rinse-cloth: 0.37798884751668993
P01_19_3976-rinse-cloth: 0.1351574402863207
P01_19_3986-hang-cloth: 0.7794019664490861
P02_01_4005-open-cupboard: 0.8668299879791448
P02_01_4033-put-spoon: 0.26593083714396926
P02_02_4107-wash-knife: 0.34366474360012944
P02_02_4111-wash-spoon: 0.951625165886071
P02_02_4113-wash-spoon: 0.9389262577824411
P02_03_4188-put-lid: 0.0012756975477827837
P02_03_4202-close-cupboard: 0.00789479890408984
P02_03_4206-open-fridge: 0.8974903709149658
P02_03_4277-put-onion: 0.6818942066665841
P02_03_4296-pick-pot: 0.0003637043687945152
P02_03_4427-stir-onion: 0.7229806289460612
P02_03_4506-pick-up-pot: 0.038978685150652836
P02_04_4579-pick-up-glass: 0.8216809810176073
P02_04_4596-squeeze-sponge: 0.3582602730181179
P02_04_4612-pick-up-pan: 0.004612450213821617
P02_06_4766-rinse-lid: 0.22650988187569965
P02_06_4769-wash-spoon: 0.09893763507486142
P02_06_4787-rinse-fork: 0.024103951393044554
P02_09_5229-put-spoon: 0.8159782473303494
P02_09_5280-mix-bowl: 0.06003280184268078
P02_09_5338-return-drawer: 0.6625132723711431
P02_09_5384-chop-onion: 0.8241577774670077
P02_09_5385-chop-onion: 0.709408881833042
P02_09_5471-stir-onion: 0.8133922119077397
P02_09_5491-add-to-pan: 0.42646745616923454
P02_09_5498-mix-meat: 0.8660561166233833
P02_09_5501-break-meat: 0.9042000494427498
P02_09_5550-get-glass: 0.30946117225471426
P02_09_5563-hold-glass: 0.5951898780688225
P02_11_5765-stir-meat: 0.7611435366324599
P03_02_6280-fill-bottle: 0.7419049636168893
P03_02_6290-close-bottle: 0.7277467645412798
P03_02_6297-close-bottle: 0.827765445568275
P03_02_6316-put-bottle: 0.0019153770291140404
P03_02_6340-turn-off-tap: 0.019352186967466878
P03_04_6681-turn-on-tap: 0.024159055151926623
P03_06_6837-tap-spoon: 0.424413379842008
P03_06_6838-put-spatula: 0.7543813321153721
P03_09_6912-shake-bottle: 0.853723029018056
P03_09_6939-fill-bottle: 0.08750825593038514
P03_09_7060-wash-fork: 0.006958897476977199
P03_09_7068-rinse-bowl: 0.08221956486926274
