The visualization results will not be visualized and save.
Loaded /home/lzq/ExpEval/exe_res/epic_r2p1d_perturb_full_core11_test_summed.pt
P01_01_11-close-fridge: 0.5909005740803539
P01_01_227-take-glass: 0.247103986027194
P01_01_246-put-down-spatula: 0.601208903206348
P01_01_254-put-down-spoon: 0.5578195733885628
P01_01_255-open-cupboard: 0.6205548056821321
P01_01_305-take-spatula: 0.64730538603206
P01_01_324-wash-pan: 0.9307657065052612
P01_01_49-take-spatula: 0.01669823962267187
P01_01_76-take-onion: 0.8874790982434563
P01_02_338-rinse-sponge: 0.004688604330351832
P01_02_387-rinse-spoon: 0.18462055792493343
P01_02_417-rinse-fork: 0.015426758996338821
P01_02_421-rinse-plate: 0.9257160048858792
P01_03_489-move-bottle: 0.004794538476705259
P01_03_493-open-cupboard: 0.4874903828051745
P01_05_562-take-plate: 0.7914805247512299
P01_05_628-peel-potato: 0.5369696068778342
P01_05_629-put-down-potato: 0.12828280588283258
P01_05_743-open-drawer: 0.6460630543548248
P01_06_830-wash-fork: 0.0015393723682934127
P01_06_896-rinse-knife: 0.36144287466726666
P01_06_921-rinse-cloth: 0.03599702942312932
P01_07_955-open-cupboard: 0.6259538824907412
P01_09_1034-put-down-potato: 0.005861085764698538
P01_09_1170-wash-spatula: 0.6417753518727956
P01_09_1180-rinse-spatula: 0.5745987239879254
P01_09_1229-pour-potato: 0.04648562846522705
P01_09_1528-open-drawer: 0.2530128328969666
P01_09_1551-take-potato: 0.13213749457077653
P01_09_1678-open-fridge: 0.5186083842744575
P01_09_1743-open-fridge: 0.644983923387732
P01_09_1859-take-plate: 0.9655375576194595
P01_16_2820-put-glass: 0.002013086104838579
P01_16_2866-close-cupboard: 0.6854913396578209
P01_17_2886-open-cupboard: 0.6723590652220974
P01_17_3150-rinse-cloth: 0.37784562983422304
P01_18_3170-open-fridge: 0.59147836173355
P01_18_3324-hang-cloth: 0.3152022871060991
P01_18_3454-take-lid: 0.9723924527711728
P01_18_3469-turn-on-tap: 0.520765826456687
P01_18_3548-open-drawer: 0.6638307755703435
P01_18_3688-take-sponge: 0.18148762706813273
P01_19_3910-rinse-glass: 0.4301843903063997
P01_19_3913-rinse-knife: 0.12323202424792244
P01_19_3950-rinse-sponge: 0.17723204434173656
P01_19_3973-rinse-cloth: 0.4164351540800257
P01_19_3976-rinse-cloth: 0.6230654401033568
P01_19_3986-hang-cloth: 0.8748966295564291
P02_01_4005-open-cupboard: 0.14805160351828034
P02_01_4033-put-spoon: 0.08358145308516482
P02_02_4107-wash-knife: 0.7341120935227795
P02_02_4111-wash-spoon: 0.40220956958866877
P02_02_4113-wash-spoon: 0.8006502264854954
P02_03_4188-put-lid: 0.15265179713640142
P02_03_4202-close-cupboard: 0.3727612389982039
P02_03_4206-open-fridge: 0.6530295408860434
P02_03_4277-put-onion: 0.888895354960479
P02_03_4296-pick-pot: 0.0016014380677470779
P02_03_4427-stir-onion: 0.9546562119451004
P02_03_4506-pick-up-pot: 0.005405030753828731
P02_04_4579-pick-up-glass: 0.9634933758600085
P02_04_4596-squeeze-sponge: 0.582430370886098
P02_04_4612-pick-up-pan: 0.5044268323218122
P02_06_4766-rinse-lid: 0.8844325223389794
P02_06_4769-wash-spoon: 0.6518009666426509
P02_06_4787-rinse-fork: 0.0018389992443296839
P02_09_5229-put-spoon: 0.8969279992768504
P02_09_5280-mix-bowl: 0.006088970754952992
P02_09_5338-return-drawer: 0.5401113215176498
P02_09_5384-chop-onion: 0.6875203533280714
P02_09_5385-chop-onion: 0.9304975744482933
P02_09_5471-stir-onion: 0.9357878236410518
P02_09_5491-add-to-pan: 0.46974033613817073
P02_09_5498-mix-meat: 0.8044864049108297
P02_09_5501-break-meat: 0.7949274116213999
P02_09_5550-get-glass: 0.3799883109243477
P02_09_5563-hold-glass: 0.26113759425340916
P02_11_5765-stir-meat: 0.6321184044813408
P03_02_6280-fill-bottle: 0.7822530210018158
