The visualization results will not be visualized and save.
Loaded /home/lzq/ExpEval/exe_res/epic_r50l_perturb_full_core11_test_summed.pt
P04_04_8871-test-potato: 0.13276949809857316
P04_04_8881-halve-onion: 0.5939778117058963
P04_05_8942-stir-potato: 0.47977060356939794
P04_05_8957-stir-onion: 0.39419156699098973
P04_05_9008-tip-onion: 0.06531201038788091
P04_05_9164-stir-pan: 0.6423537746474703
P04_07_9339-open-drawer: 0.5388353881882686
P04_10_9423-open-cupboard: 0.5270067229647847
P04_10_9478-stir-pan: 0.7601369031787708
P04_17_9658-put-knife: 0.1896848357136489
P04_21_9718-put-down-pan: 0.3528592029698284
P04_23_9802-open-cupboard: 0.746924286489101
P05_02_10281-take-cupboard: 0.7241938261863063
P05_04_10512-open-cupboard: 0.46730230937839723
P05_08_10794-move-onion: 0.005105386238569825
P05_08_10798-pour-meat: 0.00027813507720170943
P05_08_10851-rinse-pan: 0.030048411981967067
P06_03_10987-open-drawer: 0.9070198497351478
P06_03_11064-move-spoon: 0.019146872865145697
P06_03_11093-move-pan: 0.013787848136944733
P06_05_11217-put-lid: 0.05336256382516676
P06_05_11297-move-bowl: 0.004873905722795973
P06_07_11465-put-lid: 0.40618110804581176
P06_07_11508-pick-up-knife: 0.38723701948309136
P06_07_11542-put-down-sponge: 0.4847446478883998
P06_09_11667-put-lid: 0.18476702629625066
P06_09_11682-put-lid: 0.8118350231944693
P06_09_11691-open-drawer: 0.876247070349899
P06_09_11697-put-lid: 0.8880163304656105
P07_03_12021-rinse-pot: 0.8470888746563658
P07_04_12165-shake-pan: 0.6328786683024601
P07_05_12200-wash-pan: 0.22639278309743888
P07_05_12204-rinse-pan: 0.341840865158969
P07_06_12230-open-tap: 0.5093644503794791
P07_09_12343-open-fridge: 0.5082774665320804
P07_09_12346-close-fridge: 0.4109325713436941
P07_09_12357-shake-bottle: 0.6868454736552438
P07_09_12358-close-bottle: 0.5326724244030557
P07_10_12381-place-pot: 0.44013912685343304
P07_10_12426-cut-potato: 0.8243382416203316
P07_10_12431-cut-potato: 0.6363695749067976
P07_10_12433-cut-potato: 0.756551987465754
P07_10_12435-cut-potato: 0.6419459576335024
P07_10_12438-cut-potato: 0.5330770335912901
P07_10_12439-cut-potato: 0.5664150614088844
P07_10_12441-cut-potato: 0.5610012679960004
P07_10_12443-cut-potato: 0.5402122981965031
P07_10_12536-put-lid: 0.7405837681546223
P08_01_12979-get-fork: 0.003074952248843432
P08_01_13017-get-fork: 0.007767274763714162
P08_02_13102-place-back-sponge: 0.6488821111283566
P08_04_13145-get-cloth: 0.0029613850919607406
P08_04_13158-close-drawer: 0.430975136569902
P08_04_13162-place-in-cupboard: 0.505731429765932
P08_05_13210-wash-potato: 0.0036675075196755786
P08_05_13239-close-cupboard: 0.4910172548875505
P08_05_13371-get-knife: 0.7307991930288171
P08_05_13378-get-spoon: 0.42165804902712506
P08_05_13398-open-fridge: 0.7360773087250909
P08_05_13401-open-lid: 0.7396952870315598
P08_05_13413-open-cupboard: 0.6943112787060147
P08_05_13434-put-lid: 0.07215546449947664
P08_05_13493-place-plate: 0.026847571983701066
P08_06_13609-close-fridge: 0.29785548171585463
P08_06_13617-open-drawer: 0.3309981930489634
P08_06_13618-place-knife: 0.008698679329302418
P08_06_13629-wipe-off-pan: 0.6818091844910454
P08_11_13977-get-cloth: 0.2665373925827261
P08_18_14449-wipe-bowl: 0.7568418124544563
P08_18_14507-water-sponge: 0.5250838452968952
P08_18_14508-squeeze-sponge: 0.5794877245044
P08_18_14512-water-sponge: 0.4046373894304969
P08_18_14524-water-sponge: 0.7198349293239766
P08_18_14525-squeeze-sponge: 0.6601590735644184
P08_18_14531-water-sponge: 0.6605718981570581
P08_19_14557-close-fridge: 0.6272399974192547
P08_21_14640-take-out-glass: 0.15248054345640555
P08_21_14646-place-pan: 0.07275308555576439
P08_21_14658-place-in-cupboard: 0.12928857067508587
P08_21_14669-place-in-cupboard: 0.718229993651895
P08_21_14811-close-cupboard: 0.6079976300690688
P08_21_14812-open-cupboard: 0.7115214363909235
P08_22_14989-place-sponge: 0.47955102501399616
P08_22_14997-place-sponge: 0.40834807918696847
P08_23_15214-get-potato: 0.4576241393223195
P08_24_15331-get-potato: 0.3306238464531192
P08_24_15333-cut-potato: 0.41509778675493125
P08_25_15415-get-plate: 0.7256237602975293
