The visualization results will not be visualized and save.
Loaded /home/lzq/ExpEval/exe_res/epic_r50l_perturb_full_test_summed.pt
P04_04_8871-test-potato: 0.05241879349387269
P04_04_8881-halve-onion: 0.5622950859824378
P04_05_8942-stir-potato: 0.36867914255320405
P04_05_8957-stir-onion: 0.3727518813081962
P04_05_9008-tip-onion: 0.02591382041253953
P04_05_9164-stir-pan: 0.7863744577914522
P04_07_9339-open-drawer: 0.521220557829913
P04_10_9423-open-cupboard: 0.7573250730321104
P04_10_9478-stir-pan: 0.7647697920104096
P04_17_9658-put-knife: 0.3301986602427182
P04_21_9718-put-down-pan: 0.529505084841923
P04_23_9802-open-cupboard: 0.819015686747198
P05_02_10281-take-cupboard: 0.4341703167294755
P05_04_10512-open-cupboard: 0.4913294695609925
P05_08_10794-move-onion: 0.004704082744604188
P05_08_10798-pour-meat: 0.0005045779509718248
P05_08_10851-rinse-pan: 0.07713130112821162
P06_03_10987-open-drawer: 0.8545192945237253
P06_03_11064-move-spoon: 0.028117537690217003
P06_03_11093-move-pan: 0.009896135266057636
P06_05_11217-put-lid: 0.051912869024547
P06_05_11297-move-bowl: 0.06480545299603856
P06_07_11465-put-lid: 0.4367583539341485
P06_07_11508-pick-up-knife: 0.5716658082640018
P06_07_11542-put-down-sponge: 0.45275433792228476
P06_09_11667-put-lid: 0.20163939822803015
P06_09_11682-put-lid: 0.8678648013071449
P06_09_11691-open-drawer: 0.8930610661413155
P06_09_11697-put-lid: 0.6862128541072119
P07_03_12021-rinse-pot: 0.6440800761732081
P07_04_12165-shake-pan: 0.6646121467984117
P07_05_12200-wash-pan: 0.06017842611478295
P07_05_12204-rinse-pan: 0.32417493789255913
P07_06_12230-open-tap: 0.5198630529877846
P07_09_12343-open-fridge: 0.33261250500092465
P07_09_12346-close-fridge: 0.2941499018735782
P07_09_12357-shake-bottle: 0.6759906863247035
P07_09_12358-close-bottle: 0.6748301055960303
P07_10_12381-place-pot: 0.7305578291276356
P07_10_12426-cut-potato: 0.8426725643889535
P07_10_12431-cut-potato: 0.7509713122499057
P07_10_12433-cut-potato: 0.7175197294210175
P07_10_12435-cut-potato: 0.620181785913255
P07_10_12438-cut-potato: 0.506750798574877
P07_10_12439-cut-potato: 0.4923157113320628
P07_10_12441-cut-potato: 0.517375548862665
P07_10_12443-cut-potato: 0.5489579889261935
P07_10_12536-put-lid: 0.7024157431761862
P08_01_12979-get-fork: 0.008684850393843572
P08_01_13017-get-fork: 0.013422393805900337
P08_02_13102-place-back-sponge: 0.7010039161705708
P08_04_13145-get-cloth: 0.006329448709570273
P08_04_13158-close-drawer: 0.45813726794485954
P08_04_13162-place-in-cupboard: 0.28495504052982656
P08_05_13210-wash-potato: 0.00429124581419541
P08_05_13239-close-cupboard: 0.5023171492432262
P08_05_13371-get-knife: 0.6850604297629759
P08_05_13378-get-spoon: 0.4606482569785679
P08_05_13398-open-fridge: 0.8460524971514721
P08_05_13401-open-lid: 0.8357584612759049
P08_05_13413-open-cupboard: 0.6624490093677213
P08_05_13434-put-lid: 0.3009710918691959
P08_05_13493-place-plate: 0.07484626665872146
P08_06_13609-close-fridge: 0.27833896699936733
P08_06_13617-open-drawer: 0.7179874636378942
P08_06_13618-place-knife: 0.00913005648374868
P08_06_13629-wipe-off-pan: 0.6520904905280308
P08_11_13977-get-cloth: 0.2814737475868634
P08_18_14449-wipe-bowl: 0.840414417674765
P08_18_14507-water-sponge: 0.44123034847682846
P08_18_14508-squeeze-sponge: 0.6020838837520797
P08_18_14512-water-sponge: 0.5077137251879892
P08_18_14524-water-sponge: 0.7478529972992464
P08_18_14525-squeeze-sponge: 0.8036574973582544
P08_18_14531-water-sponge: 0.6854213302373454
P08_19_14557-close-fridge: 0.6189717203963037
P08_21_14640-take-out-glass: 0.15923772266148314
P08_21_14646-place-pan: 0.048627221134751486
P08_21_14658-place-in-cupboard: 0.07685498125285056
P08_21_14669-place-in-cupboard: 0.6631234842991712
P08_21_14811-close-cupboard: 0.6852504374788088
P08_21_14812-open-cupboard: 0.6366820651818724
P08_22_14989-place-sponge: 0.4620836900375591
P08_22_14997-place-sponge: 0.4609800917539877
P08_23_15214-get-potato: 0.46690552007206076
P08_24_15331-get-potato: 0.32179722622848417
P08_24_15333-cut-potato: 0.36899889350364296
P08_25_15415-get-plate: 0.9247693420330738
P08_26_15435-get-pan: 0.212511102601831
P08_26_15438-get-bowl: 0.26605321859721753
