Loaded /home/acb11711tx/lzq/ExpEval/exe_res/epic_r2p1d_perturb_full_core5_cylinder_summed.pt
P04_04_8871-test-potato: 0.015021293569589034
P04_04_8881-halve-onion: 0.5795587950124172
P04_05_8942-stir-potato: 0.7336851888394449
P04_05_8957-stir-onion: 0.34613535965036135
P04_05_9008-tip-onion: 0.4042155849019764
P04_05_9164-stir-pan: 0.8919351268996252
P04_07_9339-open-drawer: 0.5590748369431822
P04_10_9423-open-cupboard: 0.8360374038747977
P04_10_9478-stir-pan: 0.9088379522290779
P04_17_9658-put-knife: 0.15777870779129444
P04_21_9718-put-down-pan: 0.814397263849969
P04_23_9802-open-cupboard: 0.8902405579283368
P05_02_10281-take-cupboard: 0.7355476822413038
P05_04_10512-open-cupboard: 0.8759644010278862
P05_08_10794-move-onion: 0.24405597783334088
P05_08_10798-pour-meat: 0.023741113123833202
P05_08_10851-rinse-pan: 0.1733307604881702
P06_03_10987-open-drawer: 0.9805000914930133
P06_03_11064-move-spoon: 0.5829205501104298
P06_03_11093-move-pan: 0.20806497128069168
P06_05_11217-put-lid: 0.7765112554625375
P06_05_11297-move-bowl: 0.0031694843592049438
P06_07_11465-put-lid: 0.5866347656556172
P06_07_11508-pick-up-knife: 0.29436722024547635
P06_07_11542-put-down-sponge: 0.38299584760534344
P06_09_11667-put-lid: 0.07759545875887852
P06_09_11682-put-lid: 0.035606291829026304
P06_09_11691-open-drawer: 0.966310159463319
P06_09_11697-put-lid: 0.6424880003469298
P07_03_12021-rinse-pot: 0.15325190947623923
P07_04_12165-shake-pan: 0.5890457574714674
P07_05_12200-wash-pan: 0.8407327346940292
P07_05_12204-rinse-pan: 0.7578752229892416
P07_06_12230-open-tap: 0.6736983427545056
P07_09_12343-open-fridge: 0.45029060546221444
P07_09_12346-close-fridge: 0.3988233849304379
P07_09_12357-shake-bottle: 0.17907802746049128
P07_09_12358-close-bottle: 0.1637279091810342
P07_10_12381-place-pot: 0.14202340244082734
P07_10_12426-cut-potato: 0.6255293862486724
P07_10_12431-cut-potato: 0.8324917914869729
P07_10_12433-cut-potato: 0.6581859012658242
P07_10_12435-cut-potato: 0.7089600359613542
P07_10_12438-cut-potato: 0.7122544028388802
P07_10_12439-cut-potato: 0.8728462840954307
P07_10_12441-cut-potato: 0.6729377863521222
P07_10_12443-cut-potato: 0.7953877315449063
P07_10_12536-put-lid: 0.046564992652747605
P08_01_12979-get-fork: 0.005243084277010368
P08_01_13017-get-fork: 0.12078568467131845
P08_02_13102-place-back-sponge: 0.8589411235807347
P08_04_13145-get-cloth: 0.6978274569555651
P08_04_13158-close-drawer: 0.3827592088346137
P08_04_13162-place-in-cupboard: 0.021103345457561318
P08_05_13210-wash-potato: 0.006002451572527434
P08_05_13239-close-cupboard: 0.8221936132467818
P08_05_13371-get-knife: 0.09809731784480391
P08_05_13378-get-spoon: 0.50046449943693
P08_05_13398-open-fridge: 0.7990936257774592
P08_05_13401-open-lid: 0.43907577758363914
P08_05_13413-open-cupboard: 0.18404692024341784
P08_05_13434-put-lid: 0.016561881468078354
P08_05_13493-place-plate: 0.20729634402744068
P08_06_13609-close-fridge: 0.5226501897341223
P08_06_13617-open-drawer: 0.8848814830853371
P08_06_13618-place-knife: 0.05854287037436734
P08_06_13629-wipe-off-pan: 0.9173991317366017
P08_11_13977-get-cloth: 0.9372428494680207
P08_18_14449-wipe-bowl: 0.007598078690534749
P08_18_14507-water-sponge: 0.5481176883840817
P08_18_14508-squeeze-sponge: 0.6938668170405435
P08_18_14512-water-sponge: 0.7650566664451617
P08_18_14524-water-sponge: 0.7827251255439478
P08_18_14525-squeeze-sponge: 0.8898231813145685
P08_18_14531-water-sponge: 0.7953540349772084
P08_19_14557-close-fridge: 0.4374955683379085
P08_21_14640-take-out-glass: 0.6940836402063724
P08_21_14646-place-pan: 0.8724534120847238
P08_21_14658-place-in-cupboard: 0.470815642591333
P08_21_14669-place-in-cupboard: 0.06346981764727389
P08_21_14811-close-cupboard: 0.9009965653240215
P08_21_14812-open-cupboard: 0.9401318728632759
P08_22_14989-place-sponge: 0.8379800182228792
P08_22_14997-place-sponge: 0.8003434275669861
P08_23_15214-get-potato: 0.5437293000577483
P08_24_15331-get-potato: 0.9274521937186364
P08_24_15333-cut-potato: 0.9017095334420446
P08_25_15415-get-plate: 0.8673406220041215
P08_26_15435-get-pan: 0.8630094617110444
P08_26_15438-get-bowl: 0.003939757144507894
P08_26_15444-place-bowl: 0.004437222060914792
P08_26_15453-close-drawer: 0.8203012072917772
P08_26_15455-get-bottle: 0.2526366301899543
P08_26_15490-move-bowl: 0.5609508222069053
P08_26_15501-clean-sponge: 0.8586137739403057
P10_01_15872-move-pot: 0.6759083466022275
P10_01_15913-shake-pot: 0.7963488036184572
P10_01_15944-put-pot: 0.5406893314211629
P10_04_16497-throw-bottle: 0.0340895374787209
P10_04_16580-clean-pot: 0.1596281391393859
P12_02_18571-wash-knife: 0.3718454050758737
P12_02_18604-wash-knife: 0.11583310062269447
P12_02_18631-wash-knife: 0.005859126432596895
P12_02_18711-fill-glass: 0.09492933619185351
P12_06_18977-take-cloth: 0.30958675101283006
P12_06_19001-put-plate: 0.009417507230033095
P12_06_19002-open-bottle: 0.03546841816205415
P13_07_19294-open-drawer: 0.9658476127515314
P13_08_19320-take-onion: 0.17353136368774358
P13_08_19332-put-down-onion: 0.607435224505025
P13_08_19339-cut-onion: 0.8761421858071117
P13_08_19345-put-down-knife: 0.013067706200295959
P13_08_19357-pick-up-pot: 0.8137310766032897
P13_08_19377-change-pot: 0.8709172270609997
P13_08_19391-put-down-plate: 0.9130524885840714
P13_09_19504-put-pan: 0.888028885514359
P13_09_19511-drain-pot: 0.694739950762596
P13_09_19516-close-drawer: 0.2984969901590375
P13_09_19528-close-drawer: 0.9604568049981026
P13_09_19549-close-fridge: 0.6637236946626217
P15_01_19739-pick-up-bowl: 0.020515160645118158
P15_03_19816-close-drawer: 0.7297671462147264
P15_03_19848-dry-pan: 0.16985748866864014
P15_08_19995-open-drawer: 0.01412807331746535
P15_08_19998-pick-up-cloth: 0.03192212620701837
P15_08_20028-put-away-glass: 0.9237855892570224
P15_08_20061-put-down-cloth: 0.01172208002753905
P15_13_20124-place-bowl: 0.011788687067564751
P15_13_20139-rinse-lid: 0.934123628117959
P15_13_20166-rinse-cloth: 0.04162354496656917
P17_03_20405-close-tap: 0.4416202657157555
P17_04_20444-open-fridge: 0.2672755115563632
P19_03_21333-close-cupboard: 0.8999531026638579
P19_04_21364-open-fridge: 0.1849598940825672
P20_01_21490-rinse-meat: 0.6823659503570525
P20_01_21503-rinse-meat: 0.38220306804578286
P20_01_21556-pick-up-bowl: 0.414757997506058
P20_01_21560-rinse-bowl: 0.13017731812851707
P20_01_21588-open-drawer: 0.9072202280367492
P20_01_21611-rinse-spatula: 0.8710103358298511
P20_01_21617-rinse-spatula: 0.5658928169559658
P20_01_21626-flip-meat: 0.8912984574417351
P20_01_21640-flip-meat: 0.8820277232880471
P20_01_21644-press-spatula: 0.5241305727959116
P20_01_21652-press-spatula: 0.7632829749181838
P20_01_21658-stir-meat: 0.08214872087410185
P20_01_21671-press-spatula: 0.781911770316583
P20_01_21676-stir-meat: 0.01995821823948063
P20_01_21684-flip-meat: 0.8431407119351206
P20_01_21686-press-spatula: 0.8711589984286547
P20_01_21699-stir-meat: 0.13127552937658038
P20_01_21711-press-spatula: 0.8511148509260238
P20_01_21745-flip-meat: 0.49813245904806536
P20_01_21755-press-spatula: 0.793895482986045
P20_01_21757-press-spatula: 0.8842388332977862
P20_01_21758-press-spatula: 0.8668088013928354
P20_01_21764-move-meat: 0.49779952799144667
P20_01_21798-pick-up-meat: 0.8250704956444679
P20_01_21820-pick-up-spatula: 0.5698044607106567
P20_01_21824-put-down-spatula: 0.7715755030203582
P20_02_21843-turn-on-tap: 0.720593317062594
P20_02_21859-wash-bowl: 0.6999563141826002
