Loaded /home/acb11711tx/lzq/ExpEval/exe_res/epic_r50l_perturb_full_core8_fade_test_summed.pt
P04_04_8871-test-potato: 0.03557526136694378
P04_04_8881-halve-onion: 0.647426367961998
P04_05_8942-stir-potato: 0.30630025910625136
P04_05_8957-stir-onion: 0.37641719262228435
P04_05_9008-tip-onion: 0.016114622717395832
P04_05_9164-stir-pan: 0.6000565097330082
P04_07_9339-open-drawer: 0.5945754735730588
P04_10_9423-open-cupboard: 0.9138098688708851
P04_10_9478-stir-pan: 0.6011232559231985
P04_17_9658-put-knife: 0.12341407093936141
P04_21_9718-put-down-pan: 0.08076727019044938
P04_23_9802-open-cupboard: 0.8609556540759513
P05_02_10281-take-cupboard: 0.8013432606967399
P05_04_10512-open-cupboard: 0.7486340984614799
P05_08_10794-move-onion: 0.0006504261330686489
P05_08_10798-pour-meat: 0.0009963311947721256
P05_08_10851-rinse-pan: 0.06218085303795817
P06_03_10987-open-drawer: 0.9740942209027708
P06_03_11064-move-spoon: 0.040567057905718684
P06_03_11093-move-pan: 0.023250516708799296
P06_05_11217-put-lid: 0.07455675964638431
P06_05_11297-move-bowl: 0.011129791243029707
P06_07_11465-put-lid: 0.593484547891876
P06_07_11508-pick-up-knife: 0.43753059337632294
P06_07_11542-put-down-sponge: 0.4720584245093278
P06_09_11667-put-lid: 0.011705624049227481
P06_09_11682-put-lid: 0.6905020137496649
P06_09_11691-open-drawer: 0.9875325649045408
P06_09_11697-put-lid: 0.5569686388776063
P07_03_12021-rinse-pot: 0.8340295726944191
P07_04_12165-shake-pan: 0.31636622444614204
P07_05_12200-wash-pan: 0.006528193729650411
P07_05_12204-rinse-pan: 0.2246607344260383
P07_06_12230-open-tap: 0.6674357249227114
P07_09_12343-open-fridge: 0.6119986659741699
P07_09_12346-close-fridge: 0.4789906164060085
P07_09_12357-shake-bottle: 0.5788247979885455
P07_09_12358-close-bottle: 0.49629751813472467
P07_10_12381-place-pot: 0.17919154665884207
P07_10_12426-cut-potato: 0.7723259787582037
P07_10_12431-cut-potato: 0.6502263407729743
P07_10_12433-cut-potato: 0.669659481527674
P07_10_12435-cut-potato: 0.6287911992095587
P07_10_12438-cut-potato: 0.5909027915023444
P07_10_12439-cut-potato: 0.628581748487818
P07_10_12441-cut-potato: 0.6555330615066168
P07_10_12443-cut-potato: 0.5656711916946051
P07_10_12536-put-lid: 0.5821490310486297
P08_01_12979-get-fork: 0.004979495346830731
P08_01_13017-get-fork: 0.008611234697561088
P08_02_13102-place-back-sponge: 0.5710687400002143
P08_04_13145-get-cloth: 0.0005937892626661778
P08_04_13158-close-drawer: 0.37676851893775165
P08_04_13162-place-in-cupboard: 0.45290940829003523
