The visualization results will not be visualized and save.
Loaded /home/lzq/ExpEval/exe_res/epic_r2p1d_perturb_full_core5_test_summed.pt
P04_04_8871-test-potato: 0.02407229199421172
P04_04_8881-halve-onion: 0.7346474867661064
P04_05_8942-stir-potato: 0.7010337201038412
P04_05_8957-stir-onion: 0.8239331819774474
P04_05_9008-tip-onion: 0.7546624180860817
P04_05_9164-stir-pan: 0.9320108625745657
P04_07_9339-open-drawer: 0.20864518547759336
P04_10_9423-open-cupboard: 0.40752021073929817
P04_10_9478-stir-pan: 0.958918097688287
P04_17_9658-put-knife: 0.30788866269639603
P04_21_9718-put-down-pan: 0.9619644528656613
P04_23_9802-open-cupboard: 0.2352923730570896
P05_02_10281-take-cupboard: 0.08494957643104535
P05_04_10512-open-cupboard: 0.3419926053442645
P05_08_10794-move-onion: 0.4936390223858111
P05_08_10798-pour-meat: 0.06332407794965833
P05_08_10851-rinse-pan: 0.13937092945710117
P06_03_10987-open-drawer: 0.7980094769896537
P06_03_11064-move-spoon: 0.08360558786319898
P06_03_11093-move-pan: 0.23416751806770322
P06_05_11217-put-lid: 0.8970575305980211
P06_05_11297-move-bowl: 0.012120418714395925
P06_07_11465-put-lid: 0.6478315924458644
P06_07_11508-pick-up-knife: 0.277242711595917
P06_07_11542-put-down-sponge: 0.3488987742238404
P06_09_11667-put-lid: 0.4487095890091915
P06_09_11682-put-lid: 0.21164024518985375
P06_09_11691-open-drawer: 0.5867809998346311
P06_09_11697-put-lid: 0.8664249198255586
P07_03_12021-rinse-pot: 0.074787586080093
P07_04_12165-shake-pan: 0.3280398003026551
P07_05_12200-wash-pan: 0.9589180125909693
P07_05_12204-rinse-pan: 0.9797626911717303
P07_06_12230-open-tap: 0.5804397380089059
P07_09_12343-open-fridge: 0.3361227287098254
P07_09_12346-close-fridge: 0.2719674295928402
P07_09_12357-shake-bottle: 0.17884792355345744
P07_09_12358-close-bottle: 0.15588457998910957
P07_10_12381-place-pot: 0.28519749226523383
P07_10_12426-cut-potato: 0.49644663662868826
P07_10_12431-cut-potato: 0.6112461633103735
P07_10_12433-cut-potato: 0.46371542112719194
P07_10_12435-cut-potato: 0.5136074838685054
P07_10_12438-cut-potato: 0.421640822452073
P07_10_12439-cut-potato: 0.6711386641304867
P07_10_12441-cut-potato: 0.5968343306698051
P07_10_12443-cut-potato: 0.5856214469408287
P07_10_12536-put-lid: 0.15572911056361216
P08_01_12979-get-fork: 0.0007607304087206798
P08_01_13017-get-fork: 0.037493464572574284
P08_02_13102-place-back-sponge: 0.6978305888690931
P08_04_13145-get-cloth: 0.5146016739089699
P08_04_13158-close-drawer: 0.04194150066331905
P08_04_13162-place-in-cupboard: 0.005529643544344021
P08_05_13210-wash-potato: 0.0024149811093629263
P08_05_13239-close-cupboard: 0.29379986429258304
P08_05_13371-get-knife: 0.13101352628448285
P08_05_13378-get-spoon: 0.22562361304995185
P08_05_13398-open-fridge: 0.7566298564421196
P08_05_13401-open-lid: 0.6937170825022109
P08_05_13413-open-cupboard: 0.04767724459662157
P08_05_13434-put-lid: 0.07157789745126102
P08_05_13493-place-plate: 0.24581803756054973
P08_06_13609-close-fridge: 0.30573844603609807
P08_06_13617-open-drawer: 0.6246609491716121
P08_06_13618-place-knife: 0.05276463611927979
P08_06_13629-wipe-off-pan: 0.9148413536595363
P08_11_13977-get-cloth: 0.7982515694683089
P08_18_14449-wipe-bowl: 0.01599582837730208
P08_18_14507-water-sponge: 0.7135843221755589
P08_18_14508-squeeze-sponge: 0.6437812700100681
P08_18_14512-water-sponge: 0.6268132000157208
P08_18_14524-water-sponge: 0.6657548919886205
P08_18_14525-squeeze-sponge: 0.7316180444578184
P08_18_14531-water-sponge: 0.8204473133984149
P08_19_14557-close-fridge: 0.35287322443088187
P08_21_14640-take-out-glass: 0.7415843104468841
P08_21_14646-place-pan: 0.9624524147633244
P08_21_14658-place-in-cupboard: 0.3255212109408104
P08_21_14669-place-in-cupboard: 0.02976622723371667
P08_21_14811-close-cupboard: 0.5445595719321978
P08_21_14812-open-cupboard: 0.52522984768684
P08_22_14989-place-sponge: 0.7866787214014752
P08_22_14997-place-sponge: 0.6221921934180108
P08_23_15214-get-potato: 0.436026426068708
P08_24_15331-get-potato: 0.905108691751957
P08_24_15333-cut-potato: 0.9369658484762791
P08_25_15415-get-plate: 0.842541046345643
P08_26_15435-get-pan: 0.9710536932317065
P08_26_15438-get-bowl: 0.023955633092269887
P08_26_15444-place-bowl: 0.006464029899022231
P08_26_15453-close-drawer: 0.2687504859385537
P08_26_15455-get-bottle: 0.047519278920748656
P08_26_15490-move-bowl: 0.3764971813643534
P08_26_15501-clean-sponge: 0.894950263478848
P10_01_15872-move-pot: 0.4474851438373912
P10_01_15913-shake-pot: 0.6818195113364388
P10_01_15944-put-pot: 0.40193151797295784
P10_04_16497-throw-bottle: 0.023132430891384465
P10_04_16580-clean-pot: 0.24824582095824035
P12_02_18571-wash-knife: 0.42345146916477994
P12_02_18604-wash-knife: 0.1419973399761754
P12_02_18631-wash-knife: 0.030384043743605635
P12_02_18711-fill-glass: 0.08936723184351827
P12_06_18977-take-cloth: 0.3335809541446175
P12_06_19001-put-plate: 0.002002587279058193
P12_06_19002-open-bottle: 0.004679996532150636
P13_07_19294-open-drawer: 0.5242800140972523
P13_08_19320-take-onion: 0.3708909213814574
P13_08_19332-put-down-onion: 0.6671704812267539
P13_08_19339-cut-onion: 0.86484300392479
P13_08_19345-put-down-knife: 0.0015169368609726202
P13_08_19357-pick-up-pot: 0.6705911313055777
P13_08_19377-change-pot: 0.5151068736086873
P13_08_19391-put-down-plate: 0.777674644834855
P13_09_19504-put-pan: 0.7976476341485977
P13_09_19511-drain-pot: 0.5517947937051455
P13_09_19516-close-drawer: 0.2506393661649496
P13_09_19528-close-drawer: 0.47721457587299393
P13_09_19549-close-fridge: 0.46364136661640276
P15_01_19739-pick-up-bowl: 0.09202535604937094
P15_03_19816-close-drawer: 0.47225678990065467
P15_03_19848-dry-pan: 0.3842937808556884
P15_08_19995-open-drawer: 0.007858634714662627
P15_08_19998-pick-up-cloth: 0.010649551966150236
P15_08_20028-put-away-glass: 0.7899036899647291
P15_08_20061-put-down-cloth: 0.003609340871665992
P15_13_20124-place-bowl: 0.003352219636972044
P15_13_20139-rinse-lid: 0.9348702548327399
P15_13_20166-rinse-cloth: 0.024226277938806544
P17_03_20405-close-tap: 0.4133463508942548
P17_04_20444-open-fridge: 0.2367351868956843
P19_03_21333-close-cupboard: 0.36615096063298336
P19_04_21364-open-fridge: 0.15526555943503684
P20_01_21490-rinse-meat: 0.5168661852787231
P20_01_21503-rinse-meat: 0.17485029428247728
P20_01_21556-pick-up-bowl: 0.3286099283483482
P20_01_21560-rinse-bowl: 0.3388858869055505
P20_01_21588-open-drawer: 0.5422908230520347
P20_01_21611-rinse-spatula: 0.5373175582305217
P20_01_21617-rinse-spatula: 0.3735233739986285
P20_01_21626-flip-meat: 0.7697826117971072
P20_01_21640-flip-meat: 0.7901643327455602
P20_01_21644-press-spatula: 0.2375714254506188
P20_01_21652-press-spatula: 0.43017700663037306
P20_01_21658-stir-meat: 0.013502107398109694
P20_01_21671-press-spatula: 0.6209693189988862
P20_01_21676-stir-meat: 0.10267106022174452
P20_01_21684-flip-meat: 0.7681758425490675
P20_01_21686-press-spatula: 0.5533103636589229
P20_01_21699-stir-meat: 0.22467862644470205
P20_01_21711-press-spatula: 0.6137437338084805
P20_01_21745-flip-meat: 0.44476197486487673
P20_01_21755-press-spatula: 0.6961250434730056
P20_01_21757-press-spatula: 0.7065054752957532
P20_01_21758-press-spatula: 0.5384644648425427
P20_01_21764-move-meat: 0.45428824739567203
P20_01_21798-pick-up-meat: 0.7800813358952747
P20_01_21820-pick-up-spatula: 0.499345204476541
P20_01_21824-put-down-spatula: 0.4399688270394964
P20_02_21843-turn-on-tap: 0.6409101503006384
P20_02_21859-wash-bowl: 0.6992541856826374
P20_03_21981-put-fork: 0.0005267844829462786
P20_04_22059-pick-up-meat: 0.02840954324814911
P20_04_22090-rinse-meat: 0.6129662439738418
P20_04_22188-open-drawer: 0.013398751229339955
P20_04_22222-wash-knife: 0.12332748868365717
P20_04_22308-put-down-spatula: 0.5720444020979545
P20_04_22332-open-fridge: 0.5473480686837552
P21_01_22625-close-fridge: 0.004655565991632494
P22_05_24164-place-bottle: 0.839546000957489
P22_06_24730-lather-glass: 0.3895148176480742
P22_06_24739-lather-fork: 0.2570813277024118
P22_07_24883-rinse-cloth: 0.11240399539443281
P22_07_24894-lather-glass: 0.6264052603174658
P22_07_24993-put-down-cloth: 0.9185759686919697
P22_07_25167-put-down-pot: 0.034869644411510844
P22_07_25302-rinse-spoon: 0.5473892307968117
P22_07_25325-pick-up-plate: 0.841792439421018
P22_07_25357-put-down-glass: 0.0030136675760492355
P22_07_25363-remove-plate: 0.0684118947050735
P22_07_25364-remove-plate: 0.957387524813998
P22_08_25638-close-tap: 0.0010022907716904907
P22_08_25664-lather-plate: 0.9980841316428839
P22_08_25702-empty-pot: 0.33679354696297176
P22_08_25740-pick-up-pan: 0.4096549616213523
P22_08_25748-lather-pan: 0.8190537118882525
P22_08_25752-rinse-spoon: 0.28010620982568785
P22_08_25853-rinse-glass: 0.3437692681656164
P22_08_25857-rinse-cloth: 0.44303514760024115
P22_09_26001-put-down-plate: 0.9839412496954787
P22_09_26033-open-drawer: 0.4139287781773829
