Loaded /home/lzq/ExpEval/exe_res/epic_r2p1d_g_full.pt
P04_04_8881-halve-onion: 0.4634214702236932
P04_05_8942-stir-potato: 0.7712864212953718
P04_05_8957-stir-onion: 0.3804658474109601
P04_05_9008-tip-onion: 0.1395395572471898
P04_05_9164-stir-pan: 0.4681195189768914
P04_07_9339-open-drawer: 0.5457978426857153
P04_10_9423-open-cupboard: 0.8086531227454543
P04_10_9478-stir-pan: 0.5213845154794399
P04_17_9658-put-knife: 0.09797342684760224
P04_21_9718-put-down-pan: 0.43817289514117874
P04_23_9802-open-cupboard: 0.8217585165984929
P05_02_10281-take-cupboard: 0.5171408886089921
P05_04_10512-open-cupboard: 0.6154215314891189
P05_08_10794-move-onion: 0.07673476470517926
P05_08_10798-pour-meat: 0.005539455269172322
P05_08_10851-rinse-pan: 0.34712592550204135
P06_03_10987-open-drawer: 0.7769538654392818
P06_03_11064-move-spoon: 0.7325567007173959
P06_03_11093-move-pan: 0.3527281711485557
P06_05_11217-put-lid: 0.8238855635863729
P06_05_11297-move-bowl: 0.0049920064802790876
P06_07_11465-put-lid: 0.4569969026488252
P06_07_11508-pick-up-knife: 0.49413069714501034
P06_07_11542-put-down-sponge: 0.39250928540423047
P06_09_11667-put-lid: 0.03404708666494116
P06_09_11682-put-lid: 0.019410370907280594
P06_09_11691-open-drawer: 0.5973297517193714
P06_09_11697-put-lid: 0.2407872217881959
P07_03_12021-rinse-pot: 0.08742656509275548
P07_04_12165-shake-pan: 0.7050236399809364
P07_05_12200-wash-pan: 0.8422983700002078
P07_05_12204-rinse-pan: 0.67351533882902
P07_06_12230-open-tap: 0.481949902838096
P07_09_12343-open-fridge: 0.2946530730332597
P07_09_12346-close-fridge: 0.2155656710601761
P07_09_12357-shake-bottle: 0.07720208035607357
P07_09_12358-close-bottle: 0.09318251123477239
P07_10_12381-place-pot: 0.01719533689902164
P07_10_12426-cut-potato: 0.475793249977869
P07_10_12431-cut-potato: 0.8037508489360334
P07_10_12433-cut-potato: 0.5612691064161481
P07_10_12435-cut-potato: 0.5944123063964071
P07_10_12438-cut-potato: 0.6589210010861279
P07_10_12439-cut-potato: 0.7515632296708645
P07_10_12441-cut-potato: 0.706853604016942
P07_10_12443-cut-potato: 0.515527115741861
P07_10_12536-put-lid: 0.00803858617109654
