Loaded /home/acb11711tx/lzq/ExpEval/exe_res/epic_r2p1d_perturb_full_core8_summed.pt
P04_04_8871-test-potato: 0.03240275676944293
P04_04_8881-halve-onion: 0.4558929257764248
P04_05_8942-stir-potato: 0.83557539517642
P04_05_8957-stir-onion: 0.37881149018357974
P04_05_9008-tip-onion: 0.5637603508512257
P04_05_9164-stir-pan: 0.9035405088652624
P04_07_9339-open-drawer: 0.6150286972260801
P04_10_9423-open-cupboard: 0.8141802614263725
P04_10_9478-stir-pan: 0.9234702368703438
P04_17_9658-put-knife: 0.2660030699262279
P04_21_9718-put-down-pan: 0.880498874510522
P04_23_9802-open-cupboard: 0.8913797815039288
P05_02_10281-take-cupboard: 0.817017098859651
P05_04_10512-open-cupboard: 0.8888422825548332
P05_08_10794-move-onion: 0.16383156813390087
P05_08_10798-pour-meat: 0.012124997665523551
P05_08_10851-rinse-pan: 0.18374565888370853
P06_03_10987-open-drawer: 0.9552659286855487
P06_03_11064-move-spoon: 0.5456674683118763
P06_03_11093-move-pan: 0.14275625140726333
P06_05_11217-put-lid: 0.7580414449766977
P06_05_11297-move-bowl: 0.006186745052218612
P06_07_11465-put-lid: 0.7185032472916646
P06_07_11508-pick-up-knife: 0.2893518470154959
P06_07_11542-put-down-sponge: 0.5049479640947538
P06_09_11667-put-lid: 0.0948030514846323
P06_09_11682-put-lid: 0.01815140688268002
P06_09_11691-open-drawer: 0.9490878145879833
P06_09_11697-put-lid: 0.6398227190511534
P07_03_12021-rinse-pot: 0.22152600513072684
P07_04_12165-shake-pan: 0.5178506914962782
P07_05_12200-wash-pan: 0.8498180918832077
P07_05_12204-rinse-pan: 0.7602229307376547
P07_06_12230-open-tap: 0.7126382360002026
P07_09_12343-open-fridge: 0.46851588789286325
P07_09_12346-close-fridge: 0.49703050105745206
P07_09_12357-shake-bottle: 0.2997460065816995
P07_09_12358-close-bottle: 0.22281102821580134
P07_10_12381-place-pot: 0.11215779482154176
P07_10_12426-cut-potato: 0.5867441670561675
P07_10_12431-cut-potato: 0.8010661365988199
P07_10_12433-cut-potato: 0.64090478621074
P07_10_12435-cut-potato: 0.7062178050691728
P07_10_12438-cut-potato: 0.7479021527396981
P07_10_12439-cut-potato: 0.878446319286013
P07_10_12441-cut-potato: 0.6844009516353253
P07_10_12443-cut-potato: 0.8050778374599759
P07_10_12536-put-lid: 0.04363625510177371
P08_01_12979-get-fork: 0.0022192023461524713
P08_01_13017-get-fork: 0.14942108967534296
P08_02_13102-place-back-sponge: 0.8814532614705968
P08_04_13145-get-cloth: 0.808392940525664
P08_04_13158-close-drawer: 0.3139579249982489
P08_04_13162-place-in-cupboard: 0.05908620417500288
P08_05_13210-wash-potato: 0.0030673784669090765
P08_05_13239-close-cupboard: 0.8255655672110151
P08_05_13371-get-knife: 0.07311155739444075
P08_05_13378-get-spoon: 0.4946781401267799
P08_05_13398-open-fridge: 0.8480717756683589
P08_05_13401-open-lid: 0.5451129472785397
P08_05_13413-open-cupboard: 0.15291732162586413
P08_05_13434-put-lid: 0.015164404936513165
P08_05_13493-place-plate: 0.2068869495248009
P08_06_13609-close-fridge: 0.43338165435852716
P08_06_13617-open-drawer: 0.8606767520977883
