Loaded /home/acb11711tx/lzq/ExpEval/exe_res/epic_r2p1d_perturb_full_core8_fade_test_summed.pt
P04_04_8871-test-potato: 0.03705445970990695
P04_04_8881-halve-onion: 0.43341810039419215
P04_05_8942-stir-potato: 0.695257955143461
P04_05_8957-stir-onion: 0.33288250530313235
P04_05_9008-tip-onion: 0.34781653752725106
P04_05_9164-stir-pan: 0.7691487241972936
P04_07_9339-open-drawer: 0.4147418617940275
P04_10_9423-open-cupboard: 0.8046403592161369
P04_10_9478-stir-pan: 0.7292998810735298
P04_17_9658-put-knife: 0.31432223086449085
P04_21_9718-put-down-pan: 0.6002220991504146
P04_23_9802-open-cupboard: 0.8345152218535077
P05_02_10281-take-cupboard: 0.666159411863191
P05_04_10512-open-cupboard: 0.6291656472894829
P05_08_10794-move-onion: 0.12075389809615444
P05_08_10798-pour-meat: 0.016948858377872966
P05_08_10851-rinse-pan: 0.22104633499111515
P06_03_10987-open-drawer: 0.775979329526308
P06_03_11064-move-spoon: 0.4289735245729389
P06_03_11093-move-pan: 0.1765204051262117
P06_05_11217-put-lid: 0.7705349361494882
P06_05_11297-move-bowl: 0.013299914465278562
P06_07_11465-put-lid: 0.6718329892464681
P06_07_11508-pick-up-knife: 0.22859185560810147
P06_07_11542-put-down-sponge: 0.29136124625074444
P06_09_11667-put-lid: 0.03445448858838063
P06_09_11682-put-lid: 0.09350864285079297
P06_09_11691-open-drawer: 0.918630556363496
P06_09_11697-put-lid: 0.3108884667890379
P07_03_12021-rinse-pot: 0.1692495279130526
P07_04_12165-shake-pan: 0.4875919465412153
P07_05_12200-wash-pan: 0.801959794058348
P07_05_12204-rinse-pan: 0.5981133173190756
P07_06_12230-open-tap: 0.6237206229707226
P07_09_12343-open-fridge: 0.4795391410953016
P07_09_12346-close-fridge: 0.46973205058748135
P07_09_12357-shake-bottle: 0.2615624664758798
P07_09_12358-close-bottle: 0.21630643293610774
P07_10_12381-place-pot: 0.11085436044959351
P07_10_12426-cut-potato: 0.6061756388808135
P07_10_12431-cut-potato: 0.7913029553892557
P07_10_12433-cut-potato: 0.5965331216866616
P07_10_12435-cut-potato: 0.614370981376851
P07_10_12438-cut-potato: 0.6852226831542794
P07_10_12439-cut-potato: 0.6670678641239647
P07_10_12441-cut-potato: 0.6809503791446332
P07_10_12443-cut-potato: 0.7409572467731778
P07_10_12536-put-lid: 0.04739941670140979
P08_01_12979-get-fork: 0.0006573991849858629
P08_01_13017-get-fork: 0.051934966232693114
P08_02_13102-place-back-sponge: 0.7961086488721776
P08_04_13145-get-cloth: 0.7386846528097522
P08_04_13158-close-drawer: 0.3210315062169684
P08_04_13162-place-in-cupboard: 0.0663728198447302
P08_05_13210-wash-potato: 0.008067141566385772
P08_05_13239-close-cupboard: 0.545314719871385
P08_05_13371-get-knife: 0.10739813837426482
P08_05_13378-get-spoon: 0.43251010819585645
P08_05_13398-open-fridge: 0.7087912776405574
P08_05_13401-open-lid: 0.48800895577005576
P08_05_13413-open-cupboard: 0.06628241747966968
