Loaded /home/acb11711tx/lzq/ExpEval/exe_res/epic_r50l_perturb_full_core8_cylinder_summed.pt
P04_04_8871-test-potato: 0.1414869521087212
P04_04_8881-halve-onion: 0.6016502391930771
P04_05_8942-stir-potato: 0.3395025496412245
P04_05_8957-stir-onion: 0.2982021896086735
P04_05_9008-tip-onion: 0.007342979209170153
P04_05_9164-stir-pan: 0.7018697068689335
P04_07_9339-open-drawer: 0.5498072593472898
P04_10_9423-open-cupboard: 0.912883493481786
P04_10_9478-stir-pan: 0.7055507723836172
P04_17_9658-put-knife: 0.21284762177401717
P04_21_9718-put-down-pan: 0.3617082350084502
P04_23_9802-open-cupboard: 0.8663069590838859
P05_02_10281-take-cupboard: 0.8018444761546561
P05_04_10512-open-cupboard: 0.4782832249911735
P05_08_10794-move-onion: 0.005040020791346578
P05_08_10798-pour-meat: 0.000826622277389021
P05_08_10851-rinse-pan: 0.043933639823322324
P06_03_10987-open-drawer: 0.9714005081914365
P06_03_11064-move-spoon: 0.008417652687057853
P06_03_11093-move-pan: 0.014406358096607619
P06_05_11217-put-lid: 0.03312192027851779
P06_05_11297-move-bowl: 0.004051548754824275
P06_07_11465-put-lid: 0.4792396099951475
P06_07_11508-pick-up-knife: 0.4525655073930466
P06_07_11542-put-down-sponge: 0.5121643634207658
P06_09_11667-put-lid: 0.0743703806006124
P06_09_11682-put-lid: 0.6094644923873602
P06_09_11691-open-drawer: 0.9871610491536558
P06_09_11697-put-lid: 0.6160978770062684
P07_03_12021-rinse-pot: 0.8455739791084511
P07_04_12165-shake-pan: 0.42765703693851265
P07_05_12200-wash-pan: 0.012657033878099355
P07_05_12204-rinse-pan: 0.36696698774005654
P07_06_12230-open-tap: 0.504715581127698
P07_09_12343-open-fridge: 0.6002462393498718
P07_09_12346-close-fridge: 0.5347374101529567
P07_09_12357-shake-bottle: 0.6882322825199481
P07_09_12358-close-bottle: 0.8301645315891619
P07_10_12381-place-pot: 0.46768054566797446
P07_10_12426-cut-potato: 0.7535657148383734
P07_10_12431-cut-potato: 0.636609719278681
P07_10_12433-cut-potato: 0.6623229246162055
P07_10_12435-cut-potato: 0.6289481978438971
P07_10_12438-cut-potato: 0.5949230055831549
P07_10_12439-cut-potato: 0.6302077035926459
P07_10_12441-cut-potato: 0.6476986269973395
P07_10_12443-cut-potato: 0.6037336449645636
P07_10_12536-put-lid: 0.3369330786522369
P08_01_12979-get-fork: 0.0025377410150184687
P08_01_13017-get-fork: 0.015518969717483344
P08_02_13102-place-back-sponge: 0.6288711191315315
P08_04_13145-get-cloth: 0.004178209687552226
P08_04_13158-close-drawer: 0.33577423240058124
P08_04_13162-place-in-cupboard: 0.4637653214522667
P08_05_13210-wash-potato: 0.0029906518844313723
P08_05_13239-close-cupboard: 0.3735956015443662
P08_05_13371-get-knife: 0.7152406108916693
P08_05_13378-get-spoon: 0.4125522241301951
P08_05_13398-open-fridge: 0.7282298690533935
P08_05_13401-open-lid: 0.6115353589125334
P08_05_13413-open-cupboard: 0.6846889317857858
P08_05_13434-put-lid: 0.08773975350823093
P08_05_13493-place-plate: 0.018840015408133563
P08_06_13609-close-fridge: 0.27332310740712273
P08_06_13617-open-drawer: 0.3295349567197263
P08_06_13618-place-knife: 0.012733092252915412
P08_06_13629-wipe-off-pan: 0.608380151339702
P08_11_13977-get-cloth: 0.1409136134518576
P08_18_14449-wipe-bowl: 0.8167764567424456
P08_18_14507-water-sponge: 0.3285285878388322
P08_18_14508-squeeze-sponge: 0.5914721284221969
P08_18_14512-water-sponge: 0.3858506991688273
P08_18_14524-water-sponge: 0.6198983248483501
P08_18_14525-squeeze-sponge: 0.7138328915622196
P08_18_14531-water-sponge: 0.6556363469150028
P08_19_14557-close-fridge: 0.6505960113263427
P08_21_14640-take-out-glass: 0.2492244564266457
P08_21_14646-place-pan: 0.08719067986942264
P08_21_14658-place-in-cupboard: 0.26666589539240704
P08_21_14669-place-in-cupboard: 0.8457719480065862
P08_21_14811-close-cupboard: 0.7357046698598424
P08_21_14812-open-cupboard: 0.5274202263826737
P08_22_14989-place-sponge: 0.39027888282873846
P08_22_14997-place-sponge: 0.46877644072958446
P08_23_15214-get-potato: 0.4454262798227546
P08_24_15331-get-potato: 0.36566581079216576
P08_24_15333-cut-potato: 0.47026099372135377
P08_25_15415-get-plate: 0.5793205612180827
P08_26_15435-get-pan: 0.37902954990397575
P08_26_15438-get-bowl: 0.19818047093031055
P08_26_15444-place-bowl: 0.7003855574530462
