The visualization results will not be visualized and save.
Loaded /home/lzq/ExpEval/exe_res/epic_r2p1d_grad_cam_full_layer3_test.pt
P04_04_8871-test-potato: 0.10638170069558363
P04_04_8881-halve-onion: 0.5903954508814815
P04_05_8942-stir-potato: 0.4208652045796899
P04_05_8957-stir-onion: 0.07804265287978684
P04_05_9008-tip-onion: 0.779277494783495
P04_05_9164-stir-pan: 0.7394248038786007
P04_07_9339-open-drawer: 0.43761115994523553
P04_10_9423-open-cupboard: 0.43706286606543204
P04_10_9478-stir-pan: 0.5828335963335691
P04_17_9658-put-knife: 0.11721312832589462
P04_21_9718-put-down-pan: 0.9649400218152533
P04_23_9802-open-cupboard: 0.49219495113573825
P05_02_10281-take-cupboard: 0.47857517002552163
P05_04_10512-open-cupboard: 0.3557004866646785
P05_08_10794-move-onion: 0.12712723954635508
P05_08_10798-pour-meat: 0.015055740250311062
P05_08_10851-rinse-pan: 0.20412710571259846
P06_03_10987-open-drawer: 0.2630949622129693
P06_03_11064-move-spoon: 0.111537084439952
P06_03_11093-move-pan: 0.1321520421608333
P06_05_11217-put-lid: 0.6686271937600538
P06_05_11297-move-bowl: 0.01964557021217165
P06_07_11465-put-lid: 0.49712142531997433
P06_07_11508-pick-up-knife: 0.2455326937654914
P06_07_11542-put-down-sponge: 0.21554837896141643
P06_09_11667-put-lid: 0.35596997079932513
P06_09_11682-put-lid: 0.12993249626209338
P06_09_11691-open-drawer: 0.39620241280279905
P06_09_11697-put-lid: 0.7710096890435499
P07_03_12021-rinse-pot: 0.16746881321510848
P07_04_12165-shake-pan: 0.2403093273367952
P07_05_12200-wash-pan: 0.6297960321765904
P07_05_12204-rinse-pan: 0.8254449667299495
P07_06_12230-open-tap: 0.568334182045039
P07_09_12343-open-fridge: 0.2641402529150832
P07_09_12346-close-fridge: 0.4037077515075604
P07_09_12357-shake-bottle: 0.25448405345280967
P07_09_12358-close-bottle: 0.38419496884533005
P07_10_12381-place-pot: 0.07619010095356726
P07_10_12426-cut-potato: 0.30877916887402534
P07_10_12431-cut-potato: 0.7932434872377152
P07_10_12433-cut-potato: 0.4612604355549111
P07_10_12435-cut-potato: 0.5316110516880073
P07_10_12438-cut-potato: 0.5829779972486636
P07_10_12439-cut-potato: 0.6911448310111084
P07_10_12441-cut-potato: 0.5158844479231858
P07_10_12443-cut-potato: 0.6348465635422983
P07_10_12536-put-lid: 0.009080191866914724
P08_01_12979-get-fork: 0.1118680805935859
P08_01_13017-get-fork: 0.1855722034012205
P08_02_13102-place-back-sponge: 0.38461014002826355
P08_04_13145-get-cloth: 0.346975781196984
P08_04_13158-close-drawer: 0.12874670651029138
P08_04_13162-place-in-cupboard: 0.17744194420408937
P08_05_13210-wash-potato: 0.0019147288033398617
P08_05_13239-close-cupboard: 0.4402330765500665
P08_05_13371-get-knife: 0.09629860786611542
P08_05_13378-get-spoon: 0.8041299242316289
P08_05_13398-open-fridge: 0.8948230574163152
P08_05_13401-open-lid: 0.14170988770840945
P08_05_13413-open-cupboard: 0.6349916438115578
P08_05_13434-put-lid: 0.2828994837879459
P08_05_13493-place-plate: 0.04180232945940338
P08_06_13609-close-fridge: 0.7448688060081765
P08_06_13617-open-drawer: 0.5678665544326399
P08_06_13618-place-knife: 0.002828386809457751
P08_06_13629-wipe-off-pan: 0.6496507666128524
P08_11_13977-get-cloth: 0.609290116319579
P08_18_14449-wipe-bowl: 0.16277160550942463
P08_18_14507-water-sponge: 0.28905878723096834
P08_18_14508-squeeze-sponge: 0.24162737357740602
P08_18_14512-water-sponge: 0.3536586903455649
P08_18_14524-water-sponge: 0.558048876972102
P08_18_14525-squeeze-sponge: 0.7094963858139189
P08_18_14531-water-sponge: 0.43468717492057707
P08_19_14557-close-fridge: 0.3462255311855937
P08_21_14640-take-out-glass: 0.9089438736438751
P08_21_14646-place-pan: 0.6360466574282184
P08_21_14658-place-in-cupboard: 0.10396681490043799
P08_21_14669-place-in-cupboard: 0.005634322483092547
P08_21_14811-close-cupboard: 0.7031161686734242
P08_21_14812-open-cupboard: 0.7029702441438156
P08_22_14989-place-sponge: 0.33010257609352905
P08_22_14997-place-sponge: 0.4831435979088294
P08_23_15214-get-potato: 0.33201921249137206
P08_24_15331-get-potato: 0.4630564480581704
P08_24_15333-cut-potato: 0.6165450042515409
P08_25_15415-get-plate: 0.8655815497113793
P08_26_15435-get-pan: 0.5984936246064072
P08_26_15438-get-bowl: 0.026138870635380347
P08_26_15444-place-bowl: 0.013932612374671461
P08_26_15453-close-drawer: 0.7472486437243574
P08_26_15455-get-bottle: 0.048280945318002325
P08_26_15490-move-bowl: 0.22587262651170878
P08_26_15501-clean-sponge: 0.30775376611444005
P10_01_15872-move-pot: 0.526314922977312
P10_01_15913-shake-pot: 0.5746334755610601
P10_01_15944-put-pot: 0.16950725907204198
P10_04_16497-throw-bottle: 0.024724854103094593
P10_04_16580-clean-pot: 0.0455182135981672
P12_02_18571-wash-knife: 0.04564375761786804
P12_02_18604-wash-knife: 0.13329620170772222
P12_02_18631-wash-knife: 0.013097577189853158
P12_02_18711-fill-glass: 0.2509418244893644
P12_06_18977-take-cloth: 0.3205687256109919
P12_06_19001-put-plate: 0.0022415324754226328
P12_06_19002-open-bottle: 0.0020132904260547137
P13_07_19294-open-drawer: 0.7888944378378344
P13_08_19320-take-onion: 0.47184913357760866
P13_08_19332-put-down-onion: 0.430678553223683
P13_08_19339-cut-onion: 0.8392693470871332
P13_08_19345-put-down-knife: 0.0018308926079563278
P13_08_19357-pick-up-pot: 0.6086724775825061
P13_08_19377-change-pot: 0.5347400254551686
P13_08_19391-put-down-plate: 0.8977485106856216
P13_09_19504-put-pan: 0.33697772791390035
P13_09_19511-drain-pot: 0.5329826203631419
P13_09_19516-close-drawer: 0.33569496276185795
P13_09_19528-close-drawer: 0.6917361222645816
P13_09_19549-close-fridge: 0.5418141177873693
P15_01_19739-pick-up-bowl: 0.13380560679361225
P15_03_19816-close-drawer: 0.6938465180496375
P15_03_19848-dry-pan: 0.16745432087165468
P15_08_19995-open-drawer: 0.026127865052366556
P15_08_19998-pick-up-cloth: 0.000473585156883899
P15_08_20028-put-away-glass: 0.9307991113148484
P15_08_20061-put-down-cloth: 0.005990683930177315
P15_13_20124-place-bowl: 0.005595885199841623
P15_13_20139-rinse-lid: 0.7596458183418886
P15_13_20166-rinse-cloth: 0.004374317693359712
P17_03_20405-close-tap: 0.3954060634999883
P17_04_20444-open-fridge: 0.21287156309859426
P19_03_21333-close-cupboard: 0.3630775198121281
P19_04_21364-open-fridge: 0.24112531481785518
P20_01_21490-rinse-meat: 0.6006764486614687
P20_01_21503-rinse-meat: 0.38099772106198704
P20_01_21556-pick-up-bowl: 0.14250762354235585
P20_01_21560-rinse-bowl: 0.26019283410380867
P20_01_21588-open-drawer: 0.4586141846124448
P20_01_21611-rinse-spatula: 0.12206654764492722
P20_01_21617-rinse-spatula: 0.14816597334711867
P20_01_21626-flip-meat: 0.4743165347907765
P20_01_21640-flip-meat: 0.42004605239147647
P20_01_21644-press-spatula: 0.3766893105170525
P20_01_21652-press-spatula: 0.15243348708883037
P20_01_21658-stir-meat: 0.158841160476646
P20_01_21671-press-spatula: 0.392733048319739
P20_01_21676-stir-meat: 0.06944454134825398
P20_01_21684-flip-meat: 0.4685496652722541
P20_01_21686-press-spatula: 0.4727107912961704
P20_01_21699-stir-meat: 0.4706443950844308
P20_01_21711-press-spatula: 0.5636387662754357
P20_01_21745-flip-meat: 0.449102262834854
P20_01_21755-press-spatula: 0.38792763124060287
P20_01_21757-press-spatula: 0.33204733277305815
P20_01_21758-press-spatula: 0.46851500766854004
P20_01_21764-move-meat: 0.2821422273658362
P20_01_21798-pick-up-meat: 0.4796266205955808
P20_01_21820-pick-up-spatula: 0.38668054300908217
P20_01_21824-put-down-spatula: 0.41796258316630974
P20_02_21843-turn-on-tap: 0.38315083448062925
P20_02_21859-wash-bowl: 0.3914009830485299
P20_03_21981-put-fork: 0.05286806811798173
P20_04_22059-pick-up-meat: 0.2217912687445242
P20_04_22090-rinse-meat: 0.3669709700360602
P20_04_22188-open-drawer: 0.15000051357874683
P20_04_22222-wash-knife: 0.008193898426971453
P20_04_22308-put-down-spatula: 0.3347449881115965
P20_04_22332-open-fridge: 0.631076821308656
P21_01_22625-close-fridge: 0.00678060171468293
P22_05_24164-place-bottle: 0.41148374337776034
P22_06_24730-lather-glass: 0.8314473665228077
P22_06_24739-lather-fork: 0.3233534111550041
P22_07_24883-rinse-cloth: 0.3313733080438539
P22_07_24894-lather-glass: 0.9202346212139316
P22_07_24993-put-down-cloth: 0.408157348297719
P22_07_25167-put-down-pot: 0.261060888691367
P22_07_25302-rinse-spoon: 0.1789128287202295
P22_07_25325-pick-up-plate: 0.8680606472725961
P22_07_25357-put-down-glass: 0.6866563256413963
P22_07_25363-remove-plate: 0.09276754097173028
P22_07_25364-remove-plate: 0.4794649449633617
P22_08_25638-close-tap: 0.00041194715171977625
P22_08_25664-lather-plate: 0.8163522073159031
P22_08_25702-empty-pot: 0.5069878901921067
P22_08_25740-pick-up-pan: 0.35766110114899335
P22_08_25748-lather-pan: 0.6411269407354149
P22_08_25752-rinse-spoon: 0.1431098427842645
P22_08_25853-rinse-glass: 0.7665565260923376
P22_08_25857-rinse-cloth: 0.29079460817772673
P22_09_26001-put-down-plate: 0.4370605633539312
P22_09_26033-open-drawer: 0.7750430504480997
P22_09_26061-lather-bowl: 0.006875646873103345
P22_09_26136-rinse-cloth: 0.32353807205297785
P22_10_26287-rinse-bowl: 0.1999706040643265
P22_10_26318-pick-up-spoon: 0.04986331211950849
P22_10_26319-lather-spoon: 0.13791786857752825
P22_10_26340-pick-up-bowl: 0.517254777623377
P22_10_26426-lather-glass: 0.9303467079704884
P22_10_26508-empty-bottle: 0.16215831397102834
P22_10_26511-empty-bottle: 0.21603836683812094
P22_11_26606-place-glass: 0.9231921836441639
P22_11_26644-put-down-bowl: 0.35808602726251326
P22_11_26763-rinse-glass: 0.46939705052324165
P22_12_26841-open-drawer: 0.5680521150831791
P22_12_26959-put-plate: 0.26960107064714617
P22_13_27105-open-tap: 0.13489462014506845
P22_13_27110-rinse-sponge: 0.3428758384732931
P22_13_27135-rinse-sponge: 0.02562637870729554
P22_13_27154-rinse-knife: 0.4603648781370116
P22_13_27218-wash-cloth: 0.3996622300578975
P22_14_27373-open-drawer: 0.776662875595046
P22_14_27404-open-tap: 0.27920545579171646
P22_14_27451-put-down-bowl: 0.5042247878451485
P22_14_27458-lather-knife: 0.355048127310104
P22_14_27459-rinse-knife: 0.09621580112451578
P22_14_27462-put-down-spatula: 0.00033754646794531096
P22_15_27640-put-down-plate: 0.996026444961043
P22_15_27737-close-tap: 0.002874740324891629
P22_16_27934-put-down-cloth: 0.39725202151263755
P22_16_28015-cut-onion: 0.7897849662832039
P22_16_28020-peel-onion: 0.6579170476206961
P22_16_28022-peel-onion: 0.7724200172605468
P22_16_28038-slice-onion: 0.9455698796977088
P22_16_28319-move-cloth: 0.5948347889708684
P22_16_28320-pick-up-cloth: 0.24223433362466154
P22_16_28411-open-drawer: 0.6816718306319386
P22_17_28425-move-bowl: 0.23986711466100577
P22_17_28449-lather-fork: 0.0233159317251514
P22_17_28547-put-down-pan: 0.9043941878494532
P22_17_28573-open-tap: 0.0014264230239646456
P22_17_28584-lather-fork: 0.3267415085752659
P22_17_28642-fill-bottle: 0.14507714108216996
P22_17_28649-rinse-bottle: 0.025767427018167924
P22_17_28658-rinse-sponge: 0.12185855757299008
P22_17_28740-pick-up-plate: 0.9734246319415523
P22_17_28854-put-down-glass: 0.7941770199467154
P22_17_28855-put-down-glass: 0.7814082359566408
P22_17_28870-put-down-plate: 0.45441195544074564
P22_17_28903-dry-knife: 0.22614571073676878
P23_02_29082-wash-plate: 0.9886190057385201
P23_02_29125-open-fridge: 0.2398528055634861
P23_02_29204-close-tap: 0.2528967173806593
P23_04_29364-clean-bowl: 0.35661643373040375
P24_01_29576-grab-cloth: 0.5646172202247031
P24_02_29640-open-fridge: 0.3619954910969325
P24_02_29661-close-fridge: 0.49735292078306276
P24_02_29710-turn-meat: 0.38044214895469886
P24_02_29718-cut-meat: 0.5218451413490316
P24_02_29727-take-meat: 0.07295880642737829
P24_02_29739-flip-meat: 0.3944992712169301
P24_02_29747-check-meat: 0.3192979541059364
P24_02_29778-turn-meat: 0.25289105095480585
P24_02_29781-put-meat: 0.018601449181818788
P24_02_29785-take-cloth: 0.04090583850355709
P24_03_29796-pick-up-plate: 0.3500374121462764
P24_03_29802-rinse-sponge: 0.4645414832723784
P24_03_29811-lather-fork: 0.053495272161329495
P24_03_29903-rinse-sponge: 0.40640951777972717
P24_03_29914-pick-up-cloth: 0.12956795732618548
P24_04_29996-lather-knife: 0.5293808549971265
P24_05_30046-pick-up-lid: 0.38107893653944425
P24_05_30062-put-down-plate: 0.7866353502460555
P24_05_30105-move-pot: 0.14625912051574858
P24_05_30194-lift-lid: 0.538774711280769
P24_05_30195-put-down-lid: 0.022658774669495566
P24_05_30226-rinse-knife: 0.34587849292575434
