Loaded /home/lzq/ExpEval/exe_res/epic_r50l_la_full.pt
P04_04_8881-halve-onion: 0.300221652948494
P04_05_8942-stir-potato: 0.07210228443614142
P04_05_8957-stir-onion: 0.015173300161222869
P04_05_9008-tip-onion: 0.17536155356992822
P04_05_9164-stir-pan: 0.48993198132393445
P04_07_9339-open-drawer: 0.2894913940690458
P04_10_9423-open-cupboard: 0.14131412220740458
P04_10_9478-stir-pan: 0.41970242304978456
P04_17_9658-put-knife: 0.06154569716909464
P04_21_9718-put-down-pan: 0.032015883608437434
P04_23_9802-open-cupboard: 0.223224012494029
P05_02_10281-take-cupboard: 0.1108311995267286
P05_04_10512-open-cupboard: 0.35180851662153145
P05_08_10794-move-onion: 0.0007302645757993886
P05_08_10798-pour-meat: 4.747315485283823e-05
P05_08_10851-rinse-pan: 0.000848775199898455
P06_03_10987-open-drawer: 0.4710707454942167
P06_03_11064-move-spoon: 0.5785467427012918
P06_03_11093-move-pan: 0.021102361581938567
P06_05_11217-put-lid: 0.005213033379277476
P06_05_11297-move-bowl: 0.0032783505397946944
P06_07_11465-put-lid: 0.005691161117738375
P06_07_11508-pick-up-knife: 0.2843513352681839
P06_07_11542-put-down-sponge: 0.11493189052418984
P06_09_11667-put-lid: 0.00219054539093122
P06_09_11682-put-lid: 0.1027019878097235
P06_09_11691-open-drawer: 0.3951688497327268
P06_09_11697-put-lid: 0.048436807672715076
P07_03_12021-rinse-pot: 0.12236612001822778
P07_04_12165-shake-pan: 0.1284541589093351
P07_05_12200-wash-pan: 0.004056161383232393
P07_05_12204-rinse-pan: 0.014148426021165506
P07_06_12230-open-tap: 0.3818146481009421
P07_09_12343-open-fridge: 0.1445941216297797
P07_09_12346-close-fridge: 0.07281220159347868
P07_09_12357-shake-bottle: 0.2594332195549214
P07_09_12358-close-bottle: 0.2666259206562245
P07_10_12381-place-pot: 0.05403547748380788
P07_10_12426-cut-potato: 0.11155779767318563
P07_10_12431-cut-potato: 0.17482844102664785
P07_10_12433-cut-potato: 0.13714720416351156
P07_10_12435-cut-potato: 0.0950795795349677
P07_10_12438-cut-potato: 0.11191114890857534
P07_10_12439-cut-potato: 0.12010777849241094
P07_10_12441-cut-potato: 0.10172896194740133
P07_10_12443-cut-potato: 0.11768313604875402
P07_10_12536-put-lid: 0.005194554222271108
P08_01_12979-get-fork: 0.040232974012053724
P08_01_13017-get-fork: 0.11847546215673654
P08_02_13102-place-back-sponge: 0.34704089771696545
P08_04_13145-get-cloth: 0.0001287093975861353
P08_04_13158-close-drawer: 0.41493578697554767
P08_04_13162-place-in-cupboard: 0.07656883272287678
P08_05_13210-wash-potato: 0.0004927028858219273
P08_05_13239-close-cupboard: 0.07668532462412259
P08_05_13371-get-knife: 0.5148690474570685
P08_05_13378-get-spoon: 0.6540467325394275
P08_05_13398-open-fridge: 0.12759085362631595
P08_05_13401-open-lid: 0.22166319537836898
P08_05_13413-open-cupboard: 0.025652941800217377
P08_05_13434-put-lid: 0.03691896863210786
P08_05_13493-place-plate: 0.013846724767719275
P08_06_13609-close-fridge: 0.05864870911318576
P08_06_13617-open-drawer: 0.5601625829003751
P08_06_13618-place-knife: 0.02672410634602329
P08_06_13629-wipe-off-pan: 0.3082945179348826
P08_11_13977-get-cloth: 0.06237713697760228
P08_18_14449-wipe-bowl: 0.8871093415200448
P08_18_14507-water-sponge: 0.06557431329713381
P08_18_14508-squeeze-sponge: 0.3555570934128127
P08_18_14512-water-sponge: 0.5235166563812754
P08_18_14524-water-sponge: 0.5751057919275127
P08_18_14525-squeeze-sponge: 0.5512393480327091
P08_18_14531-water-sponge: 0.5844370490100346
P08_19_14557-close-fridge: 0.14006811743456637
P08_21_14640-take-out-glass: 0.0030786775962496904
P08_21_14646-place-pan: 0.006023252569320903
P08_21_14658-place-in-cupboard: 0.0706297353312948
