The visualization results will not be visualized and save.
Loaded /home/lzq/ExpEval/exe_res/epic_r2p1d_perturb_full_summed.pt
P04_04_8871-test-potato: 0.02903373468594224
P04_04_8881-halve-onion: 0.8487648303675301
P04_05_8942-stir-potato: 0.5158386930312012
P04_05_8957-stir-onion: 0.8103998678973785
P04_05_9008-tip-onion: 0.819854061305523
P04_05_9164-stir-pan: 0.9335639137190347
P04_07_9339-open-drawer: 0.2521530839596309
P04_10_9423-open-cupboard: 0.29524986017860616
P04_10_9478-stir-pan: 0.95177296072829
P04_17_9658-put-knife: 0.1354103559062031
P04_21_9718-put-down-pan: 0.9653264241913955
P04_23_9802-open-cupboard: 0.29588784040043165
P05_02_10281-take-cupboard: 0.04211269205107408
P05_04_10512-open-cupboard: 0.3909211434789148
P05_08_10794-move-onion: 0.3965736860957216
P05_08_10798-pour-meat: 0.046099427517722634
P05_08_10851-rinse-pan: 0.12183989932139715
P06_03_10987-open-drawer: 0.5277583426448936
P06_03_11064-move-spoon: 0.18920159083334545
P06_03_11093-move-pan: 0.3134675862404573
P06_05_11217-put-lid: 0.8523929268706079
P06_05_11297-move-bowl: 0.0065533555852358835
P06_07_11465-put-lid: 0.6100572309146325
P06_07_11508-pick-up-knife: 0.38953230411416906
P06_07_11542-put-down-sponge: 0.2552905166110791
P06_09_11667-put-lid: 0.2644082671287013
P06_09_11682-put-lid: 0.10157813428371561
P06_09_11691-open-drawer: 0.48412829075264285
P06_09_11697-put-lid: 0.5213284879630687
P07_03_12021-rinse-pot: 0.03845143624964882
P07_04_12165-shake-pan: 0.24974204915411333
P07_05_12200-wash-pan: 0.9019705328871223
P07_05_12204-rinse-pan: 0.9531278971363516
P07_06_12230-open-tap: 0.41602963586063946
P07_09_12343-open-fridge: 0.30068915732086215
P07_09_12346-close-fridge: 0.24901885137865867
P07_09_12357-shake-bottle: 0.10639217743540512
P07_09_12358-close-bottle: 0.1161136076548228
P07_10_12381-place-pot: 0.20317162574798453
P07_10_12426-cut-potato: 0.45763494576528374
P07_10_12431-cut-potato: 0.49564848190136984
P07_10_12433-cut-potato: 0.4213902890536131
P07_10_12435-cut-potato: 0.44183418793128987
P07_10_12438-cut-potato: 0.41779064252680426
P07_10_12439-cut-potato: 0.5138480340368023
P07_10_12441-cut-potato: 0.47848590282248515
P07_10_12443-cut-potato: 0.4584988315096673
P07_10_12536-put-lid: 0.04063328295197411
P08_01_12979-get-fork: 0.0020789369470664907
P08_01_13017-get-fork: 0.016482173843199714
P08_02_13102-place-back-sponge: 0.7404971798480141
P08_04_13145-get-cloth: 0.3303610115732048
P08_04_13158-close-drawer: 0.023173768982729492
P08_04_13162-place-in-cupboard: 0.002517909903847384
P08_05_13210-wash-potato: 0.0016934252798034553
P08_05_13239-close-cupboard: 0.1291141384920361
P08_05_13371-get-knife: 0.09290372703553122
P08_05_13378-get-spoon: 0.15423906695682044
P08_05_13398-open-fridge: 0.6638191003644583
P08_05_13401-open-lid: 0.5440231709138436
P08_05_13413-open-cupboard: 0.041300462989830505
P08_05_13434-put-lid: 0.09056026664831876
P08_05_13493-place-plate: 0.39169102453463484
P08_06_13609-close-fridge: 0.2770542791953274
P08_06_13617-open-drawer: 0.5122293407097459
P08_06_13618-place-knife: 0.031170308029315634
P08_06_13629-wipe-off-pan: 0.8877046771493613
P08_11_13977-get-cloth: 0.7032211955052381
P08_18_14449-wipe-bowl: 0.03930954094154432
P08_18_14507-water-sponge: 0.496763948339275
P08_18_14508-squeeze-sponge: 0.5933009868989899
P08_18_14512-water-sponge: 0.47285678543552173
P08_18_14524-water-sponge: 0.4588094790557436
P08_18_14525-squeeze-sponge: 0.619272253248731
P08_18_14531-water-sponge: 0.6807294871694609
P08_19_14557-close-fridge: 0.24375003550347743
P08_21_14640-take-out-glass: 0.4825686630665087
P08_21_14646-place-pan: 0.9474147910434826
P08_21_14658-place-in-cupboard: 0.2905264420946147
P08_21_14669-place-in-cupboard: 0.034458538508225306
P08_21_14811-close-cupboard: 0.40065731198946924
P08_21_14812-open-cupboard: 0.4204990687140939
P08_22_14989-place-sponge: 0.8018706389355893
P08_22_14997-place-sponge: 0.4376651821018872
P08_23_15214-get-potato: 0.2727055729969459
P08_24_15331-get-potato: 0.8547249043835144
P08_24_15333-cut-potato: 0.8695316978237209
P08_25_15415-get-plate: 0.9412528331373252
P08_26_15435-get-pan: 0.9453656573213783
P08_26_15438-get-bowl: 0.008384951750985255
P08_26_15444-place-bowl: 0.0077099603024430065
P08_26_15453-close-drawer: 0.11971001806942856
P08_26_15455-get-bottle: 0.02492263538434225
P08_26_15490-move-bowl: 0.3034784178979987
P08_26_15501-clean-sponge: 0.8163182967214607
P10_01_15872-move-pot: 0.19453646206096106
P10_01_15913-shake-pot: 0.3914454344258297
P10_01_15944-put-pot: 0.2801129321549453
P10_04_16497-throw-bottle: 0.0028359544460227863
P10_04_16580-clean-pot: 0.068534340592576
P12_02_18571-wash-knife: 0.4299856741912663
P12_02_18604-wash-knife: 0.20825950555895983
P12_02_18631-wash-knife: 0.02741136818635734
P12_02_18711-fill-glass: 0.01938159654245657
P12_06_18977-take-cloth: 0.17550520193854383
P12_06_19001-put-plate: 0.004159190542347513
P12_06_19002-open-bottle: 0.001355303890601385
P13_07_19294-open-drawer: 0.44340950230903486
P13_08_19320-take-onion: 0.49671329128186165
P13_08_19332-put-down-onion: 0.8111449153829073
P13_08_19339-cut-onion: 0.9106516766964513
P13_08_19345-put-down-knife: 0.00043648208115637673
P13_08_19357-pick-up-pot: 0.5671237931093749
P13_08_19377-change-pot: 0.4248166772153448
P13_08_19391-put-down-plate: 0.8212114293201297
P13_09_19504-put-pan: 0.5467668495341843
P13_09_19511-drain-pot: 0.41944978812015526
P13_09_19516-close-drawer: 0.2606162690073617
P13_09_19528-close-drawer: 0.38793201560665874
P13_09_19549-close-fridge: 0.3853577522962701
P15_01_19739-pick-up-bowl: 0.011898463789154502
P15_03_19816-close-drawer: 0.36117018749024354
P15_03_19848-dry-pan: 0.28321486251319156
P15_08_19995-open-drawer: 0.0034483777908106135
P15_08_19998-pick-up-cloth: 0.007518291599368568
P15_08_20028-put-away-glass: 0.5651546499308417
P15_08_20061-put-down-cloth: 0.0018315838686391419
P15_13_20124-place-bowl: 0.0027509758529691572
P15_13_20139-rinse-lid: 0.8754497324719148
P15_13_20166-rinse-cloth: 0.04229389914110595
P17_03_20405-close-tap: 0.4293099420619946
P17_04_20444-open-fridge: 0.2426576645935283
P19_03_21333-close-cupboard: 0.1719879771381909
P19_04_21364-open-fridge: 0.1420942702257604
P20_01_21490-rinse-meat: 0.43567651102967636
P20_01_21503-rinse-meat: 0.26031768893202145
P20_01_21556-pick-up-bowl: 0.260247621916271
P20_01_21560-rinse-bowl: 0.10586070839918274
P20_01_21588-open-drawer: 0.47176116467544843
P20_01_21611-rinse-spatula: 0.4759422799120383
P20_01_21617-rinse-spatula: 0.18898074168200588
P20_01_21626-flip-meat: 0.6837220696001953
P20_01_21640-flip-meat: 0.6833523808485444
P20_01_21644-press-spatula: 0.28162287507450445
P20_01_21652-press-spatula: 0.38466152543083343
P20_01_21658-stir-meat: 0.0202236259830933
P20_01_21671-press-spatula: 0.4745746472389346
P20_01_21676-stir-meat: 0.11010309419247742
P20_01_21684-flip-meat: 0.5910331542548888
