Loaded /home/lzq/ExpEval/exe_res/epic_r2p1d_random_full.pt
P04_04_8881-halve-onion: 0.5877905735000968
P04_05_8942-stir-potato: 0.1542705641128123
P04_05_8957-stir-onion: 0.1292865037545562
P04_05_9008-tip-onion: 0.12542571451514958
P04_05_9164-stir-pan: 0.33808603543788196
P04_07_9339-open-drawer: 0.20531772987917066
P04_10_9423-open-cupboard: 0.10211012721061706
P04_10_9478-stir-pan: 0.38861001092940567
P04_17_9658-put-knife: 0.04819532936438918
P04_21_9718-put-down-pan: 0.25663179833441974
P04_23_9802-open-cupboard: 0.09366989195346832
P05_02_10281-take-cupboard: 0.08367843329906463
P05_04_10512-open-cupboard: 0.05188715189695358
P05_08_10794-move-onion: 0.03138890322297812
P05_08_10798-pour-meat: 0.001833005053922534
P05_08_10851-rinse-pan: 0.0917112897709012
P06_03_10987-open-drawer: 0.2845851190574467
P06_03_11064-move-spoon: 0.27703470350708814
P06_03_11093-move-pan: 0.4066412137192674
P06_05_11217-put-lid: 0.2154319427162409
P06_05_11297-move-bowl: 0.007284571587806567
P06_07_11465-put-lid: 0.15086776711046695
P06_07_11508-pick-up-knife: 0.014591871555894613
P06_07_11542-put-down-sponge: 0.03695793634280562
P06_09_11667-put-lid: 0.015949208959937095
P06_09_11682-put-lid: 0.02623159047216177
P06_09_11691-open-drawer: 0.288857366014272
P06_09_11697-put-lid: 0.01252378161996603
P07_03_12021-rinse-pot: 0.049252536930143836
P07_04_12165-shake-pan: 0.24514850024133922
P07_05_12200-wash-pan: 0.2799421836808324
P07_05_12204-rinse-pan: 0.31658903647214176
P07_06_12230-open-tap: 0.08669559448957444
P07_09_12343-open-fridge: 0.055794115168973805
P07_09_12346-close-fridge: 0.10456858257763088
P07_09_12357-shake-bottle: 0.005028721187263727
P07_09_12358-close-bottle: 0.015131289754062891
P07_10_12381-place-pot: 0.010341252274811268
P07_10_12426-cut-potato: 0.007510855291038752
P07_10_12431-cut-potato: 0.07484860250726343
P07_10_12433-cut-potato: 0.01924338111653924
P07_10_12435-cut-potato: 0.04612651595845819
P07_10_12438-cut-potato: 0.0494308633543551
P07_10_12439-cut-potato: 0.023354405257850885
P07_10_12441-cut-potato: 0.05228523025289178
P07_10_12443-cut-potato: 0.04380836674943566
P07_10_12536-put-lid: 0.0006162332661915571
P08_01_12979-get-fork: 0.03277729973211308
P08_01_13017-get-fork: 0.04311723398976028
P08_02_13102-place-back-sponge: 0.21412052249535918
P08_04_13145-get-cloth: 0.1901218974404037
P08_04_13158-close-drawer: 0.010022896025329828
P08_04_13162-place-in-cupboard: 0.0013407070009998278
P08_05_13210-wash-potato: 0.0007779735001167865
P08_05_13239-close-cupboard: 0.056523839831352236
P08_05_13371-get-knife: 0.01996659053489566
P08_05_13378-get-spoon: 0.2673076641699299
P08_05_13398-open-fridge: 0.10130968968383967
P08_05_13401-open-lid: 0.2906649137288332
P08_05_13413-open-cupboard: 0.08390329476445914
P08_05_13434-put-lid: 0.0014753802720224485
P08_05_13493-place-plate: 0.08323145197544363
P08_06_13609-close-fridge: 0.06817491541616619
P08_06_13617-open-drawer: 0.3163581676967442
P08_06_13618-place-knife: 0.019958193521015345
P08_06_13629-wipe-off-pan: 0.12329719681292772
P08_11_13977-get-cloth: 0.3118597963266075
P08_18_14449-wipe-bowl: 0.12791298005147836
P08_18_14507-water-sponge: 0.1813398820720613
P08_18_14508-squeeze-sponge: 0.23517892574891447
P08_18_14512-water-sponge: 0.12320470398291945
P08_18_14524-water-sponge: 0.23845254903659224
P08_18_14525-squeeze-sponge: 0.14727572178468107
P08_18_14531-water-sponge: 0.1822959283553064
P08_19_14557-close-fridge: 0.1052592487167567
P08_21_14640-take-out-glass: 0.7779663964733481
P08_21_14646-place-pan: 0.3182223393395543
P08_21_14658-place-in-cupboard: 0.016776923537254334
P08_21_14669-place-in-cupboard: 0.004659618870355189
P08_21_14811-close-cupboard: 0.3982373422384262
P08_21_14812-open-cupboard: 0.694483757019043
P08_22_14989-place-sponge: 0.13728397523984312
P08_22_14997-place-sponge: 0.13863943552598357
P08_23_15214-get-potato: 0.1785010684467852
P08_24_15331-get-potato: 0.22537906894460322
P08_24_15333-cut-potato: 0.3180132759548724
P08_25_15415-get-plate: 0.449974553398788
P08_26_15435-get-pan: 0.1954185028746724
P08_26_15438-get-bowl: 0.007818995396373794
P08_26_15444-place-bowl: 0.09839965202030726
P08_26_15453-close-drawer: 0.2173883649893105
P08_26_15455-get-bottle: 0.002716291192919016
P08_26_15490-move-bowl: 0.26526955487555826
P08_26_15501-clean-sponge: 0.021912963148206472
P10_01_15872-move-pot: 0.17828255284577607
P10_01_15913-shake-pot: 0.1828274642303586
P10_01_15944-put-pot: 0.11496504414826632
P10_04_16497-throw-bottle: 0.000671147493603712
P10_04_16580-clean-pot: 0.0016718729212880134
P12_02_18571-wash-knife: 0.17043950593098997
P12_02_18604-wash-knife: 0.21063791519030928
P12_02_18631-wash-knife: 0.1387849702319363
P12_02_18711-fill-glass: 0.4317902919650078
P12_06_18977-take-cloth: 0.03144829360768199
P12_06_19001-put-plate: 0.00869247643287963
P12_06_19002-open-bottle: 0.010798363662324846
P13_07_19294-open-drawer: 0.2844073884375393
P13_08_19320-take-onion: 0.04506506327248644
P13_08_19332-put-down-onion: 0.11689652170985937
P13_08_19339-cut-onion: 0.4095826491340995
P13_08_19345-put-down-knife: 0.004827570314048444
P13_08_19357-pick-up-pot: 0.14269202519208193
P13_08_19377-change-pot: 0.08842151153832674
P13_08_19391-put-down-plate: 0.41556097548455
P13_09_19504-put-pan: 0.316449884660542
P13_09_19511-drain-pot: 0.06172895658761263
P13_09_19516-close-drawer: 0.13012386130169035
P13_09_19528-close-drawer: 0.2095216198451817
P13_09_19549-close-fridge: 0.08007076571695507
P15_01_19739-pick-up-bowl: 0.15595688494271598
P15_03_19816-close-drawer: 0.3525918229110539
P15_03_19848-dry-pan: 0.006523329205811024
P15_08_19995-open-drawer: 0.010814755180326756
P15_08_19998-pick-up-cloth: 0.004357650917898184
P15_08_20028-put-away-glass: 0.8662558263167739
P15_08_20061-put-down-cloth: 0.009096110598184168
P15_13_20124-place-bowl: 0.011246136449044571
P15_13_20139-rinse-lid: 0.21919974364340306
