Loaded /home/lzq/ExpEval/exe_res/epic_r50l_eb_full_abs2.pt
P04_04_8881-halve-onion: 0.718979479038353
P04_05_8942-stir-potato: 0.5263477628160445
P04_05_8957-stir-onion: 0.5614867238246006
P04_05_9008-tip-onion: 0.04307713209618669
P04_05_9164-stir-pan: 0.8937204883096683
P04_07_9339-open-drawer: 0.9740552394650877
P04_10_9423-open-cupboard: 0.6758333178440807
P04_10_9478-stir-pan: 0.7152996484784353
P04_17_9658-put-knife: 0.3674261287205809
P04_21_9718-put-down-pan: 0.5241489522287566
P04_23_9802-open-cupboard: 0.5874963984097121
P05_02_10281-take-cupboard: 0.7317956671322463
P05_04_10512-open-cupboard: 0.777347622832167
P05_08_10794-move-onion: 0.024831703507805614
P05_08_10798-pour-meat: 3.7715469959863736e-05
P05_08_10851-rinse-pan: 0.0049000890543879905
P06_03_10987-open-drawer: 0.961649605538696
P06_03_11064-move-spoon: 0.04600430908612907
P06_03_11093-move-pan: 0.0016583351862209383
P06_05_11217-put-lid: 0.09150232229194444
P06_05_11297-move-bowl: 0.0009233054938073693
P06_07_11465-put-lid: 0.24881156996752907
P06_07_11508-pick-up-knife: 0.8611719174195969
P06_07_11542-put-down-sponge: 0.5525901408560685
P06_09_11667-put-lid: 0.00483101156032717
P06_09_11682-put-lid: 0.752009238786286
P06_09_11691-open-drawer: 0.9797399728558958
P06_09_11697-put-lid: 0.7138279175565003
P07_03_12021-rinse-pot: 0.5690576011825783
P07_04_12165-shake-pan: 0.1277680533368084
P07_05_12200-wash-pan: 0.019574131492049673
P07_05_12204-rinse-pan: 0.34642624367381813
P07_06_12230-open-tap: 0.6576357676478324
P07_09_12343-open-fridge: 0.6499665862775146
P07_09_12346-close-fridge: 0.60687214335303
P07_09_12357-shake-bottle: 0.8082859910714433
P07_09_12358-close-bottle: 0.6985631979691789
P07_10_12381-place-pot: 0.3710843051363213
P07_10_12426-cut-potato: 0.8943333487533209
P07_10_12431-cut-potato: 0.8558563451789496
P07_10_12433-cut-potato: 0.8744230728171942
P07_10_12435-cut-potato: 0.7693505148910162
P07_10_12438-cut-potato: 0.7236380438827155
P07_10_12439-cut-potato: 0.7733452181838629
P07_10_12441-cut-potato: 0.6541517834685919
P07_10_12443-cut-potato: 0.7681597332976935
P07_10_12536-put-lid: 0.16816763803990398
P08_01_12979-get-fork: 0.003534823810966259
P08_01_13017-get-fork: 0.007298459160189452
P08_02_13102-place-back-sponge: 0.6934280754227302
P08_04_13145-get-cloth: 0.001730992683178556
P08_04_13158-close-drawer: 0.9381140365730971
P08_04_13162-place-in-cupboard: 0.13296419214024502
P08_05_13210-wash-potato: 0.0014647432925585235
P08_05_13239-close-cupboard: 0.4729876282362966
P08_05_13371-get-knife: 0.7301851642669135
P08_05_13378-get-spoon: 0.5227055117793498
P08_05_13398-open-fridge: 0.738022435352832
P08_05_13401-open-lid: 0.5011004691191374
P08_05_13413-open-cupboard: 0.15756579352819244
P08_05_13434-put-lid: 0.39548034427616585
P08_05_13493-place-plate: 0.0005417583822436428
P08_06_13609-close-fridge: 0.9142751580930053
P08_06_13617-open-drawer: 0.9946021824143827
P08_06_13618-place-knife: 0.0011578856054939024
P08_06_13629-wipe-off-pan: 0.1954878097768642
P08_11_13977-get-cloth: 0.21311184096543911
P08_18_14449-wipe-bowl: 0.6164211653758684
P08_18_14507-water-sponge: 0.06665181882419802
P08_18_14508-squeeze-sponge: 0.6964130792927108
P08_18_14512-water-sponge: 0.35252201698460794
P08_18_14524-water-sponge: 0.71614015662783
P08_18_14525-squeeze-sponge: 0.60530964193606
P08_18_14531-water-sponge: 0.6749229794528446
P08_19_14557-close-fridge: 0.9374825245595275
P08_21_14640-take-out-glass: 0.06871652829363484
P08_21_14646-place-pan: 0.036441582326119715
P08_21_14658-place-in-cupboard: 0.009074151467984848
P08_21_14669-place-in-cupboard: 0.7285616186418338
P08_21_14811-close-cupboard: 0.6452234482130734
P08_21_14812-open-cupboard: 0.7767357862758217
P08_22_14989-place-sponge: 0.7813941608343384
P08_22_14997-place-sponge: 0.7850798727173469
P08_23_15214-get-potato: 0.4605579023756263
P08_24_15331-get-potato: 0.8080508584663448
P08_24_15333-cut-potato: 0.8189734082244513
P08_25_15415-get-plate: 0.8545261734006999
P08_26_15435-get-pan: 0.5609901917761135
P08_26_15438-get-bowl: 0.21573779390928394
P08_26_15444-place-bowl: 0.6244501340788702
P08_26_15453-close-drawer: 0.21983368256042013
P08_26_15455-get-bottle: 0.21605481893448086
P08_26_15490-move-bowl: 0.8031501744062552
P08_26_15501-clean-sponge: 0.6410218835968635
P10_01_15872-move-pot: 0.29306749687981437
P10_01_15913-shake-pot: 0.914964979891522
P10_01_15944-put-pot: 0.5228699009444995
P10_04_16497-throw-bottle: 0.0003952196147740672
P10_04_16580-clean-pot: 0.0029596591122640348
P12_02_18571-wash-knife: 0.1231404569816732
P12_02_18604-wash-knife: 0.06616526239395171
P12_02_18631-wash-knife: 0.007652702108543963
P12_02_18711-fill-glass: 0.0005923751628150607
P12_06_18977-take-cloth: 0.0015439932569734083
P12_06_19001-put-plate: 0.004637564549341278
P12_06_19002-open-bottle: 0.41149316692417415
P13_07_19294-open-drawer: 0.8787053315900266
P13_08_19320-take-onion: 0.00028736052157585235
P13_08_19332-put-down-onion: 0.5774126311216605
P13_08_19339-cut-onion: 0.6863093704369021
P13_08_19345-put-down-knife: 0.03178794504219695
P13_08_19357-pick-up-pot: 0.7277249988679273
P13_08_19377-change-pot: 0.0038491498149255676
P13_08_19391-put-down-plate: 0.8850094839772282
P13_09_19504-put-pan: 0.7797319109214413
P13_09_19511-drain-pot: 0.22329883454818855
P13_09_19516-close-drawer: 0.9899037797003984
P13_09_19528-close-drawer: 0.9718712060712278
P13_09_19549-close-fridge: 0.5020288791401981
P15_01_19739-pick-up-bowl: 0.09381842298497743
P15_03_19816-close-drawer: 0.8374773948453367
P15_03_19848-dry-pan: 0.0592795842222813
P15_08_19995-open-drawer: 0.09261624957824299
P15_08_19998-pick-up-cloth: 0.0010016700479035523
P15_08_20028-put-away-glass: 0.7062556760422467
P15_08_20061-put-down-cloth: 0.014827910845497172
P15_13_20124-place-bowl: 0.009234148829705191
P15_13_20139-rinse-lid: 0.6921713014312445
P15_13_20166-rinse-cloth: 0.19460616850687984
P17_03_20405-close-tap: 0.0010196577433418952
P17_04_20444-open-fridge: 0.5402394499524235
P19_03_21333-close-cupboard: 0.06600931768480223
P19_04_21364-open-fridge: 0.3664404420542269
P20_01_21490-rinse-meat: 0.0014658817564780352
P20_01_21503-rinse-meat: 0.0004592928751163683
P20_01_21556-pick-up-bowl: 0.8845132558726618
P20_01_21560-rinse-bowl: 0.007972806424229961
P20_01_21588-open-drawer: 0.9861939647234976
P20_01_21611-rinse-spatula: 0.7244040151472291
P20_01_21617-rinse-spatula: 0.007476817752831266
P20_01_21626-flip-meat: 0.8359956465191658
P20_01_21640-flip-meat: 0.863877507252198
P20_01_21644-press-spatula: 0.028238086109922733
P20_01_21652-press-spatula: 0.17487111859190918
P20_01_21658-stir-meat: 0.6499323028601225
P20_01_21671-press-spatula: 0.7744487971413037
P20_01_21676-stir-meat: 0.7229991907715316
P20_01_21684-flip-meat: 0.7532077742270644
P20_01_21686-press-spatula: 0.764975532923927
P20_01_21699-stir-meat: 0.5410013949494328
P20_01_21711-press-spatula: 0.6813945621597668
P20_01_21745-flip-meat: 0.6970118222288306
P20_01_21755-press-spatula: 0.8661225885498425
P20_01_21757-press-spatula: 0.9104561657059094
P20_01_21758-press-spatula: 0.8917271090085706
P20_01_21764-move-meat: 0.6898111625104661
P20_01_21798-pick-up-meat: 0.6624498440414186
P20_01_21820-pick-up-spatula: 0.793448854738017
P20_01_21824-put-down-spatula: 0.8802320247395983
P20_02_21843-turn-on-tap: 0.7579388806427119
P20_02_21859-wash-bowl: 0.837908622541363
P20_03_21981-put-fork: 0.0171384392479339
P20_04_22059-pick-up-meat: 0.008593375669022407
P20_04_22090-rinse-meat: 0.45929857911499994
P20_04_22188-open-drawer: 0.31034513471240643
P20_04_22222-wash-knife: 0.0012459912045411636
P20_04_22308-put-down-spatula: 0.8301787632863125
P20_04_22332-open-fridge: 0.4506971248320042
P21_01_22625-close-fridge: 0.46699895582969475
P22_05_24164-place-bottle: 0.8638693931202397
P22_06_24730-lather-glass: 0.3862595336315735
P22_06_24739-lather-fork: 0.8324496771529084
P22_07_24883-rinse-cloth: 0.7005576832073075
P22_07_24894-lather-glass: 0.02015075456083082
P22_07_24993-put-down-cloth: 0.6596279224233967
P22_07_25167-put-down-pot: 0.03276342002078536
P22_07_25302-rinse-spoon: 0.017066732201783452
P22_07_25325-pick-up-plate: 0.7595194062059818
P22_07_25357-put-down-glass: 0.016348751450323107
P22_07_25363-remove-plate: 0.11699193150798237
P22_07_25364-remove-plate: 0.4001325749168245
P22_08_25638-close-tap: 0.0002167639700057905
P22_08_25664-lather-plate: 0.9212525068624018
P22_08_25702-empty-pot: 0.47654326443313266
P22_08_25740-pick-up-pan: 0.09590281885596141
P22_08_25748-lather-pan: 0.08242179483761447
P22_08_25752-rinse-spoon: 0.7194729171533254
P22_08_25853-rinse-glass: 0.8169005520678638
P22_08_25857-rinse-cloth: 0.6206477490106863
P22_09_26001-put-down-plate: 0.5549613913362919
P22_09_26033-open-drawer: 0.9954069345258176
P22_09_26061-lather-bowl: 0.003770244985446425
P22_09_26136-rinse-cloth: 0.1706679976398391
P22_10_26287-rinse-bowl: 0.8568266599559138
P22_10_26318-pick-up-spoon: 0.02326607600069585
P22_10_26319-lather-spoon: 0.05299059671961004
P22_10_26340-pick-up-bowl: 0.8198392504946241
P22_10_26426-lather-glass: 0.8142583461515187
P22_10_26508-empty-bottle: 0.6193285073309198
P22_10_26511-empty-bottle: 0.8529680104616091
P22_11_26606-place-glass: 0.6018362658135175
P22_11_26644-put-down-bowl: 0.8529664247416804
P22_11_26763-rinse-glass: 0.006764126786739821
P22_12_26841-open-drawer: 0.9888313501141965
P22_12_26959-put-plate: 0.9686299495706407
P22_13_27105-open-tap: 0.844456156419426
P22_13_27110-rinse-sponge: 0.5895535564210377
P22_13_27135-rinse-sponge: 0.7588551696550212
P22_13_27154-rinse-knife: 0.7632177589812272
P22_13_27218-wash-cloth: 0.037058146574281636
P22_14_27373-open-drawer: 0.9955093353055418
P22_14_27404-open-tap: 0.8080091073008475
P22_14_27451-put-down-bowl: 0.029225489742316313
P22_14_27458-lather-knife: 0.5336856836338484
P22_14_27459-rinse-knife: 0.1235008422854662
P22_14_27462-put-down-spatula: 0.001150886911816061
P22_15_27640-put-down-plate: 0.8914172133272587
P22_15_27737-close-tap: 0.0370369158283097
P22_16_27934-put-down-cloth: 0.07263695802453185
P22_16_28015-cut-onion: 0.7140808470931006
P22_16_28020-peel-onion: 0.7573096270125461
P22_16_28022-peel-onion: 0.6945835950236869
P22_16_28038-slice-onion: 0.7436623547609997
P22_16_28319-move-cloth: 0.19078120061590198
P22_16_28320-pick-up-cloth: 0.19070207335448686
P22_16_28411-open-drawer: 0.9861837117932737
P22_17_28425-move-bowl: 0.8052133887194941
