Loaded /home/acb11711tx/lzq/ExpEval/exe_res/epic_r50l_perturb_full_summed.pt
P04_04_8871-test-potato: 0.10230450521169132
P04_04_8881-halve-onion: 0.6256729972001267
P04_05_8942-stir-potato: 0.3581839864183394
P04_05_8957-stir-onion: 0.3476237086497349
P04_05_9008-tip-onion: 0.007386612137452175
P04_05_9164-stir-pan: 0.7900704548356998
P04_07_9339-open-drawer: 0.4813819914124906
P04_10_9423-open-cupboard: 0.9150121541606495
P04_10_9478-stir-pan: 0.7298072998074758
P04_17_9658-put-knife: 0.4096371844761961
P04_21_9718-put-down-pan: 0.3460075669119078
P04_23_9802-open-cupboard: 0.8814206108363578
P05_02_10281-take-cupboard: 0.7935444101603935
P05_04_10512-open-cupboard: 0.6896745547564933
P05_08_10794-move-onion: 0.005570909117812661
P05_08_10798-pour-meat: 0.0014089460944595946
P05_08_10851-rinse-pan: 0.0928201885510731
P06_03_10987-open-drawer: 0.9791236608289182
P06_03_11064-move-spoon: 0.03929338860325515
P06_03_11093-move-pan: 0.008616144042321139
P06_05_11217-put-lid: 0.025734144350735733
P06_05_11297-move-bowl: 0.0614744912367593
P06_07_11465-put-lid: 0.4188959272291868
P06_07_11508-pick-up-knife: 0.5579887194444382
P06_07_11542-put-down-sponge: 0.4843666048415116
P06_09_11667-put-lid: 0.057214636465232616
P06_09_11682-put-lid: 0.7593782802291571
P06_09_11691-open-drawer: 0.9895396917127073
P06_09_11697-put-lid: 0.42379964349720467
P07_03_12021-rinse-pot: 0.7023382360626442
P07_04_12165-shake-pan: 0.494576423325384
P07_05_12200-wash-pan: 0.01312079340470973
P07_05_12204-rinse-pan: 0.42556172121669533
P07_06_12230-open-tap: 0.6624700619664736
P07_09_12343-open-fridge: 0.6055900937772094
P07_09_12346-close-fridge: 0.49129465421538043
P07_09_12357-shake-bottle: 0.6134201086765643
P07_09_12358-close-bottle: 0.835747639060628
P07_10_12381-place-pot: 0.4576258977454586
P07_10_12426-cut-potato: 0.8224791746162055
P07_10_12431-cut-potato: 0.7266137461684821
P07_10_12433-cut-potato: 0.6777262549422858
P07_10_12435-cut-potato: 0.6255316000007269
P07_10_12438-cut-potato: 0.5854506950400946
P07_10_12439-cut-potato: 0.6216697554610846
P07_10_12441-cut-potato: 0.6287504296325324
P07_10_12443-cut-potato: 0.6220485429786322
P07_10_12536-put-lid: 0.4127273582275848
P08_01_12979-get-fork: 0.0054167377914353665
P08_01_13017-get-fork: 0.01634629895077211
