Loaded /home/lzq/ExpEval/exe_res/epic_r2p1d_g_full.pt
P04_04_8881-halve-onion: 0.8290661700442433
P04_05_8942-stir-potato: 0.9198908148147166
P04_05_8957-stir-onion: 0.4720730363205075
P04_05_9008-tip-onion: 0.3657251961901784
P04_05_9164-stir-pan: 0.8871742464974522
P04_07_9339-open-drawer: 0.43507952127605676
P04_10_9423-open-cupboard: 0.7489892661944032
P04_10_9478-stir-pan: 0.8378571804240346
P04_17_9658-put-knife: 0.11047199965454638
P04_21_9718-put-down-pan: 0.6867536016181112
P04_23_9802-open-cupboard: 0.6324510294571519
P05_02_10281-take-cupboard: 0.4298421013727784
P05_04_10512-open-cupboard: 0.3498699924722314
P05_08_10794-move-onion: 0.06873284120112658
P05_08_10798-pour-meat: 0.01488394177518785
P05_08_10851-rinse-pan: 0.5167896370962262
P06_03_10987-open-drawer: 0.6631095752492547
P06_03_11064-move-spoon: 0.2446800422342494
P06_03_11093-move-pan: 0.4091400311770849
P06_05_11217-put-lid: 0.7200919387117029
P06_05_11297-move-bowl: 0.004274492722470313
P06_07_11465-put-lid: 0.5493773076310754
P06_07_11508-pick-up-knife: 0.5833734083268791
P06_07_11542-put-down-sponge: 0.35597473620437087
P06_09_11667-put-lid: 0.058295103199779985
P06_09_11682-put-lid: 0.03755253914743662
P06_09_11691-open-drawer: 0.6129131904616952
P06_09_11697-put-lid: 0.3597120650857687
P07_03_12021-rinse-pot: 0.08926064427942038
P07_04_12165-shake-pan: 0.45540656227618453
P07_05_12200-wash-pan: 0.9377995063737035
P07_05_12204-rinse-pan: 0.8916918425634504
P07_06_12230-open-tap: 0.6134513184428215
P07_09_12343-open-fridge: 0.3914919091016054
P07_09_12346-close-fridge: 0.29807352639734747
P07_09_12357-shake-bottle: 0.14033687422052027
P07_09_12358-close-bottle: 0.183734607193619
P07_10_12381-place-pot: 0.04598578739911318
P07_10_12426-cut-potato: 0.5275375843979418
P07_10_12431-cut-potato: 0.8724982912279665
P07_10_12433-cut-potato: 0.3424718118645251
P07_10_12435-cut-potato: 0.5961592985130847
P07_10_12438-cut-potato: 0.44706268021836876
P07_10_12439-cut-potato: 0.6401588166691363
P07_10_12441-cut-potato: 0.6045354534126818
P07_10_12443-cut-potato: 0.5311569804884493
P07_10_12536-put-lid: 0.039712810690980406
P08_01_12979-get-fork: 0.002770618312094939
P08_01_13017-get-fork: 0.01241677564335987
P08_02_13102-place-back-sponge: 0.5126717194821686
P08_04_13145-get-cloth: 0.3737856661900878
P08_04_13158-close-drawer: 0.019907250143587588
P08_04_13162-place-in-cupboard: 0.004819489364235778
P08_05_13210-wash-potato: 0.0018852916027390166
P08_05_13239-close-cupboard: 0.3983247638121247
P08_05_13371-get-knife: 0.10808411956764757
P08_05_13378-get-spoon: 0.6665660848887637
P08_05_13398-open-fridge: 0.505547856464982
P08_05_13401-open-lid: 0.8706144461408257
P08_05_13413-open-cupboard: 0.1151681549474597
P08_05_13434-put-lid: 0.08960387800529133
P08_05_13493-place-plate: 0.05191806124246796
P08_06_13609-close-fridge: 0.3389096165448427
P08_06_13617-open-drawer: 0.645445997454226
