Loaded /home/lzq/ExpEval/exe_res/epic_r2p1d_random_full.pt
P04_04_8881-halve-onion: 0.6694165431708098
P04_05_8942-stir-potato: 0.24910037141293287
P04_05_8957-stir-onion: 0.17117852859199048
P04_05_9008-tip-onion: 0.4728808369487524
P04_05_9164-stir-pan: 0.42648325223475697
P04_07_9339-open-drawer: 0.06830245880410075
P04_10_9423-open-cupboard: 0.21190920535475016
P04_10_9478-stir-pan: 0.4091092308238149
P04_17_9658-put-knife: 0.12398732740432024
P04_21_9718-put-down-pan: 0.09979881394654512
P04_23_9802-open-cupboard: 0.11277003351598978
P05_02_10281-take-cupboard: 0.016711521185934542
P05_04_10512-open-cupboard: 0.13628821227699517
P05_08_10794-move-onion: 0.10152295440435409
P05_08_10798-pour-meat: 0.0016945363162085413
P05_08_10851-rinse-pan: 0.08674322742968797
P06_03_10987-open-drawer: 0.10781412629410625
P06_03_11064-move-spoon: 0.7046867124643177
P06_03_11093-move-pan: 0.2825630882498808
P06_05_11217-put-lid: 0.22112353891134262
P06_05_11297-move-bowl: 0.006770800348604098
P06_07_11465-put-lid: 0.10721001327037812
P06_07_11508-pick-up-knife: 0.061083272732794285
P06_07_11542-put-down-sponge: 0.07863481377251447
P06_09_11667-put-lid: 0.08817055732011796
P06_09_11682-put-lid: 0.011120604053139686
P06_09_11691-open-drawer: 0.06658783404156565
P06_09_11697-put-lid: 0.04437662869691849
P07_03_12021-rinse-pot: 0.013745178580284118
P07_04_12165-shake-pan: 0.33430823687464
P07_05_12200-wash-pan: 0.03699057597666979
P07_05_12204-rinse-pan: 0.018886285312473775
P07_06_12230-open-tap: 0.1346780490130186
P07_09_12343-open-fridge: 0.02706924119964242
P07_09_12346-close-fridge: 0.021230551693588496
P07_09_12357-shake-bottle: 0.009147192351520061
P07_09_12358-close-bottle: 0.016300538592040538
P07_10_12381-place-pot: 0.0074790121614933015
P07_10_12426-cut-potato: 0.03902109157294035
P07_10_12431-cut-potato: 0.07452430557459593
P07_10_12433-cut-potato: 0.09806387197226286
P07_10_12435-cut-potato: 0.06326935064047574
P07_10_12438-cut-potato: 0.04713029097765684
P07_10_12439-cut-potato: 0.019491659514605998
P07_10_12441-cut-potato: 0.025909659974277018
P07_10_12443-cut-potato: 0.03483229350298643
P07_10_12536-put-lid: 0.005367351067252457
P08_01_12979-get-fork: 0.09826825838542164
P08_01_13017-get-fork: 0.10776768024661579
P08_02_13102-place-back-sponge: 0.2652462223637849
P08_04_13145-get-cloth: 0.2621555233187973
P08_04_13158-close-drawer: 0.0017048195563256741
P08_04_13162-place-in-cupboard: 0.0055734869070875
P08_05_13210-wash-potato: 0.0009187766668037512
P08_05_13239-close-cupboard: 0.06255310986191034
P08_05_13371-get-knife: 0.008923756889998913
P08_05_13378-get-spoon: 0.5682192104961723
P08_05_13398-open-fridge: 0.08300071695819497
P08_05_13401-open-lid: 0.25838123857975004
P08_05_13413-open-cupboard: 0.46986156929284334
P08_05_13434-put-lid: 0.010668062029290014
P08_05_13493-place-plate: 0.05947483337709855
P08_06_13609-close-fridge: 0.11624891320243477
P08_06_13617-open-drawer: 0.21094856528565287
P08_06_13618-place-knife: 0.0009999345242977143
P08_06_13629-wipe-off-pan: 0.16820479471236469
P08_11_13977-get-cloth: 0.5202297628112137
P08_18_14449-wipe-bowl: 0.19590068975347094
P08_18_14507-water-sponge: 0.1917728311289102
P08_18_14508-squeeze-sponge: 0.2414073154795915
P08_18_14512-water-sponge: 0.029993184851482512
P08_18_14524-water-sponge: 0.1257756329048425
P08_18_14525-squeeze-sponge: 0.1965251395571977
P08_18_14531-water-sponge: 0.1800411066878587
P08_19_14557-close-fridge: 0.10960997948423028
P08_21_14640-take-out-glass: 0.7196264356374741
P08_21_14646-place-pan: 0.26310876686125995
P08_21_14658-place-in-cupboard: 0.018599466271698475
P08_21_14669-place-in-cupboard: 0.007703888285905122
P08_21_14811-close-cupboard: 0.5528505492582917
P08_21_14812-open-cupboard: 0.5496823501959444
P08_22_14989-place-sponge: 0.15100428198464214
P08_22_14997-place-sponge: 0.12020819042809308
P08_23_15214-get-potato: 0.15179236870259047
P08_24_15331-get-potato: 0.07421901892870665
P08_24_15333-cut-potato: 0.290486555211246
P08_25_15415-get-plate: 0.4601859135180712
P08_26_15435-get-pan: 0.18023225981742144
P08_26_15438-get-bowl: 0.009280759205284993
P08_26_15444-place-bowl: 0.005400472842156887
P08_26_15453-close-drawer: 0.14509100375697018
P08_26_15455-get-bottle: 0.004248821232467889
P08_26_15490-move-bowl: 0.3694520679267589
P08_26_15501-clean-sponge: 0.19008870874531567
P10_01_15872-move-pot: 0.2278840036690235
P10_01_15913-shake-pot: 0.3056472884118557
P10_01_15944-put-pot: 0.17983100876212121
P10_04_16497-throw-bottle: 0.0008007457695208587
P10_04_16580-clean-pot: 0.03655364446341992
P12_02_18571-wash-knife: 0.07786838386207819
P12_02_18604-wash-knife: 0.1337537992373109
P12_02_18631-wash-knife: 0.00619711655919673
P12_02_18711-fill-glass: 0.1789997895155102
P12_06_18977-take-cloth: 0.028103198427706956
P12_06_19001-put-plate: 0.02781007532129479
P12_06_19002-open-bottle: 0.0007796710846014321
P13_07_19294-open-drawer: 0.2057272115163505
P13_08_19320-take-onion: 0.06915391375776381
P13_08_19332-put-down-onion: 0.26292745627462866
P13_08_19339-cut-onion: 0.7293369068950415
P13_08_19345-put-down-knife: 0.014088935563465839
P13_08_19357-pick-up-pot: 0.20202214524149895
P13_08_19377-change-pot: 0.11689528957009315
P13_08_19391-put-down-plate: 0.5122352174669504
P13_09_19504-put-pan: 0.11781373966485262
P13_09_19511-drain-pot: 0.08858880952000618
P13_09_19516-close-drawer: 0.05588073609396815
P13_09_19528-close-drawer: 0.12098730115219951
P13_09_19549-close-fridge: 0.10991650829091668
P15_01_19739-pick-up-bowl: 0.05713813947164453
P15_03_19816-close-drawer: 0.1956978258304298
P15_03_19848-dry-pan: 0.017842906601727007
P15_08_19995-open-drawer: 0.0013850719679612666
P15_08_19998-pick-up-cloth: 0.005536017128937516
P15_08_20028-put-away-glass: 0.9347064486145973
P15_08_20061-put-down-cloth: 0.010056867095117923
P15_13_20124-place-bowl: 0.05224799619638361
P15_13_20139-rinse-lid: 0.2839567092061043
P15_13_20166-rinse-cloth: 0.0040837952122092245
P17_03_20405-close-tap: 0.030399813279509545
P17_04_20444-open-fridge: 0.027024929914623498
P19_03_21333-close-cupboard: 0.08596715379506349
P19_04_21364-open-fridge: 0.02024441311135888
P20_01_21490-rinse-meat: 0.09030297391116619
P20_01_21503-rinse-meat: 0.11900691412389279
P20_01_21556-pick-up-bowl: 0.22925676526152527
P20_01_21560-rinse-bowl: 0.2843447090091649
P20_01_21588-open-drawer: 0.13817677257582545
P20_01_21611-rinse-spatula: 0.10454522458603606
P20_01_21617-rinse-spatula: 0.05460701970150694
P20_01_21626-flip-meat: 0.23750609152019023
P20_01_21640-flip-meat: 0.23296267561614514
P20_01_21644-press-spatula: 0.010395446771290152
P20_01_21652-press-spatula: 0.08518896577646956
P20_01_21658-stir-meat: 0.005743238031864166
P20_01_21671-press-spatula: 0.17361317930510267
P20_01_21676-stir-meat: 0.003937264657579363
P20_01_21684-flip-meat: 0.15994043223559856
P20_01_21686-press-spatula: 0.12302360055735334
P20_01_21699-stir-meat: 0.04573088452219963
P20_01_21711-press-spatula: 0.15359275994589552
P20_01_21745-flip-meat: 0.11476449929177761
P20_01_21755-press-spatula: 0.22122503278544173
P20_01_21757-press-spatula: 0.10340796677162871
P20_01_21758-press-spatula: 0.15283008901169523
P20_01_21764-move-meat: 0.07995525978505612
P20_01_21798-pick-up-meat: 0.18779834948480129
P20_01_21820-pick-up-spatula: 0.06784330991795287
P20_01_21824-put-down-spatula: 0.20054002640536056
P20_02_21843-turn-on-tap: 0.05974357925355434
P20_02_21859-wash-bowl: 0.4614447230251972
P20_03_21981-put-fork: 0.006951853565757315
P20_04_22059-pick-up-meat: 0.014425665438175202
P20_04_22090-rinse-meat: 0.1646723785251379
P20_04_22188-open-drawer: 0.0033882358309347185
P20_04_22222-wash-knife: 0.025545016907562966
P20_04_22308-put-down-spatula: 0.06789570240071044
P20_04_22332-open-fridge: 0.04605046072974801
P21_01_22625-close-fridge: 0.0005569230974651874
P22_05_24164-place-bottle: 0.23028521548956632
P22_06_24730-lather-glass: 0.35610530138015745
P22_06_24739-lather-fork: 0.10971194460988044
P22_07_24883-rinse-cloth: 0.02088639425113797
P22_07_24894-lather-glass: 0.5543925318121911
P22_07_24993-put-down-cloth: 0.19907205881550907
P22_07_25167-put-down-pot: 0.11916036496520974
P22_07_25302-rinse-spoon: 0.07854234694503248
P22_07_25325-pick-up-plate: 0.3311029151827097
P22_07_25357-put-down-glass: 0.3880821421742439
P22_07_25363-remove-plate: 0.15767167445272207
P22_07_25364-remove-plate: 0.17324192710220815
P22_08_25638-close-tap: 0.0036758345395924152
P22_08_25664-lather-plate: 0.6561036054044962
P22_08_25702-empty-pot: 0.03536467507481575
P22_08_25740-pick-up-pan: 0.1800966714695096
P22_08_25748-lather-pan: 0.08421205628663302
P22_08_25752-rinse-spoon: 0.13880746497772634
P22_08_25853-rinse-glass: 0.3572095993161202
P22_08_25857-rinse-cloth: 0.09052820147946478
P22_09_26001-put-down-plate: 0.49350911416113374
P22_09_26033-open-drawer: 0.09578396586701274
P22_09_26061-lather-bowl: 0.025668452703393997
P22_09_26136-rinse-cloth: 0.09525403680279851
P22_10_26287-rinse-bowl: 0.27802895458065907
P22_10_26318-pick-up-spoon: 0.06585509634809568
P22_10_26319-lather-spoon: 0.3326728014182299
P22_10_26340-pick-up-bowl: 0.2600601083191577
P22_10_26426-lather-glass: 0.7021594452857971
P22_10_26508-empty-bottle: 0.006376573452022285
P22_10_26511-empty-bottle: 0.01325289335101843
P22_11_26606-place-glass: 0.8871158012747764
P22_11_26644-put-down-bowl: 0.30089773060404695
P22_11_26763-rinse-glass: 0.5086326825732612
P22_12_26841-open-drawer: 0.14995964078232646
P22_12_26959-put-plate: 0.5236900512129068
P22_13_27105-open-tap: 0.3704567947238684
P22_13_27110-rinse-sponge: 0.05192814921028912
P22_13_27135-rinse-sponge: 0.04492133234627545
P22_13_27154-rinse-knife: 0.20051765654236078
P22_13_27218-wash-cloth: 0.0088056387193501
P22_14_27373-open-drawer: 0.11872346309944987
P22_14_27404-open-tap: 0.04123484157025814
P22_14_27451-put-down-bowl: 0.3295904633554164
