Loaded /home/lzq/ExpEval/exe_res/epic_r2p1d_g_full.pt
P04_04_8881-halve-onion: 0.9343687096044567
P04_05_8942-stir-potato: 0.4183215060472196
P04_05_8957-stir-onion: 0.8602678300171415
P04_05_9008-tip-onion: 0.8641724632340757
P04_05_9164-stir-pan: 0.4948623808064297
P04_07_9339-open-drawer: 0.10308672729514393
P04_10_9423-open-cupboard: 0.1902110821165729
P04_10_9478-stir-pan: 0.3685885880379846
P04_17_9658-put-knife: 0.015872671588908368
P04_21_9718-put-down-pan: 0.15050573393008582
P04_23_9802-open-cupboard: 0.13943311134992423
P05_02_10281-take-cupboard: 0.07735007517587612
P05_04_10512-open-cupboard: 0.09608474952241808
P05_08_10794-move-onion: 0.09536457996651092
P05_08_10798-pour-meat: 0.011889767156475608
P05_08_10851-rinse-pan: 0.21630473819871743
P06_03_10987-open-drawer: 0.5227504534756436
P06_03_11064-move-spoon: 0.006242732804122509
P06_03_11093-move-pan: 0.5064557129133712
P06_05_11217-put-lid: 0.4073050694585796
P06_05_11297-move-bowl: 0.006197267818674399
P06_07_11465-put-lid: 0.2842791057392663
P06_07_11508-pick-up-knife: 0.7251715714970202
P06_07_11542-put-down-sponge: 0.16952611932202297
P06_09_11667-put-lid: 0.03623535745393704
P06_09_11682-put-lid: 0.007011238891887022
P06_09_11691-open-drawer: 0.1398280207067728
P06_09_11697-put-lid: 0.002546793959153743
P07_03_12021-rinse-pot: 0.013368472829461098
P07_04_12165-shake-pan: 0.25464125243106894
P07_05_12200-wash-pan: 0.10436200717938882
P07_05_12204-rinse-pan: 0.10476377447701844
P07_06_12230-open-tap: 0.31514331118441097
P07_09_12343-open-fridge: 0.13993818126618862
P07_09_12346-close-fridge: 0.035844830359679225
P07_09_12357-shake-bottle: 0.19342428596334202
P07_09_12358-close-bottle: 0.09386726502162478
P07_10_12381-place-pot: 0.002009101000194456
P07_10_12426-cut-potato: 0.3629213717492188
P07_10_12431-cut-potato: 0.36503698723573313
P07_10_12433-cut-potato: 0.30268035754561423
P07_10_12435-cut-potato: 0.22477298088225664
P07_10_12438-cut-potato: 0.21834805756807327
P07_10_12439-cut-potato: 0.3587520757288325
P07_10_12441-cut-potato: 0.2948708062297573
P07_10_12443-cut-potato: 0.27777458646279923
P07_10_12536-put-lid: 0.0004885502488297575
P08_01_12979-get-fork: 0.038008655797630485
P08_01_13017-get-fork: 0.034160508802982374
P08_02_13102-place-back-sponge: 0.3003389584941461
P08_04_13145-get-cloth: 0.1981763487407828
P08_04_13158-close-drawer: 0.021738332469819807
P08_04_13162-place-in-cupboard: 0.008999935996618268
P08_05_13210-wash-potato: 0.0026526819054447067
P08_05_13239-close-cupboard: 0.43160980565144735
P08_05_13371-get-knife: 0.008382960494753776
P08_05_13378-get-spoon: 0.5271612217887214
P08_05_13398-open-fridge: 0.20457734656246268
P08_05_13401-open-lid: 0.10939140820250316
P08_05_13413-open-cupboard: 0.06196578806083576
P08_05_13434-put-lid: 0.0011317869057130142
P08_05_13493-place-plate: 0.0024211547411373342
P08_06_13609-close-fridge: 0.030293476762359633
P08_06_13617-open-drawer: 0.3211449458866435
P08_06_13618-place-knife: 0.06464718221138943
P08_06_13629-wipe-off-pan: 0.5681601431996872
P08_11_13977-get-cloth: 0.6231736135577747
P08_18_14449-wipe-bowl: 0.5874944269593221
P08_18_14507-water-sponge: 0.29683655431293243
P08_18_14508-squeeze-sponge: 0.199364646287708
P08_18_14512-water-sponge: 0.2783753800370237
P08_18_14524-water-sponge: 0.19366358065904649
P08_18_14525-squeeze-sponge: 0.16584684387506807
P08_18_14531-water-sponge: 0.24770448156997707
P08_19_14557-close-fridge: 0.048093623094552874
P08_21_14640-take-out-glass: 0.8740972288683349
P08_21_14646-place-pan: 0.40154836547981
P08_21_14658-place-in-cupboard: 0.01926113939387541
P08_21_14669-place-in-cupboard: 0.019327938543888284
P08_21_14811-close-cupboard: 0.18066567726360233
P08_21_14812-open-cupboard: 0.4213649851653506
P08_22_14989-place-sponge: 0.2102291021550841
P08_22_14997-place-sponge: 0.19602184327154915
P08_23_15214-get-potato: 0.12482886347992747
P08_24_15331-get-potato: 0.3297039737815366
P08_24_15333-cut-potato: 0.2822010873141242
P08_25_15415-get-plate: 0.12921323352584652
P08_26_15435-get-pan: 0.38708948502499685
P08_26_15438-get-bowl: 0.11533854265135768
P08_26_15444-place-bowl: 0.14236337167105875
P08_26_15453-close-drawer: 0.23164688288873317
P08_26_15455-get-bottle: 0.006180399389681863
P08_26_15490-move-bowl: 0.5278481858663773
P08_26_15501-clean-sponge: 0.24172854548429742
P10_01_15872-move-pot: 0.04530927026461737
P10_01_15913-shake-pot: 0.07560701478893558
P10_01_15944-put-pot: 0.025469205858112843
P10_04_16497-throw-bottle: 0.0009403314031902376
P10_04_16580-clean-pot: 0.0019516181675534622
P12_02_18571-wash-knife: 0.16601881354901135
P12_02_18604-wash-knife: 0.032421944637362865
P12_02_18631-wash-knife: 0.011359763707892568
P12_02_18711-fill-glass: 0.6243884909094549
P12_06_18977-take-cloth: 0.057510982599912906
P12_06_19001-put-plate: 0.02933910712969259
P12_06_19002-open-bottle: 0.007093730342446589
P13_07_19294-open-drawer: 0.37939510180377495
P13_08_19320-take-onion: 0.15752186914266764
P13_08_19332-put-down-onion: 0.5069883782007987
P13_08_19339-cut-onion: 0.914185341699825
P13_08_19345-put-down-knife: 0.008994645568551795
P13_08_19357-pick-up-pot: 0.10439056173040002
P13_08_19377-change-pot: 0.03452901156418318
P13_08_19391-put-down-plate: 0.3347357346110192
P13_09_19504-put-pan: 0.4194829950109124
P13_09_19511-drain-pot: 0.13567311773441879
P13_09_19516-close-drawer: 0.4097983713900926
P13_09_19528-close-drawer: 0.2032213204668141
P13_09_19549-close-fridge: 0.14921999012905302
P15_01_19739-pick-up-bowl: 0.09985134321032092
