Loaded /home/lzq/ExpEval/exe_res/epic_r50l_eb_full.pt
P04_04_8881-halve-onion: 0.7189816844102097
P04_05_8942-stir-potato: 0.522116011850926
P04_05_8957-stir-onion: 0.569572451516251
P04_05_9008-tip-onion: 0.042864313712016155
P04_05_9164-stir-pan: 0.8938745067117679
P04_07_9339-open-drawer: 0.9740552394650877
P04_10_9423-open-cupboard: 0.8291024895588635
P04_10_9478-stir-pan: 0.736021441653179
P04_17_9658-put-knife: 0.5349742189400786
P04_21_9718-put-down-pan: 0.43011970446798387
P04_23_9802-open-cupboard: 0.5865376576985
P05_02_10281-take-cupboard: 0.7323917135800002
P05_04_10512-open-cupboard: 0.7768613681400893
P05_08_10794-move-onion: 0.02483236288418844
P05_08_10798-pour-meat: 3.783285298405336e-05
P05_08_10851-rinse-pan: 0.0048635537354471126
P06_03_10987-open-drawer: 0.9616775005124509
P06_03_11064-move-spoon: 0.04154473799280822
P06_03_11093-move-pan: 0.001505801312305266
P06_05_11217-put-lid: 0.2717218384500484
P06_05_11297-move-bowl: 0.0009249199996981261
P06_07_11465-put-lid: 0.32109680489566017
P06_07_11508-pick-up-knife: 0.860557274322673
P06_07_11542-put-down-sponge: 0.566498050249379
P06_09_11667-put-lid: 0.012696754340595362
P06_09_11682-put-lid: 0.752009238786286
P06_09_11691-open-drawer: 0.979722389485687
P06_09_11697-put-lid: 0.7150938010022401
P07_03_12021-rinse-pot: 0.6549868757415993
P07_04_12165-shake-pan: 0.10065409414357873
P07_05_12200-wash-pan: 0.01958794859376667
P07_05_12204-rinse-pan: 0.3439980398526359
P07_06_12230-open-tap: 0.6579216911288199
P07_09_12343-open-fridge: 0.6495810038304626
P07_09_12346-close-fridge: 0.6070693751225917
P07_09_12357-shake-bottle: 0.8081917561280534
P07_09_12358-close-bottle: 0.6987156666505143
P07_10_12381-place-pot: 0.4838631475855095
P07_10_12426-cut-potato: 0.8947017054580328
P07_10_12431-cut-potato: 0.8557901840232489
P07_10_12433-cut-potato: 0.8741658191703436
P07_10_12435-cut-potato: 0.7693455677054999
P07_10_12438-cut-potato: 0.7236380438827155
P07_10_12439-cut-potato: 0.7733452181838629
P07_10_12441-cut-potato: 0.6541517834685919
P07_10_12443-cut-potato: 0.7681602101348517
P07_10_12536-put-lid: 0.006256198889332154
P08_01_12979-get-fork: 0.003546215981529599
P08_01_13017-get-fork: 0.007321490301798406
P08_02_13102-place-back-sponge: 0.6939494968552253
P08_04_13145-get-cloth: 0.00042541405741758354
P08_04_13158-close-drawer: 0.9385974898468703
P08_04_13162-place-in-cupboard: 0.12686788867726284
P08_05_13210-wash-potato: 0.0008182547261412765
P08_05_13239-close-cupboard: 0.2850899460463552
P08_05_13371-get-knife: 0.7334227693618232
P08_05_13378-get-spoon: 0.041565516621631104
P08_05_13398-open-fridge: 0.7375526315427123
P08_05_13401-open-lid: 0.10361938524920333
P08_05_13413-open-cupboard: 0.07513373209440033
P08_05_13434-put-lid: 0.4987817501828431
P08_05_13493-place-plate: 0.0005372414095490968
P08_06_13609-close-fridge: 0.9143652803159057
P08_06_13617-open-drawer: 0.9948677807115018
P08_06_13618-place-knife: 0.0011575789675362103
P08_06_13629-wipe-off-pan: 0.05066145345529094
P08_11_13977-get-cloth: 0.294378989221741
P08_18_14449-wipe-bowl: 0.6096576475192705
P08_18_14507-water-sponge: 0.2886315933589003
P08_18_14508-squeeze-sponge: 0.6967544946979842
P08_18_14512-water-sponge: 0.3498525633636973
P08_18_14524-water-sponge: 0.71614015662783
P08_18_14525-squeeze-sponge: 0.6051023965861759
P08_18_14531-water-sponge: 0.6747979885127506
P08_19_14557-close-fridge: 0.9373248106694518
P08_21_14640-take-out-glass: 0.07300529110148091
P08_21_14646-place-pan: 0.016736219708150202
P08_21_14658-place-in-cupboard: 0.009061570231324367
P08_21_14669-place-in-cupboard: 0.7940534141816897
P08_21_14811-close-cupboard: 0.7646254395804135
P08_21_14812-open-cupboard: 0.7767351306247292
P08_22_14989-place-sponge: 0.7921201358709595
P08_22_14997-place-sponge: 0.7849260927338264
P08_23_15214-get-potato: 0.4013548438944099
P08_24_15331-get-potato: 0.8079982871696529
P08_24_15333-cut-potato: 0.8189964752219794
P08_25_15415-get-plate: 0.9049689286230205
P08_26_15435-get-pan: 0.5540980470960903
P08_26_15438-get-bowl: 0.4016577641832555
P08_26_15444-place-bowl: 0.7597404587668279
P08_26_15453-close-drawer: 0.7284443632597686
P08_26_15455-get-bottle: 0.4006368735495016
P08_26_15490-move-bowl: 0.8015388224393973
P08_26_15501-clean-sponge: 0.6407941938538215
P10_01_15872-move-pot: 0.3855387984354479
P10_01_15913-shake-pot: 0.914728289847119
P10_01_15944-put-pot: 0.5228699009444995
P10_04_16497-throw-bottle: 0.0003853480320406
P10_04_16580-clean-pot: 0.0038131452385528064
P12_02_18571-wash-knife: 0.11843199551822181
P12_02_18604-wash-knife: 0.0490805185663703
P12_02_18631-wash-knife: 0.007569867950451226
P12_02_18711-fill-glass: 0.0007228741774459744
P12_06_18977-take-cloth: 0.0005809316164686606
P12_06_19001-put-plate: 0.004669588541730718
P12_06_19002-open-bottle: 0.40531890058582576
P13_07_19294-open-drawer: 0.8788805692456663
P13_08_19320-take-onion: 0.0002865610102493754
P13_08_19332-put-down-onion: 0.553212608901049
P13_08_19339-cut-onion: 0.685748133101697
P13_08_19345-put-down-knife: 0.03178794504219695
P13_08_19357-pick-up-pot: 0.763462751782356
P13_08_19377-change-pot: 0.005559593106738703
P13_08_19391-put-down-plate: 0.8858747050007878
P13_09_19504-put-pan: 0.7305332834495175
P13_09_19511-drain-pot: 0.10308660744209419
P13_09_19516-close-drawer: 0.9920116979628801
P13_09_19528-close-drawer: 0.9717285125516355
P13_09_19549-close-fridge: 0.5849834050877689
P15_01_19739-pick-up-bowl: 0.09334696514596529
P15_03_19816-close-drawer: 0.8382097571156919
P15_03_19848-dry-pan: 0.047476583056891286
P15_08_19995-open-drawer: 0.1443975388577039
P15_08_19998-pick-up-cloth: 0.0008074514561166313
P15_08_20028-put-away-glass: 0.7071020619980573
P15_08_20061-put-down-cloth: 0.010980931145468276
P15_13_20124-place-bowl: 0.015186949453777743
P15_13_20139-rinse-lid: 0.691813196725434
P15_13_20166-rinse-cloth: 0.26218904399706844
P17_03_20405-close-tap: 0.0021551342589702926
P17_04_20444-open-fridge: 0.5837700929387211
P19_03_21333-close-cupboard: 0.025825613338383846
P19_04_21364-open-fridge: 0.3668589560675173
P20_01_21490-rinse-meat: 0.0006894591971943614
P20_01_21503-rinse-meat: 0.00037366885293987906
P20_01_21556-pick-up-bowl: 0.8843240111255
P20_01_21560-rinse-bowl: 0.022929449297815187
P20_01_21588-open-drawer: 0.9864791729487479
P20_01_21611-rinse-spatula: 0.724153794848462
