The visualization results will not be visualized and save.
Loaded /home/lzq/ExpEval/exe_res/ucf101_r50l_perturb_full_core11_test_summed.pt
v_Basketball_g01_c01: 0.8108717451068371
v_Basketball_g01_c02: 0.7921451251100128
v_Basketball_g01_c03: 0.7101582285961794
v_Basketball_g01_c04: 0.7014422940869254
v_Basketball_g01_c05: 0.7903896414576094
v_Basketball_g01_c06: 0.7167420482835344
v_Basketball_g01_c07: 0.660240106743232
v_Basketball_g02_c01: 0.7105319458144568
v_Basketball_g02_c02: 0.7144480576156068
v_Basketball_g02_c03: 0.4568018541014431
v_Basketball_g02_c04: 0.8230614109861741
v_Basketball_g02_c05: 0.5599601699313829
v_Basketball_g02_c06: 0.6947427905555278
v_Basketball_g03_c01: 0.5191081015249045
v_Basketball_g03_c02: 0.44360794344181925
v_Basketball_g03_c03: 0.4697806753786983
v_Basketball_g03_c04: 0.531472082912018
v_Basketball_g03_c05: 0.44481204581817807
v_Basketball_g03_c06: 0.5597041798340012
v_Basketball_g04_c01: 0.15132357532590202
v_Basketball_g04_c02: 0.1062723596900754
v_Basketball_g04_c03: 0.0002024753535878
v_Basketball_g04_c04: 0.02608248564108234
v_Basketball_g05_c01: 0.26817311954196066
v_Basketball_g05_c02: 0.0010663145679227811
v_Basketball_g05_c03: 0.6363621701897572
v_Basketball_g05_c04: 0.3901530030430591
v_Basketball_g06_c01: 0.40898265891643376
v_Basketball_g06_c02: 0.26509506391445814
v_Basketball_g06_c03: 0.8306080228137195
v_Basketball_g06_c04: 0.5079672181815469
v_Basketball_g07_c01: 0.45240494287858135
v_Basketball_g07_c02: 0.442332137300236
v_Basketball_g07_c03: 0.37025217655178744
v_Basketball_g07_c04: 0.5397659536760686
v_BasketballDunk_g01_c01: 0.7034011978071695
v_BasketballDunk_g01_c02: 0.655165167172969
v_BasketballDunk_g01_c03: 0.6852644986379435
v_BasketballDunk_g01_c04: 0.7348169444576271
v_BasketballDunk_g01_c05: 0.6976114847514705
v_BasketballDunk_g01_c06: 0.5681987448485897
v_BasketballDunk_g01_c07: 0.7487499895277342
v_BasketballDunk_g02_c01: 0.6885865662128244
v_BasketballDunk_g02_c02: 0.6228940311408437
v_BasketballDunk_g02_c03: 0.6498022844686228
v_BasketballDunk_g02_c04: 0.5385970686238223
v_BasketballDunk_g03_c01: 0.6078253653128722
v_BasketballDunk_g03_c02: 0.6471010744192766
v_BasketballDunk_g03_c03: 0.6289878810399815
v_BasketballDunk_g03_c04: 0.7112688024058098
v_BasketballDunk_g03_c05: 0.7712635194353175
v_BasketballDunk_g03_c06: 0.6569624730184966
v_BasketballDunk_g04_c01: 0.6903826770144423
v_BasketballDunk_g04_c02: 0.7485149661015135
v_BasketballDunk_g04_c03: 0.6592696641115289
v_BasketballDunk_g04_c04: 0.5931632397093756
v_BasketballDunk_g05_c01: 0.6917075127016241
v_BasketballDunk_g05_c02: 0.7335955640958512
v_BasketballDunk_g05_c03: 0.6268860326463576
v_BasketballDunk_g05_c04: 0.658454765783915
v_BasketballDunk_g05_c05: 0.6909288199143667
v_BasketballDunk_g05_c06: 0.606850983880862
v_BasketballDunk_g06_c01: 0.798666339767549
v_BasketballDunk_g06_c02: 0.6774866570353362
v_BasketballDunk_g06_c03: 0.5950966115392672
v_BasketballDunk_g06_c04: 0.8070991364545097
v_BasketballDunk_g07_c01: 0.6585122050480077
v_BasketballDunk_g07_c02: 0.6511400098857634
v_BasketballDunk_g07_c03: 0.6824406700044432
v_BasketballDunk_g07_c04: 0.5307421649450108
v_BasketballDunk_g07_c05: 0.6401244351987307
v_BasketballDunk_g07_c06: 0.6293200665162694
v_Biking_g01_c01: 0.7485694561572517
v_Biking_g01_c02: 0.2734186347799998
v_Biking_g01_c03: 0.7752567073419306
v_Biking_g01_c04: 0.7682620867387753
v_Biking_g02_c01: 0.5067593246260681
v_Biking_g02_c02: 0.5836407625828596
v_Biking_g02_c03: 0.644198944801282
v_Biking_g02_c04: 0.6697420086237994
v_Biking_g02_c05: 0.6121652853561054
v_Biking_g02_c06: 0.5542411729608955
v_Biking_g02_c07: 0.6341583442933602
v_Biking_g03_c01: 0.4949214684687938
v_Biking_g03_c02: 0.6569889085394713
v_Biking_g03_c03: 0.6264260208827681
v_Biking_g03_c04: 0.4326338077992356
v_Biking_g04_c01: 0.5259913556350797
v_Biking_g04_c02: 0.2576270864847317
v_Biking_g04_c03: 0.6114189457820555
v_Biking_g04_c04: 0.08462481970365808
v_Biking_g04_c05: 0.39394279648994973
v_Biking_g05_c01: 0.3525921078066698
v_Biking_g05_c02: 0.6913310582467067
v_Biking_g05_c03: 0.6354019321415656
v_Biking_g05_c04: 0.6044007800615337
v_Biking_g05_c05: 0.6944866977975586
v_Biking_g05_c06: 0.5630007207624195
v_Biking_g05_c07: 0.6279121032947966
v_Biking_g06_c01: 0.3995326299469133
v_Biking_g06_c02: 0.7188370944162848
v_Biking_g06_c03: 0.6399646373079889
v_Biking_g06_c04: 0.47743052072071485
v_Biking_g06_c05: 0.426638418390112
v_Biking_g07_c01: 0.5699838906003838
v_Biking_g07_c02: 0.5312879409120582
v_Biking_g07_c03: 0.4272334443449497
v_Biking_g07_c04: 0.29592474470760755
v_Biking_g07_c05: 0.013978072770359907
v_Biking_g07_c06: 0.34783792745558245
v_CliffDiving_g01_c01: 0.9488475641783546
v_CliffDiving_g01_c02: 0.8377134902804506
v_CliffDiving_g01_c03: 0.535238120135139
v_CliffDiving_g01_c04: 0.45363523936739153
v_CliffDiving_g01_c05: 0.37425548878370546
v_CliffDiving_g01_c06: 0.5826286333448747
v_CliffDiving_g02_c01: 0.48654928932002944
v_CliffDiving_g02_c02: 0.29598828519091885
v_CliffDiving_g02_c03: 0.6662364475867327
v_CliffDiving_g02_c04: 0.4715965048939574
v_CliffDiving_g03_c01: 0.9103195849586936
v_CliffDiving_g03_c02: 0.9777246859728121
v_CliffDiving_g03_c03: 0.8765120671075933
v_CliffDiving_g03_c04: 0.6062695105870565
v_CliffDiving_g03_c05: 0.8821676170124727
v_CliffDiving_g04_c01: 0.5179001262374953
v_CliffDiving_g04_c02: 0.9208895855090198
v_CliffDiving_g04_c03: 0.5908947633761986
v_CliffDiving_g04_c04: 0.7375889627372517
v_CliffDiving_g05_c01: 0.09503529297105749
v_CliffDiving_g05_c02: 0.5145371475640466
v_CliffDiving_g05_c03: 0.3423623924161874
v_CliffDiving_g05_c04: 0.26583254319780014
v_CliffDiving_g05_c05: 0.9122864079241659
v_CliffDiving_g05_c06: 0.7067436970916449
v_CliffDiving_g05_c07: 0.9021115741308998
v_CliffDiving_g06_c01: 0.4664430578549703
v_CliffDiving_g06_c02: 0.5303505612354652
v_CliffDiving_g06_c03: 0.6598078164399839
v_CliffDiving_g06_c04: 0.43658213042745403
v_CliffDiving_g06_c05: 0.3536388280344944
v_CliffDiving_g06_c06: 0.46897998983953515
v_CliffDiving_g06_c07: 0.9668434313699311
v_CliffDiving_g07_c01: 0.9017263546293857
v_CliffDiving_g07_c02: 0.9626077676520628
v_CliffDiving_g07_c03: 0.9382680993454129
v_CliffDiving_g07_c04: 0.9856076496488908
v_CliffDiving_g07_c05: 0.9770445270865571
