Loaded /home/lzq/ExpEval/exe_res/ucf101_r50l_perturb_full_core5_test_summed.pt
v_Basketball_g01_c01: 0.7755646153408509
v_Basketball_g01_c02: 0.8091605500979937
v_Basketball_g01_c03: 0.7673010666578478
v_Basketball_g01_c04: 0.6821835601410724
v_Basketball_g01_c05: 0.8065970169539665
v_Basketball_g01_c06: 0.7130050971795344
v_Basketball_g01_c07: 0.6409508523891346
v_Basketball_g02_c01: 0.6587598927369126
v_Basketball_g02_c02: 0.7680603682512632
v_Basketball_g02_c03: 0.5280410490819728
v_Basketball_g02_c04: 0.8162218292220381
v_Basketball_g02_c05: 0.6805078489272359
v_Basketball_g02_c06: 0.7440887970365521
v_Basketball_g03_c01: 0.4428288724956242
v_Basketball_g03_c02: 0.30459386410503236
v_Basketball_g03_c03: 0.38973364311626507
v_Basketball_g03_c04: 0.6003507580112794
v_Basketball_g03_c05: 0.2941654977384685
v_Basketball_g03_c06: 0.5065534468097087
v_Basketball_g04_c01: 0.23954018370514663
v_Basketball_g04_c02: 0.05768325776239091
v_Basketball_g04_c03: 0.0002885752933912491
v_Basketball_g04_c04: 0.03141829057022537
v_Basketball_g05_c01: 0.28748373883267336
v_Basketball_g05_c02: 0.0005663180651882773
v_Basketball_g05_c03: 0.6505293119074171
v_Basketball_g05_c04: 0.35567710484900483
v_Basketball_g06_c01: 0.4033991551573683
v_Basketball_g06_c02: 0.4081563554130673
v_Basketball_g06_c03: 0.8770395549192543
v_Basketball_g06_c04: 0.40033471516837704
v_Basketball_g07_c01: 0.4416161180869191
v_Basketball_g07_c02: 0.3914465000324972
v_Basketball_g07_c03: 0.3329412441536346
v_Basketball_g07_c04: 0.5027887876216874
v_BasketballDunk_g01_c01: 0.7054810479895084
v_BasketballDunk_g01_c02: 0.6774749049825557
v_BasketballDunk_g01_c03: 0.6322710504034059
v_BasketballDunk_g01_c04: 0.7225335412156567
v_BasketballDunk_g01_c05: 0.7137640490671437
v_BasketballDunk_g01_c06: 0.555757097174943
v_BasketballDunk_g01_c07: 0.768123482915518
v_BasketballDunk_g02_c01: 0.6271688266839905
v_BasketballDunk_g02_c02: 0.6223003479120248
v_BasketballDunk_g02_c03: 0.658300152016055
v_BasketballDunk_g02_c04: 0.5521697404917658
v_BasketballDunk_g03_c01: 0.6676447345920856
v_BasketballDunk_g03_c02: 0.6691275646371365
v_BasketballDunk_g03_c03: 0.5867409854798632
v_BasketballDunk_g03_c04: 0.6943681007173533
v_BasketballDunk_g03_c05: 0.7581837249497482
v_BasketballDunk_g03_c06: 0.6574676385496323
v_BasketballDunk_g04_c01: 0.6891925742726445
v_BasketballDunk_g04_c02: 0.7041585907531792
v_BasketballDunk_g04_c03: 0.6415224462227129
v_BasketballDunk_g04_c04: 0.6079525714438847
